step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1.0,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.927222043694927,0.0,0.0,1.0,0.0,0.0,0.6897058233002138
16.0,1.0,4.0,1.3333333333333333,7.402747044725895,3,4.0,1.3333333333333333,4.0,1.3333333333333333,1.0,4.0,4.0,4.180441902363138,2.0,2.0,2.0,1.0,4.0,0.3227476744776441
24.0,3.0,15.0,1.875,5.178021727530455,8,15.0,1.875,11.0,1.375,3.0,15.0,11.0,3.886656704174025,2.142857142857143,2.142857142857143,7.0,3.0,15.0,0.2579097500482264
32.0,0.0,0.0,0.0,9.480965238836864,8,24.0,3.0,9.0,1.125,0.0,2.0,0.0,10.33414045406077,0.3333333333333333,0.3333333333333333,6.0,0.0,2.0,0.6472212370126563
40.0,2.0,10.0,1.1111111111111112,10.211514401646625,9,19.0,2.111111111111111,0.0,0.0,2.0,12.0,10.0,9.09619873685986,2.0,2.0,6.0,2.0,12.0,0.6232643619654886
48.0,0.0,0.0,0.0,9.96518967942248,11,19.0,1.7272727272727273,0.0,0.0,0.0,0.0,0.0,8.551698822131128,0.0,0.0,7.0,0.0,0.0,0.5619615245032955
56.0,1.0,6.0,0.5454545454545454,9.110849819471872,11,8.0,0.7272727272727273,0.0,0.0,1.0,6.0,6.0,7.138147502041209,0.8571428571428571,0.8571428571428571,7.0,1.0,6.0,0.4369968975143642
64.0,4.0,25.0,2.5,6.674627955684812,10,27.0,2.7,19.0,1.9,4.0,25.0,19.0,4.42922072562823,3.125,3.125,8.0,4.0,25.0,0.2567572558667069
72.0,4.0,44.0,3.3846153846153846,7.63849827815008,13,52.0,4.0,25.0,1.9230769230769231,4.0,44.0,19.0,4.490401822826243,5.5,5.5,8.0,4.0,44.0,0.2312299411488439
80.0,1.0,5.0,0.3571428571428571,7.54253446525324,14,64.0,4.571428571428571,12.0,0.8571428571428571,1.0,17.0,0.0,6.621641662993579,1.5454545454545454,1.5454545454545454,11.0,1.0,17.0,0.431047556071438
88.0,4.0,29.0,1.7058823529411764,7.283460105574982,17,41.0,2.411764705882353,0.0,0.0,4.0,29.0,12.0,6.65759839004621,1.9333333333333331,1.9333333333333331,15.0,4.0,29.0,0.4394531204688012
96.0,0.0,0.0,0.0,7.709818491422373,23,52.0,2.260869565217391,11.0,0.4782608695652174,0.0,9.0,0.0,7.199505838456702,0.5,0.5,18.0,0.0,9.0,0.4735877039766293
104.0,3.0,6.0,0.2608695652173913,11.027909686789767,23,16.0,0.6956521739130435,0.0,0.0,3.0,6.0,0.0,9.10972567053466,0.375,0.375,16.0,3.0,6.0,0.6061429662771625
112.0,4.0,16.0,0.7272727272727273,7.540543136983976,22,22.0,1.0,6.0,0.2727272727272727,4.0,16.0,10.0,7.375373176009275,0.9411764705882352,0.9411764705882352,17.0,4.0,16.0,0.4688136898136303
