step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,0,0.0,0.0,10.908768005236595,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838168337323859
24.0,2,2.0,0.2857142857142857,6.180512592821676,7,2.0,0.2857142857142857,2.0,0.2857142857142857,2,2.0,2.0,4.841001876454377,0.3333333333333333,0.3333333333333333,6,2,2.0,0.3214614656350202
32.0,3,13.0,1.8571428571428568,7.917834587419534,7,13.0,1.8571428571428568,11.0,1.5714285714285714,3,13.0,11.0,7.917834587419534,1.8571428571428568,1.8571428571428568,7,3,13.0,0.4939047764822314
40.0,3,37.0,4.111111111111111,8.457784392351705,9,37.0,4.111111111111111,24.0,2.6666666666666665,3,37.0,24.0,7.796705400335354,5.285714285714286,5.285714285714286,7,3,37.0,0.5342240813443667
48.0,3,61.0,5.083333333333333,7.832629023421942,12,61.0,5.083333333333333,24.0,2.0,3,61.0,24.0,6.35343482734795,6.1,6.1,10,3,61.0,0.4156329077835828
56.0,2,10.0,0.6666666666666666,7.159824736821762,15,86.0,5.733333333333333,25.0,1.6666666666666667,2,32.0,0.0,5.040540290178329,3.2,3.2,10,2,32.0,0.3085739619699297
64.0,5,26.0,1.7333333333333334,5.956125741409382,15,61.0,4.066666666666666,0.0,0.0,5,26.0,0.0,3.452116527155104,2.363636363636364,2.363636363636364,11,5,26.0,0.1994087464766095
72.0,9,74.0,5.285714285714286,2.0401833078657727,14,74.0,5.285714285714286,13.0,0.9285714285714286,9,74.0,48.0,2.0401833078657723,5.285714285714286,5.285714285714286,14,9,74.0,0.1153504779995158
80.0,2,6.0,0.3,5.1194198343991895,20,124.0,6.2,50.0,2.5,2,55.0,0.0,4.242472380235725,3.4375,3.4375,16,2,55.0,0.266629707720759
88.0,7,18.0,0.8181818181818182,4.970450681897359,22,73.0,3.3181818181818183,0.0,0.0,7,72.0,17.0,4.9124006778951,3.4285714285714284,3.4285714285714284,21,7,72.0,0.3225476130107606
96.0,4,12.0,0.4137931034482758,6.349252345528838,29,132.0,4.551724137931035,59.0,2.034482758620689,4,60.0,0.0,5.585798922045757,2.5,2.5,24,4,60.0,0.3689275658517725
104.0,2,5.0,0.1724137931034483,10.571171436923102,29,69.0,2.3793103448275863,0.0,0.0,2,11.0,0.0,8.906830061800136,0.5238095238095238,0.5238095238095238,21,2,11.0,0.5709383515629574
112.0,6,19.0,0.7037037037037037,6.452493521369565,27,37.0,1.3703703703703705,0.0,0.0,6,24.0,13.0,6.414057866819412,1.2,1.2,20,6,24.0,0.4138301071575334
120.0,12,95.0,3.5185185185185186,6.6064565849222765,27,104.0,3.851851851851852,67.0,2.4814814814814814,10,87.0,63.0,5.468083482634134,4.142857142857143,4.142857142857143,21,10,87.0,0.3750065018924469
128.0,13,168.0,6.461538461538462,4.011970325911477,26,202.0,7.769230769230769,98.0,3.769230769230769,13,173.0,86.0,3.171804055997006,8.238095238095237,8.238095238095237,21,13,173.0,0.2250683600825221
136.0,7,38.0,1.3103448275862069,5.782503933499552,29,268.0,9.241379310344827,66.0,2.2758620689655173,7,155.0,0.0,4.252982360711553,7.045454545454546,7.045454545454546,22,7,155.0,0.2969273289772263
144.0,4,22.0,0.8148148148148148,9.521811481802295,27,181.0,6.703703703703703,0.0,0.0,3,36.0,0.0,7.25692819128586,2.25,2.25,16,3,36.0,0.4846011203807565
152.0,7,24.0,0.9230769230769232,6.195227697243128,26,78.0,3.0,0.0,0.0,7,46.0,10.0,4.9623754177394535,2.1904761904761907,2.1904761904761907,21,7,46.0,0.3384432668935706
160.0,13,101.0,3.740740740740741,5.842595822817975,27,127.0,4.703703703703703,49.0,1.8148148148148149,13,121.0,75.0,5.526758653112846,4.653846153846154,4.653846153846154,26,13,121.0,0.3528711855796033
168.0,6,21.0,0.6363636363636364,5.7309511152747525,33,203.0,6.151515151515151,76.0,2.303030303030303,6,100.0,0.0,4.930098496864021,4.0,4.0,25,6,100.0,0.3190208670903941
176.0,12,51.0,1.5,4.537683195199945,34,162.0,4.764705882352941,0.0,0.0,12,150.0,50.0,4.116908404009763,4.6875,4.6875,32,12,150.0,0.2671827146076544
184.0,18,124.0,3.024390243902439,4.638645498590208,41,278.0,6.780487804878049,116.0,2.8292682926829267,18,226.0,76.0,3.75839401545689,6.457142857142857,6.457142857142857,35,18,226.0,0.2493164292407573
192.0,16,107.0,2.4318181818181817,4.916975755680552,44,373.0,8.477272727272727,95.0,2.159090909090909,16,239.0,13.0,4.05629085426673,6.289473684210527,6.289473684210527,38,16,239.0,0.260123039095788
