step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,0,0.0,0.0,11.067197671817828,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838168337323859
24.0,1,0.0,0.0,8.099565648700153,7,0.0,0.0,0.0,0.0,1,0.0,0.0,4.997035476103261,0.0,0.0,5,1,0.0,0.3315585181081839
32.0,0,0.0,0.0,12.614537997120854,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.844466713834812,0.0,0.0,4,0,0.0,0.8635415365250677
40.0,1,4.0,0.6666666666666666,10.3596313940635,6,4.0,0.6666666666666666,4.0,0.6666666666666666,1,4.0,4.0,10.915742440796723,0.8,0.8,5,1,4.0,0.7479304847623247
48.0,1,12.0,1.3333333333333333,7.793330136193433,9,12.0,1.3333333333333333,8.0,0.8888888888888888,1,12.0,8.0,7.960458144732655,1.5,1.5,8,1,12.0,0.5274261455673177
56.0,1,4.0,0.4,8.103290615136885,10,23.0,2.3,11.0,1.1,1,4.0,0.0,6.5148861327803385,0.5714285714285714,0.5714285714285714,7,1,4.0,0.3938499586040225
64.0,1,0.0,0.0,8.82370429465057,13,29.0,2.230769230769231,6.0,0.4615384615384615,1,0.0,0.0,7.23168357968138,0.0,0.0,7,1,0.0,0.4145529120406634
72.0,1,4.0,0.3333333333333333,11.747858526833332,12,23.0,1.9166666666666667,0.0,0.0,1,4.0,4.0,6.883316561560951,0.8,0.8,5,1,4.0,0.3890073838783344
80.0,1,0.0,0.0,8.176539044427342,13,26.0,2.0,3.0,0.2307692307692307,1,0.0,0.0,6.6717037593264426,0.0,0.0,10,1,0.0,0.4234049501521912
88.0,1,0.0,0.0,9.589013942628268,16,3.0,0.1875,0.0,0.0,1,0.0,0.0,10.105599892425426,0.0,0.0,11,1,0.0,0.6497455325469519
96.0,2,0.0,0.0,10.342214966202889,19,0.0,0.0,0.0,0.0,2,0.0,0.0,8.881176314327739,0.0,0.0,14,2,0.0,0.5952749626665039
104.0,2,4.0,0.2105263157894736,10.40099833818415,19,4.0,0.2105263157894736,4.0,0.2105263157894736,2,4.0,4.0,9.040078822698412,0.25,0.25,16,2,4.0,0.5938332320107544
112.0,2,4.0,0.1739130434782608,7.310034834652952,23,13.0,0.5652173913043478,9.0,0.391304347826087,2,4.0,0.0,8.103319727110408,0.25,0.25,16,2,4.0,0.5154933315002728
120.0,7,46.0,2.0,8.682764671497566,23,48.0,2.0869565217391304,35.0,1.5217391304347827,5,33.0,29.0,7.402123898951549,2.0625,2.0625,16,5,33.0,0.5079125331639075
128.0,2,4.0,0.1739130434782608,6.661006092154952,23,81.0,3.5217391304347827,33.0,1.434782608695652,2,25.0,0.0,5.403543955263532,1.5625,1.5625,16,2,25.0,0.3631621637163328
136.0,3,21.0,0.875,10.052920455682685,24,54.0,2.25,0.0,0.0,3,21.0,0.0,7.528786335033422,1.6153846153846154,1.6153846153846154,13,3,21.0,0.5235326278184326
144.0,1,4.0,0.2222222222222222,10.202697660983445,18,35.0,1.9444444444444444,0.0,0.0,1,4.0,0.0,9.333357697341294,0.4,0.4,10,1,4.0,0.6735900459390531
152.0,7,36.0,1.8,6.970640527000363,20,36.0,1.8,1.0,0.05,7,36.0,32.0,5.4865616680829685,2.117647058823529,2.117647058823529,17,7,36.0,0.3764982407966891
160.0,8,65.0,2.6,7.391966279402482,25,82.0,3.28,46.0,1.84,8,66.0,30.0,6.485887119832905,3.3,3.3,20,8,66.0,0.4039096184828059
168.0,3,4.0,0.1481481481481481,6.717207082607439,27,102.0,3.7777777777777777,20.0,0.7407407407407407,3,29.0,0.0,6.296976049788418,1.380952380952381,1.380952380952381,21,3,29.0,0.4025876802469901
176.0,5,34.0,1.1724137931034482,9.313565098771166,29,59.0,2.034482758620689,0.0,0.0,4,27.0,0.0,7.973937459973395,1.4210526315789471,1.4210526315789471,19,4,27.0,0.5114633909957947
184.0,2,4.0,0.1666666666666666,8.063290614552933,24,56.0,2.333333333333333,0.0,0.0,2,7.0,0.0,7.871332430588788,0.3684210526315789,0.3684210526315789,19,2,7.0,0.5231732497629437
192.0,5,31.0,1.1923076923076923,9.07403739629211,26,55.0,2.1153846153846154,0.0,0.0,5,31.0,24.0,7.717670148948915,1.55,1.55,20,5,31.0,0.4793910958634254
200.0,3,4.0,0.1481481481481481,7.844144460209049,27,70.0,2.592592592592593,15.0,0.5555555555555556,3,17.0,0.0,7.420651344178703,0.7727272727272727,0.7727272727272727,22,3,17.0,0.4754889248922304
208.0,4,24.0,0.8888888888888888,9.187176013735892,27,47.0,1.7407407407407407,0.0,0.0,4,24.0,7.0,7.606448128831429,1.263157894736842,1.263157894736842,19,4,24.0,0.4936473578529583
216.0,4,7.0,0.28,7.199140134320816,25,56.0,2.24,9.0,0.36,4,23.0,0.0,7.268076859272841,1.15,1.15,20,4,23.0,0.4981982108330994
224.0,3,6.0,0.2307692307692307,8.654451194698689,26,51.0,1.9615384615384612,0.0,0.0,3,22.0,0.0,7.136304858795775,1.1,1.1,20,3,22.0,0.4931495997772953
232.0,6,22.0,0.8148148148148148,7.289400253719447,27,53.0,1.962962962962963,2.0,0.074074074074074,5,38.0,16.0,6.954388541575585,1.809523809523809,1.809523809523809,21,5,38.0,0.485354973860035
240.0,5,15.0,0.5555555555555556,6.569036669613325,27,81.0,3.0,28.0,1.037037037037037,4,35.0,0.0,6.745189257721744,1.6666666666666667,1.6666666666666667,21,4,35.0,0.4563085395184331
248.0,6,53.0,2.0384615384615383,5.684419582829918,26,116.0,4.461538461538462,35.0,1.3461538461538465,6,59.0,24.0,5.316487319291058,2.95,2.95,20,6,59.0,0.3848844374657963
256.0,4,11.0,0.4230769230769231,7.310865038700116,26,124.0,4.769230769230769,8.0,0.3076923076923077,4,56.0,0.0,6.343456020024645,2.8,2.8,20,4,56.0,0.4565506523996293
264.0,3,24.0,0.96,9.843240436226846,25,74.0,2.96,0.0,0.0,3,29.0,0.0,8.69511020298081,1.8125,1.8125,16,3,29.0,0.6133632017500238
272.0,3,9.0,0.375,7.71346322433881,24,47.0,1.9583333333333333,0.0,0.0,3,9.0,0.0,7.798444458700105,0.5,0.5,18,3,9.0,0.534603757237976
280.0,3,7.0,0.2592592592592592,8.00715008019126,27,29.0,1.0740740740740742,0.0,0.0,3,8.0,0.0,7.367927548061276,0.4,0.4,20,3,8.0,0.5208435681894965
288.0,5,36.0,1.2,9.3829160864056,30,40.0,1.3333333333333333,11.0,0.3666666666666666,5,36.0,28.0,7.4269755929657935,1.8,1.8,20,5,36.0,0.5151017406119938
296.0,3,5.0,0.15625,8.302974332268242,32,58.0,1.8125,18.0,0.5625,3,6.0,0.0,8.439672707121572,0.2608695652173913,0.2608695652173913,23,3,6.0,0.58701929355799
304.0,7,27.0,0.7714285714285715,7.817800699790559,35,37.0,1.0571428571428572,0.0,0.0,5,24.0,18.0,7.420243574957737,1.0909090909090908,1.0909090909090908,22,5,24.0,0.5255929852727431
312.0,3,4.0,0.1025641025641025,8.245315064881867,39,58.0,1.4871794871794872,21.0,0.5384615384615384,3,12.0,0.0,7.519774215367347,0.5217391304347826,0.5217391304347826,23,3,12.0,0.5203204417385097
