step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,0,0.0,0.0,11.067197671817828,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838168337323859
24.0,1,0.0,0.0,8.099565648700153,7,0.0,0.0,0.0,0.0,1,0.0,0.0,4.997035476103261,0.0,0.0,5,1,0.0,0.3315585181081839
32.0,0,0.0,0.0,15.965125502086684,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.844466713834812,0.0,0.0,4,0,0.0,0.8635415365250677
40.0,1,4.0,0.6666666666666666,10.3596313940635,6,4.0,0.6666666666666666,4.0,0.6666666666666666,1,4.0,4.0,10.915742440796723,0.8,0.8,5,1,4.0,0.7479304847623247
48.0,1,12.0,1.3333333333333333,8.752059858781914,9,12.0,1.3333333333333333,8.0,0.8888888888888888,1,12.0,8.0,7.437969339667017,1.5,1.5,8,1,12.0,0.4897598034699867
56.0,1,6.0,0.5454545454545454,8.432196141709886,11,25.0,2.272727272727273,13.0,1.181818181818182,1,6.0,0.0,7.138147502041209,0.8571428571428571,0.8571428571428571,7,1,6.0,0.4369968975143642
64.0,2,3.0,0.2727272727272727,6.276242942990313,11,36.0,3.272727272727273,11.0,1.0,2,7.0,1.0,4.940639021838086,0.875,0.875,8,2,7.0,0.2898727413243078
72.0,2,13.0,1.0,8.10889176909929,13,47.0,3.615384615384616,11.0,0.8461538461538461,2,17.0,10.0,5.924997873294956,2.4285714285714284,2.4285714285714284,7,2,17.0,0.3092956864259033
80.0,2,29.0,1.9333333333333331,10.554522925726843,15,53.0,3.533333333333333,6.0,0.4,2,33.0,16.0,6.566058391377993,3.6666666666666665,3.6666666666666665,9,2,33.0,0.4346111066372587
88.0,1,3.0,0.2,7.987986017547302,15,43.0,2.8666666666666667,0.0,0.0,1,3.0,0.0,7.887642684594678,0.25,0.25,12,1,3.0,0.5190338465527123
96.0,0,0.0,0.0,9.145601225616392,20,7.0,0.35,0.0,0.0,0,0.0,0.0,9.062695577673482,0.0,0.0,15,0,0.0,0.595394506646299
104.0,2,6.0,0.3,10.62750174806991,20,6.0,0.3,0.0,0.0,2,6.0,6.0,9.27857310057947,0.375,0.375,16,2,6.0,0.6156139681725794
112.0,2,2.0,0.0909090909090909,8.524221662733247,22,15.0,0.6818181818181818,9.0,0.4090909090909091,2,2.0,0.0,9.192831185309355,0.1333333333333333,0.1333333333333333,15,2,2.0,0.58562274095784
120.0,2,3.0,0.15,8.845001512411013,20,15.0,0.75,0.0,0.0,2,3.0,1.0,8.572206356351918,0.2142857142857142,0.2142857142857142,14,2,3.0,0.5609827675679223
128.0,6,30.0,1.4285714285714286,9.295237089714163,21,32.0,1.5238095238095235,17.0,0.8095238095238095,6,30.0,27.0,6.162572481053638,2.3076923076923075,2.3076923076923075,13,6,30.0,0.4152748675492894
136.0,1,3.0,0.15,7.73916804857503,20,53.0,2.65,21.0,1.05,1,13.0,0.0,7.284540270853705,0.8666666666666667,0.8666666666666667,15,1,13.0,0.5034207246229189
144.0,4,16.0,0.7619047619047619,7.413738644021223,21,38.0,1.809523809523809,0.0,0.0,4,26.0,13.0,6.7539344603479625,1.8571428571428568,1.8571428571428568,14,4,26.0,0.468864847603678
152.0,4,13.0,0.5652173913043478,7.563985691821142,23,57.0,2.4782608695652173,19.0,0.8260869565217391,4,15.0,0.0,6.399569571203216,0.8823529411764706,0.8823529411764706,17,4,15.0,0.433689476805142
160.0,2,7.0,0.2916666666666667,8.430473259543332,24,40.0,1.6666666666666667,0.0,0.0,2,12.0,0.0,8.63595170456719,0.6666666666666666,0.6666666666666666,18,2,12.0,0.5409549171617556
168.0,6,30.0,1.1538461538461535,8.958398686815757,26,38.0,1.4615384615384617,0.0,0.0,4,24.0,12.0,7.624303708278643,1.411764705882353,1.411764705882353,17,4,24.0,0.4769416697247281
176.0,2,4.0,0.1739130434782608,8.673408478172442,23,55.0,2.391304347826087,17.0,0.7391304347826086,2,8.0,0.0,8.414883594038445,0.4705882352941176,0.4705882352941176,17,2,8.0,0.5462264543146097
184.0,6,30.0,1.1538461538461535,8.945157544761615,26,50.0,1.9230769230769231,0.0,0.0,6,30.0,22.0,7.305789313628456,1.5789473684210529,1.5789473684210529,19,6,30.0,0.4813867494364495
192.0,0,0.0,0.0,8.905605162949048,28,64.0,2.2857142857142856,14.0,0.5,0,11.0,0.0,8.000555608968012,0.5238095238095238,0.5238095238095238,21,0,11.0,0.500070290911801
200.0,4,17.0,0.6296296296296297,9.445132474723795,27,29.0,1.0740740740740742,0.0,0.0,4,18.0,7.0,8.062022934173754,0.9473684210526316,0.9473684210526316,19,4,18.0,0.5266608357097826
208.0,2,5.0,0.2083333333333333,7.602264680229283,24,44.0,1.8333333333333333,15.0,0.625,2,13.0,0.0,7.513402409047754,0.65,0.65,20,2,13.0,0.4874836696506182
216.0,6,39.0,1.56,8.346709661460757,25,47.0,1.88,3.0,0.12,6,40.0,27.0,7.425818119175851,2.0,2.0,20,6,40.0,0.5107488510501119
224.0,4,7.0,0.28,7.715986549288553,25,76.0,3.04,29.0,1.16,4,37.0,0.0,7.205072993554066,1.85,1.85,20,4,37.0,0.5039959959848859
232.0,6,22.0,0.7857142857142857,8.002266195124205,28,70.0,2.5,0.0,0.0,5,29.0,0.0,7.203007684466929,1.380952380952381,1.380952380952381,21,5,29.0,0.4955105911148877
240.0,4,7.0,0.28,7.4778388516847585,25,51.0,2.04,0.0,0.0,3,16.0,0.0,7.566660785648156,0.8421052631578947,0.8421052631578947,19,3,16.0,0.5296041330875092
248.0,6,44.0,1.9130434782608696,8.81946796737873,23,49.0,2.130434782608696,0.0,0.0,6,47.0,31.0,7.329402425821041,2.611111111111111,2.611111111111111,18,6,47.0,0.5197600893479017
256.0,1,3.0,0.15,9.268479757398511,20,71.0,3.55,22.0,1.1,1,15.0,0.0,9.84979516112085,1.0714285714285714,1.0714285714285714,14,1,15.0,0.704364197511722
264.0,4,25.0,1.3157894736842106,7.881028088547,19,39.0,2.0526315789473686,0.0,0.0,4,25.0,10.0,7.345927995281534,1.5625,1.5625,16,4,25.0,0.5137125265895434
272.0,0,0.0,0.0,8.352988052642313,26,51.0,1.9615384615384612,12.0,0.4615384615384615,0,14.0,0.0,8.83387420594753,0.7777777777777778,0.7777777777777778,18,0,14.0,0.6114484733336744
280.0,2,6.0,0.2222222222222222,9.925252421540254,27,21.0,0.7777777777777778,0.0,0.0,2,7.0,0.0,8.176259258120009,0.4117647058823529,0.4117647058823529,17,2,7.0,0.5802542887424934
288.0,2,7.0,0.2692307692307692,8.651561256723578,26,22.0,0.8461538461538461,1.0,0.0384615384615384,2,8.0,1.0,7.671442559543674,0.4444444444444444,0.4444444444444444,18,2,8.0,0.5421150892984125
296.0,3,5.0,0.1666666666666666,7.952136428467828,30,27.0,0.9,5.0,0.1666666666666666,3,11.0,3.0,8.047565398420197,0.4782608695652174,0.4782608695652174,23,3,11.0,0.5654030614273522
304.0,5,12.0,0.3333333333333333,8.101794798223427,36,40.0,1.1111111111111112,13.0,0.3611111111111111,4,18.0,7.0,7.37336232658531,0.782608695652174,0.782608695652174,23,4,18.0,0.5190479094953008
