step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1.0,0.0,0.0,5.116047790343873,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.505369043862447,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3268124463580948
16.0,0.0,0.0,0.0,8.01692360566698,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.969504840951399,0.0,0.0,3,0.0,0.0,1.0,0.0,0.0,0.5441184040775258,0.0,0.0,0.959419166900201
24.0,2.0,3.0,0.1764705882352941,7.733222865288774,17.0,3.0,0.1764705882352941,3.0,0.1764705882352941,1.0,3.0,3.0,4.476069656301474,0.75,0.75,4,0.0,0.0,0.093798116336793,0.0,0.0,0.9368411773922416,1.0,3.0,5.207325341604691e-05
32.0,5.0,19.0,0.7916666666666666,7.946702589881568,24.0,19.0,0.7916666666666666,16.0,0.6666666666666666,3.0,19.0,16.0,3.3638011025436056,3.1666666666666665,3.1666666666666665,6,1.0,5.0,0.4336933415381495,1.0,3.0,0.2722803810732592,1.0,11.0,0.0
40.0,5.0,15.0,0.5172413793103449,6.3553347360245285,29.0,43.0,1.4827586206896552,24.0,0.8275862068965517,5.0,15.0,0.0,3.712069312532293,1.25,1.25,12,4.0,15.0,0.1917052079659804,1.0,0.0,0.4023673802884933,0.0,0.0,0.73881907988092
48.0,9.0,54.0,1.4210526315789471,7.815419287376141,38.0,90.0,2.3684210526315788,47.0,1.236842105263158,7.0,52.0,37.0,5.287138791223322,4.0,4.0,13,3.0,38.0,0.3018774550567569,3.0,14.0,0.4684750031135846,1.0,0.0,0.0
56.0,9.0,49.0,1.1666666666666667,7.800073545365818,42.0,150.0,3.571428571428572,60.0,1.4285714285714286,6.0,53.0,1.0,4.499082535726193,4.416666666666667,4.416666666666667,12,2.0,17.0,0.3197291943498072,4.0,36.0,0.2936680224369838,0.0,0.0,0.922991182139352
64.0,13.0,101.0,2.061224489795918,7.576945216657842,49.0,212.0,4.326530612244898,62.0,1.2653061224489797,10.0,119.0,66.0,5.124262390768608,5.409090909090909,5.409090909090909,22,4.0,36.0,0.3468134119717963,6.0,83.0,0.3629323565387474,0.0,0.0,0.8299634588778662
72.0,12.0,71.0,1.3148148148148149,7.319870760009011,54.0,285.0,5.277777777777778,73.0,1.351851851851852,10.0,98.0,0.0,3.4155955741660398,4.9,4.9,20,7.0,77.0,0.0881469239127342,1.0,14.0,0.3455519134378388,2.0,7.0,0.4619085495475349
80.0,15.0,150.0,2.727272727272727,7.469499334927662,55.0,379.0,6.890909090909091,94.0,1.709090909090909,12.0,183.0,85.0,4.0955664692364735,7.956521739130435,7.956521739130435,23,7.0,133.0,0.2382381341842848,4.0,43.0,0.3553651097121931,1.0,7.0,0.4578114392900046
88.0,4.0,11.0,0.1964285714285714,7.863400840948794,56.0,419.0,7.482142857142857,40.0,0.7142857142857143,2.0,15.0,0.0,6.9351332574509374,1.1538461538461535,1.1538461538461535,13,2.0,5.0,0.2727619151680824,0.0,10.0,0.6619672891290611,0.0,0.0,0.6052830224841214
96.0,13.0,51.0,0.8225806451612904,7.555522870123404,62.0,450.0,7.258064516129032,31.0,0.5,9.0,79.0,64.0,4.679548121916705,3.95,3.95,20,3.0,34.0,0.4681193838676026,6.0,45.0,0.1326607843748342,0.0,0.0,0.4044844089809851
