step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1.0,0.0,0.0,5.116047790343873,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.505369043862447,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3268124463580948
16.0,0.0,0.0,0.0,8.01692360566698,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.969504840951399,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.5441184040775258,0.0,0.0,0.959419166900201
24.0,3.0,8.0,0.5,7.701923587749171,16.0,8.0,0.5,8.0,0.5,2.0,8.0,8.0,4.139222796222128,2.0,2.0,4.0,2.0,8.0,0.0001351782361109,0.0,0.0,0.9368411773922416,0.0,0.0,1.0
32.0,4.0,24.0,1.0,8.276372395133656,24.0,24.0,1.0,16.0,0.6666666666666666,2.0,24.0,16.0,4.88090732599388,6.0,6.0,4.0,2.0,24.0,0.2915469758208531,0.0,0.0,0.7205931375175709,0.0,0.0,1.0
40.0,6.0,5.0,0.1612903225806451,8.133387646013613,31.0,41.0,1.3225806451612905,17.0,0.5483870967741935,5.0,2.0,0.0,4.633112525178472,0.2222222222222222,0.2222222222222222,9.0,4.0,2.0,0.1852983696958266,1.0,0.0,0.6358842561910673,0.0,0.0,0.729724504733074
48.0,7.0,6.0,0.15,7.95024040365003,40.0,37.0,0.925,0.0,0.0,4.0,6.0,4.0,7.141993127608836,0.4615384615384615,0.4615384615384615,13.0,1.0,4.0,0.6436242754018666,2.0,2.0,0.4830833882809228,1.0,0.0,0.0081330284054561
56.0,7.0,34.0,0.8292682926829268,8.70454233586263,41.0,62.0,1.5121951219512195,25.0,0.6097560975609756,3.0,7.0,1.0,4.65949949370759,1.1666666666666667,1.1666666666666667,6.0,2.0,6.0,0.3070789811443823,1.0,1.0,0.4427519919972782,0.0,0.0,0.922991182139352
64.0,8.0,83.0,1.6938775510204085,9.540915738755556,49.0,124.0,2.5306122448979598,62.0,1.2653061224489797,3.0,31.0,24.0,8.41509962498845,2.583333333333333,2.583333333333333,12.0,2.0,22.0,0.4361615610296474,1.0,9.0,0.7552587407172724,0.0,0.0,0.7782855616375903
72.0,15.0,80.0,1.4814814814814814,7.044588430105805,54.0,172.0,3.185185185185185,48.0,0.8888888888888888,9.0,58.0,27.0,3.120628133099095,3.625,3.625,16.0,4.0,26.0,0.1966783530659136,4.0,32.0,0.2211611618418735,1.0,0.0,0.425063813395627
80.0,18.0,168.0,2.9473684210526314,6.919361722724886,57.0,293.0,5.140350877192983,121.0,2.12280701754386,13.0,129.0,71.0,4.111643333654391,5.16,5.16,25.0,5.0,66.0,0.2801238113034563,7.0,56.0,0.2516423829299791,1.0,7.0,0.6457198634594439
88.0,8.0,115.0,1.9491525423728813,7.649958828921009,59.0,380.0,6.440677966101695,87.0,1.4745762711864407,4.0,157.0,28.0,6.074049660680881,6.826086956521739,6.826086956521739,23.0,4.0,90.0,0.1413618697245469,0.0,54.0,0.5012965335253182,0.0,13.0,0.7356045417955377
96.0,21.0,212.0,3.419354838709677,6.505707483667493,62.0,452.0,7.290322580645161,72.0,1.1612903225806452,16.0,229.0,72.0,2.6618266259128567,8.178571428571429,8.178571428571429,28.0,5.0,128.0,0.3049598362000851,9.0,91.0,0.135577640428097,2.0,10.0,0.238494077780686
104.0,9.0,42.0,0.6885245901639344,7.195578385201528,61.0,560.0,9.18032786885246,108.0,1.7704918032786885,3.0,157.0,0.0,3.7852711164887634,8.263157894736842,8.263157894736842,19.0,1.0,64.0,0.35612179137005,2.0,93.0,0.2086170350935231,0.0,0.0,0.4618253767743669
112.0,12.0,82.0,1.2424242424242424,8.381191826730106,66.0,553.0,8.378787878787879,0.0,0.0,9.0,133.0,0.0,5.887455905550869,6.045454545454546,6.045454545454546,22.0,4.0,82.0,0.4874644648792617,3.0,39.0,0.383791074889015,2.0,12.0,0.3233260711812709
120.0,11.0,63.0,0.9545454545454546,8.132542996649335,66.0,531.0,8.045454545454545,0.0,0.0,9.0,78.0,0.0,5.181525401915228,3.5454545454545454,3.5454545454545454,22.0,4.0,40.0,0.2963495622744236,5.0,35.0,0.3764554169670674,0.0,3.0,0.7228687480220134
