step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1.0,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.505369043862447,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3268124463580948
16.0,0.0,0.0,0.0,7.131852017233379,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.684315741721536,0.0,0.0,5.0,0.0,0.0,0.897173809132291,0.0,0.0,0.5441184040775258,0.0,0.0,0.525499812690749
24.0,3.0,9.0,0.5294117647058824,7.695423154576937,17,9.0,0.5294117647058824,9.0,0.5294117647058824,2.0,9.0,9.0,4.148548139197424,2.25,2.25,4.0,0.0,0.0,1.0,0.0,0.0,0.9368411773922416,2.0,9.0,0.0016109168495722
32.0,3.0,3.0,0.1304347826086956,8.241593473274477,23,18.0,0.782608695652174,9.0,0.391304347826087,1.0,3.0,0.0,4.090308163444194,0.6,0.6,5.0,0.0,0.0,0.4446406273600866,1.0,3.0,0.2722803810732592,0.0,0.0,1.0
40.0,6.0,11.0,0.3666666666666666,7.821114663879533,30,38.0,1.2666666666666666,20.0,0.6666666666666666,4.0,3.0,0.0,5.5457968346172,0.375,0.375,8.0,3.0,3.0,0.2310477960284272,1.0,0.0,0.5863594899167976,0.0,0.0,0.9032852770451956
48.0,9.0,29.0,0.7631578947368421,8.058301362610077,38,62.0,1.631578947368421,24.0,0.631578947368421,6.0,29.0,26.0,5.868646039511142,2.4166666666666665,2.4166666666666665,12.0,3.0,25.0,0.3618460864040096,2.0,4.0,0.5055004735068706,1.0,0.0,0.0
56.0,8.0,32.0,0.7804878048780488,7.572355915425579,41,118.0,2.8780487804878048,56.0,1.3658536585365857,7.0,46.0,17.0,4.146088470831764,2.875,2.875,16.0,2.0,14.0,0.3548563173465349,5.0,32.0,0.2570320146151486,0.0,0.0,0.9584408389798807
64.0,11.0,79.0,1.6458333333333333,7.620666696717758,48,184.0,3.8333333333333335,66.0,1.375,9.0,99.0,53.0,4.826318955089872,4.125,4.125,24.0,3.0,27.0,0.3395934808279812,6.0,72.0,0.3697935302623511,0.0,0.0,0.7259090030037861
72.0,7.0,21.0,0.3818181818181818,7.086420466805154,55,245.0,4.454545454545454,61.0,1.1090909090909091,6.0,39.0,0.0,3.4052521300020158,2.294117647058824,2.294117647058824,17.0,3.0,12.0,0.0064252966075393,1.0,22.0,0.2874187508071573,2.0,5.0,0.456392694207985
80.0,12.0,79.0,1.3859649122807018,7.973008351570686,57,305.0,5.350877192982456,60.0,1.0526315789473684,10.0,95.0,56.0,3.9406582774100634,4.318181818181818,4.318181818181818,22.0,4.0,44.0,0.2375119967012826,6.0,48.0,0.2136267120925569,0.0,3.0,0.6459996042774516
88.0,11.0,89.0,1.5344827586206895,7.213531544244635,58,383.0,6.603448275862069,78.0,1.3448275862068966,10.0,142.0,47.0,3.913901657837236,6.173913043478261,6.173913043478261,23.0,0.0,15.0,0.3634429904714096,10.0,126.0,0.1792574881834943,0.0,1.0,0.6886008908947245
96.0,6.0,28.0,0.4444444444444444,8.238232485406618,63,440.0,6.984126984126984,57.0,0.9047619047619048,5.0,93.0,0.0,5.3376954665398335,4.043478260869565,4.043478260869565,23.0,2.0,28.0,0.5057556344024909,1.0,55.0,0.3980223061372067,2.0,10.0,0.2254961371457872
104.0,12.0,69.0,1.1129032258064515,8.188993644372635,62,460.0,7.419354838709677,20.0,0.3225806451612903,8.0,64.0,0.0,4.438828810790026,3.764705882352941,3.764705882352941,17.0,2.0,7.0,0.1744135861873033,4.0,31.0,0.4654336634416415,2.0,26.0,0.2417578006656972
