step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,8.161456665934871,11,0.0,0.0,0.0,0.0,0,0.0,0.0,8.047971135094402,0.0,0.0,4,0,0.0,0.897173809132291,0,0.0,0.5441184040775258,0,0.0,0.959419166900201
24.0,2,1.0,0.0588235294117647,8.67480130188016,17,1.0,0.0588235294117647,1.0,0.0588235294117647,1,1.0,1.0,5.523057467988598,0.3333333333333333,0.3333333333333333,3,1,1.0,0.0010891501557923,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,3,9.0,0.391304347826087,8.346349628808252,23,9.0,0.391304347826087,8.0,0.3478260869565217,1,9.0,8.0,4.948090876483715,2.25,2.25,4,1,9.0,0.2988451663688112,0,0.0,0.7205931375175709,0,0.0,1.0
40.0,6,29.0,0.9666666666666668,7.874621941545638,30,34.0,1.1333333333333333,25.0,0.8333333333333334,5,26.0,17.0,4.607594364209129,2.6,2.6,10,4,26.0,0.2214778327726402,1,0.0,0.6358842561910673,0,0.0,0.729724504733074
48.0,9,49.0,1.2894736842105263,8.286965002086559,38,68.0,1.7894736842105263,34.0,0.8947368421052632,5,43.0,17.0,7.24757200991034,3.583333333333333,3.583333333333333,12,3,43.0,0.4558756906171985,1,0.0,0.6213644538440272,1,0.0,0.0
56.0,5,18.0,0.45,8.89912797150021,40,106.0,2.65,38.0,0.95,4,26.0,0.0,5.134496138389909,2.6,2.6,10,2,18.0,0.3103454744294421,2,8.0,0.4788425833498639,0,0.0,0.9416661425721804
64.0,9,47.0,1.0217391304347827,9.18966663888924,46,140.0,3.0434782608695654,34.0,0.7391304347826086,6,46.0,20.0,6.381147524706418,3.066666666666667,3.066666666666667,15,6,46.0,0.2201868465679727,0,0.0,0.8143627673244697,0,0.0,0.767662461682636
72.0,14,73.0,1.351851851851852,7.210125966923185,54,213.0,3.9444444444444446,73.0,1.351851851851852,10,63.0,17.0,3.765538742181504,3.5,3.5,18,6,31.0,0.2977839384983343,3,32.0,0.2481502038083097,1,0.0,0.4078843916786772
80.0,10,55.0,0.9821428571428572,8.008197538078154,56,285.0,5.089285714285714,72.0,1.2857142857142858,8,52.0,0.0,4.561448657664567,2.888888888888889,2.888888888888889,18,5,25.0,0.1982662762638092,3,24.0,0.3416969029211285,0,3.0,0.8116038625949198
88.0,8,60.0,1.1111111111111112,7.977894955434836,54,295.0,5.462962962962963,10.0,0.1851851851851851,4,78.0,26.0,5.81337156237267,4.875,4.875,16,2,8.0,0.1096574516337821,2,70.0,0.6226698020776735,0,0.0,0.5693227462991741
96.0,11,117.0,1.8870967741935485,8.192257171227647,62,382.0,6.161290322580645,87.0,1.403225806451613,4,81.0,3.0,6.341058178374685,5.4,5.4,15,1,19.0,0.5236324873317956,3,59.0,0.3221700474258851,0,3.0,0.58731374738101
104.0,10,65.0,1.1206896551724137,8.83892028546892,58,412.0,7.103448275862069,30.0,0.5172413793103449,3,37.0,0.0,7.922869405100388,2.642857142857143,2.642857142857143,14,2,19.0,0.4061495796054417,1,18.0,0.5846611611290166,0,0.0,0.9749831030311632
112.0,15,90.0,1.4516129032258065,7.482874317427912,62,465.0,7.5,53.0,0.8548387096774194,10,136.0,99.0,4.268287357463321,5.913043478260869,5.913043478260869,23,3,63.0,0.372023752821736,7,73.0,0.2153669481240863,0,0.0,0.9072211722632552
120.0,5,55.0,0.873015873015873,8.06433581169145,63,465.0,7.380952380952381,0.0,0.0,0,28.0,0.0,7.780864412262899,1.4,1.4,20,0,4.0,0.4926071340166091,0,24.0,0.6250412774111612,0,0.0,0.6712020925459381
128.0,11,91.0,1.338235294117647,8.538298194884664,68,472.0,6.941176470588236,7.0,0.1029411764705882,3,17.0,0.0,6.454387041872076,1.5454545454545454,1.5454545454545454,11,2,15.0,0.4574623529017099,1,2.0,0.5164145078997504,0,0.0,0.859116161802795
136.0,11,125.0,1.838235294117647,7.818860009470036,68,487.0,7.161764705882353,15.0,0.2205882352941176,3,42.0,25.0,6.082045888718613,3.0,3.0,14,2,35.0,0.2882203371617969,1,4.0,0.5852007715105898,0,3.0,0.5093937624009289
144.0,15,184.0,2.967741935483871,7.374105426314601,62,499.0,8.048387096774194,12.0,0.1935483870967742,2,28.0,0.0,6.88555495604137,2.5454545454545454,2.5454545454545454,11,1,25.0,0.7045732680321518,1,3.0,0.4266150514573421,0,0.0,0.775064556029182
152.0,20,227.0,3.4393939393939394,6.314322780956338,66,538.0,8.151515151515152,39.0,0.5909090909090909,10,86.0,58.0,5.210222279304606,3.583333333333333,3.583333333333333,24,4,51.0,0.3013277501056617,4,30.0,0.4308011257918164,2,5.0,0.414658255537829
160.0,9,201.0,2.830985915492957,8.13509662695866,71,587.0,8.267605633802816,49.0,0.6901408450704225,5,52.0,0.0,5.214479138323922,3.25,3.25,16,5,31.0,0.2031355635552297,0,21.0,0.5262985014759128,0,0.0,0.9561863737223676
168.0,8,120.0,1.7391304347826086,9.137941500833358,69,551.0,7.9855072463768115,0.0,0.0,4,74.0,22.0,6.778693916571945,4.352941176470588,4.352941176470588,17,1,34.0,0.5877472972026521,2,14.0,0.2101795981220441,1,26.0,0.7243330431173717
176.0,9,42.0,0.6363636363636364,8.879436650905465,66,533.0,8.075757575757576,0.0,0.0,4,113.0,39.0,7.0904024855101975,8.071428571428571,8.071428571428571,14,3,100.0,0.2821345825098974,1,13.0,0.6304077175450097,0,0.0,0.929606956694168
184.0,5,35.0,0.5384615384615384,9.300257767801735,65,528.0,8.123076923076923,0.0,0.0,3,110.0,0.0,7.147269438091529,6.470588235294118,6.470588235294118,17,2,98.0,0.3409461241693451,0,9.0,0.8500536898091362,1,3.0,0.4734284952952932
192.0,11,93.0,1.6607142857142858,8.566675177047962,56,558.0,9.964285714285714,30.0,0.5357142857142857,7,243.0,133.0,5.936730707519736,13.5,13.5,18,5,128.0,0.1241013109175662,1,102.0,0.6921356099159596,1,13.0,0.4715835246723254
200.0,6,27.0,0.5294117647058824,7.54290964454527,51,566.0,11.098039215686274,8.0,0.1568627450980392,5,153.0,0.0,3.783759481236044,10.928571428571429,10.928571428571429,14,1,30.0,0.3521929653994076,4,117.0,0.2605750796007068,0,6.0,0.1501372071368505
208.0,5,22.0,0.44,8.100605443150146,50,548.0,10.96,0.0,0.0,4,180.0,27.0,5.319287615648833,12.857142857142858,12.857142857142858,14,4,109.0,0.3005668788377416,0,71.0,0.5496470400111244,0,0.0,0.6543042885812432
216.0,6,31.0,0.6078431372549019,9.34992317708048,51,555.0,10.882352941176473,7.0,0.1372549019607843,3,45.0,0.0,7.006941450490949,3.75,3.75,12,2,18.0,0.3670383794631341,1,26.0,0.6489989655259604,0,1.0,0.8130575186502095
224.0,8,24.0,0.4210526315789473,8.776934475074876,57,453.0,7.947368421052632,0.0,0.0,5,23.0,0.0,6.825372921976348,1.2777777777777777,1.2777777777777777,18,2,9.0,0.5357274107283945,3,10.0,0.4662363606507916,0,4.0,0.8966233064163133
232.0,7,28.0,0.509090909090909,9.022065740993853,55,324.0,5.890909090909091,0.0,0.0,4,25.0,2.0,5.145560615683869,1.7857142857142858,1.7857142857142858,14,3,11.0,0.2097743436681276,1,11.0,0.6783232054439854,0,3.0,0.2347585576190412
240.0,6,57.0,1.0178571428571428,9.60963049907147,56,358.0,6.392857142857143,34.0,0.6071428571428571,3,26.0,1.0,8.19850226074472,2.1666666666666665,2.1666666666666665,12,2,19.0,0.3029354872654792,1,7.0,0.7640184134850129,0,0.0,0.9176303973402729
248.0,10,72.0,1.3584905660377358,7.995633432448907,53,303.0,5.716981132075472,0.0,0.0,6,65.0,39.0,3.8219151638535136,5.0,5.0,13,3,45.0,0.2556761257220004,3,20.0,0.2959753120563442,0,0.0,1.0
256.0,2,5.0,0.1020408163265306,8.759403483310418,49,231.0,4.714285714285714,0.0,0.0,2,14.0,0.0,6.495277577100546,1.0769230769230769,1.0769230769230769,13,2,13.0,0.3263935717108534,0,1.0,0.5694373801617919,0,0.0,0.9529043170418424
264.0,8,37.0,0.7708333333333334,8.738733927092218,48,225.0,4.6875,0.0,0.0,4,34.0,20.0,7.523825730821644,2.4285714285714284,2.4285714285714284,14,1,2.0,0.5141234585103293,3,32.0,0.383661354485986,0,0.0,0.938793005178968
272.0,6,24.0,0.5106382978723404,8.763563634798995,47,207.0,4.404255319148936,0.0,0.0,6,53.0,19.0,5.556468448802306,3.117647058823529,3.117647058823529,17,3,20.0,0.3601530926613304,3,30.0,0.377721951294279,0,3.0,0.6294627834031924
280.0,10,47.0,0.903846153846154,8.061575604484393,52,236.0,4.538461538461538,29.0,0.5576923076923077,5,78.0,25.0,6.759100077708442,3.7142857142857135,3.7142857142857135,21,1,3.0,0.2644597653177398,4,75.0,0.5076701035714467,0,0.0,0.7803511639297915
288.0,10,72.0,1.5,7.00884123482732,48,279.0,5.8125,43.0,0.8958333333333334,10,127.0,49.0,3.599350524361536,6.35,6.35,20,4,17.0,0.2026677337175413,6,98.0,0.2781212693154298,0,12.0,0.6597316624650911
296.0,7,21.0,0.42,8.664475163586959,50,325.0,6.5,46.0,0.92,5,75.0,0.0,5.454285785574401,5.357142857142857,5.357142857142857,14,2,6.0,0.4191443335091309,3,69.0,0.5005020370629866,0,0.0,1.0
304.0,8,62.0,1.2653061224489797,9.66454237152966,49,317.0,6.469387755102041,0.0,0.0,5,67.0,0.0,6.18936013083482,6.090909090909091,6.090909090909091,11,1,31.0,0.607897748832826,4,36.0,0.3548127224830726,0,0.0,1.0
312.0,6,25.0,0.4807692307692308,8.723944508427296,52,350.0,6.730769230769231,33.0,0.6346153846153846,5,33.0,0.0,5.866470481772092,1.65,1.65,20,3,4.0,0.1855654873272208,2,19.0,0.4794711145706428,0,10.0,0.6517499057506266
320.0,5,22.0,0.3928571428571428,8.354490752585672,56,333.0,5.946428571428571,0.0,0.0,3,62.0,29.0,6.792505707869089,2.8181818181818183,2.8181818181818183,22,1,15.0,0.2561724238534505,2,39.0,0.3664218863843764,0,8.0,0.8575168563116843
328.0,5,43.0,0.7678571428571429,8.742701905749264,56,343.0,6.125,10.0,0.1785714285714285,4,57.0,0.0,6.059805069497527,3.8,3.8,15,1,10.0,0.5616222932900562,3,44.0,0.2292599058273517,0,3.0,0.6981425708641333
336.0,7,29.0,0.5471698113207547,8.02317394693851,53,250.0,4.716981132075472,0.0,0.0,5,33.0,0.0,4.694471066422889,2.2,2.2,15,4,25.0,0.0463890422834608,1,5.0,0.1763053026695891,0,3.0,0.7568319805759286
344.0,4,18.0,0.3461538461538461,9.399263838526316,52,244.0,4.6923076923076925,0.0,0.0,2,21.0,0.0,7.606349453473804,1.75,1.75,12,1,18.0,0.266519275372951,1,3.0,0.6685267458955781,0,0.0,0.9287475342876214
352.0,5,16.0,0.3137254901960784,8.982374678399045,51,246.0,4.823529411764706,2.0,0.0392156862745098,2,28.0,7.0,7.69154504407193,2.0,2.0,14,1,13.0,0.5778891574311023,0,9.0,0.7023724210614751,1,6.0,0.4291927306624055
360.0,10,46.0,0.8214285714285714,8.038295886411115,56,254.0,4.535714285714286,8.0,0.1428571428571428,8,73.0,45.0,5.798801316341151,3.4761904761904763,3.4761904761904763,21,5,58.0,0.2388303967424327,2,12.0,0.655047020765199,1,3.0,0.6054987152585476
368.0,9,71.0,1.2033898305084745,8.27321280199264,59,305.0,5.169491525423729,51.0,0.864406779661017,5,80.0,7.0,5.784118536176774,4.2105263157894735,4.2105263157894735,19,2,59.0,0.3842888266360876,3,18.0,0.1000639305800139,0,3.0,0.738823523577819
376.0,7,75.0,1.3392857142857142,8.735847425668279,56,281.0,5.017857142857143,0.0,0.0,3,24.0,0.0,7.279636185231915,1.2,1.2,20,2,12.0,0.420933340543194,1,12.0,0.6405399591054585,0,0.0,0.6911356790096882
384.0,8,33.0,0.5892857142857143,8.235928711121355,56,300.0,5.357142857142857,19.0,0.3392857142857143,3,52.0,28.0,6.0177175084675945,4.333333333333333,4.333333333333333,12,2,40.0,0.2150740478771241,1,12.0,0.6988090366104969,0,0.0,0.6789018379602295
392.0,14,73.0,1.1774193548387095,7.454991834024563,62,315.0,5.080645161290323,15.0,0.2419354838709677,3,11.0,0.0,6.827242522339317,0.8461538461538461,0.8461538461538461,13,1,4.0,0.5329707993840079,2,7.0,0.2478604401206503,0,0.0,0.5707276828028972
400.0,7,53.0,0.828125,8.645967972842637,64,337.0,5.265625,22.0,0.34375,5,53.0,42.0,7.512683955325721,2.9444444444444446,2.9444444444444446,18,1,15.0,0.7188604920801728,3,36.0,0.5577344162322282,1,2.0,0.5014267788191992
408.0,6,64.0,0.9411764705882352,8.87572446778416,68,329.0,4.838235294117647,0.0,0.0,2,44.0,0.0,6.747399045942189,2.75,2.75,16,2,27.0,0.2818977875950811,0,17.0,0.6181961197097664,0,0.0,0.6791883183617249
416.0,6,33.0,0.4925373134328358,9.12457768383343,67,317.0,4.731343283582089,0.0,0.0,2,6.0,0.0,4.789464815198281,0.6,0.6,10,0,0.0,0.3867661578236979,2,3.0,0.208731325131147,0,3.0,0.986399399117194
424.0,15,105.0,1.5671641791044777,8.004280430338902,67,352.0,5.253731343283582,35.0,0.5223880597014925,7,101.0,95.0,6.799119255066353,5.611111111111111,5.611111111111111,18,3,39.0,0.3314082744135682,3,61.0,0.5419313841454215,1,1.0,0.6407917875662035
432.0,11,105.0,1.6153846153846154,7.976147801339161,65,408.0,6.276923076923077,56.0,0.8615384615384616,6,117.0,16.0,5.717026755446633,7.3125,7.3125,16,1,39.0,0.4393033129731843,4,76.0,0.4781149314834826,1,2.0,0.314224413874376
440.0,15,134.0,2.0,7.696543332126136,67,447.0,6.6716417910447765,39.0,0.582089552238806,6,94.0,0.0,6.644194468771037,5.222222222222222,5.222222222222222,18,2,5.0,0.466874451224366,4,83.0,0.4757988269338095,0,6.0,0.9677196698362251
448.0,16,134.0,2.126984126984127,6.374105889041477,63,456.0,7.238095238095238,9.0,0.1428571428571428,6,58.0,0.0,4.40944605593282,3.411764705882353,3.411764705882353,17,3,13.0,0.1956118119364331,3,45.0,0.4018565766327667,0,0.0,0.5768574854671682
456.0,12,110.0,1.9642857142857144,7.018410336418328,56,452.0,8.071428571428571,0.0,0.0,10,159.0,101.0,5.040429342371228,7.227272727272727,7.227272727272727,22,2,18.0,0.2626584751358004,7,141.0,0.3451297933370822,1,0.0,0.6967350229458689
464.0,3,34.0,0.5964912280701754,8.194561811156587,57,482.0,8.456140350877194,30.0,0.5263157894736842,2,106.0,0.0,6.1852323655992505,5.578947368421052,5.578947368421052,19,1,33.0,0.5600090534025269,1,73.0,0.3083879054605506,0,0.0,0.9715010004633036
472.0,12,78.0,1.368421052631579,9.108640701912174,57,514.0,9.017543859649123,32.0,0.5614035087719298,8,68.0,0.0,3.461451530151819,5.230769230769231,5.230769230769231,13,4,35.0,0.183624849925377,4,33.0,0.1924684827881759,0,0.0,0.9405665005401266
480.0,9,111.0,1.88135593220339,8.881158927457546,59,545.0,9.23728813559322,31.0,0.5254237288135594,5,69.0,1.0,6.511515603700354,4.928571428571429,4.928571428571429,14,3,38.0,0.4574338039923895,1,23.0,0.6372874908922661,1,8.0,0.3790726008786749
488.0,7,86.0,1.4333333333333331,8.858945288984945,60,457.0,7.616666666666666,0.0,0.0,4,31.0,0.0,7.243840535942176,2.3846153846153846,2.3846153846153846,13,3,22.0,0.2396038153170332,1,9.0,0.6843325060182439,0,0.0,0.7081537582215585
496.0,11,143.0,2.6481481481481484,8.030361460505876,54,357.0,6.611111111111111,0.0,0.0,8,66.0,35.0,5.481201776352408,3.3,3.3,20,3,37.0,0.4020831485574465,3,24.0,0.3857138447777473,2,5.0,0.4968263481706433
504.0,3,12.0,0.2264150943396226,8.79102145910775,53,309.0,5.830188679245283,0.0,0.0,3,75.0,9.0,6.658024122668718,5.357142857142857,5.357142857142857,14,2,70.0,0.4684803170565198,1,5.0,0.4041489764661969,0,0.0,0.9420698454242308
512.0,1,11.0,0.2340425531914893,10.836173879523898,47,279.0,5.9361702127659575,0.0,0.0,1,96.0,21.0,8.489386229021132,9.6,9.6,10,0,60.0,0.6287361001406028,1,36.0,0.478358472572278,0,0.0,0.9529357956689112
520.0,5,36.0,0.7659574468085106,9.743688905776434,47,290.0,6.170212765957447,11.0,0.2340425531914893,5,109.0,13.0,6.576350647195899,8.384615384615385,8.384615384615385,13,3,76.0,0.1645507896339705,1,32.0,0.7516300410916842,1,1.0,0.0050097965731305
528.0,8,43.0,0.9347826086956522,9.059980082905252,46,282.0,6.130434782608695,0.0,0.0,7,70.0,0.0,6.020066412883551,3.5,3.5,20,0,9.0,0.5643062393009747,6,58.0,0.2983906115928844,1,3.0,0.6764038844742454
536.0,5,50.0,1.020408163265306,8.80285798666591,49,264.0,5.387755102040816,0.0,0.0,5,62.0,0.0,6.261139436320607,3.647058823529412,3.647058823529412,17,4,21.0,0.2499569063029341,1,41.0,0.4979031981671206,0,0.0,0.8164271314789824
544.0,4,69.0,1.3269230769230769,8.71296312885819,52,236.0,4.538461538461538,0.0,0.0,4,77.0,15.0,4.556808555283014,5.5,5.5,14,2,26.0,0.221285423302577,2,51.0,0.4898243237161311,0,0.0,0.2350202035953189
552.0,11,94.0,1.649122807017544,7.833557176072028,57,267.0,4.684210526315789,31.0,0.543859649122807,5,100.0,23.0,6.061801983579053,6.666666666666667,6.666666666666667,15,2,18.0,0.4097618600856099,3,79.0,0.2405505658704609,0,3.0,0.9511500107302804
560.0,5,23.0,0.4339622641509434,8.062500074463472,53,244.0,4.60377358490566,0.0,0.0,1,21.0,0.0,6.5816448808030925,1.75,1.75,12,0,7.0,0.3012597599205683,1,14.0,0.6069548260521078,0,0.0,0.9725797140032502
568.0,7,31.0,0.543859649122807,7.948049333610851,57,236.0,4.140350877192983,0.0,0.0,6,54.0,33.0,4.405794013693505,3.0,3.0,18,2,29.0,0.3825605693068057,4,25.0,0.3181264306671421,0,0.0,0.5943557288917785
576.0,13,94.0,1.649122807017544,6.9542164714593975,57,275.0,4.824561403508772,39.0,0.6842105263157895,7,93.0,39.0,4.3151111770272434,4.65,4.65,20,3,43.0,0.2189845466002988,4,50.0,0.3176041328783378,0,0.0,0.9518589756399296
584.0,18,139.0,2.6226415094339623,6.4370584512760205,53,343.0,6.471698113207547,68.0,1.2830188679245282,14,139.0,46.0,3.018536433535849,6.619047619047619,6.619047619047619,21,5,28.0,0.2096944129365308,9,111.0,0.2200654899254219,0,0.0,1.0
592.0,7,34.0,0.5964912280701754,7.871922278397466,57,391.0,6.859649122807017,48.0,0.8421052631578947,6,125.0,0.0,5.192282490615677,5.681818181818182,5.681818181818182,22,4,70.0,0.3676281074582699,2,55.0,0.3166976893967198,0,0.0,0.8423559038579362
600.0,14,91.0,1.421875,8.135859833865341,64,440.0,6.875,49.0,0.765625,9,112.0,0.0,4.881392908274905,5.894736842105263,5.894736842105263,19,6,64.0,0.1589280322184897,3,48.0,0.4288295303343038,0,0.0,0.8528222869939363
608.0,19,131.0,1.7945205479452055,7.878958704873737,73,504.0,6.904109589041096,64.0,0.8767123287671232,8,118.0,6.0,6.166771182276079,6.555555555555555,6.555555555555555,18,5,77.0,0.3464480426781444,3,38.0,0.4453339437144343,0,3.0,0.9250295288187924
616.0,16,134.0,1.8108108108108107,7.954335505409126,74,574.0,7.756756756756757,70.0,0.945945945945946,9,120.0,2.0,5.446836589438772,5.454545454545454,5.454545454545454,22,2,39.0,0.4376762527562746,7,81.0,0.266918370930864,0,0.0,0.9346215751460386
624.0,5,28.0,0.3888888888888889,9.008696405026974,72,599.0,8.319444444444445,25.0,0.3472222222222222,5,147.0,27.0,6.167571280420304,6.391304347826087,6.391304347826087,23,3,38.0,0.2910000122725942,2,98.0,0.5113589184206981,0,11.0,0.937039672553305
632.0,6,44.0,0.6875,9.117991226653878,64,521.0,8.140625,0.0,0.0,4,101.0,0.0,6.188676927931558,6.733333333333333,6.733333333333333,15,2,34.0,0.4138595769768113,2,67.0,0.5827485301201895,0,0.0,1.0
640.0,9,37.0,0.5967741935483871,6.95452930188006,62,491.0,7.919354838709677,0.0,0.0,4,73.0,0.0,2.600688666106501,5.214285714285714,5.214285714285714,14,1,34.0,0.2519966326128169,3,39.0,0.0574102908396457,0,0.0,0.5553041415140034
648.0,15,102.0,1.59375,7.250109761631501,64,553.0,8.640625,62.0,0.96875,8,121.0,48.0,6.094540843195641,5.761904761904762,5.761904761904762,21,3,45.0,0.3353172518318512,5,76.0,0.2845430266925209,0,0.0,0.9626301339364908
656.0,16,151.0,2.3230769230769237,6.818668480241858,65,627.0,9.646153846153846,74.0,1.1384615384615384,7,102.0,0.0,5.5831425718674845,4.636363636363637,4.636363636363637,22,3,57.0,0.3539313365793784,2,36.0,0.4432819189198149,2,9.0,0.428422367320347
664.0,14,97.0,1.4696969696969695,7.394996313546582,66,639.0,9.681818181818182,12.0,0.1818181818181818,10,100.0,0.0,1.468475002628968,7.6923076923076925,7.6923076923076925,13,6,64.0,0.0954890464700166,4,36.0,0.1283469152141046,0,0.0,1.0
