step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,8.161456665934871,11,0.0,0.0,0.0,0.0,0,0.0,0.0,8.047971135094402,0.0,0.0,4,0,0.0,0.897173809132291,0,0.0,0.5441184040775258,0,0.0,0.959419166900201
24.0,1,0.0,0.0,9.154700793538105,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.276747613139792,0.0,0.0,2,0,0.0,1.0,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,2,0.0,0.0,8.986573553523124,23,0.0,0.0,0.0,0.0,0,0.0,0.0,6.597454501978286,0.0,0.0,3,0,0.0,0.4482677495532168,0,0.0,0.7205931375175709,0,0.0,1.0
40.0,6,17.0,0.5666666666666667,7.640951410857651,30,18.0,0.6,18.0,0.6,4,9.0,9.0,4.207912520699493,0.9,0.9,10,3,9.0,0.1862076423524043,1,0.0,0.482563293946022,0,0.0,0.729724504733074
48.0,7,14.0,0.3684210526315789,7.968552570188353,38,43.0,1.131578947368421,25.0,0.6578947368421053,6,20.0,11.0,6.578880952693609,1.25,1.25,16,2,8.0,0.5252301614263899,3,12.0,0.4387292907422078,1,0.0,0.0
56.0,6,18.0,0.4285714285714285,8.57288800250125,42,76.0,1.809523809523809,33.0,0.7857142857142857,5,20.0,0.0,4.774868272932716,2.0,2.0,10,3,7.0,0.2408623227212653,2,13.0,0.4594490831861716,0,0.0,0.9416661425721804
64.0,6,43.0,0.86,10.036146025555889,50,121.0,2.42,45.0,0.9,3,34.0,14.0,7.750508418781766,3.4,3.4,10,2,23.0,0.4343929219803289,1,11.0,0.7198786542937737,0,0.0,0.7749987343661668
72.0,8,43.0,0.8113207547169812,8.902501058565544,53,138.0,2.60377358490566,17.0,0.320754716981132,4,30.0,0.0,6.594743352046375,2.3076923076923075,2.3076923076923075,13,0,0.0,0.5534273187222484,3,30.0,0.4819335560435264,1,0.0,0.5821990250119297
80.0,8,55.0,1.0377358490566038,8.160061964109785,53,159.0,3.0,21.0,0.3962264150943396,3,32.0,2.0,6.164451335091414,1.8823529411764703,1.8823529411764703,17,2,14.0,0.4434801502074146,1,15.0,0.3270020572955791,0,3.0,0.8160145248571327
88.0,5,24.0,0.4210526315789473,9.401210674632544,57,207.0,3.631578947368421,48.0,0.8421052631578947,1,11.0,0.0,9.45914943806044,0.9166666666666666,0.9166666666666666,12,1,1.0,0.0967637626675053,0,3.0,0.8972028121244621,0,7.0,0.6843939640886054
96.0,6,53.0,0.9298245614035088,9.17136832373546,57,226.0,3.9649122807017534,19.0,0.3333333333333333,1,34.0,23.0,7.4514021612109795,2.833333333333333,2.833333333333333,12,0,0.0,0.6261511028824277,1,34.0,0.5500112957893781,0,0.0,0.4770024184827002
104.0,7,46.0,0.8679245283018868,9.221508466775276,53,227.0,4.283018867924528,1.0,0.0188679245283018,3,36.0,2.0,7.360593029265802,2.4,2.4,15,2,33.0,0.4793555502256857,1,3.0,0.494033308652082,0,0.0,0.941667836552591
112.0,7,32.0,0.5517241379310345,8.963919147135403,58,248.0,4.275862068965517,21.0,0.3620689655172414,3,93.0,57.0,7.569342267067726,5.8125,5.8125,16,2,39.0,0.3610078521820802,1,54.0,0.6539016516296544,0,0.0,0.9377090077213612
120.0,5,29.0,0.5087719298245614,9.15644413942579,57,264.0,4.631578947368421,16.0,0.2807017543859649,1,19.0,0.0,7.591569632508333,1.2666666666666666,1.2666666666666666,15,0,11.0,0.5513680569661726,1,8.0,0.5911479186906571,0,0.0,0.5298503547638677
128.0,6,23.0,0.3833333333333333,8.505952717404922,60,296.0,4.933333333333334,32.0,0.5333333333333333,2,45.0,26.0,6.129834268258047,3.2142857142857144,3.2142857142857144,14,2,21.0,0.2969965748713883,0,24.0,0.5632185753631539,0,0.0,0.6460383722830035
136.0,10,65.0,0.9558823529411764,8.50128865476991,68,335.0,4.926470588235294,39.0,0.5735294117647058,5,67.0,22.0,6.695242476807849,3.0454545454545454,3.0454545454545454,22,3,28.0,0.4877565692361103,2,36.0,0.4491250476232925,0,3.0,0.6359345111084034
144.0,9,29.0,0.5087719298245614,8.41183619644666,57,310.0,5.43859649122807,0.0,0.0,5,23.0,0.0,4.8181420386903,1.5333333333333334,1.5333333333333334,15,2,6.0,0.3549301073997502,2,10.0,0.4357877545401111,1,7.0,0.2867850707880264
152.0,12,56.0,0.9032258064516128,7.721020791972404,62,337.0,5.435483870967742,27.0,0.4354838709677419,4,31.0,8.0,5.9128935120488935,1.631578947368421,1.631578947368421,19,1,9.0,0.2813504097527931,2,22.0,0.5262376425704489,1,0.0,0.524256156487046
160.0,12,104.0,1.6,8.32556401864815,65,367.0,5.646153846153847,30.0,0.4615384615384615,6,47.0,16.0,5.37201726366594,2.9375,2.9375,16,5,26.0,0.1645937407912351,1,21.0,0.5608340314260558,0,0.0,0.9052417766287356
168.0,10,104.0,1.6774193548387095,7.931598315933646,62,360.0,5.806451612903226,0.0,0.0,4,29.0,0.0,5.585597507327557,1.9333333333333331,1.9333333333333331,15,0,13.0,0.6582385299462268,3,16.0,0.2129564745864684,1,0.0,0.6303578419837148
176.0,6,120.0,1.9672131147540983,8.09424023078497,61,402.0,6.590163934426229,42.0,0.6885245901639344,1,52.0,23.0,7.54542614697259,4.0,4.0,13,0,46.0,0.3855566424628683,1,3.0,0.5908497652554744,0,3.0,0.9149441567798906
184.0,5,33.0,0.55,9.171738307381776,60,438.0,7.3,36.0,0.6,3,78.0,26.0,7.062943258496934,5.2,5.2,15,2,55.0,0.3107046940307981,1,18.0,0.7334753892159112,0,5.0,0.7559791008945426
192.0,7,62.0,1.1272727272727272,8.637839966936456,55,436.0,7.927272727272728,0.0,0.0,4,108.0,30.0,6.0424970698709375,9.0,9.0,12,2,35.0,0.3678638242049684,2,71.0,0.4943640057621656,0,2.0,0.539977159488475
200.0,6,19.0,0.4042553191489361,7.264561256909787,47,373.0,7.936170212765957,0.0,0.0,3,136.0,28.0,5.040170952204865,9.714285714285714,9.714285714285714,14,0,61.0,0.5047856667067114,3,75.0,0.2913270619197143,0,0.0,1.0
208.0,6,21.0,0.4468085106382978,7.7644607715996194,47,396.0,8.425531914893616,23.0,0.4893617021276595,3,27.0,0.0,3.7404007853602415,2.25,2.25,12,2,8.0,0.248838000493118,1,19.0,0.273464313303139,0,0.0,0.6543042885812432
216.0,6,37.0,0.74,8.601324593839179,50,419.0,8.38,23.0,0.46,3,90.0,63.0,6.815898733141337,6.923076923076923,6.923076923076923,13,1,36.0,0.5896405701396679,2,51.0,0.2923752539569,0,3.0,0.8026650088423191
224.0,14,77.0,1.375,7.855335577026194,56,345.0,6.160714285714286,0.0,0.0,9,51.0,0.0,3.9474958340540502,3.0,3.0,17,5,21.0,0.1530037590650476,4,28.0,0.3313105418190477,0,2.0,0.9416132255738154
232.0,7,54.0,0.9818181818181818,7.716408631973693,55,361.0,6.563636363636364,16.0,0.2909090909090909,4,101.0,50.0,6.111883479247018,6.3125,6.3125,16,1,10.0,0.3122492054179602,3,91.0,0.6146056552320958,0,0.0,0.3951702573458189
240.0,8,49.0,0.9074074074074074,8.341276716979829,54,378.0,7.0,17.0,0.3148148148148148,5,85.0,0.0,6.216855509747659,5.3125,5.3125,16,2,33.0,0.4893929387718111,3,52.0,0.3900297818092108,0,0.0,0.9895108136280838
248.0,11,73.0,1.280701754385965,8.429339533217801,57,429.0,7.526315789473684,51.0,0.8947368421052632,4,60.0,0.0,5.807156698563264,5.0,5.0,12,0,2.0,0.6068909210297226,4,58.0,0.3629597492567427,0,0.0,1.0
256.0,12,126.0,2.52,8.124410570385225,50,399.0,7.98,0.0,0.0,5,65.0,5.0,3.656698496535124,5.909090909090909,5.909090909090909,11,2,11.0,0.0277013757868618,3,54.0,0.4078137091343334,0,0.0,1.0
264.0,6,63.0,1.3125,7.767649211087554,48,428.0,8.916666666666666,29.0,0.6041666666666666,3,78.0,13.0,6.411759130623004,6.5,6.5,12,1,6.0,0.5509609490957745,2,69.0,0.3788863334617571,0,3.0,0.9264277870313696
272.0,7,24.0,0.4528301886792453,8.567605204103511,53,466.0,8.79245283018868,38.0,0.7169811320754716,3,60.0,0.0,6.813944920090156,3.0,3.0,20,2,21.0,0.5414329729306802,1,29.0,0.4291209243325701,0,10.0,0.6716358819170392
280.0,11,53.0,0.9298245614035088,8.282332499395938,57,436.0,7.649122807017544,0.0,0.0,5,35.0,0.0,7.19469935950585,1.75,1.75,20,2,6.0,0.5387314940135411,0,0.0,0.7014895871684795,3,29.0,0.5120140631240727
288.0,7,33.0,0.559322033898305,8.841890239768583,59,465.0,7.88135593220339,29.0,0.4915254237288136,4,40.0,5.0,5.347435211453647,3.076923076923077,3.076923076923077,13,2,12.0,0.2428794527149307,2,17.0,0.6683142764664628,0,11.0,0.2079135545001892
296.0,4,12.0,0.2105263157894736,9.083063054398568,57,383.0,6.719298245614035,0.0,0.0,3,107.0,67.0,7.2599707919832515,8.23076923076923,8.23076923076923,13,1,0.0,0.5213387507850045,1,73.0,0.635382474326767,1,34.0,0.6759369602818103
304.0,3,3.0,0.0555555555555555,9.98720567687252,54,305.0,5.648148148148148,0.0,0.0,1,50.0,0.0,9.210646454516052,3.8461538461538463,3.8461538461538463,13,0,23.0,0.8133599480514555,0,0.0,0.7479747153263142,1,27.0,0.3470133033481954
312.0,5,12.0,0.2307692307692307,8.795999318741965,52,264.0,5.076923076923077,0.0,0.0,5,62.0,12.0,4.8496498807841215,2.952380952380953,2.952380952380953,21,2,25.0,0.2521000156298901,3,30.0,0.2824742061334859,0,7.0,0.6439030480747245
320.0,4,18.0,0.3157894736842105,7.872476414385654,57,280.0,4.912280701754386,16.0,0.2807017543859649,2,33.0,0.0,6.255122920157987,1.5,1.5,22,2,10.0,0.1685616400199669,0,15.0,0.3479854300075582,0,8.0,0.7791250963119015
328.0,3,12.0,0.2181818181818181,9.456497197999822,55,260.0,4.727272727272728,0.0,0.0,2,8.0,0.0,8.174125986296703,0.7272727272727273,0.7272727272727273,11,1,2.0,0.702272608085734,1,6.0,0.6012050527188282,0,0.0,0.7330897092625915
336.0,7,29.0,0.5370370370370371,9.157957991765295,54,242.0,4.481481481481482,0.0,0.0,4,45.0,37.0,7.732212156110306,3.2142857142857144,3.2142857142857144,14,2,17.0,0.4884168067997361,2,22.0,0.4726244690546419,0,6.0,0.912345479632747
344.0,4,32.0,0.6530612244897959,9.123399988526714,49,176.0,3.591836734693877,0.0,0.0,3,46.0,1.0,7.652719391026115,2.875,2.875,16,1,24.0,0.4264367008883984,2,22.0,0.5879870371367113,0,0.0,0.9448592872968268
352.0,4,35.0,0.7,8.694309739312578,50,194.0,3.88,18.0,0.36,2,47.0,1.0,6.128816719858164,3.615384615384616,3.615384615384616,13,0,12.0,0.4496562520891022,1,33.0,0.6010250716905124,1,2.0,0.2023245265081264
360.0,9,32.0,0.5818181818181818,8.324104381644542,55,217.0,3.945454545454545,23.0,0.4181818181818181,7,24.0,0.0,5.573426610195259,1.3333333333333333,1.3333333333333333,18,3,12.0,0.0921908310613371,3,12.0,0.49110033095523,1,0.0,0.6895152690597584
368.0,6,29.0,0.5370370370370371,9.25613134708477,54,224.0,4.148148148148148,7.0,0.1296296296296296,3,41.0,17.0,6.922344302735584,2.7333333333333334,2.7333333333333334,15,1,16.0,0.6536688088884373,2,25.0,0.4045778174853588,0,0.0,0.615943132557603
376.0,8,29.0,0.5686274509803921,8.031341705874357,51,207.0,4.0588235294117645,0.0,0.0,6,48.0,7.0,3.4405331583510854,3.0,3.0,16,2,29.0,0.0074029641815409,4,19.0,0.1769297979384863,0,0.0,0.6720033655097785
384.0,3,17.0,0.3148148148148148,9.10696782246361,54,212.0,3.925925925925926,5.0,0.0925925925925925,1,24.0,0.0,8.95490975089337,1.7142857142857142,1.7142857142857142,14,1,10.0,0.3541633330445186,0,11.0,0.9372431284402168,0,3.0,0.7922317494023339
392.0,9,55.0,0.9649122807017544,9.166447683624758,57,234.0,4.105263157894737,22.0,0.3859649122807017,4,36.0,12.0,6.908804073160852,2.4,2.4,15,2,19.0,0.5482445489884384,2,17.0,0.3597081042781329,0,0.0,0.5338940991508153
400.0,4,60.0,0.9836065573770492,9.14795471942877,61,254.0,4.163934426229508,20.0,0.3278688524590163,1,16.0,0.0,8.465385286457595,1.1428571428571428,1.1428571428571428,14,0,6.0,0.7318383761353684,1,8.0,0.6603656669497836,0,2.0,0.5564304944657866
408.0,4,16.0,0.2424242424242424,9.546522234717978,66,253.0,3.8333333333333335,0.0,0.0,1,14.0,0.0,8.325501029584226,1.1666666666666667,1.1666666666666667,12,1,11.0,0.376196861398571,0,3.0,0.8745298216807914,0,0.0,0.8396139882033694
416.0,9,41.0,0.6029411764705882,8.565212499762449,68,292.0,4.294117647058823,39.0,0.5735294117647058,5,63.0,49.0,6.297210418570617,3.5,3.5,18,2,45.0,0.4900562306131594,2,14.0,0.4384242820878193,1,4.0,0.6613111259957706
424.0,12,36.0,0.5625,7.095670951736963,64,304.0,4.75,12.0,0.1875,7,121.0,58.0,5.520277103218139,5.761904761904762,5.761904761904762,21,4,58.0,0.2869911246449243,3,60.0,0.3917023514908506,0,3.0,0.6528946840326258
432.0,11,54.0,0.8852459016393442,7.716147321189975,61,343.0,5.622950819672131,39.0,0.639344262295082,4,29.0,0.0,5.526055863000215,2.071428571428572,2.071428571428572,14,2,9.0,0.4547729362053846,2,20.0,0.4111820994992139,0,0.0,0.4655760899351603
440.0,9,50.0,0.7692307692307693,8.392837274834548,65,358.0,5.507692307692308,15.0,0.2307692307692307,5,27.0,0.0,5.516802455677563,1.8,1.8,15,4,17.0,0.2703356039631573,1,10.0,0.7106968189177684,0,0.0,1.0
448.0,14,103.0,1.7166666666666666,7.985098740003104,60,363.0,6.05,5.0,0.0833333333333333,4,67.0,40.0,7.015681815270676,4.466666666666667,4.466666666666667,15,2,15.0,0.3688460460189575,2,49.0,0.6547162693210636,0,3.0,0.5841296797622897
456.0,7,63.0,1.0862068965517242,6.979921204812447,58,383.0,6.603448275862069,20.0,0.3448275862068966,4,65.0,0.0,5.188008957983639,4.0625,4.0625,16,1,23.0,0.4088551865286546,2,42.0,0.3456565757110696,1,0.0,0.6314977437854886
464.0,3,26.0,0.4814814814814814,9.070185389972794,54,330.0,6.111111111111111,0.0,0.0,1,15.0,0.0,8.243504208143188,1.1538461538461535,1.1538461538461535,13,0,0.0,0.6972902359754283,1,15.0,0.3986469361822608,0,0.0,0.906388371637529
472.0,6,50.0,0.8928571428571429,9.491590829872974,56,346.0,6.178571428571429,16.0,0.2857142857142857,3,23.0,8.0,6.27783341955864,2.875,2.875,8,1,3.0,0.314441682663396,2,20.0,0.4561999604496812,0,0.0,0.9726060764211868
480.0,6,80.0,1.509433962264151,9.562627776370604,53,294.0,5.547169811320755,0.0,0.0,1,55.0,32.0,10.06779906715776,5.5,5.5,10,0,28.0,0.8687734673268016,1,21.0,0.640897130265049,0,6.0,0.6817128944508486
488.0,8,76.0,1.3818181818181818,8.839528792133628,55,284.0,5.163636363636364,0.0,0.0,3,18.0,0.0,8.834466047401516,1.2857142857142858,1.2857142857142858,14,2,5.0,0.4931525750089253,1,6.0,0.7552588872805693,0,7.0,0.7153346609580707
496.0,5,43.0,0.7818181818181819,9.008153032182028,55,277.0,5.036363636363636,0.0,0.0,3,20.0,2.0,8.053311440503458,1.1764705882352942,1.1764705882352942,17,1,1.0,0.452188171119436,2,19.0,0.6106823168099116,0,0.0,0.9197495810643532
504.0,2,4.0,0.0769230769230769,9.568933001169318,52,226.0,4.346153846153846,0.0,0.0,1,57.0,37.0,7.611724056024821,5.181818181818182,5.181818181818182,11,0,51.0,0.7269549395256499,1,6.0,0.468854121272942,0,0.0,0.936512010161842
512.0,3,16.0,0.3478260869565217,9.855158734180266,46,179.0,3.891304347826087,0.0,0.0,3,40.0,0.0,6.920036140969152,4.444444444444445,4.444444444444445,9,2,6.0,0.3773233762031925,1,34.0,0.4645924580112413,0,0.0,0.9256697235279194
520.0,2,5.0,0.1162790697674418,9.74298813976642,43,175.0,4.069767441860465,0.0,0.0,2,8.0,0.0,7.538095665808551,0.6666666666666666,0.6666666666666666,12,0,0.0,0.5158841746619763,1,6.0,0.6395364121013448,1,2.0,0.0004552382293792
528.0,3,6.0,0.1428571428571428,9.213277301964476,42,97.0,2.3095238095238093,0.0,0.0,2,21.0,13.0,7.653695423558184,1.3125,1.3125,16,1,4.0,0.6146291781131572,0,16.0,0.4718370153455584,1,1.0,0.7044753631255549
536.0,6,41.0,0.8367346938775511,9.675072516086626,49,125.0,2.5510204081632653,28.0,0.5714285714285714,4,24.0,3.0,6.667229090194118,1.7142857142857142,1.7142857142857142,14,2,16.0,0.3356344017016258,2,8.0,0.4323103581118457,0,0.0,0.8779936774309585
544.0,2,6.0,0.1276595744680851,8.276859956075183,47,138.0,2.936170212765957,13.0,0.2765957446808511,2,19.0,0.0,6.412758391391529,1.3571428571428572,1.3571428571428572,14,0,3.0,0.4462870708857667,2,13.0,0.3628359648766691,0,3.0,0.6158840268633
552.0,5,12.0,0.2222222222222222,8.52942108154394,54,154.0,2.851851851851852,16.0,0.2962962962962963,2,33.0,14.0,7.28579718345951,2.357142857142857,2.357142857142857,14,1,4.0,0.3618543994981313,1,29.0,0.5769260653772936,0,0.0,0.9434943030349736
560.0,6,48.0,0.96,8.622138818165324,50,176.0,3.52,22.0,0.44,2,17.0,0.0,5.086253321870401,1.8888888888888888,1.8888888888888888,9,1,8.0,0.2761262457878296,1,9.0,0.5411256444814756,0,0.0,1.0
568.0,5,11.0,0.2075471698113207,8.729358477333824,53,163.0,3.0754716981132075,0.0,0.0,3,9.0,0.0,6.125361818793686,0.6923076923076923,0.6923076923076923,13,0,3.0,0.6353730328721818,2,4.0,0.3595965234910133,1,2.0,0.6291902789077438
576.0,5,15.0,0.2727272727272727,8.533228402100656,55,149.0,2.709090909090909,0.0,0.0,5,40.0,31.0,6.804112209429891,2.1052631578947367,2.1052631578947367,19,3,8.0,0.4405951391817568,2,32.0,0.5553399808214977,0,0.0,0.9503416393026876
584.0,6,16.0,0.3137254901960784,8.355092806531731,51,155.0,3.0392156862745097,6.0,0.1176470588235294,4,37.0,0.0,5.031880064947956,2.8461538461538463,2.8461538461538463,13,1,21.0,0.3754668842086853,2,14.0,0.3686146452654611,1,2.0,0.0011708343894081
592.0,11,56.0,0.9824561403508772,8.758217206291848,57,193.0,3.3859649122807016,38.0,0.6666666666666666,8,51.0,14.0,5.523497691690872,3.0,3.0,17,4,21.0,0.369013705493914,4,30.0,0.3540499193996641,0,0.0,0.8021885654060199
600.0,8,20.0,0.3174603174603174,8.497824358865332,63,223.0,3.5396825396825395,30.0,0.4761904761904761,4,34.0,0.0,6.562629337073899,2.2666666666666666,2.2666666666666666,15,3,19.0,0.278593388811062,1,13.0,0.4548993214343823,0,2.0,0.9764299534119372
608.0,11,64.0,0.927536231884058,9.037562178663231,69,273.0,3.9565217391304346,50.0,0.7246376811594203,4,58.0,24.0,7.754759251038409,3.625,3.625,16,4,41.0,0.4038548156477632,0,17.0,0.7780156261428047,0,0.0,0.8873605965055743
616.0,6,59.0,0.8805970149253731,10.140258822893962,67,283.0,4.223880597014926,10.0,0.1492537313432835,1,27.0,0.0,9.610957497673072,2.7,2.7,10,1,7.0,0.3499719595961013,0,11.0,0.8786211585985169,0,9.0,0.9054854078338416
624.0,6,32.0,0.5423728813559322,9.00851672962811,59,275.0,4.661016949152542,0.0,0.0,4,36.0,9.0,7.881927647779407,2.4,2.4,15,1,13.0,0.6696219433708828,3,23.0,0.5396373523470853,0,0.0,0.9944567190815592
632.0,6,35.0,0.6363636363636364,8.98792943781519,55,268.0,4.872727272727273,0.0,0.0,3,87.0,51.0,7.971230158731042,4.833333333333333,4.833333333333333,18,3,25.0,0.3505837309061116,0,45.0,0.6667569969061055,0,17.0,0.9156406853205592
640.0,7,18.0,0.3214285714285714,8.375497444241732,56,276.0,4.928571428571429,8.0,0.1428571428571428,3,27.0,0.0,5.958161283800667,2.4545454545454546,2.4545454545454546,11,0,19.0,0.606765374431316,3,8.0,0.2352158862821349,0,0.0,0.5179013415177994
648.0,11,55.0,0.9482758620689656,7.908484173760663,58,298.0,5.137931034482759,22.0,0.3793103448275862,4,41.0,14.0,7.170582548175424,4.555555555555555,4.555555555555555,9,2,17.0,0.3253752721678851,2,24.0,0.3309346112672713,0,0.0,0.9397873565895836
656.0,8,74.0,1.2333333333333334,8.613372288577478,60,343.0,5.716666666666667,45.0,0.75,2,52.0,11.0,8.409890040978494,4.0,4.0,13,1,45.0,0.5374383970506909,0,5.0,0.8437991057555759,1,2.0,0.478713682710276
664.0,13,45.0,0.8035714285714286,6.951756596266113,56,337.0,6.017857142857143,0.0,0.0,9,110.0,58.0,3.638849661381632,6.111111111111111,6.111111111111111,18,4,94.0,0.2699150659290882,4,14.0,0.2522353589692742,1,2.0,0.4560944680129193
