step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1.0,1.0,0.1428571428571428,6.935427637650408,7.0,1.0,0.1428571428571428,1.0,0.1428571428571428,0.0,0.0,0.0,9.58373626219538,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9747362870124042,0.0,0.0,0.5613217849164936,0.0,0.0,0.9730829268395702,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,1.0,3.0,0.2142857142857142,8.394132728675547,14.0,4.0,0.2857142857142857,3.0,0.2142857142857142,1.0,4.0,4.0,8.868949899445472,0.4,0.4,10.0,0.0,0.0,0.7561700835978863,0.0,0.0,0.8062056269030679,0.0,0.0,0.6975508425041043,1.0,4.0,0.333659754375158,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,0.0,0.0,0.0,8.396226160451846,20.0,11.0,0.55,7.0,0.35,0.0,2.0,0.0,8.399892230191735,0.1333333333333333,0.1333333333333333,15.0,0.0,0.0,0.5829723183660007,0.0,0.0,0.5666594439076266,0.0,0.0,0.7262880127585689,0.0,2.0,0.2525436441693368,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,1.0,3.0,0.12,8.697378591832825,25.0,15.0,0.6,4.0,0.16,1.0,3.0,1.0,8.97809627333315,0.1875,0.1875,16.0,1.0,3.0,0.5168933032876568,0.0,0.0,0.5559529433403697,0.0,0.0,0.7652455609923097,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8976478809477064,0.0,0.0,1.0
40.0,5.0,18.0,0.5142857142857142,8.681285492551268,35.0,30.0,0.8571428571428571,15.0,0.4285714285714285,5.0,18.0,15.0,8.012771934810287,0.782608695652174,0.782608695652174,23.0,2.0,12.0,0.5664289901484796,2.0,4.0,0.6340073402553728,0.0,0.0,0.8045276477749951,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0001201337203244,0.0,0.0,1.0
48.0,2.0,3.0,0.0769230769230769,9.040744051411917,39.0,39.0,1.0,9.0,0.2307692307692307,2.0,6.0,0.0,7.785410804868357,0.3157894736842105,0.3157894736842105,19.0,0.0,0.0,0.6072484984615104,2.0,6.0,0.6219719063963561,0.0,0.0,0.751320615750869,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,3.0,8.0,0.1904761904761904,8.558775651389514,42.0,50.0,1.1904761904761905,11.0,0.2619047619047619,2.0,18.0,12.0,7.84606668358483,0.75,0.75,24.0,0.0,4.0,0.6376662709447636,2.0,11.0,0.5321202293210507,0.0,3.0,0.9120669173298744,0.0,0.0,0.9314968355009487,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64.0,3.0,8.0,0.1818181818181818,8.368011211811032,44.0,62.0,1.4090909090909092,12.0,0.2727272727272727,3.0,28.0,10.0,7.879197918608465,1.0769230769230769,1.0769230769230769,26.0,0.0,4.0,0.7827690713738641,3.0,21.0,0.5555275957917449,0.0,3.0,0.9480258944522252,0.0,0.0,0.8676362110730466,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72.0,5.0,15.0,0.3260869565217391,7.464749114465701,46.0,90.0,1.9565217391304348,28.0,0.6086956521739131,5.0,40.0,12.0,6.030546817641004,1.5384615384615383,1.5384615384615383,26.0,1.0,13.0,0.6006516357398629,3.0,19.0,0.4353617706856318,1.0,5.0,0.4277649715752153,0.0,0.0,0.8254366609374062,0.0,0.0,1.0,0.0,3.0,0.8512591861906057,0.0,0.0,1.0,0.0,0.0,1.0
80.0,2.0,6.0,0.125,8.55577959325109,48.0,109.0,2.270833333333333,19.0,0.3958333333333333,2.0,34.0,0.0,7.589283146305719,1.4782608695652173,1.4782608695652173,23.0,0.0,12.0,0.8411845909295024,2.0,19.0,0.6305699520957785,0.0,3.0,0.8140351452814762,0.0,0.0,0.7334803179268639,0.0,0.0,1.0,0.0,0.0,0.6446575427003215,0.0,0.0,1.0,0.0,0.0,1.0
