step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7.0,1.0,0.1428571428571428,1.0,0.1428571428571428,0.0,0.0,0.0,9.58373626219538,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9747362870124042,0.0,0.0,0.5613217849164936,0.0,0.0,0.9730829268395702,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,1,1.0,0.0714285714285714,9.118018483899032,14.0,2.0,0.1428571428571428,1.0,0.0714285714285714,1.0,2.0,2.0,9.38447227265393,0.25,0.25,8.0,0.0,0.0,1.0,1.0,1.0,0.4058697878285949,0.0,0.0,0.6975508425041043,0.0,1.0,0.960403044182212,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,0,0.0,0.0,9.30378980874887,20.0,5.0,0.25,3.0,0.15,0.0,3.0,1.0,9.506049422812422,0.2307692307692307,0.2307692307692307,13.0,0.0,3.0,0.3917378285883957,0.0,0.0,0.6044487403637576,0.0,0.0,0.7336603251845109,0.0,0.0,0.9532817613399316,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,0,0.0,0.0,9.913157729112598,25.0,5.0,0.2,0.0,0.0,0.0,3.0,0.0,10.296184840331296,0.2,0.2,15.0,0.0,3.0,0.7521760451040376,0.0,0.0,0.5810912136030595,0.0,0.0,0.8136829376685097,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8976478809477064,0.0,0.0,1.0
40.0,2,2.0,0.0588235294117647,9.801910554118152,34.0,7.0,0.2058823529411764,2.0,0.0588235294117647,2.0,2.0,0.0,9.40218001133208,0.0909090909090909,0.0909090909090909,22.0,0.0,0.0,0.9531274525935136,1.0,0.0,0.7393881476736214,0.0,0.0,0.8164213261654663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0001201337203244,0.0,0.0,1.0
48.0,6,15.0,0.4166666666666667,7.8177556699026365,36.0,21.0,0.5833333333333334,14.0,0.3888888888888889,6.0,15.0,13.0,6.803704832266357,0.6,0.6,25.0,1.0,3.0,0.4931564050667004,2.0,2.0,0.6443054643686305,3.0,10.0,0.5074556550243838,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,9,49.0,1.195121951219512,6.558057340917238,41.0,77.0,1.8780487804878048,56.0,1.3658536585365857,8.0,53.0,38.0,5.947661650757494,1.8928571428571428,1.8928571428571428,28.0,0.0,0.0,0.7208740369393004,2.0,8.0,0.4494713267327504,6.0,45.0,0.3741348344111185,0.0,0.0,0.9368728957153196,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64.0,14,137.0,2.9782608695652173,6.317805702605085,46.0,165.0,3.5869565217391304,88.0,1.9130434782608696,14.0,137.0,84.0,4.818172454786376,4.419354838709677,4.419354838709677,31.0,2.0,7.0,0.3575122525369374,4.0,30.0,0.4791982218895282,8.0,100.0,0.1675481418644164,0.0,0.0,0.8323380771375436,0.0,0.0,1.0,0.0,0.0,0.8449348689196592,0.0,0.0,1.0,0.0,0.0,1.0
72.0,6,58.0,1.2083333333333333,6.862045720975922,48.0,238.0,4.958333333333333,73.0,1.5208333333333333,6.0,124.0,0.0,4.646448430124449,5.391304347826087,5.391304347826087,23.0,2.0,19.0,0.5952159820351889,0.0,0.0,0.347502489289932,4.0,105.0,0.1817847816525698,0.0,0.0,0.7131827194431192,0.0,0.0,1.0,0.0,0.0,0.3547654297072236,0.0,0.0,1.0,0.0,0.0,1.0
80.0,9,59.0,1.2040816326530612,7.540197906854628,49.0,280.0,5.714285714285714,42.0,0.8571428571428571,9.0,180.0,56.0,5.658704740395361,6.0,6.0,30.0,3.0,42.0,0.4486522482939837,2.0,13.0,0.4089978731962206,4.0,125.0,0.2081996132406788,0.0,0.0,0.8405689486097672,0.0,0.0,1.0,0.0,0.0,0.9802273848497348,0.0,0.0,0.9880468690370958,0.0,0.0,1.0
