step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,1.0,0.0714285714285714,9.118018483899032,14,2.0,0.1428571428571428,1.0,0.0714285714285714,1,2.0,2.0,9.38447227265393,0.25,0.25,8,0,0.0,1.0,1,1.0,0.4058697878285949,0,0.0,0.6975508425041043,0,1.0,0.960403044182212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,9.26478980874887,20,5.0,0.25,3.0,0.15,0,3.0,1.0,9.446049422812422,0.2307692307692307,0.2307692307692307,13,0,3.0,0.3917378285883957,0,0.0,0.6044487403637576,0,0.0,0.7262880127585689,0,0.0,0.9532817613399316,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,9.542677205417837,25,6.0,0.24,1.0,0.04,0,3.0,0.0,10.037913285734197,0.1875,0.1875,16,0,3.0,0.7521760451040376,0,0.0,0.5810912136030595,0,0.0,0.7652455609923097,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976478809477064,0,0.0,1.0
40.0,2,2.0,0.0588235294117647,9.705666007174877,34,8.0,0.2352941176470588,2.0,0.0588235294117647,2,2.0,0.0,9.453048646739258,0.0909090909090909,0.0909090909090909,22,0,0.0,0.9531274525935136,1,0.0,0.7455291558101431,0,0.0,0.8220641164269813,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0001201337203244,0,0.0,1.0
48.0,2,3.0,0.0789473684210526,9.657636188202831,38,10.0,0.2631578947368421,2.0,0.0526315789473684,2,3.0,1.0,8.285214375892155,0.1578947368421052,0.1578947368421052,19,0,0.0,0.9742090127445258,2,3.0,0.6334900830419922,0,0.0,0.7381935932928643,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,3,6.0,0.1463414634146341,8.858907405050823,41,21.0,0.5121951219512195,11.0,0.2682926829268293,2,12.0,9.0,8.109787915642046,0.5454545454545454,0.5454545454545454,22,0,6.0,0.6233087388545516,2,6.0,0.5857286730232184,0,0.0,0.9317464066834512,0,0.0,0.932710930764728,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,3,9.0,0.2142857142857142,8.157931180702919,42,41.0,0.9761904761904762,20.0,0.4761904761904761,3,18.0,6.0,7.9380968363440445,0.6206896551724138,0.6206896551724138,29,0,6.0,0.8127977681974891,2,11.0,0.6697184333893056,1,1.0,0.4973850396381646,0,0.0,0.7817365047610327,0,0.0,1.0,0,0.0,0.8550233890616034,0,0.0,1.0,0,0.0,1.0
72.0,3,12.0,0.2727272727272727,7.431835700235076,44,71.0,1.6136363636363635,30.0,0.6818181818181818,3,25.0,7.0,6.126263965849362,1.1904761904761905,1.1904761904761905,21,0,10.0,0.8996066211913089,2,10.0,0.4106054631221901,0,0.0,0.6367852522315849,1,5.0,0.4701758747188679,0,0.0,1.0,0,0.0,0.3547676927081551,0,0.0,1.0,0,0.0,1.0
80.0,2,7.0,0.1489361702127659,9.40413120800551,47,86.0,1.8297872340425527,15.0,0.3191489361702128,2,32.0,7.0,8.841525151795054,1.28,1.28,25,0,17.0,0.8706610764006903,2,15.0,0.6278929299096944,0,0.0,0.7939770583238998,0,0.0,0.703114623344725,0,0.0,1.0,0,0.0,0.9802273848497348,0,0.0,0.934201661639209,0,0.0,1.0
