step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.954137195248157,14,1.0,0.0714285714285714,0.0,0.0,0,1.0,1.0,10.847680017514897,0.125,0.125,8,0,0.0,0.6780441472279208,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,0,1.0,0.960403044182212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,9.604621066882588,20,1.0,0.05,0.0,0.0,0,0.0,0.0,9.96886674301814,0.0,0.0,13,0,0.0,0.5829723183660007,0,0.0,0.5666594439076266,0,0.0,0.7336603251845109,0,0.0,0.9532817613399316,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,5.0,0.2,9.509457428738594,25,6.0,0.24,5.0,0.2,1,5.0,5.0,9.095043427216597,0.3333333333333333,0.3333333333333333,15,0,0.0,0.6583885451505062,1,5.0,0.4169686540215994,0,0.0,0.8136829376685097,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976478809477064,0,0.0,1.0
40.0,3,15.0,0.4545454545454545,9.242409242896835,33,16.0,0.4848484848484848,10.0,0.303030303030303,3,15.0,10.0,8.876324074039069,0.6521739130434783,0.6521739130434783,23,0,0.0,0.9258335473178758,2,13.0,0.6599135158898075,0,0.0,0.8113277767684685,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0001201337203244,0,0.0,1.0
48.0,3,24.0,0.6486486486486487,9.12675370798578,37,30.0,0.8108108108108109,14.0,0.3783783783783784,3,24.0,9.0,7.884185169350924,1.2,1.2,20,0,0.0,0.9742090127445258,3,24.0,0.5817743984980993,0,0.0,0.7429155073297176,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,6,51.0,1.2142857142857142,8.116931158804531,42,57.0,1.3571428571428572,27.0,0.6428571428571429,5,51.0,27.0,6.765883163592554,2.217391304347826,2.217391304347826,23,0,0.0,0.5217210216865042,5,51.0,0.4528169095363735,0,0.0,0.9438288833376725,0,0.0,0.946629756780575,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,2,5.0,0.1136363636363636,8.04549496193141,44,84.0,1.9090909090909087,27.0,0.6136363636363636,2,13.0,0.0,8.01872020662242,0.5,0.5,26,0,3.0,0.698037215889266,2,10.0,0.63553839508658,0,0.0,0.9743653297856713,0,0.0,0.7421378065638945,0,0.0,1.0,0,0.0,0.8457175569776901,0,0.0,1.0,0,0.0,1.0
72.0,4,28.0,0.6222222222222222,8.342013972322073,45,110.0,2.4444444444444446,26.0,0.5777777777777777,4,38.0,25.0,7.661716486535397,1.7272727272727273,1.7272727272727273,22,0,10.0,0.9536541472518446,3,22.0,0.5606983295043041,0,0.0,0.950612138794956,1,6.0,0.4701758747188679,0,0.0,1.0,0,0.0,0.3547654297072236,0,0.0,1.0,0,0.0,1.0
80.0,3,23.0,0.4893617021276595,9.643808036684188,47,101.0,2.148936170212766,0.0,0.0,3,39.0,1.0,9.008032899068962,1.5,1.5,26,0,10.0,0.8861131175333888,2,15.0,0.684979345713564,0,0.0,0.7925776054182796,1,14.0,0.5179962873142884,0,0.0,1.0,0,0.0,0.9802273848497348,0,0.0,0.966470157809934,0,0.0,1.0
88.0,4,34.0,0.7727272727272727,8.98709743876516,44,122.0,2.772727272727273,21.0,0.4772727272727273,3,43.0,4.0,7.887861365571666,2.263157894736842,2.263157894736842,19,0,3.0,0.8166138233587832,1,13.0,0.6315632195286288,0,0.0,0.8288636715032301,2,27.0,0.3064150988196059,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
96.0,0,0.0,0.0,10.0339067677427,41,122.0,2.975609756097561,0.0,0.0,0,3.0,0.0,10.64775100429515,0.2,0.2,15,0,3.0,0.8958378223176754,0,0.0,0.9186110807901512,0,0.0,0.9567869165235192,0,0.0,0.6915436218287597,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
104.0,2,7.0,0.1666666666666666,9.73054596477711,42,123.0,2.9285714285714284,1.0,0.0238095238095238,1,7.0,4.0,9.093395456410828,0.6363636363636364,0.6363636363636364,11,0,0.0,0.8485541124103646,0,0.0,0.8706930774211474,0,0.0,0.9259810164445366,1,7.0,0.4525151213353617,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
112.0,2,15.0,0.3947368421052631,9.613986336126764,38,97.0,2.5526315789473686,0.0,0.0,2,15.0,8.0,8.09655000908061,1.0714285714285714,1.0714285714285714,14,0,0.0,0.9661994527604586,1,0.0,0.772439879238257,0,0.0,0.0233012657303245,1,15.0,0.0,0,0.0,1.0,0,0.0,0.9982739069882682,0,0.0,0.9649649833346714,0,0.0,1.0
120.0,1,23.0,0.6216216216216216,10.114097630011097,37,104.0,2.810810810810811,7.0,0.1891891891891892,1,24.0,9.0,9.824096144390795,1.411764705882353,1.411764705882353,17,0,0.0,0.9089436051902618,0,1.0,0.9482407027808,0,0.0,1.0,1,23.0,0.5492868322110984,0,0.0,1.0,0,0.0,0.8958009211924698,0,0.0,0.8745405456326112,0,0.0,1.0
128.0,3,37.0,0.925,9.279576357061138,40,109.0,2.725,5.0,0.125,3,41.0,17.0,9.497908828902164,1.9523809523809523,1.9523809523809523,21,0,0.0,0.9604686779835724,0,1.0,0.8471603824794534,0,3.0,0.8021899909979758,2,35.0,0.2732985657211589,0,0.0,1.0,1,2.0,0.0013372456268588,0,0.0,0.9800472828557903,0,0.0,1.0
136.0,3,58.0,1.4146341463414631,9.841093076706098,41,135.0,3.292682926829268,26.0,0.6341463414634146,3,58.0,17.0,8.60296209964933,2.636363636363636,2.636363636363636,22,0,0.0,0.719996928368011,0,0.0,0.7993271621802442,0,0.0,0.9166056104456728,3,58.0,0.2470528478866267,0,0.0,1.0,0,0.0,0.6706175137752125,0,0.0,0.8900082309560764,0,0.0,0.9674547967455602
144.0,5,84.0,2.27027027027027,8.658161449996486,37,130.0,3.5135135135135136,0.0,0.0,4,84.0,26.0,8.198134016372995,5.25,5.25,16,1,2.0,0.6649894769982518,0,0.0,0.86588408789145,0,0.0,0.9205448087910436,3,82.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9752867233775036,0,0.0,0.9360600400092712
160.0,3,130.0,3.939393939393939,8.805695101579074,33,188.0,5.696969696969697,25.0,0.7575757575757576,3,140.0,25.0,7.580847024073942,9.333333333333334,9.333333333333334,15,0,5.0,0.8416894639890656,0,4.0,0.8110900280533745,0,1.0,0.9045437664681956,3,130.0,0.0,0,0.0,1.0,0,0.0,0.9543153628317694,0,0.0,1.0,0,0.0,0.9439221605456924
168.0,3,154.0,5.5,8.856585072986308,28,174.0,6.214285714285714,0.0,0.0,3,162.0,22.0,6.234188047000289,12.461538461538462,12.461538461538462,13,0,3.0,0.9558910052952192,0,4.0,0.689159779223186,0,1.0,0.966052359560656,3,154.0,0.0,0,0.0,1.0,0,0.0,0.9119875174124766,0,0.0,1.0,0,0.0,1.0
176.0,6,181.0,6.241379310344827,8.205862041408025,29,197.0,6.793103448275862,23.0,0.7931034482758621,5,186.0,24.0,6.79712521892898,13.285714285714286,13.285714285714286,14,0,0.0,0.906258158780614,2,7.0,0.4379467688392309,0,1.0,0.919133675304058,3,178.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9993168738451128,0,0.0,1.0
184.0,5,202.0,6.516129032258065,8.186135284225456,31,224.0,7.225806451612903,27.0,0.8709677419354839,4,207.0,21.0,7.424852202882143,12.9375,12.9375,16,1,0.0,0.723879174596467,0,4.0,0.8913994428129716,0,1.0,0.9006457484641692,3,202.0,0.2289907696855944,0,0.0,1.0,0,0.0,0.8909176292879779,0,0.0,0.9561311878525558,0,0.0,1.0
192.0,4,233.0,7.28125,8.675028780345396,32,251.0,7.84375,27.0,0.84375,4,238.0,31.0,6.765394585840992,15.866666666666667,15.866666666666667,15,0,0.0,0.8827452892907641,0,4.0,0.7647929655434247,0,1.0,0.6040031879430711,4,233.0,0.0,0,0.0,1.0,0,0.0,0.8633563944350309,0,0.0,1.0,0,0.0,0.942367625051035
200.0,5,266.0,9.851851851851851,9.375740406022588,27,272.0,10.074074074074074,21.0,0.7777777777777778,5,271.0,33.0,7.649650940815658,16.9375,16.9375,16,0,0.0,0.913001277661246,0,4.0,0.9101627397621,1,2.0,0.6427112187702123,4,265.0,0.0,0,0.0,1.0,0,0.0,0.9202912166559568,0,0.0,1.0,0,0.0,0.7409649382093413
208.0,5,301.0,11.148148148148149,7.251009729723105,27,311.0,11.51851851851852,39.0,1.4444444444444444,5,306.0,35.0,6.596396156996635,20.4,20.4,15,1,4.0,0.5670991471743619,0,4.0,0.6023058755878457,0,1.0,0.9185673450454818,4,297.0,0.1866578632263259,0,0.0,1.0,0,0.0,0.9671305770639494,0,0.0,1.0,0,0.0,0.935152496556546
216.0,1,0.0,0.0,7.331753186731666,33,329.0,9.969696969696969,18.0,0.5454545454545454,0,177.0,0.0,6.638297176764281,11.0625,11.0625,16,0,0.0,0.4611100989066907,0,4.0,0.676567420226025,0,1.0,0.9357130154873368,0,172.0,0.4355026226703776,0,0.0,0.4207027239819175,0,0.0,1.0,0,0.0,0.8915912841928219,0,0.0,1.0
224.0,4,20.0,0.6060606060606061,7.265294938044366,33,357.0,10.818181818181818,28.0,0.8484848484848485,4,194.0,17.0,5.467376327921086,17.636363636363637,17.636363636363637,11,0,1.0,0.6718360521601401,1,2.0,0.7054640224495693,0,1.0,0.8532994384084763,3,190.0,1.661803465465418e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1524771082698925,0,0.0,1.0
232.0,1,5.0,0.15625,8.968420003072026,32,378.0,11.8125,21.0,0.65625,1,15.0,0.0,9.324128448051727,1.6666666666666667,1.6666666666666667,9,0,1.0,0.9617379338542746,1,5.0,0.5543630646472495,0,0.0,1.0,0,9.0,0.2376480803300913,0,0.0,1.0,0,0.0,1.0,0,0.0,0.890911290219699,0,0.0,1.0
240.0,1,6.0,0.2,9.073645203695424,30,384.0,12.8,6.0,0.2,1,16.0,1.0,7.987082560712795,2.0,2.0,8,0,1.0,0.6476464675690143,0,0.0,0.9734184355825376,0,0.0,1.0,1,15.0,0.4564702980421536,0,0.0,1.0,0,0.0,0.8672272548716967,0,0.0,1.0,0,0.0,1.0
248.0,2,11.0,0.4074074074074074,8.597245276522628,27,278.0,10.296296296296296,0.0,0.0,2,12.0,0.0,7.064099549183345,1.3333333333333333,1.3333333333333333,9,2,12.0,0.4648053310973313,0,0.0,0.8556390945451455,0,0.0,1.0,0,0.0,0.9076195431133826,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
256.0,0,0.0,0.0,9.569132938169796,27,277.0,10.25925925925926,0.0,0.0,0,7.0,0.0,10.283422324135437,0.7,0.7,10,0,0.0,0.9636467070962408,0,0.0,0.9700008144561422,0,4.0,0.9151292266570952,0,0.0,0.8756717725253325,0,0.0,1.0,0,3.0,0.610762425836275,0,0.0,0.9259276695937312,0,0.0,1.0
