Type,Score,Model,Position
system_total_waiting_time,5001.824833702884,PPO_Ideal_Simulation,1
system_total_waiting_time,7353.324444444443,Max_Pressure,2
system_total_waiting_time,7420.21286031042,PPO_GPS_Simulation,3
system_total_waiting_time,9278.60666666667,Greedy,4
system_total_waiting_time,10218.465631929052,PPO_Camera_Simulation,5
system_total_waiting_time,25666.216839821675,PPO_Ideal_Training,6
system_total_waiting_time,28143.426937447366,PPO_Camera_Training,7
system_total_waiting_time,33403.52000000001,Fixed_Timings,8
system_total_waiting_time,37203.19750139472,PPO_GPS_Training,9
system_accumulated_waiting_time (100),49104.0177383592,PPO_Ideal_Simulation,1
system_accumulated_waiting_time (100),61820.79600886919,PPO_GPS_Simulation,2
system_accumulated_waiting_time (100),64255.23333333331,Max_Pressure,3
system_accumulated_waiting_time (100),72855.20444444443,Greedy,4
system_accumulated_waiting_time (100),73932.64301552105,PPO_Camera_Simulation,5
system_accumulated_waiting_time (100),192023.60800000007,Fixed_Timings,6
system_accumulated_waiting_time (100),257511.58569380647,PPO_Ideal_Training,7
system_accumulated_waiting_time (100),281616.1233187879,PPO_Camera_Training,8
system_accumulated_waiting_time (100),343227.27101120295,PPO_GPS_Training,9
system_total_stopped,675.050997782705,PPO_Ideal_Simulation,1
system_total_stopped,753.6755555555557,Max_Pressure,2
system_total_stopped,790.4811529933481,PPO_GPS_Simulation,3
system_total_stopped,791.0753880266074,PPO_Camera_Simulation,4
system_total_stopped,811.2955555555558,Greedy,5
system_total_stopped,1966.584,Fixed_Timings,6
system_total_stopped,3254.161581481696,PPO_Ideal_Training,7
system_total_stopped,3498.293007872016,PPO_Camera_Training,8
system_total_stopped,4097.647741976374,PPO_GPS_Training,9
system_mean_waiting_time,37.988110608180264,PPO_Ideal_Simulation,1
system_mean_waiting_time,53.09410472478541,Max_Pressure,2
system_mean_waiting_time,57.35584348725195,PPO_GPS_Simulation,3
system_mean_waiting_time,66.36132488049961,Greedy,4
system_mean_waiting_time,68.35149335453953,PPO_Camera_Simulation,5
system_mean_waiting_time,192.6926682506284,PPO_Ideal_Training,6
system_mean_waiting_time,212.87693894214988,PPO_Camera_Training,7
system_mean_waiting_time,287.21191325705144,PPO_GPS_Training,8
system_mean_waiting_time,298.2753018729892,Fixed_Timings,9
system_accumulated_mean_waiting_time (100),387.0803424166048,PPO_Ideal_Simulation,1
system_accumulated_mean_waiting_time (100),486.8873684541566,PPO_GPS_Simulation,2
system_accumulated_mean_waiting_time (100),496.1593810744233,Max_Pressure,3
system_accumulated_mean_waiting_time (100),527.2184668606083,PPO_Camera_Simulation,4
system_accumulated_mean_waiting_time (100),552.0586719024112,Greedy,5
system_accumulated_mean_waiting_time (100),1671.8456079046898,Fixed_Timings,6
system_accumulated_mean_waiting_time (100),2018.6439926893433,PPO_Ideal_Training,7
system_accumulated_mean_waiting_time (100),2206.234424583536,PPO_Camera_Training,8
system_accumulated_mean_waiting_time (100),2666.915971183027,PPO_GPS_Training,9
