step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.41384837917657,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,7.458029240563646,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.092088254656488,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.000076893657814,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9216416006329501,0,0.0,0.900976212904556,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3130105569827118,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9542431949881337,0,0.0,1.0,0,0.0,1.0
32.0,2,8.0,0.42105263157894735,11.063510530367992,19,8.0,0.42105263157894735,8.0,0.42105263157894735,2,8.0,8.0,8.69198473746892,1.3333333333333333,1.3333333333333333,6,0,0.0,1.0,0,0.0,1.0,1,4.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9039289558508355,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.2943027597888026,0,0.0,1.0,0,0.0,1.0
40.0,6,29.0,0.8787878787878788,8.893917895142835,33,29.0,0.8787878787878788,21.0,0.6363636363636364,4,29.0,21.0,5.397809349210456,2.6363636363636362,2.6363636363636362,11,1,0.0,0.0,0,0.0,1.0,1,12.0,0.29580165864813407,0,0.0,0.3425909307254367,0,0.0,1.0,0,0.0,0.9892329559795672,0,0.0,0.30141390490684766,0,0.0,0.08532548366929535,0,0.0,1.0,2,17.0,0.0,0,0.0,1.0,0,0.0,0.5292698010778907
48.0,3,7.0,0.1891891891891892,9.556449146953296,37,54.0,1.4594594594594594,25.0,0.6756756756756757,3,18.0,0.0,5.873327833556066,1.0,1.0,18,0,0.0,0.020169763413606042,0,0.0,1.0,0,0.0,0.28177189068553077,0,0.0,0.4923604937326237,0,0.0,0.6116154243616935,0,0.0,0.529375678761943,1,3.0,0.07920113417127626,1,1.0,0.0009340196068289241,0,0.0,1.0,0,11.0,0.5859241519578468,0,0.0,1.0,1,3.0,0.4204651951016476
56.0,9,60.0,1.3636363636363635,8.951877847456892,44,111.0,2.522727272727273,57.0,1.2954545454545454,9,60.0,42.0,4.8887060161857825,3.3333333333333335,3.3333333333333335,18,1,8.0,0.22148052463640666,0,0.0,0.969232874919562,1,2.0,0.31414827470138157,2,11.0,4.333569106785237e-06,0,0.0,1.0,1,0.0,0.0,2,19.0,0.3177810110278747,1,9.0,0.0,0,0.0,0.14122630485348764,0,0.0,0.9697540257521544,0,0.0,1.0,1,11.0,0.0
64.0,14,157.0,3.2708333333333335,8.184510211730531,48,208.0,4.333333333333333,97.0,2.0208333333333335,14,159.0,99.0,4.397555005034948,6.913043478260869,6.913043478260869,23,4,37.0,0.0,0,0.0,0.9320480536235823,3,19.0,0.35965341497614195,2,27.0,0.0,0,0.0,1.0,0,0.0,0.9834663686142993,2,37.0,0.3696768407289909,1,17.0,0.0,0,0.0,0.023536595469443814,1,3.0,0.4972109119410716,0,0.0,1.0,1,19.0,0.0
72.0,18,287.0,5.519230769230769,7.7757165462188205,52,323.0,6.211538461538462,115.0,2.2115384615384617,18,289.0,130.0,4.494735470009777,9.03125,9.03125,32,4,69.0,0.19389788866689667,0,0.0,0.7116814906736286,3,43.0,0.20635763736478002,2,43.0,0.04587341379294766,0,0.0,1.0,0,0.0,0.9600134071727876,4,63.0,0.16245385415606436,1,25.0,0.0,1,8.0,0.0,2,11.0,0.3559298755861054,0,0.0,1.0,1,27.0,0.5729587944332568
80.0,25,448.0,7.466666666666667,6.877204672156009,60,484.0,8.066666666666666,161.0,2.683333333333333,25,450.0,161.0,3.465037807891088,12.5,12.5,36,5,106.0,0.0,1,1.0,0.5199193746731937,5,68.0,0.03323731330843294,3,65.0,0.0,0,0.0,1.0,0,0.0,0.9850035581660335,6,104.0,0.00031427174817157474,1,33.0,0.0,1,16.0,0.3978735958632679,2,22.0,0.5675872041489293,0,0.0,1.0,1,35.0,0.3969830052586918
