step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,1,4.0,1.3333333333333333,7.402747044725895,3,4.0,1.3333333333333333,4.0,1.3333333333333333,1,4.0,4.0,4.180441902363138,2.0,2.0,2,1,4.0,0.3227476744776441
24.0,3,15.0,1.875,5.178021727530455,8,15.0,1.875,11.0,1.375,3,15.0,11.0,3.886656704174025,2.142857142857143,2.142857142857143,7,3,15.0,0.2579097500482264
32.0,4,38.0,4.75,6.922768066719041,8,38.0,4.75,23.0,2.875,4,38.0,23.0,6.922768066719042,4.75,4.75,8,4,38.0,0.4318073766788686
40.0,4,70.0,7.0,7.661924556592206,10,70.0,7.0,32.0,3.2,4,70.0,32.0,6.822117225293435,8.75,8.75,8,4,70.0,0.4674460711763209
48.0,1,18.0,1.3846153846153846,7.145865412688523,13,96.0,7.384615384615385,26.0,2.0,1,63.0,0.0,6.891289933435568,6.3,6.3,10,1,63.0,0.4592977281266037
56.0,4,15.0,1.0714285714285714,5.844004547701166,14,119.0,8.5,23.0,1.6428571428571428,4,53.0,0.0,4.566076709894863,5.3,5.3,10,4,53.0,0.2760762982856392
64.0,6,41.0,2.5625,5.610149937253986,16,150.0,9.375,31.0,1.9375,6,41.0,0.0,2.685647640984857,3.727272727272727,3.727272727272727,11,6,41.0,0.1423876709592254
72.0,10,97.0,6.0625,2.7544047091235964,16,117.0,7.3125,0.0,0.0,10,97.0,56.0,1.8748600108766356,6.466666666666667,6.466666666666667,15,10,97.0,0.1056891070536854
80.0,13,184.0,8.761904761904763,2.5604252308087774,21,184.0,8.761904761904763,67.0,3.1904761904761907,13,184.0,87.0,2.5604252308087774,8.761904761904763,8.761904761904763,21,13,184.0,0.1639808633334491
88.0,16,294.0,10.88888888888889,3.580672314989412,27,295.0,10.925925925925926,111.0,4.111111111111111,16,295.0,111.0,3.480332759183435,11.346153846153848,11.346153846153848,26,16,295.0,0.2334131574677146
96.0,7,44.0,1.2941176470588236,5.419837948074098,34,387.0,11.382352941176473,92.0,2.7058823529411766,7,193.0,0.0,4.653169171633222,7.148148148148148,7.148148148148148,27,7,193.0,0.3103563727305834
104.0,3,13.0,0.3939393939393939,9.54371211876689,33,256.0,7.757575757575758,0.0,0.0,2,33.0,0.0,7.942844602055228,1.434782608695652,1.434782608695652,23,2,33.0,0.5067515520778171
112.0,7,51.0,1.7,9.14987231323298,30,121.0,4.033333333333333,0.0,0.0,6,35.0,2.0,6.77798140968689,1.8421052631578947,1.8421052631578947,19,6,35.0,0.4254317033343508
120.0,11,120.0,4.8,7.35914495012294,25,161.0,6.44,40.0,1.6,10,96.0,61.0,5.719986249614611,4.8,4.8,20,10,96.0,0.3907061023137534
128.0,15,184.0,6.814814814814815,4.244057447702686,27,249.0,9.22222222222222,88.0,3.259259259259259,15,184.0,88.0,3.396821716179668,7.666666666666667,7.666666666666667,24,15,184.0,0.2307388066162819
136.0,15,206.0,6.645161290322581,4.201308169516144,31,368.0,11.870967741935484,119.0,3.838709677419355,15,206.0,22.0,3.701216709187319,7.923076923076923,7.923076923076923,26,15,206.0,0.2550607264895183
144.0,11,92.0,2.7058823529411766,6.517030526806324,34,451.0,13.264705882352942,83.0,2.4411764705882355,9,125.0,0.0,3.986177390017172,5.9523809523809526,5.9523809523809526,21,9,125.0,0.2914944679260512
152.0,13,179.0,5.774193548387097,5.975147107156824,31,274.0,8.838709677419354,0.0,0.0,12,167.0,42.0,3.9964993661865846,7.260869565217392,7.260869565217392,23,12,167.0,0.2736241321216724
