step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,8.161456665934871,11,0.0,0.0,0.0,0.0,0,0.0,0.0,8.047971135094402,0.0,0.0,4,0,0.0,0.897173809132291,0,0.0,0.5441184040775258,0,0.0,0.959419166900201
24.0,1,0.0,0.0,9.154700793538105,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.276747613139792,0.0,0.0,2,0,0.0,1.0,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,3,3.0,0.1304347826086956,7.949053780181587,23,3.0,0.1304347826086956,3.0,0.1304347826086956,1,3.0,3.0,4.090308163444194,0.6,0.6,5,0,0.0,0.4446406273600866,1,3.0,0.2722803810732592,0,0.0,1.0
40.0,10,31.0,1.0333333333333334,6.101247626932863,30,36.0,1.2,33.0,1.1,8,23.0,20.0,3.169795429031712,1.7692307692307692,1.7692307692307692,13,4,4.0,0.1561639879887185,4,19.0,0.3036624908986777,0,0.0,0.729724504733074
48.0,10,35.0,0.9210526315789472,6.4999296280290215,38,86.0,2.263157894736842,50.0,1.3157894736842106,8,58.0,35.0,4.699221521368223,3.0526315789473686,3.0526315789473686,19,4,32.0,0.2804075743774566,3,26.0,0.4272210744112051,1,0.0,0.0081330284054561
56.0,16,128.0,3.1219512195121952,6.530142844300213,41,180.0,4.390243902439025,94.0,2.292682926829268,12,109.0,51.0,1.7725037546832916,6.8125,6.8125,16,5,59.0,0.0011148999864571,6,42.0,0.1999595815177448,1,8.0,0.4708330712860902
64.0,17,242.0,5.041666666666667,6.951984015088255,48,312.0,6.5,132.0,2.75,12,210.0,101.0,4.551270565206191,9.545454545454543,9.545454545454543,22,5,99.0,0.2588008803825824,6,95.0,0.3681774525442219,1,16.0,0.4426203264554472
72.0,24,375.0,6.818181818181818,5.623258355672945,55,461.0,8.381818181818181,149.0,2.709090909090909,19,332.0,122.0,2.515253655827569,12.76923076923077,12.76923076923077,26,6,146.0,0.2792850662038966,11,162.0,0.0758965085400579,2,24.0,0.4095041044088291
80.0,27,561.0,9.672413793103448,4.831247955331749,58,658.0,11.344827586206897,197.0,3.396551724137931,22,519.0,187.0,1.8538757580700185,15.727272727272728,15.727272727272728,33,7,196.0,0.1147022871192674,14,291.0,0.069937653623226,1,32.0,0.5759519695856533
88.0,35,801.0,13.35,4.043454244785654,60,907.0,15.116666666666667,249.0,4.15,29,742.0,223.0,2.035935250719582,19.526315789473685,19.526315789473685,38,9,261.0,0.0007121280091263,18,426.0,0.1146991415030734,2,55.0,0.505860367184576
96.0,7,25.0,0.3676470588235294,7.034674512365337,68,1055.0,15.514705882352942,148.0,2.176470588235294,4,315.0,0.0,4.286909296181341,10.862068965517242,10.862068965517242,29,1,78.0,0.4171035909265548,1,227.0,0.2694935746999272,2,10.0,0.2579142213982078
104.0,18,108.0,1.611940298507463,8.283960091351323,67,1000.0,14.92537313432836,0.0,0.0,11,117.0,0.0,3.3601096207772243,5.85,5.85,20,5,48.0,0.19927519070613,4,43.0,0.2663013875449229,2,26.0,0.3162972439034121
112.0,16,165.0,2.2,8.154806385854425,75,1079.0,14.386666666666668,79.0,1.0533333333333332,11,150.0,33.0,5.259971148588466,5.769230769230769,5.769230769230769,26,5,63.0,0.281416635798224,4,43.0,0.4034494231132902,2,44.0,0.4920689793923668
120.0,17,262.0,3.275,7.738030079881599,80,1180.0,14.75,101.0,1.2625,12,243.0,93.0,4.891239775767649,8.1,8.1,30,7,119.0,0.3803553215647098,3,66.0,0.4020399092577053,2,58.0,0.311768102804506
128.0,14,216.0,2.7341772151898733,6.519749561541579,79,1096.0,13.873417721518988,0.0,0.0,12,272.0,29.0,3.945440342404392,8.242424242424242,8.242424242424242,33,8,147.0,0.2306690629770453,2,51.0,0.3634379006434972,2,74.0,0.4605930577468578
136.0,25,241.0,2.9390243902439024,6.193744040844458,82,1143.0,13.939024390243905,47.0,0.573170731707317,21,266.0,0.0,3.319387227975992,7.388888888888889,7.388888888888889,36,10,99.0,0.2302836049328571,7,74.0,0.2657965793283262,4,93.0,0.234742465863933
144.0,30,259.0,3.363636363636364,6.128892797768142,77,1144.0,14.857142857142858,1.0,0.0129870129870129,23,267.0,1.0,1.5462720625900124,8.34375,8.34375,32,10,104.0,0.083097410172477,11,142.0,0.1232891248407621,2,21.0,0.3082126063087638
152.0,33,430.0,5.375,5.234765844812242,80,1247.0,15.5875,103.0,1.2875,29,485.0,218.0,2.151403324901327,11.27906976744186,11.27906976744186,43,10,183.0,0.1391485587286684,15,267.0,0.1361294651930082,4,35.0,0.2689695970668309
160.0,38,691.0,8.325301204819278,4.72313321405968,83,1477.0,17.795180722891565,230.0,2.7710843373493974,36,784.0,299.0,2.0907605238840654,16.0,16.0,49,13,286.0,0.1740125240328032,19,421.0,0.0874665853394492,4,77.0,0.307473383852477
168.0,47,1004.0,11.811764705882354,4.074458848773635,85,1786.0,21.011764705882356,309.0,3.635294117647059,43,1095.0,311.0,1.7217019780105864,19.90909090909091,19.90909090909091,55,14,392.0,0.1461360449290668,21,574.0,0.0688219027376961,8,129.0,0.3034390280428972
176.0,42,1108.0,12.883720930232558,4.815478640865259,86,2115.0,24.593023255813957,329.0,3.825581395348837,41,1356.0,261.0,1.6779053818294702,24.654545454545456,24.654545454545456,55,11,397.0,0.0999762882449242,22,770.0,0.0716886027570249,8,189.0,0.3545530106989042
184.0,17,301.0,3.344444444444445,5.751802085180011,90,2387.0,26.522222222222226,272.0,3.022222222222222,16,867.0,0.0,2.265522130581012,20.162790697674417,20.162790697674417,43,6,271.0,0.0867867084414035,10,584.0,0.1791734928769927,0,12.0,0.4631067197006582
192.0,8,53.0,0.6022727272727273,8.995060937511582,88,2407.0,27.352272727272727,20.0,0.2272727272727272,7,356.0,0.0,4.813178308406492,11.866666666666667,11.866666666666667,30,3,106.0,0.4083259345006587,2,242.0,0.3774215876825321,2,8.0,0.0005836817023945
200.0,16,148.0,1.8734177215189876,7.78329401340259,79,2042.0,25.848101265822784,0.0,0.0,14,232.0,0.0,2.793178836459103,11.6,11.6,20,4,62.0,0.1929179454702062,8,146.0,0.2219217374168248,2,24.0,0.0
208.0,18,282.0,3.9166666666666665,7.457440981911303,72,1569.0,21.791666666666668,0.0,0.0,14,300.0,68.0,4.34752107273996,12.0,12.0,25,4,90.0,0.3983883588863431,8,170.0,0.223629397177546,2,40.0,0.5235827468085256
216.0,15,291.0,4.217391304347826,6.876339196345192,69,1384.0,20.057971014492757,0.0,0.0,12,361.0,61.0,3.5916144548249886,13.37037037037037,13.37037037037037,27,5,133.0,0.297699152556066,5,172.0,0.1790116987719702,2,56.0,0.475444407763919
224.0,19,347.0,5.028985507246377,6.653216370194497,69,1106.0,16.028985507246375,0.0,0.0,15,331.0,0.0,2.930746256873414,11.413793103448276,11.413793103448276,29,5,103.0,0.1858613358041433,7,155.0,0.2599891929178222,3,73.0,0.148381062086582
232.0,15,104.0,1.6507936507936507,6.98290581747746,63,911.0,14.46031746031746,0.0,0.0,13,154.0,0.0,3.4934059358487057,6.416666666666667,6.416666666666667,24,4,36.0,0.3135944644459986,5,52.0,0.38352555826822,4,66.0,0.1181772512075603
240.0,17,220.0,3.548387096774193,7.135504996861743,62,909.0,14.661290322580646,0.0,0.0,15,224.0,70.0,2.939376322410309,9.333333333333334,9.333333333333334,24,4,79.0,0.2190028610154419,8,110.0,0.2932407727822467,3,35.0,0.1650615279003228
248.0,24,342.0,5.516129032258065,6.224278668938587,62,999.0,16.112903225806452,90.0,1.4516129032258065,20,359.0,135.0,2.45882923384864,11.966666666666669,11.966666666666669,30,5,106.0,0.2003384564282193,11,187.0,0.1673174587277358,4,66.0,0.1892779663868391
256.0,32,569.0,9.031746031746032,5.188178350750786,63,1226.0,19.46031746031746,227.0,3.6031746031746033,24,553.0,194.0,2.2215030528874347,16.264705882352942,16.264705882352942,34,6,156.0,0.142083258823554,14,299.0,0.1792467020946442,4,98.0,0.1760272180428895
264.0,39,766.0,11.784615384615384,3.7326417330772506,65,1507.0,23.184615384615384,281.0,4.323076923076923,27,758.0,205.0,1.8037563454844232,21.05555555555556,21.05555555555556,36,8,213.0,0.1887540151385974,14,407.0,0.0749956330398745,5,138.0,0.2191846951309969
272.0,19,270.0,3.6986301369863015,4.520009780760862,73,1783.0,24.42465753424657,276.0,3.780821917808219,16,526.0,0.0,2.958009860750383,13.842105263157896,13.842105263157896,38,4,135.0,0.2344614813741402,10,362.0,0.2039450685065564,2,29.0,0.2855649160382724
280.0,11,26.0,0.3291139240506329,8.054039041210972,79,1783.0,22.56962025316456,0.0,0.0,4,274.0,0.0,5.103279765154748,10.148148148148149,10.148148148148149,27,1,44.0,0.3698163042648198,3,230.0,0.3290825205818656,0,0.0,0.7558639775249827
288.0,13,79.0,1.144927536231884,8.47039291843728,69,1417.0,20.536231884057973,0.0,0.0,6,179.0,0.0,3.830607753414512,10.529411764705882,10.529411764705882,17,3,34.0,0.3463007038770358,3,145.0,0.3606191405901977,0,0.0,0.0711541837698347
296.0,12,105.0,1.5671641791044777,8.326253120853924,67,1238.0,18.47761194029851,0.0,0.0,9,99.0,0.0,6.097065187149583,4.5,4.5,22,4,39.0,0.41649081806138,4,50.0,0.5157736747608976,1,10.0,0.5648942538867199
304.0,13,178.0,2.7384615384615385,8.20632766086896,65,1166.0,17.93846153846154,0.0,0.0,10,179.0,80.0,4.482258659715837,8.523809523809524,8.523809523809524,21,4,64.0,0.3416570132287067,5,100.0,0.2552698458282698,1,15.0,0.642064213783646
312.0,16,160.0,2.388059701492537,6.779842476436035,67,1087.0,16.223880597014926,0.0,0.0,15,272.0,93.0,3.285284353494018,8.5,8.5,32,7,94.0,0.2062344922171684,7,155.0,0.1840652719262329,1,23.0,0.4359545284158503
320.0,17,145.0,2.1323529411764706,6.2827397319474585,68,1084.0,15.941176470588236,0.0,0.0,16,324.0,52.0,4.108246147210444,8.526315789473685,8.526315789473685,38,4,76.0,0.1532736880030925,9,205.0,0.2519049880073604,3,43.0,0.5659714205982372
328.0,29,285.0,4.596774193548387,4.843603487842828,62,915.0,14.758064516129032,0.0,0.0,28,442.0,118.0,1.7155633910593315,11.945945945945946,11.945945945945946,37,6,120.0,0.3022970974933813,15,277.0,0.0003247151625847,7,45.0,0.2126542633032056
336.0,33,529.0,8.396825396825397,4.463062194038676,63,1134.0,18.0,219.0,3.4761904761904763,33,696.0,254.0,0.7470902656643468,18.31578947368421,18.31578947368421,38,8,173.0,0.0009973993695164,16,404.0,0.0006449675051842,9,119.0,0.2080022377289503
344.0,38,812.0,11.941176470588236,4.080507330485829,68,1417.0,20.83823529411765,283.0,4.161764705882353,37,981.0,285.0,1.2844483812973848,20.4375,20.4375,48,8,240.0,0.1298660793971042,19,544.0,0.0733615598517842,10,197.0,0.1363618059618731
352.0,46,1080.0,15.211267605633802,3.0461395822648183,71,1748.0,24.61971830985916,331.0,4.661971830985915,43,1218.0,237.0,0.732366681702512,24.36,24.36,50,8,270.0,0.0513718511827194,22,650.0,0.0935671234510358,13,298.0,0.026042598838373
360.0,46,1295.0,16.39240506329114,3.382198461189562,79,2094.0,26.50632911392405,346.0,4.379746835443038,46,1601.0,383.0,1.269787720594231,26.683333333333334,26.683333333333334,60,11,367.0,0.0867873690504785,21,832.0,0.1212028183336509,14,402.0,0.0682151782331147
368.0,4,32.0,0.3855421686746988,8.528837296321816,83,2138.0,25.759036144578317,44.0,0.5301204819277109,4,403.0,0.0,4.776693130156247,12.59375,12.59375,32,1,22.0,0.5066284721835318,3,338.0,0.2360446481781578,0,43.0,0.5578522318783732
376.0,11,91.0,1.1097560975609757,8.700776382983612,82,1665.0,20.304878048780488,0.0,0.0,9,102.0,0.0,4.398689284042257,5.1,5.1,20,4,39.0,0.0300758602437493,4,63.0,0.4272453945236525,1,0.0,0.5759744510396251
384.0,16,172.0,2.097560975609756,7.520158762246339,82,1628.0,19.853658536585368,0.0,0.0,9,147.0,45.0,5.003561074737646,7.736842105263157,7.736842105263157,19,5,65.0,0.2390605312614527,4,81.0,0.3872329313440908,0,1.0,0.7774366444850032
392.0,24,284.0,3.380952380952381,7.123674733406823,84,1535.0,18.27380952380953,0.0,0.0,12,229.0,82.0,5.6110346605015895,8.807692307692308,8.807692307692308,26,6,105.0,0.2513153717691996,6,124.0,0.323834043919986,0,0.0,0.7167551191478279
400.0,10,225.0,2.647058823529412,7.617797408724482,85,1410.0,16.58823529411765,0.0,0.0,10,262.0,33.0,5.466023323686309,8.451612903225806,8.451612903225806,31,2,66.0,0.4824478397651346,7,189.0,0.3658643954671081,1,7.0,0.4849286482472388
408.0,16,76.0,0.8636363636363636,6.53470542810008,88,1375.0,15.625,0.0,0.0,12,247.0,0.0,3.941335331004546,6.861111111111111,6.861111111111111,36,3,40.0,0.2375500956061335,6,162.0,0.2681791921202661,3,45.0,0.5215695766107545
416.0,30,207.0,2.4069767441860463,5.816613070554843,86,1325.0,15.406976744186046,0.0,0.0,25,261.0,14.0,2.3383272408761555,6.868421052631579,6.868421052631579,38,7,83.0,0.3042927109362974,15,141.0,0.0962357379681259,3,37.0,0.2379065015530614
424.0,40,463.0,5.716049382716049,4.745042062544517,81,1272.0,15.703703703703704,0.0,0.0,31,467.0,206.0,0.6575022221703117,12.97222222222222,12.97222222222222,36,11,157.0,0.0204609258028666,15,234.0,0.1003488614424008,5,76.0,0.0
432.0,41,709.0,8.646341463414634,4.878077310195357,82,1533.0,18.695121951219512,261.0,3.182926829268293,34,758.0,291.0,0.956215290313944,18.48780487804878,18.48780487804878,41,12,258.0,0.0310024727548598,17,384.0,0.1219583990409817,5,116.0,0.0
440.0,50,1060.0,11.910112359550562,4.451205627284641,89,1885.0,21.17977528089888,352.0,3.955056179775281,42,1103.0,345.0,1.5251783131917722,22.06,22.06,50,15,375.0,0.087964218789047,22,568.0,0.1404013866270529,5,160.0,0.1595742018073247
448.0,50,1213.0,14.104651162790695,3.0477826300183093,86,2140.0,24.88372093023256,255.0,2.9651162790697674,41,1387.0,284.0,1.1564642092672774,26.16981132075472,26.16981132075472,53,12,429.0,0.087234105824761,24,748.0,0.0872137426354691,5,210.0,0.1391063840040048
456.0,22,216.0,2.4827586206896552,5.404423675167388,87,2372.0,27.264367816091955,232.0,2.6666666666666665,10,776.0,0.0,2.820678658704428,21.55555555555556,21.55555555555556,36,6,249.0,0.1140984764902548,3,527.0,0.2223724200127394,1,0.0,0.6437188988240252
464.0,18,200.0,2.3529411764705883,7.5136793845005725,85,2265.0,26.647058823529413,0.0,0.0,8,326.0,0.0,4.606749921410887,12.538461538461538,12.538461538461538,26,4,133.0,0.2198037628968425,4,193.0,0.3675330746756362,0,0.0,0.9473924444449694
472.0,18,261.0,3.2222222222222223,6.836422969900645,81,2098.0,25.901234567901238,0.0,0.0,8,200.0,0.0,4.485766438363568,9.523809523809524,9.523809523809524,21,5,150.0,0.2416564238978953,2,42.0,0.2700365349718004,1,8.0,0.7303761939717435
480.0,22,401.0,5.141025641025641,7.372323238018878,78,1829.0,23.44871794871795,0.0,0.0,8,190.0,0.0,6.180133725691134,9.5,9.5,20,5,147.0,0.4584899195378019,1,26.0,0.7001069582127839,2,17.0,0.3843842565744347
488.0,23,494.0,6.586666666666667,6.638698146416426,75,1593.0,21.24,0.0,0.0,8,196.0,6.0,6.191956403447741,8.166666666666666,8.166666666666666,24,5,130.0,0.3481954984504021,1,30.0,0.6145572346417367,2,36.0,0.5868604843265042
496.0,23,452.0,6.366197183098592,5.472242732382478,71,1396.0,19.66197183098592,0.0,0.0,13,151.0,0.0,3.459967663933432,6.291666666666667,6.291666666666667,24,8,85.0,0.1614227987451428,1,5.0,0.4745199383416343,4,61.0,0.2910576890381574
504.0,21,190.0,2.602739726027397,6.070817483183266,73,1521.0,20.83561643835617,125.0,1.7123287671232876,15,296.0,145.0,3.028905840177761,11.84,11.84,25,11,129.0,0.0648009046651578,1,145.0,0.5340797945490066,3,22.0,0.328918654784516
512.0,22,295.0,4.27536231884058,6.108276374790445,69,1578.0,22.869565217391305,57.0,0.8260869565217391,19,585.0,289.0,3.099759762264363,18.870967741935484,18.870967741935484,31,11,219.0,0.1865712780976886,4,321.0,0.2604045576105591,4,45.0,0.2998083167795521
520.0,34,535.0,7.985074626865671,5.139281661969959,67,1659.0,24.761194029850746,81.0,1.208955223880597,28,753.0,168.0,1.8671136660439769,22.147058823529413,22.147058823529413,34,15,326.0,0.0596320316974136,8,348.0,0.2834628295300205,5,79.0,0.0003947717516556
528.0,36,768.0,11.462686567164178,3.8266920814017946,67,1823.0,27.2089552238806,164.0,2.4477611940298507,32,1064.0,311.0,1.4419390683265716,25.33333333333333,25.33333333333333,42,16,447.0,0.0769592497857974,10,498.0,0.1757486753854951,6,119.0,0.0
536.0,40,994.0,14.0,4.221647033227572,71,2028.0,28.56338028169014,205.0,2.887323943661972,40,1406.0,342.0,1.6586271906579455,28.693877551020407,28.693877551020407,49,18,608.0,0.0794854765024049,17,639.0,0.1430808785448031,5,159.0,0.1360017633861232
544.0,18,301.0,3.858974358974359,5.153690362831646,78,2295.0,29.423076923076923,267.0,3.423076923076923,17,1052.0,0.0,2.412466354815292,25.047619047619047,25.047619047619047,42,11,496.0,0.1452707318115071,6,531.0,0.201051177544122,0,25.0,0.2312862089868456
552.0,12,69.0,0.8023255813953488,7.939376245007988,86,2181.0,25.36046511627907,0.0,0.0,7,506.0,0.0,3.9596248805428425,17.448275862068964,17.448275862068964,29,4,304.0,0.2572895238466802,3,202.0,0.254304427507499,0,0.0,0.974693012088948
560.0,14,145.0,1.7469879518072289,8.310855165317703,83,1900.0,22.89156626506024,0.0,0.0,9,210.0,0.0,3.545352574176768,9.545454545454543,9.545454545454543,22,8,111.0,0.0426271506547221,1,95.0,0.4459129700459809,0,4.0,0.9954197358580884
568.0,20,279.0,3.4444444444444446,7.935556537078156,81,1725.0,21.296296296296298,0.0,0.0,13,210.0,0.0,5.455484789600424,7.241379310344827,7.241379310344827,29,9,182.0,0.3593779895071698,4,28.0,0.4428525457488056,0,0.0,0.6670132903417997
576.0,22,392.0,4.9,6.903841105564764,80,1594.0,19.925,0.0,0.0,14,311.0,101.0,4.899491949860164,10.03225806451613,10.03225806451613,31,11,253.0,0.2087447654258587,3,55.0,0.5347735510514982,0,3.0,0.913917740910712
584.0,26,297.0,4.242857142857143,5.584158541805796,70,1296.0,18.51428571428572,0.0,0.0,17,333.0,22.0,2.9749331286170744,10.40625,10.40625,32,7,226.0,0.2099716256363296,8,101.0,0.0438297699801729,2,6.0,0.5198651823014867
592.0,24,164.0,2.1578947368421053,5.657073264784715,76,1258.0,16.55263157894737,0.0,0.0,16,236.0,0.0,2.6193066734422747,7.612903225806452,7.612903225806452,31,12,134.0,0.121647924179749,3,101.0,0.1708020929586561,1,1.0,0.4527060380576966
600.0,35,347.0,4.3375,5.081975175101118,80,1417.0,17.7125,159.0,1.9875,25,363.0,127.0,1.7250780241864017,11.34375,11.34375,32,16,249.0,0.0559315509975082,5,93.0,0.1049081606831874,4,21.0,0.2788242622135642
608.0,38,587.0,6.670454545454546,5.133701182491788,88,1669.0,18.96590909090909,252.0,2.863636363636364,27,540.0,177.0,2.458016787416141,14.210526315789474,14.210526315789474,38,14,338.0,0.1224657870077918,6,138.0,0.3877425884569486,7,64.0,0.0037030033169142
616.0,43,876.0,9.954545454545457,5.022754015996645,88,1899.0,21.579545454545453,230.0,2.613636363636364,35,787.0,247.0,1.5496159497845206,17.886363636363637,17.886363636363637,44,16,447.0,0.0366957016500614,11,213.0,0.1658041373087549,8,127.0,0.1815029086636545
624.0,46,1112.0,12.355555555555556,4.548429535439094,90,2136.0,23.73333333333333,237.0,2.6333333333333333,42,1195.0,408.0,1.7938735010697278,21.727272727272727,21.727272727272727,55,18,644.0,0.1044574376205016,15,353.0,0.1563209130376195,9,198.0,0.1621200192940135
632.0,33,604.0,6.637362637362638,3.539923902954737,91,2454.0,26.967032967032967,318.0,3.4945054945054945,29,1083.0,0.0,1.1568225969513128,21.235294117647054,21.235294117647054,51,15,607.0,0.0565062432156741,9,333.0,0.1444995335867691,5,143.0,0.0401360293030543
640.0,9,46.0,0.4791666666666667,7.948174174242077,96,2465.0,25.67708333333333,11.0,0.1145833333333333,5,517.0,0.0,4.010026592803945,15.666666666666666,15.666666666666666,33,2,378.0,0.2327142273059887,3,129.0,0.3250730280842979,0,10.0,0.5791456408310792
648.0,18,150.0,1.6483516483516485,8.443145228270696,91,1987.0,21.83516483516484,0.0,0.0,5,325.0,0.0,5.22553145516165,18.05555555555556,18.05555555555556,18,3,193.0,0.1681712133041896,2,132.0,0.541508645698178,0,0.0,0.9855869563559218
656.0,22,302.0,3.393258426966292,7.953795360760319,89,1893.0,21.269662921348317,0.0,0.0,7,306.0,0.0,6.722097374421876,13.909090909090908,13.909090909090908,22,3,140.0,0.3137111183018481,3,158.0,0.5674989585907894,1,8.0,0.6171789806418667
