step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,2,4.0,0.2857142857142857,7.461200469196081,14,5.0,0.3571428571428571,4.0,0.2857142857142857,2,5.0,5.0,7.562844736174219,0.5,0.5,10,0,0.0,1.0,1,1.0,0.4058697878285949,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,5,32.0,1.6,6.620113511060036,20,33.0,1.65,28.0,1.4,5,33.0,28.0,6.112379009746405,2.0625,2.0625,16,0,0.0,0.224224072790711,1,9.0,0.3522828982796708,0,0.0,0.7336603251845109,4,24.0,0.0650309975104953,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,6,78.0,3.12,7.398363138903926,25,79.0,3.16,46.0,1.84,6,79.0,46.0,6.857471602209941,3.95,3.95,20,0,0.0,0.6688090828813836,1,17.0,0.4272192615234993,0,0.0,0.8136829376685097,5,62.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,6,48.0,1.3714285714285714,7.564375203565703,35,126.0,3.6,47.0,1.3428571428571427,6,83.0,4.0,6.9209430537384,3.074074074074074,3.074074074074074,27,0,0.0,0.6984804152748503,3,28.0,0.5762025418056125,1,1.0,0.6824435683676167,1,49.0,0.1262836740425367,0,0.0,1.0,0,0.0,1.0,1,5.0,8.08614303070768e-06,0,0.0,1.0
48.0,10,47.0,1.236842105263158,5.804338995319157,38,182.0,4.789473684210527,56.0,1.4736842105263157,10,60.0,0.0,4.588445944383055,2.142857142857143,2.142857142857143,28,2,12.0,0.246262569593619,3,17.0,0.4410735064523108,4,18.0,0.387986444559818,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,0,0.0,1.0
56.0,14,118.0,2.744186046511628,6.074240923029406,43,269.0,6.255813953488372,87.0,2.0232558139534884,13,123.0,63.0,4.867853279952674,4.1,4.1,30,3,41.0,0.3424362548262897,3,19.0,0.4735541780667885,7,63.0,0.3367467771914132,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,17,240.0,5.1063829787234045,5.473188035068122,47,368.0,7.829787234042553,99.0,2.106382978723404,17,245.0,122.0,4.1204025334683685,7.424242424242424,7.424242424242424,33,3,65.0,0.3378774233754811,5,53.0,0.4066250719172766,9,127.0,0.1476129468750092,0,0.0,0.8357266371710351,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,23,401.0,8.183673469387756,4.33551334492612,49,528.0,10.775510204081632,160.0,3.26530612244898,23,402.0,157.0,1.8462778120873289,13.4,13.4,30,5,98.0,0.2889208930040318,8,100.0,0.0996720148935599,10,204.0,0.0839178095930321,0,0.0,0.4738464883404843,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,27,589.0,11.549019607843135,3.855792887947685,51,724.0,14.196078431372548,196.0,3.843137254901961,27,596.0,194.0,2.161847763663755,16.10810810810811,16.10810810810811,37,7,144.0,0.0027911424615633,9,163.0,0.2264285000121869,10,284.0,0.1283928003657861,1,5.0,0.402268182473842,0,0.0,1.0,0,0.0,0.994269254869346,0,0.0,1.0,0,0.0,1.0
