step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,11.620415277607716,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,7.005150834006795,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.395515907136724,0.0,0.0,3,0,0.0,0.5788946203669821
24.0,1,0.0,0.0,9.065840329399464,10,0.0,0.0,0.0,0.0,0,0.0,0.0,9.906768683657274,0.0,0.0,3,0,0.0,0.6966028985261249
32.0,1,0.0,0.0,8.644443726252408,13,1.0,0.07692307692307693,1.0,0.07692307692307693,1,1.0,1.0,7.8721042489788084,0.25,0.25,4,1,1.0,0.5405794324558346
40.0,0,0.0,0.0,9.006780363674006,15,1.0,0.06666666666666667,0.0,0.0,0,1.0,0.0,7.214844190573264,0.125,0.125,8,0,1.0,0.5153181806549061
48.0,1,2.0,0.1111111111111111,9.168386947735788,18,3.0,0.16666666666666666,2.0,0.1111111111111111,1,2.0,1.0,6.902327964861943,0.18181818181818182,0.18181818181818182,11,1,2.0,0.5261995324291803
56.0,6,29.0,1.6111111111111112,5.112947980255465,18,29.0,1.6111111111111112,26.0,1.4444444444444444,6,29.0,27.0,4.4959462975005655,1.7058823529411764,1.7058823529411764,17,6,29.0,0.33451440807404853
64.0,14,109.0,4.954545454545454,3.035965429893902,22,109.0,4.954545454545454,80.0,3.6363636363636362,14,109.0,80.0,2.962436064601916,5.190476190476191,5.190476190476191,21,14,109.0,0.20859894329405293
72.0,18,231.0,7.7,2.7082951255237577,30,231.0,7.7,122.0,4.066666666666666,18,231.0,122.0,2.0656516975827466,8.555555555555555,8.555555555555555,27,18,231.0,0.14168890379121496
80.0,26,398.0,10.756756756756756,2.0229851395700646,37,398.0,10.756756756756756,167.0,4.513513513513513,26,398.0,167.0,1.307773563294585,11.705882352941176,11.705882352941176,34,26,398.0,0.08910452993387813
88.0,31,617.0,14.69047619047619,1.6665564772239339,42,619.0,14.738095238095237,221.0,5.261904761904762,31,618.0,220.0,1.0874728150959656,15.45,15.45,40,31,618.0,0.08027730402988012
96.0,11,108.0,2.511627906976744,3.474058392504133,43,793.0,18.441860465116278,174.0,4.046511627906977,10,438.0,0.0,2.3244426644813156,13.272727272727273,13.272727272727273,33,10,438.0,0.16421508160867443
104.0,16,74.0,1.574468085106383,6.2741316874720505,47,859.0,18.27659574468085,66.0,1.4042553191489362,14,299.0,0.0,1.8535101477620715,11.96,11.96,25,14,299.0,0.1316220491305957
112.0,19,169.0,4.447368421052632,4.014241108821884,38,626.0,16.473684210526315,0.0,0.0,17,416.0,117.0,1.180175282520001,16.0,16.0,26,17,416.0,0.09349568778060989
120.0,20,218.0,6.228571428571429,3.5126824878449283,35,661.0,18.885714285714286,35.0,1.0,19,448.0,32.0,1.7021464867271001,16.59259259259259,16.59259259259259,27,19,448.0,0.12682386790872738
128.0,12,98.0,2.8823529411764706,3.0228259193187577,34,693.0,20.38235294117647,32.0,0.9411764705882353,12,548.0,100.0,1.442115023762751,21.076923076923077,21.076923076923077,26,12,548.0,0.10637873438495006
136.0,11,36.0,1.0588235294117647,3.126054293236773,34,779.0,22.91176470588235,86.0,2.5294117647058822,11,522.0,0.0,1.2652327117775772,20.076923076923077,20.076923076923077,26,11,522.0,0.09220059873029564
144.0,17,117.0,3.1621621621621623,3.0177994336152905,37,742.0,20.054054054054053,0.0,0.0,16,600.0,78.0,1.1400985347370731,21.428571428571427,21.428571428571427,28,16,600.0,0.0799358069220534
152.0,20,131.0,3.4473684210526314,2.872281473114328,38,809.0,21.289473684210527,67.0,1.763157894736842,20,715.0,115.0,0.8385635492036576,23.833333333333332,23.833333333333332,30,20,715.0,0.06086835160848109
160.0,25,262.0,6.894736842105263,2.4892721411117296,38,997.0,26.236842105263158,188.0,4.947368421052632,25,919.0,204.0,1.5653906129226154,27.029411764705884,27.029411764705884,34,25,919.0,0.11160134733566628
168.0,33,498.0,12.45,1.1128217755506533,40,1233.0,30.825,236.0,5.9,33,1155.0,236.0,0.606650548682854,30.394736842105264,30.394736842105264,38,33,1155.0,0.0480785121440494
176.0,38,793.0,20.333333333333332,0.2868690610222355,39,1528.0,39.17948717948718,295.0,7.564102564102564,38,1450.0,295.0,5.335781481115776e-06,38.1578947368421,38.1578947368421,38,38,1450.0,4.132735509976581e-07
184.0,27,779.0,19.974358974358974,1.4297611028090125,39,1803.0,46.23076923076923,275.0,7.051282051282051,27,1481.0,31.0,0.3503907662580835,47.774193548387096,47.774193548387096,31,27,1481.0,0.02602756505628499
192.0,26,795.0,19.875,3.482279210291641,40,2010.0,50.25,207.0,5.175,24,1566.0,85.0,0.9121373564777546,54.0,54.0,29,24,1566.0,0.07120761063223197
200.0,24,689.0,21.53125,1.603310365591402,32,2037.0,63.65625,27.0,0.84375,24,1701.0,135.0,0.697592639784114,60.75,60.75,28,24,1701.0,0.055499545384285164
208.0,23,696.0,22.451612903225808,2.1654144389654437,31,2136.0,68.90322580645162,99.0,3.193548387096774,23,1653.0,0.0,0.5397768592378089,63.57692307692308,63.57692307692308,26,23,1653.0,0.03772959752307113
216.0,17,474.0,15.290322580645162,2.073143613238478,31,1963.0,63.32258064516129,0.0,0.0,15,1522.0,0.0,1.1753732207761305,60.88,60.88,25,15,1522.0,0.08670160803841108
224.0,17,270.0,8.181818181818182,2.9244099209164722,33,2025.0,61.36363636363637,62.0,1.878787878787879,17,1487.0,0.0,1.5550529116297998,55.074074074074076,55.074074074074076,27,17,1487.0,0.11893362885110881
