step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,6.311712432426041,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.477902238102009,0.0,0.0,3,0,0.0,0.1177093529375032,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13687665728898202,0,0.0,0.8431128194476593,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.431846369518508,13,0.0,0.0,0.0,0.0,0,0.0,0.0,8.108713026225463,0.0,0.0,5,0,0.0,0.945014697321027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5028467578505481,0,0.0,0.5921135833000537,0,0.0,0.2641924117720845,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,7.0,0.35,9.743605262126632,20,7.0,0.35,7.0,0.35,1,7.0,7.0,10.338018242917082,0.875,0.875,8,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5759303059262302,0,0.0,1.0,0,0.0,0.9476626243659384,0,0.0,1.0,1,7.0,0.0,0,0.0,0.7314774337431957,0,0.0,0.6922859004820315,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,2,15.0,0.5769230769230769,10.445370986735005,26,15.0,0.5769230769230769,8.0,0.3076923076923077,1,15.0,8.0,10.952745403304029,1.3636363636363635,1.3636363636363635,11,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9519037018183404,0,0.0,1.0,1,15.0,0.48296641477879537,0,0.0,0.719785761766561,0,0.0,0.6313944756161544,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,2,24.0,0.7741935483870968,10.589076145732891,31,24.0,0.7741935483870968,9.0,0.2903225806451613,2,24.0,9.0,9.49627281505168,1.8461538461538463,1.8461538461538463,13,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8775008346990025,0,0.0,1.0,1,23.0,0.5312468454728062,0,0.0,0.5100842314974982,1,1.0,0.6403592482732091,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,6,11.0,0.2682926829268293,9.153146703649563,41,35.0,0.8536585365853658,11.0,0.2682926829268293,4,11.0,0.0,9.11388204541216,0.6470588235294118,0.6470588235294118,17,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8075945455600458,0,0.0,0.6262391883543814,3,11.0,0.0016176429182843336,0,0.0,0.711618381459426,0,0.0,0.6053113428202401,0,0.0,0.7372896063141176,0,0.0,1.0,0,0.0,0.9445925459572285,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9835408824162142
56.0,13,66.0,1.5348837209302326,6.417188192873835,43,90.0,2.0930232558139537,55.0,1.2790697674418605,13,66.0,55.0,3.7564357785999754,2.869565217391304,2.869565217391304,23,0,0.0,1.0,0,0.0,0.9849614029234536,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.005909720699887707,0,0.0,1.0,1,4.0,0.31683963456646286,2,8.0,0.255456188778822,5,40.0,0.0005241656301949355,2,8.0,0.10158165393416602,1,3.0,0.6473026660168807,0,0.0,1.0,0,0.0,1.0,0,0.0,0.011659232004435461,0,0.0,1.0,0,0.0,1.0,1,2.0,0.2104328656826158
64.0,24,222.0,4.188679245283019,5.158423140959073,53,246.0,4.6415094339622645,156.0,2.943396226415094,23,215.0,149.0,0.835024341637194,7.678571428571429,7.678571428571429,28,1,0.0,0.1981406052233175,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,0,0.0,1.0,3,23.0,4.272376276468874e-05,3,27.0,0.12945589882563657,5,80.0,0.0,5,39.0,0.06466762678154762,2,13.0,0.02061447018076703,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,1.0,2,16.0,0.0
72.0,28,417.0,6.515625,5.77976930814067,64,453.0,7.078125,207.0,3.234375,26,401.0,186.0,1.6095878301725834,13.366666666666667,13.366666666666667,30,0,0.0,0.9561281750955422,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8160125917711906,3,47.0,0.0,4,55.0,0.0,5,120.0,0.0,8,96.0,5.001910456861857e-05,3,35.0,8.872973794265499e-06,0,0.0,1.0,0,0.0,1.0,1,16.0,0.4759457038777988,0,0.0,1.0,0,0.0,1.0,2,32.0,0.0
80.0,37,670.0,8.7012987012987,4.9093754027321115,77,706.0,9.168831168831169,253.0,3.2857142857142856,30,616.0,215.0,1.4140733304885305,16.64864864864865,16.64864864864865,37,2,3.0,0.043569872489649254,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5607362222083512,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.3231897427677306,3,71.0,0.0,4,87.0,0.0,5,160.0,0.06657423789711124,8,160.0,0.0,4,59.0,0.0,0,0.0,1.0,0,0.0,1.0,1,24.0,0.5673869043772257,0,0.0,1.0,0,0.0,1.0,2,48.0,0.0
