step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,8.072560559325696,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.09840685252566,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5683437310962332,0,0.0,1.0,0,0.0,1.0,0,0.0,0.16977276867308813,0,0.0,0.8893036321700223
16.0,2,0.0,0.0,5.422185552730148,15,0.0,0.0,0.0,0.0,1,0.0,0.0,4.730939028272474,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,1,0.0,0.15961510681154942,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5330055594776942,0,0.0,1.0
24.0,5,22.0,0.9565217391304348,7.345130757790306,23,22.0,0.9565217391304348,22.0,0.9565217391304348,3,22.0,22.0,7.889732017216403,2.0,2.0,11,0,0.0,1.0,0,0.0,1.0,2,14.0,0.2995194792058328,0,0.0,1.0,0,0.0,0.9583966090671188,1,8.0,0.6407240604929605,0,0.0,0.7291893202109755
32.0,6,56.0,1.75,7.107193063753267,32,56.0,1.75,34.0,1.0625,5,53.0,31.0,6.685510888523274,3.7857142857142856,3.7857142857142856,14,0,0.0,1.0,0,0.0,1.0,4,37.0,0.08692128417794727,0,0.0,1.0,0,0.0,0.9201915430128015,1,16.0,0.582937971131925,0,0.0,1.0
40.0,7,99.0,2.4146341463414633,6.680939569834633,41,109.0,2.658536585365854,53.0,1.2926829268292683,7,99.0,46.0,6.046261961452318,3.8076923076923075,3.8076923076923075,26,0,0.0,0.2928469227293623,1,1.0,0.33089965683537653,5,74.0,0.0,0,0.0,0.41916190638795636,0,0.0,0.6922008571883916,1,24.0,0.5162922005025129,0,0.0,0.8423624386259714
48.0,9,61.0,1.297872340425532,6.788592663787452,47,165.0,3.5106382978723403,56.0,1.1914893617021276,7,110.0,11.0,4.096742568002443,4.4,4.4,25,0,0.0,1.0,1,6.0,0.0,2,79.0,0.07637145906776426,3,19.0,0.12207113292711995,0,1.0,0.7491568878859328,1,5.0,0.3587999454225847,0,0.0,0.39972048976451113
56.0,19,120.0,2.727272727272727,5.028710166770994,44,267.0,6.068181818181818,102.0,2.3181818181818183,18,125.0,15.0,3.088157534527888,4.166666666666667,4.166666666666667,30,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9686140859201783,9,71.0,0.00013771492149020827,1,3.0,0.5214883429609796,4,30.0,0.2745210695521225,4,20.0,0.10986500563804438
64.0,29,302.0,5.592592592592593,3.761530180975283,54,454.0,8.407407407407407,187.0,3.462962962962963,29,314.0,189.0,1.9736325975124451,7.85,7.85,40,0,0.0,1.0,0,5.0,0.9563488121655742,0,1.0,0.6178588250219939,11,141.0,0.0011371475585731897,3,20.0,0.25400213978634145,8,84.0,0.01533141164805921,7,63.0,0.037471983995869346
72.0,29,353.0,5.603174603174603,4.741051118762649,63,661.0,10.492063492063492,207.0,3.2857142857142856,25,359.0,45.0,2.8397135973395593,9.702702702702704,9.702702702702704,37,0,0.0,1.0,1,8.0,0.5325790163409125,2,13.0,0.0,1,24.0,0.3066676124075371,4,34.0,0.22118301481109318,9,155.0,0.0,8,125.0,0.22054702658214653
80.0,41,620.0,9.117647058823529,3.602086616826303,68,920.0,13.529411764705882,259.0,3.8088235294117645,32,561.0,202.0,1.6580557180726305,13.357142857142858,13.357142857142858,42,0,0.0,0.4813509661121237,5,30.0,0.0003569931417508021,2,29.0,0.2733870817642622,1,26.0,0.0,7,83.0,0.10391475331877027,9,227.0,0.16259005984272937,8,166.0,0.0
88.0,44,926.0,13.82089552238806,2.6686398833641176,67,1256.0,18.746268656716417,336.0,5.014925373134329,36,821.0,260.0,1.606173808430316,16.755102040816325,16.755102040816325,49,1,7.0,0.11031377488668911,5,70.0,0.11040150522412444,3,46.0,0.32449047447365503,0,0.0,1.0,10,154.0,0.14361718045094912,9,299.0,0.07655171044662003,8,245.0,0.0
96.0,10,61.0,0.8970588235294118,6.206121187433865,68,1447.0,21.279411764705884,191.0,2.8088235294117645,6,213.0,0.0,4.9890225185043535,7.607142857142857,7.607142857142857,28,0,0.0,1.0,1,16.0,0.2749032686461775,2,9.0,0.3944025343990474,0,0.0,1.0,3,34.0,0.33573724751520395,0,78.0,0.39637983232991575,0,76.0,0.3452576393193367
104.0,8,62.0,0.8985507246376812,8.147963809115936,69,1409.0,20.420289855072465,0.0,0.0,5,157.0,0.0,7.687604635410111,4.361111111111111,4.361111111111111,36,0,4.0,0.9401119171531689,1,13.0,0.7120113783842364,3,31.0,0.3205355997852545,0,7.0,0.3385045323748604,1,30.0,0.6758301192452212,0,54.0,0.5211228347042454,0,18.0,0.340330816313104
112.0,22,177.0,2.391891891891892,6.6251057273458995,74,1483.0,20.04054054054054,74.0,1.0,15,166.0,9.0,5.143330500197982,4.256410256410256,4.256410256410256,39,0,0.0,1.0,1,18.0,0.4557142690817835,4,57.0,0.00010764635386388456,3,28.0,0.3277825833632564,3,26.0,0.5548501408847257,4,37.0,0.2596144440828871,0,0.0,0.7557781756607416
120.0,29,372.0,4.481927710843373,5.512106359385147,83,1641.0,19.771084337349397,158.0,1.9036144578313252,24,372.0,206.0,3.4123817006678148,8.266666666666667,8.266666666666667,45,0,0.0,0.7998781362148955,1,28.0,0.7125094522645531,4,89.0,0.18496441439987163,6,60.0,2.2598389358220733e-05,5,96.0,0.35385634381923253,8,99.0,0.12729509713139978,0,0.0,1.0
128.0,41,666.0,7.655172413793103,4.557861462878921,87,1777.0,20.42528735632184,136.0,1.5632183908045978,36,632.0,260.0,2.6536084473505324,11.285714285714286,11.285714285714286,56,1,6.0,0.4621492080559145,1,34.0,0.5489752769490206,4,121.0,0.15925898030017918,7,111.0,0.0751458682660632,10,191.0,0.26541952653288914,13,169.0,0.11356146208779143,0,0.0,1.0
136.0,38,571.0,6.6395348837209305,4.116796566229235,86,1970.0,22.906976744186046,193.0,2.244186046511628,38,825.0,193.0,1.9273836197488434,13.306451612903226,13.306451612903226,62,0,0.0,0.4923865743391415,3,51.0,0.0074136626838037884,5,110.0,0.0007899132229643606,6,159.0,0.1519298287521718,11,249.0,0.17687151204391063,13,256.0,0.07674362513494642,0,0.0,1.0
144.0,35,396.0,4.4,4.325816728216756,90,1883.0,20.92222222222222,0.0,0.0,32,883.0,58.0,1.8893080721173885,14.966101694915254,14.966101694915254,59,4,15.0,0.1880565277589628,0,15.0,0.1746003252469823,1,10.0,0.3038963751669479,6,204.0,0.0,11,299.0,0.14403794941522577,10,340.0,0.1244676976786748,0,0.0,1.0
152.0,31,289.0,3.0104166666666665,5.138624290169504,96,2012.0,20.958333333333332,129.0,1.34375,31,980.0,97.0,2.34783053628384,16.065573770491802,16.065573770491802,61,5,49.0,2.400274233691464e-05,0,7.0,0.6846919830156812,0,0.0,0.9747766908337253,0,109.0,0.2972717960826642,14,401.0,0.06864152513557703,12,414.0,0.14281417048698136,0,0.0,0.6373156512638429
160.0,50,611.0,5.710280373831775,5.035286578178084,107,2335.0,21.822429906542055,323.0,3.0186915887850465,48,1272.0,292.0,2.685560744894602,18.434782608695652,18.434782608695652,69,5,94.0,0.194479792375931,1,18.0,0.7367789922620036,0,2.0,0.5440280410375488,3,79.0,0.0005582337587170108,20,540.0,0.0935640283434984,19,539.0,0.13866353822589916,0,0.0,1.0
168.0,66,1070.0,10.09433962264151,3.4240171885923565,106,2573.0,24.27358490566038,238.0,2.2452830188679247,65,1721.0,449.0,1.1844492150267774,21.5125,21.5125,80,6,130.0,0.23561770558224193,4,34.0,0.2322623385668096,2,7.0,0.2709071945961231,4,105.0,0.04619160851342596,27,741.0,0.04732323946418262,22,704.0,0.010528078494505126,0,0.0,1.0
176.0,77,1656.0,16.07766990291262,2.2310170439604917,103,3032.0,29.436893203883496,459.0,4.456310679611651,77,2309.0,588.0,0.4577710943396479,27.488095238095237,27.488095238095237,84,6,180.0,0.16349693444480473,7,84.0,4.611812697237835e-05,5,37.0,0.16155626050706356,7,154.0,1.0945330343577955e-05,29,967.0,0.0,23,887.0,0.0,0,0.0,0.0978282629479684
184.0,38,930.0,9.393939393939394,3.7756810005238632,99,3521.0,35.56565656565657,489.0,4.9393939393939394,37,1923.0,0.0,1.7625865544830552,30.523809523809526,30.523809523809526,63,0,10.0,0.4028387438405353,0,22.0,0.45658789061228866,0,28.0,0.37148105484430216,7,210.0,0.0,17,880.0,0.08217740462117466,13,773.0,0.06641481162491673,0,0.0,0.17205371810341943
192.0,33,557.0,5.57,5.20729815410499,100,3786.0,37.86,265.0,2.65,33,2019.0,96.0,1.424500650141245,33.09836065573771,33.09836065573771,61,0,0.0,1.0,0,0.0,0.978970849519323,0,0.0,0.772320390355812,7,275.0,0.09291140052269116,13,892.0,0.02642932891979786,12,846.0,0.045518297600668695,1,6.0,0.0
200.0,23,232.0,2.3434343434343434,5.076368576868896,99,3864.0,39.03030303030303,78.0,0.7878787878787878,21,1862.0,0.0,2.9312819085487942,27.791044776119403,27.791044776119403,67,1,6.0,0.5747032677333926,0,13.0,0.966019975787409,0,4.0,0.32740485881578596,5,205.0,0.045612890275304664,5,827.0,0.02891968120645306,9,793.0,0.09764671865565927,1,14.0,0.0
208.0,26,257.0,2.57,5.494879490712052,100,3691.0,36.91,0.0,0.0,23,1692.0,0.0,2.0957092724753448,29.17241379310345,29.17241379310345,58,1,9.0,0.0,0,0.0,0.9042847532992371,3,19.0,0.2720450582054181,5,218.0,0.26363580145837334,7,770.0,0.05337491024139055,6,654.0,0.08250546085370335,1,22.0,0.4640674622190444
216.0,18,147.0,1.5638297872340425,5.835038355122442,94,3353.0,35.670212765957444,0.0,0.0,17,1578.0,0.0,2.27247779124332,29.22222222222222,29.22222222222222,54,1,17.0,0.4603330004953389,0,0.0,0.5964594044840194,3,58.0,0.5155469040574179,1,70.0,0.15495522178482024,5,735.0,0.06707075373161465,6,668.0,0.0552486010131516,1,30.0,0.0
224.0,14,141.0,1.5,5.730117334392313,94,3134.0,33.340425531914896,0.0,0.0,13,1547.0,0.0,3.3892805622405304,25.360655737704917,25.360655737704917,61,1,25.0,0.4385688281173641,2,7.0,0.00020553597627197682,4,83.0,0.45162163795612004,2,31.0,0.0003917541323075191,0,744.0,0.21438853357121967,4,657.0,0.14770740544714656,0,0.0,0.9222627187381012
232.0,19,142.0,1.595505617977528,5.19846983393338,89,2733.0,30.707865168539325,0.0,0.0,19,1413.0,0.0,2.527125627692265,23.949152542372882,23.949152542372882,59,5,22.0,0.0013296677724867131,0,10.0,0.05658135777669001,4,47.0,0.18731115354056854,2,47.0,0.31653306205975196,1,678.0,0.18121100512004068,6,605.0,0.21489411555178436,1,4.0,0.0
240.0,40,382.0,4.658536585365853,3.2228464853468126,82,2532.0,30.878048780487806,0.0,0.0,39,1645.0,232.0,1.0789832573220164,27.416666666666668,27.416666666666668,60,5,62.0,0.0,2,2.0,0.0007191354983636129,8,103.0,3.408293049712646e-05,2,63.0,0.0,8,725.0,0.0927810756140055,13,677.0,0.07534181940052614,1,13.0,0.4175705593642207
248.0,53,753.0,8.755813953488373,2.826056284952589,86,2849.0,33.127906976744185,317.0,3.686046511627907,52,2035.0,390.0,1.2515888623439835,30.833333333333332,30.833333333333332,66,5,108.0,0.15320103728256018,2,30.0,0.5940459168364856,8,167.0,0.0,2,79.0,0.0,14,818.0,0.06006270641622794,18,802.0,0.027972563028933767,3,31.0,1.3452673236990236e-05
256.0,62,1218.0,13.533333333333333,2.870650429567256,90,3314.0,36.82222222222222,465.0,5.166666666666667,62,2488.0,453.0,0.8659401862307722,36.588235294117645,36.588235294117645,68,5,142.0,0.2774202718708004,4,43.0,0.17570751318626102,8,231.0,0.040808563290228854,2,95.0,0.0,21,969.0,0.04461852992756366,19,953.0,1.1182904833172965e-06,3,55.0,0.0
264.0,64,1667.0,18.119565217391305,2.5169850635680073,92,3726.0,40.5,412.0,4.478260869565218,64,2946.0,458.0,0.9594425896386716,42.08571428571429,42.08571428571429,70,6,184.0,0.19071897228716178,6,84.0,0.0,8,295.0,0.10364090624142933,1,62.0,0.4548956204992074,21,1137.0,0.028008990997366076,19,1105.0,0.04659990483097538,3,79.0,0.0
272.0,31,846.0,8.8125,3.7103730684039697,96,4176.0,43.5,450.0,4.6875,31,2414.0,0.0,1.332896890939573,46.42307692307692,46.42307692307692,52,1,95.0,0.2622232595591203,0,26.0,0.3694289420505992,1,161.0,0.0710312340578287,2,73.0,0.00024561844407987624,15,1098.0,0.019709132422229773,11,903.0,0.04379442427493093,1,58.0,0.27498464999893163
280.0,21,280.0,2.9473684210526314,6.264157485430073,95,4335.0,45.63157894736842,159.0,1.6736842105263159,16,1780.0,0.0,2.6096310980949795,39.55555555555556,39.55555555555556,45,2,15.0,0.2836292195978303,1,6.0,0.5810420621252445,0,0.0,1.0,1,13.0,0.2533642733817435,7,914.0,0.08660929857767415,4,827.0,0.17543968129219395,1,5.0,0.0
288.0,12,97.0,1.065934065934066,6.678468700195222,91,4073.0,44.75824175824176,0.0,0.0,11,1530.0,0.0,4.347193542205323,30.6,30.6,50,3,42.0,0.4210151884569408,2,25.0,0.5293092863852366,0,12.0,0.8851702237362105,0,0.0,1.0,3,830.0,0.07069326329609368,2,608.0,0.1850084545452737,1,13.0,0.4707765611405566
296.0,16,172.0,2.0476190476190474,6.573716158128162,84,3267.0,38.892857142857146,0.0,0.0,13,1194.0,0.0,3.2085447374317573,29.85,29.85,40,3,60.0,0.24803832088725658,2,36.0,0.31197917367894606,1,4.0,0.4863506885732227,0,6.0,0.9656608309206887,3,627.0,0.179869176236222,3,440.0,0.1677928823424038,1,21.0,0.0
304.0,19,283.0,3.675324675324675,6.190409603946431,77,2648.0,34.38961038961039,0.0,0.0,14,776.0,0.0,3.869285470198868,18.926829268292682,18.926829268292682,41,4,86.0,0.16685875888144888,2,51.0,0.03482953667890127,2,27.0,0.6024812588771988,1,2.0,0.02466413218283298,2,368.0,0.35899968588864856,2,213.0,0.22499011125546042,1,29.0,0.0
312.0,23,445.0,6.180555555555555,5.158411589232258,72,2300.0,31.944444444444443,0.0,0.0,21,851.0,75.0,2.871100687472479,18.91111111111111,18.91111111111111,45,6,130.0,0.1857258081881004,3,75.0,0.0035835170128409024,2,40.0,0.3208234994197964,2,17.0,0.0,5,404.0,0.1486119960018131,2,148.0,0.34343927469036833,1,37.0,0.0
320.0,31,505.0,7.318840579710145,5.039433848486216,69,2187.0,31.695652173913043,0.0,0.0,28,779.0,0.0,2.312018409705344,16.934782608695652,16.934782608695652,46,8,186.0,0.08357570203162804,4,107.0,0.0,4,58.0,0.1296865075577426,2,33.0,0.3193326691501858,6,269.0,0.13309152402385876,3,81.0,0.2698543854054896,1,45.0,0.31566113529780004
328.0,25,176.0,2.838709677419355,4.906712538843714,62,1780.0,28.70967741935484,0.0,0.0,23,552.0,0.0,2.562659359849581,14.153846153846153,14.153846153846153,39,0,50.0,0.13446162684065768,0,22.0,0.6377747666773592,5,96.0,0.20333112417479463,0,21.0,0.6924217364694124,9,256.0,0.00017865407964364895,9,107.0,0.0004593061000714572,0,0.0,0.954900384453778
336.0,27,363.0,5.854838709677419,5.178017216908473,62,1850.0,29.838709677419356,70.0,1.1290322580645162,26,683.0,131.0,2.191913515921738,17.973684210526315,17.973684210526315,38,0,9.0,0.29987529727871526,1,4.0,0.6526520833028577,5,131.0,0.19931368599160454,1,31.0,0.10001032606827487,9,328.0,0.0,10,180.0,0.000429363126823952,0,0.0,1.0
344.0,28,572.0,8.537313432835822,5.27557835077951,67,2079.0,31.029850746268657,229.0,3.417910447761194,28,863.0,180.0,1.9275791707007899,23.97222222222222,23.97222222222222,36,2,14.0,0.4567331476711467,1,12.0,0.48624494245572064,6,177.0,0.0,0,0.0,1.0,9,400.0,0.0,10,260.0,0.1049855764163229,0,0.0,1.0
352.0,29,779.0,10.819444444444445,5.070555557062706,72,2115.0,29.375,36.0,0.5,28,1062.0,199.0,1.7313909935305298,27.23076923076923,27.23076923076923,39,2,6.0,0.2764394489169346,1,18.0,0.23315152364860348,6,225.0,0.10020729957549845,0,0.0,1.0,9,472.0,0.0,10,341.0,0.06816538103665552,0,0.0,0.35359837587682363
360.0,28,749.0,9.986666666666666,4.989787351332282,75,2249.0,29.986666666666668,134.0,1.7866666666666666,28,1074.0,12.0,2.1191895382747727,26.195121951219512,26.195121951219512,41,2,17.0,0.2304816873432212,2,28.0,0.2596799896974001,7,279.0,1.3973607811556998e-06,0,0.0,0.9733334312904269,10,546.0,0.0001750005055970028,5,191.0,0.04418442896561699,2,13.0,0.23988470745558613
368.0,11,47.0,0.6619718309859155,7.804964268001346,71,2041.0,28.746478873239436,0.0,0.0,6,448.0,0.0,5.5437943387318045,18.666666666666668,18.666666666666668,24,3,13.0,1.7298034020969492e-05,0,0.0,0.5701991059540396,1,62.0,0.000952431469677666,0,0.0,1.0,0,230.0,0.2704469898502127,2,135.0,0.43821146283620305,0,8.0,0.9206201724755227
376.0,16,158.0,2.46875,7.700002614125048,64,1728.0,27.0,0.0,0.0,11,369.0,0.0,6.366130511795898,15.375,15.375,24,3,37.0,0.0,1,9.0,0.7611775500910908,1,70.0,0.0,0,0.0,1.0,3,207.0,0.13747254912901039,3,46.0,0.5337381528454834,0,0.0,1.0
384.0,18,267.0,4.045454545454546,6.668835666940725,66,1565.0,23.71212121212121,0.0,0.0,14,464.0,95.0,6.28577938759825,14.96774193548387,14.96774193548387,31,3,61.0,0.0,1,16.0,0.5353875972110436,1,79.0,0.6502908842330696,0,0.0,0.9196765074223593,4,231.0,0.0,5,77.0,0.4797517237555521,0,0.0,0.9397646519898206
392.0,22,344.0,5.0588235294117645,6.306746089451531,68,1647.0,24.220588235294116,82.0,1.2058823529411764,13,466.0,2.0,5.839291902145471,14.121212121212121,14.121212121212121,33,3,85.0,0.053118333372837646,1,22.0,0.0,1,87.0,0.6425598045258019,0,1.0,0.6631762848257801,1,146.0,0.034022976445777196,7,125.0,0.3346317386463173,0,0.0,0.7840871349776816
400.0,28,497.0,7.417910447761194,5.473433625801823,67,1447.0,21.597014925373134,0.0,0.0,19,463.0,0.0,3.1431552457555907,15.433333333333334,15.433333333333334,30,4,116.0,0.0,1,30.0,0.0,2,96.0,0.3886245752289251,2,15.0,0.0,1,21.0,0.0,9,185.0,0.13825685996036793,0,0.0,0.6513075916476518
408.0,27,481.0,8.016666666666667,3.9596242091884064,60,1302.0,21.7,0.0,0.0,21,576.0,113.0,1.6752361071730637,16.0,16.0,36,4,148.0,0.1738215278564972,2,42.0,0.14786130609202475,2,108.0,0.20372002004785597,2,31.0,0.0,1,29.0,0.0,8,209.0,0.06080100406095024,2,9.0,2.4623066617526628e-05
416.0,15,168.0,2.7540983606557377,4.968495995714329,61,1083.0,17.75409836065574,0.0,0.0,15,401.0,0.0,2.5933211808968855,12.935483870967742,12.935483870967742,31,1,70.0,0.05855686083785182,0,2.0,0.7480142290816746,4,137.0,0.19129216257355694,2,47.0,0.0,0,27.0,0.24428379328746214,6,93.0,0.14013848801830237,2,25.0,0.0
424.0,21,254.0,4.096774193548387,5.52101003647381,62,1167.0,18.822580645161292,84.0,1.3548387096774193,17,349.0,0.0,2.1523105884338944,13.96,13.96,25,1,8.0,0.0,2,7.0,0.3223033185984855,4,169.0,0.15036658510703024,1,1.0,0.33014661026451747,1,8.0,0.0,6,115.0,0.07354407843835217,2,41.0,0.0
432.0,23,406.0,6.548387096774194,5.225627468369249,62,1345.0,21.693548387096776,178.0,2.870967741935484,21,512.0,163.0,2.2763097609406717,18.285714285714285,18.285714285714285,28,1,19.0,0.6701493713379534,2,21.0,0.3262443879795586,7,220.0,1.9242723067671265e-06,2,17.0,0.0042303419556979855,1,16.0,0.341704553877905,6,162.0,0.06240996366566615,2,57.0,0.0
440.0,24,584.0,9.419354838709678,4.499617636422922,62,1364.0,22.0,19.0,0.3064516129032258,24,699.0,187.0,2.0372296858001238,20.558823529411764,20.558823529411764,34,1,24.0,0.4714432183621461,2,38.0,0.10978533705310116,7,276.0,0.0,4,44.0,6.695059693102047e-06,2,34.0,0.2273586986712582,6,210.0,0.22866492929542662,2,73.0,0.0
448.0,28,555.0,8.409090909090908,4.172340413910989,66,1494.0,22.636363636363637,130.0,1.9696969696969697,25,743.0,44.0,1.8865913061893702,21.852941176470587,21.852941176470587,34,2,39.0,0.2768524797890329,3,63.0,0.12047754324319296,7,332.0,0.12253785245364682,4,76.0,0.0,6,66.0,0.0001392932534918892,1,78.0,0.29655099098957766,2,89.0,0.15929425704017502
456.0,8,59.0,0.8309859154929577,6.698173194369655,71,1598.0,22.507042253521128,104.0,1.4647887323943662,4,240.0,0.0,6.029434455067894,8.0,8.0,30,1,5.0,0.32291274432772993,1,5.0,0.2559879601220723,0,138.0,0.06249769195985001,1,24.0,0.0,0,55.0,0.5322382424005765,0,2.0,0.5379178628110923,1,11.0,0.686180584735307
464.0,24,168.0,2.27027027027027,7.010759277217355,74,1533.0,20.716216216216218,0.0,0.0,13,254.0,14.0,5.075305102922757,9.407407407407407,9.407407407407407,27,4,30.0,0.0015626963079404962,1,11.0,0.22543633652720926,3,176.0,0.0021753319144956302,0,0.0,0.9768465035290111,0,9.0,0.8369076503368346,4,19.0,0.5061893208339681,1,9.0,0.3772787505407432
472.0,28,287.0,3.54320987654321,6.517798126427124,81,1541.0,19.02469135802469,8.0,0.09876543209876543,17,398.0,144.0,6.917601352654934,9.95,9.95,40,5,70.0,0.0,1,19.0,0.49477061051933835,3,219.0,0.6055603715225495,1,3.0,0.00012062980554557736,0,18.0,0.7217811265069257,6,52.0,0.49776852995763926,1,17.0,0.6649811923151203
480.0,25,395.0,4.7023809523809526,6.2775220873985385,84,1600.0,19.047619047619047,59.0,0.7023809523809523,19,504.0,106.0,4.787234111707703,12.6,12.6,40,5,110.0,0.09710636076451874,1,27.0,0.43031541231139786,4,209.0,0.2508542019883282,0,2.0,0.3146234574765558,1,8.0,0.5506046701213121,7,123.0,0.2568897688492474,1,25.0,0.7545553893575563
