step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.682739018714589,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.431002060351684,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9248945056538735,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,2,5.0,0.2631578947368421,11.52871721026943,19,5.0,0.2631578947368421,5.0,0.2631578947368421,2,5.0,5.0,9.44407355053031,0.8333333333333334,0.8333333333333334,6,0,0.0,1.0,0,0.0,1.0,1,3.0,5.950931672959155e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9459607544400678,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.4351656974415453,0,0.0,1.0,0,0.0,1.0
40.0,6,26.0,0.7878787878787878,9.362995134633493,33,26.0,0.7878787878787878,21.0,0.6363636363636364,4,26.0,21.0,5.81653340146845,2.1666666666666665,2.1666666666666665,12,1,0.0,0.0,0,0.0,1.0,1,11.0,0.14290971832891744,0,0.0,0.4825178975384113,0,0.0,1.0,0,0.0,0.9720824287544964,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,2,15.0,1.564660125662414e-05,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,3,9.0,0.24324324324324326,9.948777775018216,37,53.0,1.4324324324324325,27.0,0.7297297297297297,3,20.0,0.0,5.799918245578743,1.25,1.25,16,0,0.0,0.012472992572931859,0,0.0,1.0,1,2.0,0.15371689976914749,0,0.0,0.4747080498801052,0,0.0,0.7193267769505143,0,0.0,0.6795806266013067,1,4.0,0.1381060198076631,0,0.0,0.045496607742805874,0,0.0,1.0,0,11.0,0.5887933520037607,0,0.0,1.0,1,3.0,0.4302223867300592
56.0,11,66.0,1.5,7.980623935695636,44,111.0,2.522727272727273,58.0,1.3181818181818181,11,66.0,46.0,3.660355206693001,3.0,3.0,22,2,9.0,0.09572121229073763,0,0.0,0.9306584071588214,2,12.0,0.1878657729430901,1,7.0,0.0,0,0.0,1.0,1,0.0,0.4121529097857615,2,17.0,0.3037981815893447,1,7.0,0.0,0,0.0,0.14101929787476333,0,0.0,0.01393129881108266,0,0.0,0.7497998406386968,2,14.0,5.529743273760282e-05
64.0,16,181.0,3.851063829787234,8.151679666069338,47,226.0,4.808510638297872,115.0,2.4468085106382977,16,181.0,115.0,4.25864451517361,7.24,7.24,25,4,38.0,1.799288586008508e-06,0,0.0,0.91964611224449,4,36.0,0.3010232761707385,1,15.0,0.0,0,0.0,1.0,0,0.0,0.8948335257462875,3,39.0,0.3926586272538862,1,15.0,0.0,0,0.0,0.029407678351150168,1,8.0,0.46450650108968783,0,0.0,1.0,2,30.0,0.0
72.0,22,330.0,6.470588235294118,6.730910681589781,51,360.0,7.0588235294117645,134.0,2.627450980392157,22,330.0,149.0,2.4510929078393486,11.0,11.0,30,5,72.0,0.00026237933101744276,0,0.0,0.7065550359732473,5,74.0,0.0,1,23.0,0.030712820931057393,0,0.0,1.0,0,0.0,0.9546493450999879,5,68.0,0.1583676655465703,1,23.0,0.0,1,8.0,0.0,2,16.0,0.3433509673500335,0,0.0,1.0,2,46.0,0.0
80.0,26,512.0,8.533333333333333,6.495827002911633,60,542.0,9.033333333333333,182.0,3.033333333333333,26,512.0,182.0,3.8210307082947654,13.128205128205128,13.128205128205128,39,5,112.0,0.0,0,0.0,0.4792646920574741,7,116.0,0.013894746764386309,2,39.0,0.0,0,0.0,1.0,0,0.0,0.965833293374293,6,111.0,7.685085852631701e-05,1,31.0,0.0,1,16.0,0.46832818892733286,2,25.0,0.5497766677274791,0,0.0,1.0,2,62.0,0.2849101181145888
88.0,27,580.0,8.656716417910447,6.247561952899144,67,746.0,11.134328358208956,204.0,3.044776119402985,25,646.0,134.0,4.01701841193697,15.023255813953488,15.023255813953488,43,5,152.0,0.12402719548054288,1,8.0,0.0,1,62.0,0.2408463242732588,2,55.0,0.4921984661973701,0,0.0,1.0,0,0.0,0.6374576670060019,6,159.0,0.0,1,39.0,0.46035312480804685,3,37.0,0.19860499887656294,4,49.0,0.24305565939728582,0,0.0,1.0,2,85.0,0.2969696548884977
96.0,9,130.0,1.7567567567567568,9.842606040273335,74,859.0,11.608108108108109,113.0,1.527027027027027,8,194.0,0.0,5.389144945711796,8.818181818181818,8.818181818181818,22,1,31.0,0.2262398517523435,0,0.0,1.0,2,39.0,0.26687388279372565,0,0.0,0.740413465684559,0,0.0,1.0,1,3.0,0.45999435567747476,0,0.0,0.45018315021291294,0,0.0,1.0,0,5.0,0.6696608294368743,0,6.0,0.15896019528308958,0,0.0,0.9607191313333379,4,110.0,0.09382699403990553
104.0,5,44.0,0.5432098765432098,12.115400316872213,81,907.0,11.197530864197532,48.0,0.5925925925925926,5,61.0,0.0,9.06168938087325,2.9047619047619047,2.9047619047619047,21,1,15.0,0.0,0,0.0,0.7139162453556491,1,11.0,0.0,1,5.0,0.48956032766161595,0,0.0,1.0,1,14.0,0.7559858265967956,0,0.0,0.7463216638053289,0,5.0,0.9004534955024587,1,11.0,0.3610893565945263,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
112.0,11,108.0,1.2857142857142858,10.97374712317263,84,872.0,10.380952380952381,0.0,0.0,11,124.0,63.0,7.746686507459422,3.875,3.875,32,1,23.0,0.0,1,3.0,0.3986744910308251,1,19.0,0.0890309146970739,2,17.0,0.09726946752906451,0,0.0,1.0,1,19.0,0.6524482029330354,0,4.0,0.8702535016015563,0,0.0,0.9427194464467906,4,35.0,0.30918086629877417,0,1.0,0.9516874904364123,0,0.0,1.0,1,3.0,0.6422577595691924
120.0,18,231.0,2.5384615384615383,10.979390201174908,91,953.0,10.472527472527473,81.0,0.8901098901098901,18,241.0,117.0,6.0277988294696225,7.774193548387097,7.774193548387097,31,1,31.0,0.35678335365576114,1,11.0,0.6168268993948224,1,27.0,0.0,4,40.0,9.493663094624771e-05,0,0.0,1.0,3,33.0,0.0,1,6.0,0.48480908858821886,0,0.0,0.9534045292926792,6,83.0,0.3092145733335896,0,1.0,0.9495984600273129,0,0.0,1.0,1,9.0,0.5932547744329572
