step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,7.200012728550936,10,0.0,0.0,0.0,0.0,0,0.0,0.0,11.98811221034266,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9064962011784687,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,4,0.0,0.0,9.619697079683158,27,0.0,0.0,0.0,0.0,1,0.0,0.0,10.818182421202932,0.0,0.0,9,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9289574847706459,0,0.0,0.9783921470852261,0,0.0,0.8053899493907487,0,0.0,0.6777829833574868,0,0.0,0.5808730066872624,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,4,1.0,0.023255813953488372,10.160768529514298,43,1.0,0.023255813953488372,1.0,0.023255813953488372,1,1.0,1.0,9.909485321106642,0.09090909090909091,0.09090909090909091,11,1,1.0,0.14229989178558183,0,0.0,1.0,0,0.0,0.11107774548396745,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9363366720224754,0,0.0,0.8474967043274669,0,0.0,0.927181910336359,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,4,20.0,0.37037037037037035,11.217374767422395,54,20.0,0.37037037037037035,19.0,0.35185185185185186,3,20.0,19.0,10.719098416162355,1.1764705882352942,1.1764705882352942,17,2,14.0,0.34320658364140955,0,0.0,1.0,1,6.0,0.536729930935941,0,0.0,0.7020295346438971,0,0.0,1.0,0,0.0,0.8461175125948349,0,0.0,0.9377566597890734,0,0.0,0.916464921647718,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,10,21.0,0.2876712328767123,9.614078942368396,73,58.0,0.7945205479452054,38.0,0.5205479452054794,7,28.0,8.0,7.430562815337643,1.12,1.12,25,1,3.0,0.2543028485946237,0,0.0,0.9785468415735958,1,9.0,0.4199420289502223,1,5.0,0.41453736959752796,0,0.0,1.0,2,9.0,0.4950617120110875,2,2.0,0.4717503128555571,0,0.0,0.5710031176035083,0,0.0,1.0,0,0.0,0.9857019004666424,0,0.0,1.0,0,0.0,1.0
48.0,11,52.0,0.5977011494252874,9.3340968335708,87,121.0,1.3908045977011494,63.0,0.7241379310344828,8,62.0,34.0,6.452670881639994,1.878787878787879,1.878787878787879,33,1,9.0,0.120344349972953,0,0.0,0.9643051912550324,3,19.0,0.38774715417234035,1,13.0,0.47939395494551834,0,0.0,1.0,1,10.0,0.3838235576601247,1,10.0,0.47198086254232274,0,0.0,0.44876735644807714,0,0.0,1.0,1,1.0,0.4628376678019042,0,0.0,1.0,0,0.0,1.0
56.0,15,87.0,0.9354838709677419,9.681464342001282,93,214.0,2.3010752688172045,93.0,1.0,14,106.0,44.0,7.356634593141095,2.864864864864865,2.864864864864865,37,4,24.0,0.10357464643104786,0,0.0,0.8848830111154855,4,32.0,0.33646659285234093,2,7.0,0.3923776625601863,0,5.0,0.5498358784514539,2,23.0,0.6357094945316368,0,2.0,0.7734924435564953,0,0.0,0.9280257263052931,0,0.0,1.0,2,13.0,0.4765738765381663,0,0.0,0.012744492239560931,0,0.0,1.0
64.0,29,243.0,2.2710280373831777,8.376298743100442,107,371.0,3.467289719626168,157.0,1.4672897196261683,25,268.0,162.0,5.038084434185415,5.702127659574468,5.702127659574468,47,7,65.0,0.04717912941743592,1,5.0,4.666098514208746e-05,4,56.0,0.3011120893460142,5,39.0,0.12781825050796605,1,10.0,0.14433972839017684,3,41.0,0.48328544443603105,0,0.0,0.758736193130912,0,5.0,0.7904294916621692,0,0.0,1.0,3,39.0,0.3805945705385918,1,8.0,0.0,0,0.0,1.0
72.0,36,474.0,3.95,7.887302421608211,120,625.0,5.208333333333333,254.0,2.1166666666666667,34,505.0,237.0,3.4882277673065087,9.017857142857142,9.017857142857142,56,9,127.0,0.0001422903918025778,1,13.0,0.48786604287221075,5,94.0,0.21670764929398437,4,80.0,0.24483090976221958,2,23.0,0.0,4,66.0,0.19608423202669137,0,0.0,0.6016859275341139,2,13.0,0.436962960051478,0,0.0,1.0,6,73.0,0.0009994116179082053,1,16.0,0.0,0,0.0,1.0
80.0,47,716.0,5.303703703703704,6.993707289684031,135,951.0,7.044444444444444,326.0,2.414814814814815,43,778.0,273.0,3.505163068600518,11.441176470588236,11.441176470588236,68,9,134.0,0.08327080759982272,2,28.0,0.3397729275321624,6,150.0,0.31611647644781404,8,141.0,0.0012833768146958027,3,40.0,0.04196007819107001,5,98.0,0.15556755745057044,1,8.0,0.6235313444996947,2,29.0,0.5156873208151699,0,0.0,0.13770939015636838,6,121.0,0.1416022474481665,1,24.0,0.0,0,5.0,0.224573481529458
