step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
2408.0,0,0.0,0.0,5.66411325570893,5,0.0,0.0,0.0,0.0,0,0.0,0.0,4.4129101448692385,0.0,0.0,1,0,0.0,0.31770411410145705
2416.0,0,0.0,0.0,8.823051136154293,11,0.0,0.0,0.0,0.0,0,0.0,0.0,10.133065668810856,0.0,0.0,4,0,0.0,0.7307063026903964
2424.0,2,1.0,0.06666666666666667,7.141161905467569,15,1.0,0.06666666666666667,1.0,0.06666666666666667,1,1.0,1.0,4.929992366355899,0.2,0.2,5,1,1.0,0.3616000684997963
2432.0,0,0.0,0.0,6.4673946779898355,15,15.0,1.0,14.0,0.9333333333333333,0,3.0,2.0,6.8373173033818775,0.5,0.5,6,0,3.0,0.4671256359013541
2440.0,2,7.0,0.4117647058823529,7.829595698640013,17,22.0,1.2941176470588236,7.0,0.4117647058823529,1,7.0,4.0,6.696069046608024,1.4,1.4,5,1,7.0,0.5013457171621518
2448.0,2,17.0,1.3076923076923077,8.786322151435662,13,24.0,1.8461538461538463,2.0,0.15384615384615385,1,15.0,8.0,7.774498136293765,3.75,3.75,4,1,15.0,0.5428379249676736
2456.0,1,23.0,1.9166666666666667,9.366808912615982,12,28.0,2.3333333333333335,4.0,0.3333333333333333,1,23.0,8.0,7.387512072663023,4.6,4.6,5,1,23.0,0.5188902078412472
2464.0,2,31.0,2.8181818181818183,8.012327477534209,11,31.0,2.8181818181818183,3.0,0.2727272727272727,2,31.0,8.0,6.6890542339006505,3.875,3.875,8,2,31.0,0.47482748110767553
2472.0,1,39.0,2.7857142857142856,8.659518813275994,14,39.0,2.7857142857142856,8.0,0.5714285714285714,1,39.0,8.0,6.398192696611675,4.333333333333333,4.333333333333333,9,1,39.0,0.45978166493370654
2480.0,6,66.0,3.8823529411764706,6.367403325169329,17,66.0,3.8823529411764706,27.0,1.588235294117647,6,66.0,27.0,4.359418560485233,5.076923076923077,5.076923076923077,13,6,66.0,0.3081752101720227
2488.0,10,70.0,3.1818181818181817,4.333370701036118,22,117.0,5.318181818181818,51.0,2.3181818181818183,10,70.0,4.0,3.119024420674082,4.117647058823529,4.117647058823529,17,10,70.0,0.23810274021570207
2496.0,15,166.0,6.384615384615385,3.806179785350361,26,166.0,6.384615384615385,49.0,1.8846153846153846,14,166.0,96.0,2.452153914364797,8.736842105263158,8.736842105263158,19,14,166.0,0.18634538711196513
2504.0,17,289.0,8.757575757575758,3.9695322894916067,33,290.0,8.787878787878787,124.0,3.757575757575758,17,289.0,123.0,2.010614039818394,12.041666666666666,12.041666666666666,24,17,289.0,0.14555501063348444
2512.0,21,441.0,12.6,3.7733254260191584,35,442.0,12.628571428571428,152.0,4.3428571428571425,21,441.0,152.0,1.6428122676269141,16.333333333333332,16.333333333333332,27,21,441.0,0.11772512653214148
2520.0,25,621.0,17.742857142857144,2.931174773136547,35,622.0,17.771428571428572,180.0,5.142857142857143,25,621.0,180.0,1.5229232312687904,20.7,20.7,30,25,621.0,0.10361465450833571
2528.0,2,2.0,0.058823529411764705,7.536663701771008,34,690.0,20.294117647058822,68.0,2.0,0,241.0,0.0,4.838500055513802,13.38888888888889,13.38888888888889,18,0,241.0,0.357791806808522
2536.0,1,10.0,0.30303030303030304,10.788104444064308,33,549.0,16.636363636363637,0.0,0.0,0,0.0,0.0,9.30520016702749,0.0,0.0,9,0,0.0,0.670818861210341
2544.0,2,3.0,0.125,10.599637791311325,24,101.0,4.208333333333333,0.0,0.0,1,3.0,3.0,8.90049848699638,0.5,0.5,6,1,3.0,0.6287692557669414
2552.0,4,12.0,0.7058823529411765,8.453849274355516,17,12.0,0.7058823529411765,0.0,0.0,3,11.0,8.0,6.462410726734035,1.375,1.375,8,3,11.0,0.4597880406993851
