step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,11.392585175787099,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,7.012020135788578,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.01097218079182,0.0,0.0,3,0,0.0,0.5878727982763153
24.0,1,0.0,0.0,9.168706318520437,10,0.0,0.0,0.0,0.0,0,0.0,0.0,10.309642855343805,0.0,0.0,3,0,0.0,0.7378882135824177
32.0,1,0.0,0.0,9.41819386636004,14,0.0,0.0,0.0,0.0,1,0.0,0.0,7.6764295545214,0.0,0.0,5,1,0.0,0.5237791076780229
40.0,1,0.0,0.0,9.28989372520967,16,0.0,0.0,0.0,0.0,1,0.0,0.0,7.700653019186438,0.0,0.0,8,1,0.0,0.5488215357557256
48.0,1,2.0,0.11764705882352941,8.883919615618742,17,2.0,0.11764705882352941,2.0,0.11764705882352941,1,2.0,2.0,6.723418883587385,0.2,0.2,10,1,2.0,0.49101938733599193
56.0,7,27.0,1.5,5.115009853397966,18,28.0,1.5555555555555556,26.0,1.4444444444444444,7,28.0,26.0,4.031523217165308,1.75,1.75,16,7,28.0,0.28619136399623046
64.0,12,104.0,5.2,3.0444967848969418,20,105.0,5.25,77.0,3.85,12,105.0,77.0,2.9946385971244793,5.526315789473684,5.526315789473684,19,12,105.0,0.21530458735235977
72.0,16,220.0,7.857142857142857,3.1139045014520415,28,221.0,7.892857142857143,116.0,4.142857142857143,16,221.0,116.0,2.525272080223763,8.5,8.5,26,16,221.0,0.18191269769476232
80.0,22,373.0,10.657142857142857,2.24434492717347,35,375.0,10.714285714285714,154.0,4.4,22,375.0,154.0,1.515797984843993,11.71875,11.71875,32,22,375.0,0.1153685681849091
88.0,29,578.0,14.45,1.296835557310629,40,582.0,14.55,207.0,5.175,29,581.0,206.0,0.6901293851636481,15.289473684210526,15.289473684210526,38,29,581.0,0.049797183622722244
96.0,12,151.0,3.682926829268293,3.33744713376484,41,749.0,18.26829268292683,167.0,4.073170731707317,12,432.0,0.0,2.204278445264938,13.5,13.5,32,12,432.0,0.16048834247636365
104.0,14,89.0,1.8936170212765957,6.235759079603614,47,851.0,18.106382978723403,102.0,2.1702127659574466,12,305.0,0.0,1.9805529363397263,12.2,12.2,25,12,305.0,0.13879264481243112
112.0,13,97.0,2.6944444444444446,4.0828085317225415,36,577.0,16.02777777777778,0.0,0.0,12,401.0,96.0,1.1408245130689025,16.04,16.04,25,12,401.0,0.08287855011612749
120.0,13,106.0,3.0285714285714285,4.238542955585417,35,600.0,17.142857142857142,23.0,0.6571428571428571,13,363.0,0.0,2.199532424463737,13.444444444444445,13.444444444444445,27,13,363.0,0.15921383668824557
128.0,16,61.0,1.8484848484848484,2.3541337530085102,33,573.0,17.363636363636363,0.0,0.0,16,441.0,78.0,0.4353905202920167,17.64,17.64,25,16,441.0,0.030557171431438736
136.0,13,126.0,3.7058823529411766,3.6899669069389374,34,686.0,20.176470588235293,113.0,3.323529411764706,13,489.0,48.0,1.0657941543834368,20.375,20.375,24,13,489.0,0.08093243200621772
144.0,16,181.0,5.027777777777778,3.516534311796316,36,678.0,18.833333333333332,0.0,0.0,15,537.0,48.0,1.7606478134361563,19.88888888888889,19.88888888888889,27,15,537.0,0.12438743224652062
