step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,7.299463236494922,4,0.0,0.0,0.0,0.0,0,0.0,0.0,8.403782363367888,0.0,0.0,3,0,0.0,0.6104797027663987
16.0,1,0.0,0.0,8.615101684720718,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.159129140081815,0.0,0.0,7,0,0.0,0.6344067118962334
24.0,3,4.0,0.18181818181818182,8.374392473407143,22,4.0,0.18181818181818182,4.0,0.18181818181818182,1,1.0,1.0,7.4674380069262,0.125,0.125,8,1,1.0,0.5121077397115918
32.0,5,31.0,1.2916666666666667,7.440821586378765,24,31.0,1.2916666666666667,27.0,1.125,2,9.0,8.0,6.691175752886157,1.2857142857142858,1.2857142857142858,7,2,9.0,0.5061967803337126
40.0,7,76.0,2.923076923076923,6.543581469165981,26,76.0,2.923076923076923,45.0,1.7307692307692308,2,17.0,8.0,6.162323913544814,1.8888888888888888,1.8888888888888888,9,2,17.0,0.45158066372216354
48.0,7,126.0,5.25,6.890545963720456,24,126.0,5.25,50.0,2.0833333333333335,1,25.0,8.0,7.682984574754703,3.125,3.125,8,1,25.0,0.5610870682327689
56.0,8,31.0,1.1071428571428572,5.254890026216519,28,182.0,6.5,56.0,2.0,4,43.0,18.0,4.891731615519442,4.3,4.3,10,4,43.0,0.38434297788658994
64.0,9,66.0,2.2,6.487894027420094,30,238.0,7.933333333333334,56.0,1.8666666666666667,7,56.0,13.0,3.3710501772607304,4.666666666666667,4.666666666666667,12,7,56.0,0.25445634538622075
72.0,11,145.0,5.0,5.887357957008818,29,233.0,8.03448275862069,0.0,0.0,9,119.0,63.0,3.1929684139439245,7.933333333333334,7.933333333333334,15,9,119.0,0.23874330926968937
80.0,15,207.0,6.46875,4.3508114263725535,32,241.0,7.53125,8.0,0.25,13,205.0,86.0,1.8406240987790201,11.38888888888889,11.38888888888889,18,13,205.0,0.13142573490047715
