step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.641248743161216,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.028504853361908,0.0,0.0,3,0,0.0,0.1757290212889994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10001175667687548,0,0.0,0.8368242681550757,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.42558125108192,13,0.0,0.0,0.0,0.0,0,0.0,0.0,8.678464359063781,0.0,0.0,6,0,0.0,0.9575656623415475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4961491118995283,0,0.0,0.5297116034424184,0,0.0,0.22700411842176027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9149161517148396,0,0.0,1.0
24.0,1,7.0,0.3684210526315789,10.931823263997916,19,7.0,0.3684210526315789,7.0,0.3684210526315789,1,7.0,7.0,10.90328410870114,1.0,1.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9329769092540146,0,0.0,1.0,1,7.0,0.0,0,0.0,0.7102191171336407,0,0.0,0.7758499539837294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,2,15.0,0.5769230769230769,10.34900298451106,26,15.0,0.5769230769230769,8.0,0.3076923076923077,1,15.0,8.0,11.228686631437881,1.25,1.25,12,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9440108559257213,0,0.0,1.0,1,15.0,0.47817268747375813,0,0.0,0.5260902278243645,0,0.0,0.6112011723381778,0,0.0,1.0,0,0.0,0.9685615687124135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,2,23.0,0.7419354838709677,10.491528309563302,31,23.0,0.7419354838709677,8.0,0.25806451612903225,1,23.0,8.0,10.092757435304076,1.7692307692307692,1.7692307692307692,13,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7712096925159433,0,0.0,1.0,1,23.0,0.5316318610813401,0,0.0,0.6367125788181477,0,0.0,0.6596704564506307,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9558836713754977
48.0,5,11.0,0.275,8.776968508137207,40,36.0,0.9,13.0,0.325,4,13.0,0.0,8.106324303948533,0.6842105263157895,0.6842105263157895,19,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.7147322030829301,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9117085235723205,0,0.0,0.5808229775916823,3,11.0,0.20966969368785401,0,0.0,0.6889312193463064,0,0.0,0.5126919614817377,0,0.0,0.021142773823497905,0,0.0,1.0,0,0.0,0.9033334210982742,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7977317303759288
56.0,15,75.0,1.7045454545454546,6.409989536255761,44,103.0,2.340909090909091,67.0,1.5227272727272727,15,77.0,64.0,4.357078647946867,3.08,3.08,25,0,0.0,1.0,0,0.0,0.9652852617686476,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,0,0.0,0.8012738141792147,0,0.0,1.0,1,1.0,0.002822590537921594,0,0.0,1.0,1,3.0,0.32660541918162894,2,8.0,0.2914570295403233,5,41.0,0.00023658789884177072,2,4.0,0.2563444428394737,1,5.0,0.6268509194367525,0,0.0,1.0,0,0.0,1.0,1,2.0,0.002841734546825456,0,0.0,1.0,0,0.0,1.0,1,5.0,0.3878122002945509
64.0,25,237.0,4.388888888888889,5.047178025039762,54,265.0,4.907407407407407,162.0,3.0,24,232.0,155.0,0.4546967139571577,8.285714285714286,8.285714285714286,28,1,0.0,0.20290965083873203,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,16.0,0.0,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,0,0.0,1.0,3,23.0,7.942045986753303e-06,4,28.0,0.0010792832455618331,5,81.0,0.0,5,34.0,0.025169741927597952,1,13.0,0.08271959320581936,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,1.0,0,0.0,1.0,2,18.0,2.820102361658165e-05
72.0,30,443.0,6.815384615384615,5.82304263163325,65,481.0,7.4,216.0,3.3230769230769233,27,429.0,197.0,1.2695580689620038,14.3,14.3,30,0,0.0,0.9346918180749897,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,24.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,47.0,0.0,4,60.0,0.0,5,121.0,0.0,8,88.0,0.0002748940722171821,3,37.0,0.0,0,0.0,1.0,0,0.0,1.0,1,18.0,0.34750605722669897,0,0.0,1.0,0,0.0,1.0,2,34.0,0.0
80.0,39,702.0,9.0,5.022012708340951,78,740.0,9.487179487179487,259.0,3.3205128205128207,32,655.0,226.0,1.3294595981114672,17.236842105263158,17.236842105263158,38,2,4.0,0.0037917159999172143,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,33.0,0.0017451640124663227,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7792633843374914,3,71.0,0.0,4,92.0,0.0,5,161.0,0.057292004923126076,8,152.0,0.0,4,61.0,0.0,0,0.0,1.0,0,0.0,1.0,2,31.0,0.45401497620155196,0,0.0,1.0,0,0.0,1.0,2,50.0,0.0
