step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,1,0.0,0.0,7.750406784894253,8,0.0,0.0,0.0,0.0,0,0.0,0.0,10.589639128254413,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8007488980067791,0,0.0,1.0
16.0,2,4.0,0.18181818181818182,6.34543565469549,22,4.0,0.18181818181818182,4.0,0.18181818181818182,1,4.0,4.0,5.7796074206877055,0.5714285714285714,0.5714285714285714,7,0,0.0,1.0,0,0.0,0.9136916839770165,0,0.0,0.11892006819653932,0,0.0,1.0,0,0.0,1.0,1,4.0,0.44530597836487656,0,0.0,0.14621477056336282
24.0,4,15.0,0.38461538461538464,7.433609089619749,39,15.0,0.38461538461538464,11.0,0.28205128205128205,3,15.0,11.0,6.972910305933231,1.1538461538461537,1.1538461538461537,13,0,0.0,1.0,0,0.0,0.36043609002936,0,0.0,0.8586020684505147,0,0.0,0.8886485119992231,0,0.0,0.6830432361485662,3,15.0,0.3497110517197341,0,0.0,0.4376883457372094
32.0,15,74.0,1.3703703703703705,6.72518915258957,54,75.0,1.3888888888888888,60.0,1.1111111111111112,14,74.0,59.0,4.931838761134842,2.96,2.96,25,0,0.0,0.5352312378343796,3,13.0,0.3406312821955437,2,4.0,0.4351736645719593,1,4.0,7.812989068064272e-06,1,1.0,0.48535037048504787,6,46.0,0.24156321037415301,1,6.0,0.5428772948318726
40.0,19,191.0,3.0317460317460316,5.863254127125167,63,195.0,3.0952380952380953,120.0,1.9047619047619047,17,194.0,120.0,4.021909390551228,6.258064516129032,6.258064516129032,31,1,6.0,0.0,3,41.0,0.22922819398608596,2,13.0,0.4817904949540015,2,14.0,0.005051770511337342,1,9.0,0.5645260501158033,6,94.0,0.2276147569067945,2,17.0,0.43164751429064463
48.0,22,161.0,2.267605633802817,6.170714633509119,71,335.0,4.71830985915493,140.0,1.971830985915493,13,180.0,0.0,4.954407564230101,6.206896551724138,6.206896551724138,29,0,0.0,0.9249256578997349,3,35.0,0.21947475153279425,0,0.0,0.9284165162106973,4,41.0,0.17660030995452908,4,27.0,0.34180401738608995,0,44.0,0.3650897678840498,2,33.0,0.24695776030796399
56.0,28,247.0,3.049382716049383,6.108198438637313,81,517.0,6.382716049382716,182.0,2.246913580246914,17,141.0,0.0,4.519011359282044,3.810810810810811,3.810810810810811,37,2,6.0,0.48383128266877073,1,11.0,0.4383685473169036,2,3.0,0.3244421049209749,5,78.0,0.19652243008943948,3,32.0,0.4000039283216987,3,7.0,0.22590944386197837,1,4.0,0.23076951757544836
64.0,43,523.0,5.876404494382022,5.258166483164375,89,795.0,8.932584269662922,278.0,3.1235955056179776,28,352.0,211.0,3.988770924720461,7.48936170212766,7.48936170212766,47,3,25.0,0.2370905746604311,3,33.0,0.2361811532826818,5,43.0,0.42136524908678774,5,118.0,0.1684648868484732,6,72.0,0.3425164247211719,3,36.0,0.15911493593150317,3,25.0,0.1785028405844376
72.0,52,736.0,7.36,4.572506720624071,100,1135.0,11.35,340.0,3.4,40,503.0,151.0,2.382466190949519,8.672413793103448,8.672413793103448,58,4,51.0,0.1713173534243544,5,67.0,0.14702910045512077,8,93.0,0.28918832834230274,3,37.0,0.21255334498271275,10,135.0,0.09027797456836059,5,72.0,0.13798237999574545,5,48.0,1.9056734355516817e-05
80.0,63,1018.0,9.425925925925926,3.473647608680555,108,1589.0,14.712962962962964,454.0,4.203703703703703,55,905.0,402.0,1.4161032899696835,13.308823529411764,13.308823529411764,68,5,85.0,0.08665306594950227,8,113.0,0.1090106388199185,14,217.0,0.1463728443184485,4,56.0,0.19527657151243788,13,233.0,0.03793939040974177,6,113.0,0.09292381040037076,5,88.0,0.06313331106926501
