step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,3,2.0,0.13333333333333333,5.54060794687232,15,2.0,0.13333333333333333,2.0,0.13333333333333333,2,2.0,2.0,4.078344223457032,0.2857142857142857,0.2857142857142857,7,0,0.0,1.0,0,0.0,1.0,2,2.0,0.12146887907393202,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5446235483531164,0,0.0,1.0
24.0,5,23.0,1.0,7.388357114360079,23,23.0,1.0,21.0,0.9130434782608695,3,23.0,21.0,7.21403948448,2.090909090909091,2.090909090909091,11,0,0.0,1.0,0,0.0,1.0,2,15.0,0.3412522650861606,0,0.0,1.0,0,0.0,0.9395686815641922,1,8.0,0.4780052342515075,0,0.0,0.6753999214186904
32.0,6,57.0,1.78125,7.52978216631872,32,57.0,1.78125,34.0,1.0625,5,56.0,33.0,7.252666287827787,4.0,4.0,14,0,0.0,1.0,0,0.0,1.0,4,40.0,0.0653186047562257,0,0.0,1.0,0,0.0,0.9786947350242278,1,16.0,0.6267293922625446,0,0.0,1.0
40.0,9,105.0,2.441860465116279,7.1848387544089265,43,111.0,2.5813953488372094,54.0,1.255813953488372,8,105.0,49.0,6.059653230216527,4.038461538461538,4.038461538461538,26,0,0.0,1.0,0,0.0,0.2994639953807744,5,79.0,0.0,1,1.0,0.4137095379512852,0,0.0,0.6636465125772361,2,25.0,0.4959355945508707,0,0.0,0.7893561121081314
48.0,11,71.0,1.5777777777777777,6.487268156584248,45,178.0,3.9555555555555557,67.0,1.488888888888889,9,121.0,16.0,4.1007982019146745,4.84,4.84,25,0,0.0,1.0,1,6.0,0.0,2,82.0,0.07630268024863122,4,20.0,0.0813193352556236,0,1.0,0.7593257740447372,2,12.0,0.3952465244670024,0,0.0,0.35844345150419177
56.0,23,144.0,3.2,4.612405003422768,45,294.0,6.533333333333333,116.0,2.577777777777778,21,160.0,39.0,2.558356356127673,5.161290322580645,5.161290322580645,31,0,0.0,1.0,0,0.0,0.9436548325806713,0,16.0,0.5605333460808123,9,78.0,0.08677987256497958,0,1.0,0.5103298190298372,9,50.0,0.12242019380550317,3,15.0,0.04333389303672158
64.0,33,345.0,6.388888888888889,4.039541966997533,54,505.0,9.351851851851851,211.0,3.9074074074074074,33,361.0,201.0,2.2391850606917547,8.804878048780488,8.804878048780488,41,0,0.0,1.0,0,5.0,0.9246176132918119,0,1.0,0.9345460003550974,12,160.0,1.8384311063565736e-05,3,19.0,0.22104750232184275,11,125.0,5.3288275214582056e-05,7,51.0,0.0919574453409607
72.0,29,395.0,6.370967741935484,4.620952976396107,62,721.0,11.629032258064516,216.0,3.4838709677419355,26,403.0,42.0,2.454841606902636,10.605263157894736,10.605263157894736,38,0,0.0,1.0,1,3.0,0.5751173512357756,2,6.0,0.0004250520426524726,1,26.0,0.2826161500511981,3,43.0,0.2439220996116629,11,213.0,0.0,8,112.0,0.12782939174529068
80.0,40,650.0,9.420289855072463,3.764862907193398,69,975.0,14.130434782608695,254.0,3.681159420289855,32,586.0,183.0,1.852710792365583,13.952380952380953,13.952380952380953,42,0,0.0,0.4721450141401327,5,25.0,0.0006794423871808799,2,17.0,0.274560536943673,1,25.0,0.0,5,66.0,0.23539470461213532,11,301.0,0.14430090769890608,8,152.0,0.0
