step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,6.355091753776652,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,7.488607391556499,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.225336147489607,17,0.0,0.0,0.0,0.0,0,0.0,0.0,9.305628429792817,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9707310616289062,0,0.0,0.9031863360552224,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3181112913546586,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8270020609671628,0,0.0,1.0,0,0.0,1.0
32.0,1,4.0,0.21052631578947367,11.29162864185232,19,4.0,0.21052631578947367,4.0,0.21052631578947367,1,4.0,4.0,10.285830929000333,0.8,0.8,5,0,0.0,1.0,0,0.0,1.0,1,4.0,0.0002019852879580133,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8214479703036162,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7517003754088534,0,0.0,1.0,0,0.0,1.0
40.0,4,12.0,0.36363636363636365,9.767123516312584,33,13.0,0.3939393939393939,9.0,0.2727272727272727,2,13.0,9.0,7.104804175447493,1.3,1.3,10,1,0.0,0.0,0,0.0,1.0,1,13.0,0.10681348785331557,0,0.0,0.21484089062384468,0,0.0,1.0,0,0.0,0.9705027426359631,0,0.0,0.40604197983457835,0,0.0,0.07059903475455782,0,0.0,1.0,0,0.0,0.9469879426054235,0,0.0,1.0,0,0.0,0.5420591494026836
48.0,1,2.0,0.05405405405405406,12.69878636482392,37,19.0,0.5135135135135135,6.0,0.16216216216216217,1,3.0,0.0,10.898116291862967,0.3333333333333333,0.3333333333333333,9,0,0.0,0.9644987345452695,0,0.0,1.0,1,3.0,0.16539008842271305,0,0.0,1.0,0,0.0,0.860793421033518,0,0.0,0.929983667726332,0,0.0,0.28147525457596684,0,0.0,1.0,0,0.0,0.9426290703874103,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5752773064214849
56.0,7,12.0,0.27906976744186046,9.627319258033607,43,34.0,0.7906976744186046,15.0,0.3488372093023256,7,12.0,9.0,3.9266037868280064,0.8571428571428571,0.8571428571428571,14,1,3.0,2.361439072498753e-05,0,0.0,0.960025349949652,1,1.0,0.23412699157892936,0,0.0,1.0,0,0.0,1.0,2,2.0,0.01958408699171613,1,1.0,0.6515008731247921,1,2.0,0.01968680800650906,0,0.0,0.10342795822900358,0,0.0,1.0,0,0.0,1.0,1,3.0,1.156652150699929e-05
64.0,3,13.0,0.28888888888888886,11.267827480822449,45,63.0,1.4,29.0,0.6444444444444445,3,13.0,1.0,8.290098133598732,1.3,1.3,10,2,12.0,0.003944599731323546,0,0.0,0.9210121286223153,0,0.0,0.5452320315019212,0,0.0,1.0,0,0.0,1.0,0,0.0,0.933696010558718,0,0.0,0.994101568792401,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9681778227409065,0,0.0,1.0,1,1.0,0.002657135759027152
72.0,2,4.0,0.0851063829787234,10.442688613555612,47,76.0,1.6170212765957446,13.0,0.2765957446808511,2,11.0,0.0,7.70981171032201,0.6111111111111112,0.6111111111111112,18,0,0.0,0.9706072654930088,0,0.0,0.7756160361378832,1,4.0,0.378879334872231,0,0.0,0.03308817477805737,0,0.0,1.0,0,0.0,0.9669401666155218,0,5.0,0.49869617868122773,0,0.0,0.012222970266926841,0,2.0,0.5132151437801933,1,0.0,0.5145781521405017,0,0.0,1.0,0,0.0,0.10363042675204881
80.0,3,17.0,0.30357142857142855,10.974738484662762,56,99.0,1.7678571428571428,23.0,0.4107142857142857,3,27.0,16.0,9.522469772491423,1.2272727272727273,1.2272727272727273,22,1,5.0,0.0,0,0.0,0.5777514355722797,2,12.0,0.04050250779314999,0,0.0,1.0,0,4.0,0.6531460527424823,0,6.0,0.7226842807286097,0,0.0,0.010901946617164385,0,0.0,1.0,0,0.0,0.8559907001721743,0,0.0,0.9310195467275287,0,0.0,1.0,0,0.0,0.6153665413437589
88.0,7,14.0,0.21875,9.762361119757063,64,129.0,2.015625,30.0,0.46875,6,17.0,0.0,5.477892178218032,0.85,0.85,20,0,0.0,0.48841748883850583,1,1.0,0.0008556787493024775,0,0.0,0.5686605363787715,0,0.0,0.9824983577411481,0,0.0,1.0,2,4.0,0.318700689096995,0,0.0,1.0,0,0.0,0.047903599234462385,0,3.0,0.30448721202893936,2,5.0,0.32054922892245397,0,0.0,1.0,1,4.0,1.181722920643484e-05
96.0,2,12.0,0.16901408450704225,11.506276867181226,71,166.0,2.3380281690140845,37.0,0.5211267605633803,2,21.0,4.0,8.862623613158672,1.4,1.4,15,1,8.0,0.46357189168797824,0,0.0,1.0,1,4.0,0.017026503390331314,0,0.0,0.9793175019127132,0,0.0,1.0,0,3.0,0.8860892187433542,0,0.0,1.0,0,3.0,0.9643229514761655,0,3.0,0.6528774822290677,0,0.0,0.15062101454619448,0,0.0,0.8902146377124502,0,0.0,0.5740070116471837
104.0,6,39.0,0.5064935064935064,11.272197649492323,77,191.0,2.4805194805194803,25.0,0.3246753246753247,6,63.0,42.0,7.530775857006223,2.1724137931034484,2.1724137931034484,29,1,16.0,0.0,0,2.0,0.9517578638714447,1,12.0,0.2382615146618259,0,0.0,0.8624937646697979,0,0.0,1.0,0,0.0,0.957227585556525,0,6.0,0.5942244118729462,0,5.0,0.3918245231259583,1,10.0,0.44312861199627557,0,0.0,0.9312152026846328,0,0.0,1.0,3,12.0,0.16125596822026214
112.0,6,33.0,0.4177215189873418,10.677255555365061,79,236.0,2.9873417721518987,45.0,0.569620253164557,6,45.0,0.0,8.575143198612848,2.25,2.25,20,0,0.0,1.0,1,5.0,0.18849832598662505,0,5.0,0.6854212161547015,0,0.0,0.9569692436642625,0,0.0,1.0,1,2.0,0.6313394027506928,0,0.0,0.7468456673392098,0,0.0,0.9800579625930121,3,31.0,0.1899244864636155,1,1.0,0.003523107448083998,0,0.0,1.0,0,1.0,0.9829449802170477
120.0,6,29.0,0.3333333333333333,11.842432390916823,87,278.0,3.1954022988505746,42.0,0.4827586206896552,5,35.0,0.0,8.1020919037322,1.75,1.75,20,0,0.0,1.0,1,13.0,0.6085857493416378,0,0.0,0.8577915897853694,0,0.0,1.0,0,0.0,1.0,2,7.0,0.31511557051023426,1,6.0,0.4247661976415318,1,3.0,0.3023948678790351,0,5.0,0.6886156610502753,0,0.0,1.0,0,0.0,1.0,0,1.0,0.4799184840446511
128.0,5,62.0,0.6739130434782609,11.574263248131862,92,336.0,3.652173913043478,58.0,0.6304347826086957,5,89.0,54.0,8.0837840780851,3.7083333333333335,3.7083333333333335,24,0,0.0,0.734667776658202,1,27.0,0.3432128038501253,0,0.0,0.9294715667953586,0,0.0,0.7784010428927559,0,0.0,0.43367830269561686,2,23.0,0.29874109463915577,2,23.0,0.3701225267014472,0,0.0,1.0,0,6.0,0.52729866572096,0,7.0,0.6171496973056592,0,0.0,1.0,0,3.0,0.2707274485725859
136.0,8,57.0,0.6063829787234043,11.595268784055104,94,377.0,4.01063829787234,41.0,0.43617021276595747,6,73.0,0.0,7.428006733495067,3.8421052631578947,3.8421052631578947,19,0,0.0,0.1350467993433745,0,6.0,0.5365853305093133,0,0.0,1.0,0,0.0,1.0,1,1.0,0.001891076755732254,2,39.0,0.2738672392029837,0,3.0,0.6434315231665808,0,0.0,0.28532214748776236,3,17.0,1.047659105198013e-05,0,2.0,0.9408042430756467,0,0.0,1.0,0,5.0,0.948718212095621
144.0,7,21.0,0.21212121212121213,11.203701757947648,99,405.0,4.090909090909091,28.0,0.2828282828282828,2,29.0,0.0,10.050947314686255,1.2083333333333333,1.2083333333333333,24,0,0.0,1.0,0,0.0,0.9216130748957541,0,4.0,0.5388765421262564,0,0.0,1.0,0,3.0,0.9585565777824134,0,6.0,0.6319677584966527,0,0.0,0.7310644547219421,1,10.0,0.32963709568231503,0,0.0,0.9382389513886411,0,0.0,0.9535784177552253,0,3.0,0.9442443581417221,1,3.0,0.0
152.0,9,49.0,0.494949494949495,10.979578663417104,99,445.0,4.494949494949495,40.0,0.40404040404040403,3,39.0,10.0,9.627894552877523,1.8571428571428572,1.8571428571428572,21,0,3.0,0.039897590894040914,0,0.0,1.0,1,13.0,0.5021936697989378,0,0.0,1.0,1,5.0,0.0014472769562308338,0,0.0,0.964014779838096,1,6.0,0.372633715097791,0,0.0,0.2196324210844401,0,3.0,0.8169225395870814,0,4.0,0.8373132134331465,0,3.0,0.9440991280664717,0,2.0,0.6369326082820271
160.0,8,39.0,0.3939393939393939,11.459005015435636,99,445.0,4.494949494949495,0.0,0.0,3,48.0,9.0,8.819472115896891,2.1818181818181817,2.1818181818181817,22,0,1.0,0.3312445558298695,0,4.0,0.9755187006251876,2,26.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5510907864737784,0,6.0,0.701942306169355,1,8.0,0.573137551192425,0,0.0,0.37627525740883117,0,0.0,1.0,0,3.0,0.9271037129060407,0,0.0,0.5991208828482253
168.0,6,30.0,0.3125,11.574401083445954,96,455.0,4.739583333333333,10.0,0.10416666666666667,2,17.0,0.0,8.978065906061705,1.3076923076923077,1.3076923076923077,13,0,0.0,1.0,0,0.0,0.9430703185855226,0,0.0,0.9353950545792528,0,0.0,0.3908627588301807,0,0.0,1.0,0,1.0,0.9622430676444658,1,4.0,0.44791447745525775,0,0.0,1.0,0,5.0,0.30802454379696165,0,0.0,0.7862659346620521,1,7.0,0.4807222717580185,0,0.0,0.5568157786738732
176.0,7,40.0,0.43956043956043955,10.750852208306917,91,415.0,4.56043956043956,0.0,0.0,4,50.0,33.0,7.443812821210449,1.9230769230769231,1.9230769230769231,26,0,0.0,1.0,0,15.0,0.7403079105397238,1,0.0,0.522893734888406,0,3.0,0.9249289067241367,0,0.0,1.0,0,0.0,0.2816831301124144,0,3.0,0.46461731303076254,0,2.0,0.37530824598389023,1,7.0,0.3373460045991126,0,0.0,0.859875346370058,1,15.0,0.0,1,5.0,0.0
184.0,5,23.0,0.24210526315789474,11.363036244739313,95,455.0,4.7894736842105265,40.0,0.42105263157894735,1,12.0,0.0,10.326444578148884,0.8,0.8,15,0,0.0,0.29669052588414785,0,0.0,1.0,0,0.0,0.8764759151779491,1,9.0,0.586605392353174,0,0.0,0.17089338002256704,0,0.0,1.0,0,0.0,0.9509228241188887,0,0.0,1.0,0,0.0,1.0,0,3.0,0.46788993414297014,0,0.0,1.0,0,0.0,0.8655412610300256
192.0,8,72.0,0.7741935483870968,10.012560174600594,93,483.0,5.193548387096774,28.0,0.3010752688172043,3,65.0,53.0,7.4899342348171976,2.5,2.5,26,1,3.0,0.49439830910445454,0,0.0,0.6824610923083976,0,30.0,0.44738380953501683,1,14.0,0.0,0,0.0,1.0,0,0.0,0.3637502471681605,0,2.0,0.3011816864154135,0,4.0,0.33157936030662305,1,7.0,0.4910941983730965,0,0.0,0.6668796146769153,0,0.0,1.0,0,5.0,0.5541390290700287
200.0,3,29.0,0.30851063829787234,10.908891582671437,94,484.0,5.148936170212766,1.0,0.010638297872340425,0,10.0,0.0,8.869368058524822,0.5882352941176471,0.5882352941176471,17,0,1.0,0.00545807852851444,0,0.0,1.0,0,3.0,0.6608503082511257,0,0.0,0.42586300442283875,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6461305574395071,0,0.0,0.9463182206927816,0,6.0,0.3417329761808208,0,0.0,0.5076935410996715,0,0.0,1.0,0,0.0,0.5512734300909119
208.0,8,14.0,0.14736842105263157,11.176947097166444,95,494.0,5.2,10.0,0.10526315789473684,4,32.0,22.0,7.493631032060115,1.3333333333333333,1.3333333333333333,24,1,4.0,0.32661560977720433,0,0.0,0.04799953035699663,1,1.0,0.7253417779382868,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9965430437239755,0,5.0,0.7573745430651616,1,10.0,0.4599857800758032,1,5.0,0.15669884779148588,0,4.0,0.3925729174428555,0,0.0,1.0,0,0.0,1.0
216.0,7,42.0,0.42424242424242425,10.764284041410251,99,509.0,5.141414141414141,15.0,0.15151515151515152,5,89.0,57.0,8.085753995941856,2.966666666666667,2.966666666666667,30,1,9.0,0.0,0,0.0,1.0,1,42.0,0.2890355676704326,0,2.0,0.5839904604918654,0,0.0,1.0,0,0.0,0.928348839863946,1,2.0,0.002941181616997486,2,28.0,0.31541778598447834,0,2.0,0.7463149081715188,0,0.0,0.9858308542393545,0,0.0,1.0,0,4.0,0.7163189229987073
224.0,11,58.0,0.6170212765957447,10.792120051172787,94,544.0,5.787234042553192,35.0,0.3723404255319149,11,97.0,8.0,7.224590044245648,3.2333333333333334,3.2333333333333334,30,1,17.0,0.04931854163508629,0,0.0,0.8949230265415099,2,10.0,0.32593433054874393,1,8.0,0.46907328820828126,0,1.0,0.2730968141453325,1,6.0,0.4366813208157505,0,0.0,0.5356476657471589,1,9.0,0.769832809813505,1,6.0,0.6403466849299098,0,0.0,0.5376071396234009,0,0.0,1.0,4,40.0,0.0012741887546865668
232.0,9,76.0,0.8085106382978723,11.404613367222362,94,591.0,6.287234042553192,47.0,0.5,6,152.0,55.0,8.799673875583835,4.606060606060606,4.606060606060606,33,1,25.0,0.28612334310224813,0,0.0,0.9071850542410073,0,3.0,0.6205900675722237,1,16.0,0.0,0,0.0,0.9436033553866195,0,0.0,0.19664491432441272,0,3.0,0.9066449900915627,1,17.0,0.7219889326929352,1,14.0,0.5442023868419565,0,2.0,0.908449967382961,0,0.0,1.0,2,72.0,0.28893541635242936
240.0,6,47.0,0.5,11.872011639056902,94,594.0,6.319148936170213,3.0,0.031914893617021274,5,86.0,0.0,8.565484735274106,3.44,3.44,25,1,5.0,0.4028338974824355,0,0.0,0.9433640328994541,1,4.0,0.0,0,2.0,0.49199314033223834,0,3.0,0.15490909685256304,0,0.0,0.7464222053949842,0,0.0,1.0,2,30.0,0.41858195664862036,0,0.0,0.6109242892789485,0,2.0,0.8947194495920335,0,0.0,1.0,1,40.0,0.5219663986521943
248.0,13,104.0,1.118279569892473,11.16309311077587,93,578.0,6.21505376344086,0.0,0.0,11,139.0,53.0,6.3336910447073755,4.793103448275862,4.793103448275862,29,3,15.0,0.017362833310995744,0,3.0,0.9165309708146754,1,4.0,0.45645142731699906,0,3.0,0.3567987693605983,0,0.0,0.1863699004765837,2,14.0,0.5266572914132162,1,3.0,0.6112990261906778,3,49.0,0.2330669429018381,0,0.0,0.9204993527036542,0,0.0,1.0,0,0.0,1.0,1,48.0,0.46326881242058515
256.0,14,163.0,1.7526881720430108,10.328580049962756,93,643.0,6.913978494623656,65.0,0.6989247311827957,10,172.0,33.0,6.006652198726053,6.88,6.88,25,3,29.0,0.1372828601385888,0,0.0,1.0,0,0.0,0.01588113631962692,1,4.0,0.46830939757553824,0,0.0,1.0,2,25.0,0.47726548063028684,0,4.0,0.6443795212369041,3,73.0,0.0,0,4.0,0.9902020361767057,0,0.0,1.0,0,0.0,1.0,1,33.0,0.19103832635389215
