step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.373261649929917,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.990227706425622,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.09599309502759,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.293759475462725,0.0,0.0,5,0,0.0,1.0,0,0.0,0.959067796369068,0,0.0,0.8808562342931802,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4132094154850635,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8367236458092828,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.545693846554348,19,0.0,0.0,0.0,0.0,0,0.0,0.0,13.52010255188852,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9330482558836293,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9334369190428864,0,0.0,1.0,0,0.0,1.0
40.0,4,1.0,0.030303030303030304,10.286244000093147,33,1.0,0.030303030303030304,1.0,0.030303030303030304,2,1.0,1.0,6.993432834116642,0.1111111111111111,0.1111111111111111,9,1,0.0,0.0,0,0.0,1.0,0,0.0,0.3951413494534593,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9438451082303855,0,0.0,0.41741946423067866,0,0.0,0.12402108932495254,0,0.0,1.0,1,1.0,0.004888695075498505,0,0.0,1.0,0,0.0,0.40179410842131724
48.0,1,2.0,0.05405405405405406,12.810934315468545,37,6.0,0.16216216216216217,5.0,0.13513513513513514,1,2.0,1.0,10.813878026382014,0.14285714285714285,0.14285714285714285,14,0,0.0,0.951027938394199,0,0.0,1.0,1,2.0,0.2816022980871841,0,0.0,0.3189370620679131,0,0.0,0.758846376344491,0,0.0,0.9287621950670739,0,0.0,0.3037238804164019,0,0.0,0.5110175445497261,0,0.0,1.0,0,0.0,0.9272344963312216,0,0.0,1.0,0,0.0,0.6968057117463234
56.0,2,3.0,0.07142857142857142,11.237492825075394,42,13.0,0.30952380952380953,7.0,0.16666666666666666,2,3.0,1.0,9.708929599140854,0.3,0.3,10,1,3.0,0.06338733811136604,0,0.0,1.0,0,0.0,0.7796684099765719,0,0.0,1.0,0,0.0,1.0,1,0.0,0.2678932636076018,0,0.0,0.587002958612753,0,0.0,1.0,0,0.0,0.9613144585550764,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,1,1.0,0.02127659574468085,11.945889572768138,47,25.0,0.5319148936170213,12.0,0.2553191489361702,1,3.0,0.0,10.83839158736015,0.21428571428571427,0.21428571428571427,14,0,0.0,1.0,0,0.0,0.9295007021732745,0,0.0,0.7165488934518601,0,0.0,1.0,0,0.0,1.0,0,0.0,0.977430242745661,0,2.0,0.8815350649795279,0,0.0,1.0,1,1.0,0.25761639670240105,0,0.0,0.9287444363885234,0,0.0,1.0,0,0.0,0.010279466717454763
72.0,4,8.0,0.16,10.469485054429914,50,40.0,0.8,15.0,0.3,4,18.0,15.0,7.082146639751562,1.0,1.0,18,0,0.0,0.2798658915205719,0,0.0,0.7275881493245961,2,7.0,0.00040885319013900793,0,0.0,1.0,0,3.0,0.3021750542249215,0,3.0,0.4665850492188571,0,1.0,0.6873993374300235,0,3.0,0.3445709695340518,0,0.0,1.0,1,0.0,0.5694923481642975,0,0.0,1.0,1,1.0,0.0016409017982927183
80.0,5,5.0,0.08771929824561403,11.042627308778968,57,57.0,1.0,17.0,0.2982456140350877,5,5.0,0.0,7.439793588961838,0.2631578947368421,0.2631578947368421,19,0,0.0,1.0,1,2.0,0.5956234665337833,1,0.0,0.05646216579315367,0,0.0,1.0,0,0.0,0.2529386732311177,0,0.0,0.9176001955244542,1,1.0,0.0010372948583080783,0,0.0,1.0,0,0.0,0.5731426187275004,1,1.0,0.728801756636224,0,0.0,1.0,1,1.0,0.35601105627438173
