step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,0,0.0,0.0,10.908768005236595,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838168337323859
24.0,1,0.0,0.0,7.433151306025313,7,0.0,0.0,0.0,0.0,1,0.0,0.0,4.997035476103261,0.0,0.0,5,1,0.0,0.3315585181081839
32.0,0,0.0,0.0,12.970946470466975,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.844466713834812,0.0,0.0,4,0,0.0,0.8635415365250677
40.0,0,0.0,0.0,12.346700344664244,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.64423445058687,0.0,0.0,4,0,0.0,0.9348921423526418
48.0,0,0.0,0.0,9.490573552342903,9,0.0,0.0,0.0,0.0,0,0.0,0.0,9.148828885063285,0.0,0.0,7,0,0.0,0.6050087726145309
56.0,0,0.0,0.0,10.101371961693491,10,2.0,0.2,2.0,0.2,0,0.0,0.0,8.460234019505465,0.0,0.0,6,0,0.0,0.5195090616483395
64.0,1,7.0,0.7777777777777778,7.643393075104872,9,11.0,1.2222222222222223,9.0,1.0,1,7.0,7.0,6.345568285846028,1.1666666666666667,1.1666666666666667,6,1,7.0,0.3701433175996806
72.0,3,21.0,2.1,9.222242866834648,10,25.0,2.5,14.0,1.4,3,21.0,14.0,5.86913480860012,3.0,3.0,7,3,21.0,0.2997960418300443
80.0,2,37.0,3.083333333333333,9.698664577016858,12,41.0,3.4166666666666665,16.0,1.3333333333333333,2,37.0,16.0,7.031734893501034,4.111111111111111,4.111111111111111,9,2,37.0,0.4667542173458631
88.0,3,53.0,3.3125,9.813147129050968,16,53.0,3.3125,12.0,0.75,3,53.0,16.0,8.316447614799259,4.416666666666667,4.416666666666667,12,3,53.0,0.5431319456702811
96.0,2,69.0,3.8333333333333335,8.934940536109453,18,69.0,3.8333333333333335,16.0,0.8888888888888888,2,69.0,16.0,8.105015432827948,4.6,4.6,15,2,69.0,0.5459740897882105
104.0,1,2.0,0.1,8.957144083434494,20,78.0,3.9,9.0,0.45,1,2.0,0.0,9.602472692480568,0.1333333333333333,0.1333333333333333,15,1,2.0,0.6329633372706466
112.0,3,4.0,0.1739130434782608,8.281699435203837,23,13.0,0.5652173913043478,0.0,0.0,3,4.0,2.0,7.4541072539958835,0.2352941176470588,0.2352941176470588,17,3,4.0,0.4722223517596883
120.0,6,40.0,1.818181818181818,9.171313602666151,22,40.0,1.818181818181818,27.0,1.2272727272727273,6,40.0,36.0,6.905363991876351,2.3529411764705883,2.3529411764705883,17,6,40.0,0.461101828229021
128.0,2,1.0,0.0454545454545454,6.541546455207281,22,71.0,3.227272727272727,31.0,1.4090909090909092,1,14.0,0.0,6.429467412990901,0.9333333333333332,0.9333333333333332,15,1,14.0,0.4289691199051978
136.0,6,21.0,0.875,7.887325149288221,24,62.0,2.583333333333333,0.0,0.0,6,35.0,21.0,6.229147462653304,2.1875,2.1875,16,6,35.0,0.4367841029869795
144.0,7,70.0,3.1818181818181817,8.399630534076922,22,84.0,3.8181818181818175,22.0,1.0,6,78.0,43.0,6.23147482969361,5.2,5.2,15,6,78.0,0.4361361333213012
152.0,2,1.0,0.0434782608695652,7.562621816089947,23,120.0,5.217391304347826,36.0,1.565217391304348,2,46.0,0.0,6.426819309277551,2.7058823529411766,2.7058823529411766,17,2,46.0,0.4395371450097037
160.0,5,15.0,0.625,7.843541518228831,24,74.0,3.083333333333333,0.0,0.0,5,61.0,15.0,7.568055428725123,3.388888888888889,3.388888888888889,18,5,61.0,0.4725084246318625
168.0,6,10.0,0.3846153846153846,7.226099525249565,26,100.0,3.8461538461538463,26.0,1.0,6,28.0,0.0,6.50524737194158,1.4,1.4,20,6,28.0,0.424720162354988
176.0,8,48.0,1.7142857142857142,8.981559153867465,28,67.0,2.392857142857143,0.0,0.0,8,49.0,21.0,6.782524916127572,2.333333333333333,2.333333333333333,21,8,49.0,0.4426947094995074
184.0,4,6.0,0.2142857142857142,7.132284354900614,28,84.0,3.0,17.0,0.6071428571428571,4,19.0,0.0,6.950315427877047,0.8636363636363636,0.8636363636363636,22,4,19.0,0.4526755652452662
192.0,5,36.0,1.2,9.365720365640929,30,64.0,2.1333333333333333,0.0,0.0,4,30.0,11.0,7.684618595524955,1.5,1.5,20,4,30.0,0.4843837556978211
200.0,9,79.0,3.0384615384615383,7.518458810359697,26,102.0,3.923076923076923,38.0,1.4615384615384617,9,79.0,49.0,7.265334174348971,3.4347826086956523,3.4347826086956523,23,9,79.0,0.4643099844864071
