step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,8.01692360566698,11,0.0,0.0,0.0,0.0,0,0.0,0.0,6.969504840951399,0.0,0.0,3,0,0.0,1.0,0,0.0,0.5441184040775258,0,0.0,0.959419166900201
24.0,1,0.0,0.0,8.406141804829224,17,0.0,0.0,0.0,0.0,0,0.0,0.0,5.967873678803671,0.0,0.0,3,0,0.0,0.093798116336793,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,2,0.0,0.0,8.897113500333276,24,0.0,0.0,0.0,0.0,0,0.0,0.0,6.597454501978286,0.0,0.0,3,0,0.0,0.4482677495532168,0,0.0,0.7205931375175709,0,0.0,1.0
40.0,5,6.0,0.2,8.224781517938826,30,14.0,0.4666666666666667,14.0,0.4666666666666667,4,3.0,3.0,5.207775318080561,0.375,0.375,8,3,3.0,0.2308001346499951,1,0.0,0.6358842561910673,0,0.0,0.729724504733074
48.0,5,1.0,0.0256410256410256,9.675395779275709,39,18.0,0.4615384615384615,4.0,0.1025641025641025,3,4.0,1.0,8.977540195490612,0.3636363636363636,0.3636363636363636,11,1,4.0,0.6711535163685068,1,0.0,0.6647325112275676,1,0.0,0.0
56.0,7,28.0,0.6829268292682927,9.503194032276449,41,45.0,1.0975609756097562,27.0,0.6585365853658537,4,15.0,11.0,5.2356062622825945,1.875,1.875,8,2,7.0,0.3307314716420303,2,8.0,0.4641189347177836,0,0.0,0.9416661425721804
64.0,5,32.0,0.6530612244897959,10.086067576084425,49,80.0,1.6326530612244898,35.0,0.7142857142857143,1,1.0,0.0,10.53613638809882,0.0909090909090909,0.0909090909090909,11,1,1.0,0.580187122709214,0,0.0,0.8882571966545288,0,0.0,0.9488076108727526
72.0,8,44.0,0.8627450980392157,8.781420464137682,51,102.0,2.0,22.0,0.4313725490196078,3,16.0,15.0,6.241619268859389,1.3333333333333333,1.3333333333333333,12,1,10.0,0.6014340476877578,1,6.0,0.2954971709549878,1,0.0,0.5531319512519667
80.0,4,22.0,0.4150943396226415,9.478463050294472,53,138.0,2.60377358490566,36.0,0.6792452830188679,3,46.0,30.0,7.908678515570132,3.2857142857142856,3.2857142857142856,14,0,0.0,0.6793589788621306,3,43.0,0.5444956594513172,0,3.0,0.8200719883841765
