step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,6.987318956965487,11,0.0,0.0,0.0,0.0,0,0.0,0.0,5.534552172771068,0.0,0.0,4,0,0.0,1.0,0,0.0,0.5441184040775258,0,0.0,0.525499812690749
24.0,1,0.0,0.0,8.272791463697715,17,2.0,0.1176470588235294,2.0,0.1176470588235294,0,0.0,0.0,5.967873678803671,0.0,0.0,3,0,0.0,0.093798116336793,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,3,1.0,0.0416666666666666,8.870279544211686,24,3.0,0.125,1.0,0.0416666666666666,0,0.0,0.0,6.597454501978286,0.0,0.0,3,0,0.0,0.4482677495532168,0,0.0,0.7205931375175709,0,0.0,1.0
40.0,5,6.0,0.2,8.282548517794515,30,17.0,0.5666666666666667,14.0,0.4666666666666667,4,3.0,3.0,4.288388876618909,0.4285714285714285,0.4285714285714285,7,3,3.0,0.2308001346499951,1,0.0,0.4782283621680181,0,0.0,0.7573355720538923
48.0,6,2.0,0.05,8.697343427230274,40,22.0,0.55,5.0,0.125,4,9.0,6.0,7.160166169956917,0.6428571428571429,0.6428571428571429,14,1,4.0,0.6711535163685068,2,5.0,0.4955642222844756,1,0.0,0.0037574057701184
56.0,7,25.0,0.5952380952380952,9.039554547120956,42,58.0,1.380952380952381,36.0,0.8571428571428571,3,9.0,0.0,4.66349018207914,1.5,1.5,6,2,8.0,0.3069661440223297,1,1.0,0.4437455902689717,0,0.0,0.922991182139352
64.0,4,28.0,0.56,10.08947110648668,50,96.0,1.92,38.0,0.76,1,1.0,0.0,10.908776869204717,0.0833333333333333,0.0833333333333333,12,1,1.0,0.5984335620017812,0,0.0,0.9143149583811504,0,0.0,0.9519366232047176
72.0,11,44.0,0.8627450980392157,7.785037284780375,51,112.0,2.196078431372549,16.0,0.3137254901960784,5,17.0,16.0,4.774015040880607,1.2142857142857142,1.2142857142857142,14,3,9.0,0.002491266575237,1,8.0,0.4613420921785174,1,0.0,0.6035071110984747
80.0,7,42.0,0.7777777777777778,8.62858652000713,54,182.0,3.3703703703703702,70.0,1.2962962962962965,5,60.0,43.0,6.2748411097574,3.75,3.75,16,1,13.0,0.5550221729386147,4,47.0,0.3961133291285346,0,0.0,0.6951837842100793
