step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,0,0.0,0.0,6.408266991966134,7,0.0,0.0,0.0,0.0,0,0.0,0.0,8.504766717167566,0.0,0.0,4,0,0.0,1.0,0,0.0,0.928359202262152,0,0.0,0.541802507326143,0,0.0,0.950370794848945,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.386583370259487,14,0.0,0.0,0.0,0.0,0,0.0,0.0,9.673763243238348,0.0,0.0,8,0,0.0,1.0,0,0.0,0.9217739470164965,0,0.0,0.6976959429638083,0,0.0,0.9795891670431746,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,9.090559570605176,20,0.0,0.0,0.0,0.0,0,0.0,0.0,9.365371180708124,0.0,0.0,13,0,0.0,0.6399760112666912,0,0.0,0.6711734198976117,0,0.0,0.7410053629201426,0,0.0,0.9471620641981381,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,9.42343140308936,25,1.0,0.04,1.0,0.04,0,0.0,0.0,9.534457435648601,0.0,0.0,16,0,0.0,0.7188525550143621,0,0.0,0.6003897241094206,0,0.0,0.8152973054295748,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6519475635162895,0,0.0,1.0
40.0,1,0.0,0.0,9.423417929235,34,1.0,0.029411764705882353,0.0,0.0,1,0.0,0.0,9.370527735703607,0.0,0.0,20,0,0.0,0.8566876224806141,1,0.0,0.7116609585067369,0,0.0,0.760174288377948,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,2,5.0,0.13513513513513514,9.04750499601815,37,6.0,0.16216216216216217,5.0,0.13513513513513514,2,6.0,6.0,8.150482773545388,0.2727272727272727,0.2727272727272727,22,1,2.0,0.5836123233262996,1,4.0,0.588251279534434,0,0.0,0.7829713857087564,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,2,2.0,0.04878048780487805,8.416369411980808,41,25.0,0.6097560975609756,19.0,0.4634146341463415,1,5.0,0.0,7.931363556857538,0.20833333333333334,0.20833333333333334,24,0,0.0,0.677606121171203,1,5.0,0.6128145644641761,0,0.0,0.945918721830328,0,0.0,0.9476749418231724,0,0.0,1.0,0,0.0,0.9427036161030257,0,0.0,1.0,0,0.0,1.0
64.0,5,14.0,0.3181818181818182,7.682822476442518,44,47.0,1.0681818181818181,22.0,0.5,5,18.0,13.0,6.343514298970672,0.72,0.72,25,1,2.0,0.4264846848233671,3,14.0,0.5474424880027521,1,2.0,0.4702653034958537,0,0.0,0.9258295908601417,0,0.0,1.0,0,0.0,0.8722634016817891,0,0.0,1.0,0,0.0,1.0
72.0,4,11.0,0.23404255319148937,7.754431616633711,47,78.0,1.6595744680851063,31.0,0.6595744680851063,3,29.0,11.0,6.372012227902826,1.3181818181818181,1.3181818181818181,22,0,5.0,0.970889053929659,2,22.0,0.44739793197771927,0,0.0,0.7163283077289101,1,2.0,0.47031874478187374,0,0.0,1.0,0,0.0,0.7727859160402847,0,0.0,1.0,0,0.0,1.0
80.0,5,19.0,0.41304347826086957,7.760626804589316,46,105.0,2.282608695652174,27.0,0.5869565217391305,5,49.0,20.0,6.932883786028838,1.96,1.96,25,2,17.0,0.5560493567999308,3,32.0,0.6062826823725973,0,0.0,0.8368594165117639,0,0.0,0.616246587123682,0,0.0,1.0,0,0.0,0.642415423446066,0,0.0,1.0,0,0.0,0.9775664532932041
