step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.954137195248157,14,1.0,0.0714285714285714,0.0,0.0,0,1.0,1.0,10.847680017514897,0.125,0.125,8,0,0.0,0.6780441472279208,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,0,1.0,0.960403044182212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,9.721535766655457,20,1.0,0.05,0.0,0.0,0,0.0,0.0,10.260265218159292,0.0,0.0,12,0,0.0,0.5829723183660007,0,0.0,0.6805801720514635,0,0.0,0.7336603251845109,0,0.0,0.9532817613399316,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,9.886385915098035,25,1.0,0.04,0.0,0.0,0,0.0,0.0,9.87534452763932,0.0,0.0,14,0,0.0,0.6688090828813836,0,0.0,0.6139259829653365,0,0.0,0.8136829376685097,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,2,4.0,0.125,9.534855575131552,32,5.0,0.15625,4.0,0.125,2,4.0,4.0,9.45588937839597,0.1904761904761904,0.1904761904761904,21,0,0.0,0.9130925463611428,2,4.0,0.6898452232148312,0,0.0,0.7980787446189781,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,4,8.0,0.2222222222222222,8.24908275687571,36,16.0,0.4444444444444444,11.0,0.3055555555555556,4,8.0,4.0,7.288437160467176,0.3809523809523809,0.3809523809523809,21,2,5.0,0.3252676014001742,2,3.0,0.5911624219938124,0,0.0,0.7298239458263941,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,7,41.0,1.0,7.759375722555324,41,49.0,1.195121951219512,33.0,0.8048780487804879,6,44.0,36.0,6.492971543227191,1.8333333333333333,1.8333333333333333,24,2,21.0,0.2836262404951767,4,20.0,0.4898437740491298,0,3.0,0.8959341528544783,0,0.0,0.946629756780575,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,1,4.0,0.0930232558139534,8.82088020627888,43,81.0,1.8837209302325584,32.0,0.7441860465116279,1,21.0,0.0,8.367775345619414,0.84,0.84,25,0,6.0,0.7238770968908405,1,11.0,0.6652099517107911,0,3.0,0.9480258944522252,0,1.0,0.8487229442258036,0,0.0,1.0,0,0.0,0.9024754002184572,0,0.0,1.0,0,0.0,1.0
72.0,3,9.0,0.1956521739130435,8.902888893555698,46,96.0,2.0869565217391304,15.0,0.3260869565217391,3,29.0,8.0,7.693730307339121,1.318181818181818,1.318181818181818,22,0,13.0,0.8997569731777746,3,13.0,0.5018443417231384,0,3.0,0.5052910771408675,0,0.0,0.8879497515545591,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,1,6.0,0.1276595744680851,9.69434208910339,47,120.0,2.5531914893617023,24.0,0.5106382978723404,1,26.0,0.0,9.16031862791584,1.3,1.3,20,0,7.0,0.9671737504682306,1,16.0,0.6948074164704884,0,3.0,0.8140351452814762,0,0.0,0.7587666336121006,0,0.0,1.0,0,0.0,0.9802273848497348,0,0.0,0.9976871355537332,0,0.0,1.0
88.0,4,13.0,0.3023255813953488,9.257572218032038,43,104.0,2.4186046511627906,0.0,0.0,3,31.0,5.0,7.878261147856332,1.8235294117647056,1.8235294117647056,17,0,10.0,0.9281350355462455,2,13.0,0.5831791128330045,0,3.0,0.8430760468555776,1,5.0,1.4534404287450924e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
96.0,0,0.0,0.0,10.216538872758209,40,116.0,2.9,12.0,0.3,0,19.0,0.0,10.654322184851372,1.1875,1.1875,16,0,13.0,0.8899040970076094,0,0.0,0.9007041632789254,0,3.0,0.9334715579051482,0,3.0,0.929118056330311,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
104.0,1,0.0,0.0,9.898717086666242,40,99.0,2.475,0.0,0.0,0,12.0,0.0,10.7870379058334,1.0,1.0,12,0,6.0,0.9315412617182462,0,0.0,0.9197026326589762,0,3.0,0.8890358372134537,0,3.0,0.8840275105543255,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
112.0,2,5.0,0.1351351351351351,9.191827309086603,37,87.0,2.3513513513513518,0.0,0.0,2,11.0,0.0,8.819455799348189,0.6875,0.6875,16,0,3.0,0.8708329380635126,1,0.0,0.7770238015643967,0,3.0,0.9868073664615648,1,5.0,3.359608703064825e-05,0,0.0,1.0,0,0.0,0.863009493254734,0,0.0,0.9273857927895088,0,0.0,1.0
120.0,0,0.0,0.0,10.196748691230944,39,90.0,2.3076923076923075,3.0,0.0769230769230769,0,3.0,0.0,10.185891718173552,0.1764705882352941,0.1764705882352941,17,0,0.0,0.8946717666660063,0,0.0,0.909254508817926,0,3.0,0.5725493144144337,0,0.0,0.7876744910780852,0,0.0,1.0,0,0.0,0.9976973058013454,0,0.0,0.9199799809696564,0,0.0,1.0
128.0,4,10.0,0.25,9.11637115867473,40,74.0,1.85,0.0,0.0,4,10.0,7.0,8.39902716279015,0.5555555555555556,0.5555555555555556,18,0,0.0,0.9561503366249868,0,0.0,0.8265453345524667,0,0.0,0.8379683010553554,2,4.0,0.3227116364792233,0,0.0,1.0,1,2.0,0.4462221247091686,1,4.0,0.4775788925302367,0,0.0,1.0
136.0,3,30.0,0.75,9.870530977794823,40,84.0,2.1,10.0,0.25,3,30.0,20.0,8.595741774063999,1.5789473684210529,1.5789473684210529,19,0,0.0,0.7512976164179482,0,0.0,0.8224966714586275,0,0.0,0.9036777008973652,2,20.0,0.3032541527281753,0,0.0,1.0,1,10.0,0.0,0,0.0,0.8889332583946628,0,0.0,1.0
144.0,4,42.0,1.1666666666666667,9.57751185791862,36,99.0,2.75,15.0,0.4166666666666667,3,43.0,13.0,8.303825114217188,2.8666666666666667,2.8666666666666667,15,1,7.0,0.7063828944354194,0,0.0,0.8016233412949954,0,0.0,0.9757837221024462,2,36.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7532762260689272,0,0.0,1.0
168.0,1,30.0,1.0344827586206895,9.833394189818398,29,118.0,4.068965517241379,0.0,0.0,1,32.0,0.0,6.925984749883788,3.555555555555556,3.555555555555556,9,1,30.0,0.0,0,0.0,0.729390320071521,0,2.0,0.9917236850768992,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8862655652807392,0,0.0,1.0,0,0.0,1.0
176.0,2,3.0,0.1071428571428571,9.612563196690065,28,106.0,3.7857142857142856,0.0,0.0,1,13.0,0.0,8.863284916431086,1.3,1.3,10,0,3.0,0.908397956839427,1,3.0,0.5058482885132006,0,6.0,0.8212975882579464,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9426513452073884,0,0.0,1.0
184.0,3,4.0,0.1290322580645161,9.086263151467572,31,102.0,3.290322580645161,0.0,0.0,2,14.0,1.0,9.032648199422946,0.9333333333333332,0.9333333333333332,15,1,3.0,0.7144508852800038,0,0.0,0.9565390320915208,1,11.0,0.6631887161396943,0,0.0,0.6446825853135434,0,0.0,1.0,0,0.0,0.9450755948026104,0,0.0,0.9981413378995472,0,0.0,1.0
192.0,3,24.0,0.8275862068965517,8.732125578109034,29,64.0,2.206896551724138,0.0,0.0,3,34.0,20.0,7.58453182321745,2.6153846153846154,2.6153846153846154,13,0,3.0,0.885515596604858,0,0.0,0.8744113199569142,2,24.0,0.4165633539679557,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9332461931827862
200.0,1,1.0,0.0384615384615384,10.774001753038146,26,69.0,2.6538461538461537,5.0,0.1923076923076923,1,10.0,0.0,10.384608628145818,0.7692307692307693,0.7692307692307693,13,0,3.0,0.902453510289834,0,0.0,0.9445069334779468,1,3.0,0.637972252207859,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9101974591988838,0,0.0,1.0,0,0.0,0.9123080179690092
208.0,3,17.0,0.6296296296296297,8.383419790043087,27,85.0,3.1481481481481484,16.0,0.5925925925925926,3,25.0,15.0,7.289131284703009,1.9230769230769231,1.9230769230769231,13,1,7.0,0.5514820673557582,0,0.0,0.6086243502989581,1,11.0,0.6027502369488947,0,0.0,0.5372859096423215,0,0.0,1.0,1,7.0,0.4852951884810259,0,0.0,1.0,0,0.0,0.7809944116625276
216.0,3,29.0,0.90625,8.738988158784995,32,103.0,3.21875,18.0,0.5625,2,31.0,6.0,8.406999237336105,2.2142857142857144,2.2142857142857144,14,1,12.0,0.5957078260704541,0,0.0,0.7232810754305343,1,19.0,0.4607312789561685,0,0.0,0.9567793183828912,0,0.0,0.381316327416863,0,0.0,1.0,0,0.0,0.8402682444230695,0,0.0,1.0
224.0,3,10.0,0.3225806451612903,7.726709648240155,31,74.0,2.3870967741935485,0.0,0.0,2,10.0,0.0,5.8438261577693424,1.1111111111111112,1.1111111111111112,9,1,3.0,2.417362505224563e-05,0,0.0,0.7312925619367642,0,2.0,0.9663017725524116,1,5.0,7.131074308891055e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1328650240625483,0,0.0,1.0
232.0,1,3.0,0.1071428571428571,8.620209621862765,28,71.0,2.5357142857142856,0.0,0.0,1,3.0,0.0,7.983600862793287,0.4285714285714285,0.4285714285714285,7,0,0.0,0.9403717146112972,1,3.0,0.51168366676732,0,0.0,0.8628856348442875,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8858361259030331,0,0.0,0.8997806399384848,0,0.0,1.0
240.0,0,0.0,0.0,9.150256211163365,26,74.0,2.8461538461538463,3.0,0.1153846153846153,0,3.0,0.0,9.386520936195238,0.5,0.5,6,0,0.0,0.90722254817748,0,0.0,0.9684684592357844,0,0.0,0.8865217145488277,0,0.0,0.8614963910376456,0,0.0,1.0,0,3.0,0.7326208565003507,0,0.0,1.0,0,0.0,1.0
248.0,2,8.0,0.32,8.49230865626036,25,79.0,3.16,5.0,0.2,2,14.0,11.0,7.751044978124131,1.2727272727272727,1.2727272727272727,11,0,0.0,0.9341784742891096,1,4.0,0.5475589503442143,0,3.0,0.92853201408969,0,0.0,0.8790108948489306,0,0.0,1.0,1,7.0,1.6714868530863084e-05,0,0.0,0.9551685631565876,0,0.0,1.0
256.0,1,12.0,0.5,8.609479662502201,24,78.0,3.25,0.0,0.0,1,12.0,0.0,8.052675914193983,1.5,1.5,8,0,0.0,0.9391011866328064,1,12.0,0.6025686609443376,0,0.0,0.8563134136572472,0,0.0,0.8512096002023601,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
264.0,1,20.0,0.7692307692307693,10.164880555379618,26,84.0,3.230769230769231,6.0,0.2307692307692307,1,20.0,8.0,9.677369314822448,2.2222222222222223,2.2222222222222223,9,0,0.0,0.9704031396665322,1,20.0,0.5721581345479866,0,0.0,0.915295537784038,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9237313144301298,0,0.0,0.9977801211724658,0,0.0,1.0
