step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.954137195248157,14,1.0,0.0714285714285714,0.0,0.0,0,1.0,1.0,10.847680017514897,0.125,0.125,8,0,0.0,0.6780441472279208,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,0,1.0,0.960403044182212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,9.721535766655457,20,1.0,0.05,0.0,0.0,0,0.0,0.0,10.260265218159292,0.0,0.0,12,0,0.0,0.5829723183660007,0,0.0,0.6805801720514635,0,0.0,0.7336603251845109,0,0.0,0.9532817613399316,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,2.0,0.08,9.231689121043642,25,3.0,0.12,2.0,0.08,1,2.0,2.0,9.22000144517956,0.1333333333333333,0.1333333333333333,15,1,2.0,0.5022581301647838,0,0.0,0.6139259829653365,0,0.0,0.8136829376685097,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,2,2.0,0.0606060606060606,9.046230597097605,33,8.0,0.2424242424242424,5.0,0.1515151515151515,2,2.0,0.0,8.76565200304981,0.0869565217391304,0.0869565217391304,23,0,0.0,0.9130925463611428,1,0.0,0.7265128256705575,1,2.0,0.6316457103568107,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,3,4.0,0.1081081081081081,8.325671007901612,37,22.0,0.5945945945945946,14.0,0.3783783783783784,3,8.0,6.0,7.317444752118101,0.3478260869565217,0.3478260869565217,23,0,0.0,0.9709597774465648,2,4.0,0.5939688363910532,1,4.0,0.5297980848863857,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,3,4.0,0.0975609756097561,8.258626959789957,41,32.0,0.7804878048780488,10.0,0.2439024390243902,2,8.0,0.0,7.297084191920919,0.3478260869565217,0.3478260869565217,23,0,0.0,0.7724346951565031,2,8.0,0.4295358772063438,0,0.0,0.7897413321242869,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,4,11.0,0.2340425531914893,8.763722404855496,47,52.0,1.1063829787234043,20.0,0.425531914893617,4,19.0,11.0,7.466641036642583,0.7307692307692307,0.7307692307692307,26,1,5.0,0.4738181025258571,3,14.0,0.6108089297679457,0,0.0,0.987447486090584,0,0.0,0.8766371635701087,0,0.0,1.0,0,0.0,0.9213915163862624,0,0.0,1.0,0,0.0,1.0
72.0,4,7.0,0.1521739130434782,8.382329856483704,46,63.0,1.3695652173913044,11.0,0.2391304347826087,3,30.0,11.0,6.585323096753308,1.5789473684210529,1.5789473684210529,19,0,5.0,0.9432653628745108,2,21.0,0.4937610238980953,1,1.0,0.4704377058711657,0,3.0,0.8483521005532649,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,4,13.0,0.2826086956521739,8.743557182504968,46,86.0,1.8695652173913044,23.0,0.5,4,44.0,14.0,7.869108697554945,1.8333333333333333,1.8333333333333333,24,1,14.0,0.626798025769295,3,30.0,0.6393244914048296,0,0.0,0.8269065459788905,0,0.0,0.6874187931750678,0,0.0,1.0,0,0.0,0.9802273848497348,0,0.0,0.9874451272243484,0,0.0,1.0
88.0,2,7.0,0.1590909090909091,8.408077516836867,44,102.0,2.3181818181818183,16.0,0.3636363636363636,1,37.0,0.0,7.825440796089494,1.761904761904762,1.761904761904762,21,0,17.0,0.8629412745118875,1,20.0,0.6003917741208751,0,0.0,0.8056316441391426,0,0.0,0.1574364662235925,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
96.0,3,13.0,0.3095238095238095,9.706168038273155,42,125.0,2.9761904761904763,23.0,0.5476190476190477,3,29.0,0.0,9.195157383064506,1.6111111111111112,1.6111111111111112,18,0,7.0,0.929998007828156,2,18.0,0.6620218073083893,0,0.0,0.937396246191039,1,4.0,0.4374213996832274,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
104.0,1,0.0,0.0,10.272133306341642,43,118.0,2.744186046511628,0.0,0.0,0,7.0,0.0,11.192852410456316,0.5833333333333334,0.5833333333333334,12,0,4.0,0.9614120779265196,0,0.0,0.9205267688546224,0,0.0,0.9287733152687284,0,3.0,0.8883249558549575,0,0.0,0.948125142187354,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
112.0,2,4.0,0.0975609756097561,9.373973470807051,41,99.0,2.414634146341464,0.0,0.0,2,8.0,1.0,7.383290889655246,0.5333333333333333,0.5333333333333333,15,0,4.0,0.7837420432650496,1,0.0,0.7644384706477477,0,0.0,0.0233012657303334,1,4.0,6.838331093658177e-05,0,0.0,1.0,0,0.0,0.9078879321644074,0,0.0,0.6007789827490354,0,0.0,1.0
120.0,0,0.0,0.0,9.733860707874816,38,72.0,1.894736842105263,0.0,0.0,0,0.0,0.0,10.027347267253605,0.0,0.0,17,0,0.0,0.9047094646721252,0,0.0,0.8708656126764219,0,0.0,0.8397059944215391,0,0.0,0.851238157141295,0,0.0,1.0,0,0.0,0.9976973058013454,0,0.0,0.9729730135190672,0,0.0,1.0
128.0,1,2.0,0.0512820512820512,10.046398117448176,39,62.0,1.5897435897435896,0.0,0.0,1,3.0,3.0,10.056720423806665,0.2142857142857142,0.2142857142857142,14,0,0.0,0.9362813504406122,0,0.0,0.8276113822386453,0,0.0,0.8076060957486331,1,2.0,0.4821065822533043,0,0.0,1.0,0,1.0,0.9281457650405076,0,0.0,0.9205846770006508,0,0.0,1.0
136.0,0,0.0,0.0,10.675822279869312,41,65.0,1.5853658536585369,3.0,0.073170731707317,0,3.0,0.0,10.263520507084536,0.1578947368421052,0.1578947368421052,19,0,0.0,0.7987014085930063,0,0.0,0.8329648673892364,0,0.0,0.916597007779026,0,0.0,0.8592460190734912,0,0.0,1.0,0,3.0,0.9311790592731808,0,0.0,0.0454075280396332,0,0.0,0.931557499126162
144.0,2,6.0,0.1666666666666666,10.400425317056085,36,57.0,1.5833333333333333,0.0,0.0,1,10.0,7.0,10.016907757313612,0.7142857142857143,0.7142857142857143,14,1,7.0,0.742072562260761,0,0.0,0.8638546957621808,0,0.0,0.8985915645248013,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9903647200233856,0,0.0,1.0,0,0.0,0.9412576709215243
152.0,2,20.0,0.5882352941176471,8.97363872935376,34,65.0,1.911764705882353,8.0,0.2352941176470588,2,23.0,13.0,8.067879547983962,1.2105263157894737,1.2105263157894737,19,1,15.0,0.7033293691509379,1,6.0,0.6022478415740748,0,0.0,0.5915726505972652,0,0.0,0.3768736834682005,0,0.0,0.9279182033974036,0,0.0,1.0,0,2.0,0.8697035964417817,0,0.0,1.0
160.0,2,4.0,0.1290322580645161,8.155634043655878,31,81.0,2.6129032258064515,16.0,0.5161290322580645,2,5.0,0.0,6.903661882291476,0.3333333333333333,0.3333333333333333,15,1,2.0,0.3797113628702637,0,0.0,0.8286800248178308,0,0.0,0.971250737070247,0,0.0,0.2906830510594844,0,0.0,1.0,0,0.0,0.9245882722246284,1,3.0,0.3238878812180872,0,0.0,1.0
168.0,0,0.0,0.0,8.937101248616367,27,85.0,3.1481481481481484,4.0,0.1481481481481481,0,3.0,0.0,6.710421590588721,0.375,0.375,8,0,0.0,1.0,0,0.0,0.7238805246425063,0,3.0,0.6479325930318403,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8923063692762812,0,0.0,1.0,0,0.0,1.0
176.0,4,5.0,0.1724137931034483,8.612113352636799,29,65.0,2.2413793103448274,0.0,0.0,3,11.0,8.0,6.776626122191235,1.0,1.0,11,0,0.0,0.9558605939268814,2,3.0,0.4147803896268526,0,3.0,0.9478860831566556,0,0.0,1.0,0,0.0,1.0,1,5.0,0.490020892950525,0,0.0,0.9844655162596192,0,0.0,1.0
192.0,1,3.0,0.1,9.292591675508191,30,45.0,1.5,0.0,0.0,1,9.0,0.0,8.65515865220118,0.6923076923076923,0.6923076923076923,13,0,0.0,0.7749943520044847,0,0.0,0.8093253752288787,0,3.0,0.6882326752182069,1,3.0,0.0005630433908768,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6870261132336553,0,0.0,0.9864156807205922
200.0,0,0.0,0.0,10.982967286576647,26,40.0,1.5384615384615383,0.0,0.0,0,6.0,0.0,10.744476892959442,0.5,0.5,12,0,0.0,0.8846721576683724,0,0.0,0.945100669637763,0,3.0,0.8916675623375695,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9329416126762046,0,0.0,0.4745951603548978,0,0.0,0.9712668558485336
208.0,1,3.0,0.1111111111111111,8.928824609118735,27,39.0,1.4444444444444444,0.0,0.0,1,7.0,1.0,7.917953139225502,0.6363636363636364,0.6363636363636364,11,0,0.0,0.8869005007372939,0,0.0,0.5591046406121262,0,3.0,0.9323978502809012,0,0.0,0.5811932601585796,0,0.0,1.0,1,3.0,0.0056268852289145,0,0.0,1.0,0,1.0,0.9896323434790236
216.0,1,0.0,0.0,9.46425793508842,30,43.0,1.4333333333333331,4.0,0.1333333333333333,0,5.0,0.0,10.572859183088449,0.3571428571428571,0.3571428571428571,14,0,0.0,0.9045761044540428,0,0.0,0.7286203379838249,0,3.0,0.8926490018598517,0,0.0,0.937634919087314,0,0.0,0.4353515267810953,0,1.0,0.9613326020972728,0,0.0,1.0,0,1.0,0.9130787878340072
224.0,2,6.0,0.1935483870967742,7.732361241761956,31,46.0,1.4838709677419355,3.0,0.0967741935483871,2,12.0,7.0,7.16123866076131,1.0909090909090908,1.0909090909090908,11,1,1.0,0.3468795912172728,0,0.0,0.9112761216838292,0,3.0,0.8541197618518402,1,5.0,5.690702679206248e-05,0,0.0,1.0,0,0.0,1.0,0,3.0,0.5512786598451699,0,0.0,1.0
232.0,1,1.0,0.0333333333333333,8.721933287739876,30,55.0,1.8333333333333333,9.0,0.3,1,4.0,0.0,7.899137085718746,0.5714285714285714,0.5714285714285714,7,0,0.0,0.9533967698935312,1,1.0,0.4771505174869739,0,3.0,0.9061231027011428,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9635743164081368,0,0.0,1.0
240.0,0,0.0,0.0,9.991902756380618,26,54.0,2.076923076923077,0.0,0.0,0,3.0,0.0,10.147977433231764,0.6,0.6,5,0,0.0,0.9601935482348024,0,0.0,0.9416986306462232,0,3.0,0.9403858153625968,0,0.0,0.9471632918145882,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
248.0,0,0.0,0.0,8.416823473341571,24,41.0,1.7083333333333333,0.0,0.0,0,6.0,3.0,8.229829727076913,0.8571428571428571,0.8571428571428571,7,0,0.0,0.9635286692676878,0,0.0,0.8310395271883593,0,3.0,0.9076843264558973,0,0.0,0.8548413307162882,0,0.0,1.0,0,3.0,0.8956207626629853,0,0.0,1.0,0,0.0,1.0
256.0,0,0.0,0.0,8.491993056518702,23,37.0,1.608695652173913,0.0,0.0,0,9.0,3.0,8.725980498839075,0.9,0.9,10,0,0.0,0.979914413037682,0,0.0,0.9283952503242442,0,6.0,0.6375310347499245,0,3.0,0.8348745871729555,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9678199837167732,0,0.0,1.0
