step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,11.620415277607716,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,6.523955943673144,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.433126126469424,0.0,0.0,3,0,0.0,0.5127057387407471
24.0,1,0.0,0.0,8.670802628310875,10,0.0,0.0,0.0,0.0,0,0.0,0.0,9.906768683657274,0.0,0.0,3,0,0.0,0.6966028985261249
32.0,1,0.0,0.0,8.974810359953029,14,1.0,0.07142857142857142,1.0,0.07142857142857142,1,1.0,1.0,7.8721042489788084,0.25,0.25,4,1,1.0,0.5405794324558346
40.0,1,3.0,0.2,7.71749569137457,15,4.0,0.26666666666666666,3.0,0.2,1,4.0,3.0,6.462312728632289,0.4,0.4,10,1,4.0,0.45677969635257476
48.0,1,0.0,0.0,9.11291866847767,19,8.0,0.42105263157894735,4.0,0.21052631578947367,1,0.0,0.0,8.471913544649992,0.0,0.0,9,1,0.0,0.6433945998396401
56.0,2,9.0,0.45,9.745225006388427,20,16.0,0.8,8.0,0.4,0,0.0,0.0,9.302510059775752,0.0,0.0,9,0,0.0,0.6891475141114187
64.0,3,6.0,0.3333333333333333,7.113469190526985,18,28.0,1.5555555555555556,12.0,0.6666666666666666,3,6.0,6.0,5.293144091908313,0.6666666666666666,0.6666666666666666,9,3,6.0,0.3760456258248392
72.0,1,0.0,0.0,8.893661890111037,22,31.0,1.4090909090909092,3.0,0.13636363636363635,1,0.0,0.0,7.554686341768471,0.0,0.0,11,1,0.0,0.5117242011843423
80.0,4,8.0,0.34782608695652173,7.803196981195283,23,13.0,0.5652173913043478,0.0,0.0,2,1.0,1.0,5.7713757764392355,0.08333333333333333,0.08333333333333333,12,2,1.0,0.40479320156715826
88.0,7,48.0,2.0,6.801032923732966,24,54.0,2.25,41.0,1.7083333333333333,5,29.0,28.0,3.687963063300614,2.0714285714285716,2.0714285714285716,14,5,29.0,0.2688362507576324
96.0,12,115.0,5.0,3.29679182033439,23,124.0,5.391304347826087,70.0,3.0434782608695654,10,82.0,53.0,1.3759368715528375,4.823529411764706,4.823529411764706,17,10,82.0,0.1032523744069829
104.0,7,57.0,2.1923076923076925,4.35728226368412,26,200.0,7.6923076923076925,76.0,2.923076923076923,7,114.0,32.0,2.172598951436638,6.0,6.0,19,7,114.0,0.16390978714152166
112.0,8,34.0,1.3076923076923077,3.183365978854265,26,213.0,8.192307692307692,13.0,0.5,8,171.0,57.0,1.964241346264922,7.434782608695652,7.434782608695652,23,8,171.0,0.14983599463456884
120.0,3,11.0,0.39285714285714285,4.702196794283823,28,228.0,8.142857142857142,15.0,0.5357142857142857,3,176.0,5.0,3.299217302815653,8.0,8.0,22,3,176.0,0.24683232709665726
128.0,6,10.0,0.3333333333333333,3.5725143564474995,30,238.0,7.933333333333334,10.0,0.3333333333333333,6,177.0,1.0,0.6553985746755933,8.85,8.85,20,6,177.0,0.0491215595584225
136.0,6,21.0,0.7241379310344828,3.0780629334733574,29,279.0,9.620689655172415,41.0,1.4137931034482758,5,211.0,34.0,0.690082271073767,11.105263157894736,11.105263157894736,19,5,211.0,0.05419500243484763
144.0,18,98.0,2.9696969696969697,3.4077512427344576,33,345.0,10.454545454545455,66.0,2.0,14,274.0,63.0,1.3143908868999061,12.454545454545455,12.454545454545455,22,14,274.0,0.09499500986259925
152.0,15,194.0,5.878787878787879,4.124390022795674,33,445.0,13.484848484848484,100.0,3.0303030303030303,14,335.0,61.0,1.83191274972051,15.227272727272727,15.227272727272727,22,14,335.0,0.13505213868863022
160.0,10,134.0,4.0606060606060606,4.682134632109781,33,491.0,14.878787878787879,46.0,1.393939393939394,9,358.0,23.0,2.893474215778427,16.272727272727273,16.272727272727273,22,9,358.0,0.2051927259337327
168.0,8,77.0,2.4838709677419355,3.8437086924149595,31,501.0,16.161290322580644,10.0,0.3225806451612903,5,375.0,17.0,2.78713764563682,16.304347826086957,16.304347826086957,23,5,375.0,0.2134377101030136
176.0,9,107.0,3.8214285714285716,3.2244304802187433,28,581.0,20.75,80.0,2.857142857142857,8,428.0,53.0,1.0803383616484743,21.4,21.4,20,8,428.0,0.07665353645807081
184.0,13,63.0,2.625,2.342343492684496,24,628.0,26.166666666666668,47.0,1.9583333333333333,13,463.0,35.0,0.22371657538214826,24.36842105263158,24.36842105263158,19,13,463.0,0.016429553844141565
192.0,10,87.0,3.782608695652174,2.206557457328726,23,685.0,29.782608695652176,57.0,2.4782608695652173,10,459.0,0.0,0.744664482163788,25.5,25.5,18,10,459.0,0.059007997580829655
200.0,6,30.0,1.4285714285714286,2.7523721330277846,21,672.0,32.0,0.0,0.0,6,504.0,45.0,1.4515029486677793,29.647058823529413,29.647058823529413,17,6,504.0,0.11820709112437944
208.0,6,21.0,1.05,3.474497167327968,20,679.0,33.95,7.0,0.35,6,526.0,22.0,1.0797978929139025,35.06666666666667,35.06666666666667,15,6,526.0,0.08647728526826885
216.0,2,5.0,0.25,3.3687098367072865,20,582.0,29.1,0.0,0.0,0,467.0,0.0,2.1356457545620047,33.357142857142854,33.357142857142854,14,0,467.0,0.1597139271816528
224.0,5,13.0,0.5909090909090909,3.588612430952565,22,594.0,27.0,12.0,0.5454545454545454,5,486.0,19.0,2.0631922631637756,28.58823529411765,28.58823529411765,17,5,486.0,0.14942263935040506
232.0,2,4.0,0.17391304347826086,4.48910856948998,23,614.0,26.695652173913043,20.0,0.8695652173913043,0,394.0,0.0,1.912302616411721,26.266666666666666,26.266666666666666,15,0,394.0,0.13281160880976617
240.0,7,43.0,1.8695652173913044,3.419618380825391,23,558.0,24.26086956521739,0.0,0.0,5,417.0,23.0,1.4185291012756553,24.529411764705884,24.529411764705884,17,5,417.0,0.10931805995996903
248.0,14,127.0,5.7727272727272725,2.0388926098253797,22,642.0,29.181818181818183,84.0,3.8181818181818183,12,485.0,68.0,1.1491857985413931,26.944444444444443,26.944444444444443,18,12,485.0,0.0861200755402638
256.0,14,96.0,4.173913043478261,1.7148200626438381,23,746.0,32.43478260869565,104.0,4.521739130434782,13,585.0,100.0,0.7617587240247538,29.25,29.25,20,13,585.0,0.055259338359558194
264.0,3,15.0,0.625,2.879414187454913,24,746.0,31.083333333333332,0.0,0.0,3,533.0,0.0,1.736359874788287,31.352941176470587,31.352941176470587,17,3,533.0,0.12770062110679992
272.0,2,2.0,0.07407407407407407,5.506737468063668,27,691.0,25.59259259259259,0.0,0.0,2,467.0,0.0,2.913755870089035,29.1875,29.1875,16,2,467.0,0.20957923674397172
280.0,0,0.0,0.0,4.431040337555872,21,602.0,28.666666666666668,0.0,0.0,0,391.0,0.0,1.1687011719728841,30.076923076923077,30.076923076923077,13,0,391.0,0.08499640898280883
288.0,1,7.0,0.35,6.367639660147104,20,556.0,27.8,0.0,0.0,1,199.0,0.0,2.7259451068790184,18.09090909090909,18.09090909090909,11,1,199.0,0.19582743035227723
296.0,3,7.0,0.4666666666666667,4.714566680050103,15,332.0,22.133333333333333,0.0,0.0,3,199.0,0.0,2.3146929251374675,19.9,19.9,10,3,199.0,0.16921564962771093
304.0,3,7.0,0.4375,4.862246062905728,16,238.0,14.875,0.0,0.0,3,112.0,0.0,2.8012379126529514,10.181818181818182,10.181818181818182,11,3,112.0,0.19719001534493555
312.0,3,8.0,0.5714285714285714,4.217898408681608,14,190.0,13.571428571428571,0.0,0.0,1,98.0,0.0,4.003299163688348,9.8,9.8,10,1,98.0,0.28035089485389114
320.0,4,12.0,0.75,5.503531403879854,16,224.0,14.0,34.0,2.125,3,96.0,0.0,3.2602917185969877,10.666666666666666,10.666666666666666,9,3,96.0,0.22549637335632283
328.0,1,2.0,0.15384615384615385,4.0746963984562745,13,173.0,13.307692307692308,0.0,0.0,0,84.0,0.0,1.8062020434456427,12.0,12.0,7,0,84.0,0.12415791506971274
336.0,2,10.0,0.9090909090909091,6.4594164708328,11,116.0,10.545454545454545,0.0,0.0,1,20.0,0.0,3.759780502925788,4.0,4.0,5,1,20.0,0.272420732577016
344.0,3,8.0,0.8,4.245331092197192,10,64.0,6.4,0.0,0.0,2,6.0,0.0,0.6926658075812571,1.5,1.5,4,2,6.0,0.05160691681600198
352.0,2,7.0,0.7,7.343076640975044,10,47.0,4.7,0.0,0.0,1,5.0,0.0,4.510526425582184,1.6666666666666667,1.6666666666666667,3,1,5.0,0.34979379346876577
360.0,1,0.0,0.0,7.258848046987533,7,23.0,3.2857142857142856,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
368.0,0,0.0,0.0,8.410322478239467,7,8.0,1.1428571428571428,0.0,0.0,0,0.0,0.0,4.024259603019335,0.0,0.0,1,0,0.0,0.23581598041373042
376.0,0,0.0,0.0,7.329030161799713,11,2.0,0.18181818181818182,0.0,0.0,0,0.0,0.0,4.589412136620376,0.0,0.0,2,0,0.0,0.3428653512863836
384.0,4,6.0,0.375,6.849508079312551,16,8.0,0.5,6.0,0.375,1,5.0,5.0,0.0005670451498608145,5.0,5.0,1,1,5.0,5.007234744411744e-05
392.0,0,0.0,0.0,7.526117309804706,13,13.0,1.0,5.0,0.38461538461538464,0,5.0,0.0,9.559703597868793,2.5,2.5,2,0,5.0,0.6668554445479582
400.0,1,0.0,0.0,6.522815139835713,12,13.0,1.0833333333333333,0.0,0.0,0,0.0,0.0,6.502398643301689,0.0,0.0,2,0,0.0,0.4889336884910701
408.0,0,0.0,0.0,7.120087211785567,12,2.0,0.16666666666666666,0.0,0.0,0,0.0,0.0,9.39641096382402,0.0,0.0,1,0,0.0,0.7324463733192914
416.0,0,0.0,0.0,5.98836399875823,10,0.0,0.0,0.0,0.0,0,0.0,0.0,8.71846931593027,0.0,0.0,1,0,0.0,0.8316941518230673
424.0,2,0.0,0.0,4.753137798042051,15,0.0,0.0,0.0,0.0,1,0.0,0.0,4.659495525292181,0.0,0.0,3,1,0.0,0.4051654422892597
432.0,4,11.0,0.6875,5.834537548578043,16,11.0,0.6875,11.0,0.6875,1,0.0,0.0,7.780294384335546,0.0,0.0,4,1,0.0,0.5135963867237872
440.0,2,10.0,0.5555555555555556,7.184230485685529,18,25.0,1.3888888888888888,14.0,0.7777777777777778,0,0.0,0.0,10.279051737254488,0.0,0.0,1,0,0.0,0.7280201893561482
448.0,2,5.0,0.35714285714285715,6.5565406374374655,14,29.0,2.0714285714285716,4.0,0.2857142857142857,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
456.0,4,21.0,2.1,3.487905571785956,10,44.0,4.4,15.0,1.5,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
464.0,4,2.0,0.14285714285714285,5.144655092741026,14,47.0,3.357142857142857,3.0,0.21428571428571427,2,10.0,10.0,1.8237502384176019,3.3333333333333335,3.3333333333333335,3,2,10.0,0.13611973417680615
472.0,2,2.0,0.1111111111111111,5.581487451584005,18,45.0,2.5,0.0,0.0,1,2.0,0.0,3.7083698781962724,0.4,0.4,5,1,2.0,0.2685906352439458
480.0,3,5.0,0.2777777777777778,6.378723488963654,18,42.0,2.3333333333333335,0.0,0.0,2,5.0,3.0,6.023305557292944,1.25,1.25,4,2,5.0,0.4207105417118733
488.0,2,2.0,0.11764705882352941,6.3328094588259205,17,53.0,3.1176470588235294,11.0,0.6470588235294118,2,2.0,0.0,1.961019155657706,0.6666666666666666,0.6666666666666666,3,2,2.0,0.14336898202938403
496.0,2,3.0,0.23076923076923078,6.098480587967315,13,40.0,3.076923076923077,0.0,0.0,1,6.0,4.0,5.445129208497933,3.0,3.0,2,1,6.0,0.44264672708904707
504.0,3,8.0,0.5714285714285714,5.9660593857497,14,27.0,1.9285714285714286,0.0,0.0,1,5.0,0.0,4.307026592939541,1.25,1.25,4,1,5.0,0.27800886895383525
512.0,0,0.0,0.0,8.438283622767859,12,21.0,1.75,0.0,0.0,0,0.0,0.0,10.849798568198457,0.0,0.0,1,0,0.0,0.8621666744698933
520.0,0,0.0,0.0,9.031450464599969,13,9.0,0.6923076923076923,0.0,0.0,0,0.0,0.0,5.498240897711366,0.0,0.0,1,0,0.0,0.3871690896919349
528.0,1,1.0,0.1111111111111111,3.5779556459401984,9,1.0,0.1111111111111111,0.0,0.0,1,1.0,1.0,0.0048925207068277795,1.0,1.0,1,1,1.0,0.00034451615045639865
536.0,0,0.0,0.0,7.128558527856035,13,4.0,0.3076923076923077,3.0,0.23076923076923078,0,0.0,0.0,10.237406209901648,0.0,0.0,2,0,0.0,0.745525983352221
544.0,1,0.0,0.0,6.08635591031343,15,4.0,0.26666666666666666,0.0,0.0,0,0.0,0.0,9.064687505819386,0.0,0.0,1,0,0.0,0.7178586426087736
552.0,1,0.0,0.0,5.990608077971238,16,1.0,0.0625,0.0,0.0,1,0.0,0.0,2.8632558615645394,0.0,0.0,2,1,0.0,0.2418040246312809
560.0,2,1.0,0.058823529411764705,4.608190795708053,17,1.0,0.058823529411764705,0.0,0.0,1,1.0,1.0,4.128924441237968,0.25,0.25,4,1,1.0,0.29039473313980735
568.0,1,0.0,0.0,4.995711330709591,21,6.0,0.2857142857142857,5.0,0.23809523809523808,1,0.0,0.0,4.249953842665139,0.0,0.0,3,1,0.0,0.27526632263227585
576.0,0,0.0,0.0,6.650501834635236,24,6.0,0.25,0.0,0.0,0,0.0,0.0,8.02190620746107,0.0,0.0,3,0,0.0,0.6088233686989847
584.0,1,0.0,0.0,6.828032996880682,20,0.0,0.0,0.0,0.0,1,0.0,0.0,5.594544637020859,0.0,0.0,3,1,0.0,0.4579194552504346
592.0,1,7.0,0.4375,6.51022140300023,16,7.0,0.4375,7.0,0.4375,0,0.0,0.0,4.742273463668564,0.0,0.0,3,0,0.0,0.3115588312215136
