step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,6.311712432426041,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.477902238102009,0.0,0.0,3,0,0.0,0.1177093529375032,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13687665728898202,0,0.0,0.8431128194476593,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.18557879971845,13,0.0,0.0,0.0,0.0,0,0.0,0.0,8.362761650845032,0.0,0.0,6,0,0.0,0.945014697321027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5446311532723567,0,0.0,1.0,0,0.0,0.6182071105350825,0,0.0,0.5921135833000537,0,0.0,0.2641924117720845,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5544964039331103,0,0.0,1.0
24.0,1,0.0,0.0,10.033327436195663,20,1.0,0.05,1.0,0.05,0,0.0,0.0,11.5009898530121,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8145049910640503,0,0.0,1.0,0,0.0,0.6066286830551668,0,0.0,0.7729944022030317,0,0.0,0.6922859004820315,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,0.0,0.0,10.939480937844504,26,1.0,0.038461538461538464,0.0,0.0,0,0.0,0.0,11.36944722998213,0.0,0.0,12,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9193655962477209,0,0.0,1.0,0,0.0,0.9861936087343526,0,0.0,0.6768687780888741,0,0.0,0.5542920788952512,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,0,0.0,0.0,10.261024352097385,31,3.0,0.0967741935483871,2.0,0.06451612903225806,0,0.0,0.0,11.609982021078412,0.0,0.0,10,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8447251543899719,0,0.0,1.0,0,0.0,0.8562451793236446,0,0.0,0.6420769011722136,0,0.0,0.7592560604571367,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,4,4.0,0.0975609756097561,9.728742317495758,41,7.0,0.17073170731707318,4.0,0.0975609756097561,2,5.0,5.0,8.785835559985829,0.3333333333333333,0.3333333333333333,15,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.013976045277456928,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3034682034389667,0,0.0,1.0,0,0.0,0.8989933231717603,0,0.0,1.0,1,4.0,0.4201127072845131,0,0.0,0.7848034438710015,0,0.0,0.5853590908113503,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9638833278196615,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9230526329286809
56.0,2,14.0,0.32558139534883723,10.066238077033503,43,22.0,0.5116279069767442,15.0,0.3488372093023256,2,17.0,12.0,9.65439549014694,1.1333333333333333,1.1333333333333333,15,0,0.0,1.0,0,0.0,0.9653210187793599,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8764313497119849,0,2.0,0.24064116745613132,1,12.0,0.4804810891146722,0,0.0,0.8171972752367873,0,0.0,0.9674470626867722,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0017561126849122734,0,0.0,1.0,0,0.0,1.0,0,1.0,0.915521646910769
64.0,2,20.0,0.37735849056603776,9.91022930474426,53,37.0,0.6981132075471698,15.0,0.2830188679245283,2,20.0,3.0,7.521719806167613,1.4285714285714286,1.4285714285714286,14,1,0.0,0.18755595881693785,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8029536096249299,0,0.0,0.48137769794332763,1,20.0,0.45945413174916566,0,0.0,0.5989887532600429,0,0.0,0.08234356786629546,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,4,33.0,0.5238095238095238,10.691989397469372,63,56.0,0.8888888888888888,19.0,0.30158730158730157,3,37.0,17.0,10.216001958078659,3.0833333333333335,3.0833333333333335,12,0,4.0,0.9583579258499957,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8393532813743184,0,0.0,1.0,1,28.0,0.0,2,5.0,0.19351959994143783,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9387050265422863,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,5,3.0,0.03896103896103896,9.312269815860649,77,77.0,1.0,21.0,0.2727272727272727,3,20.0,0.0,8.358625211407668,0.8695652173913043,0.8695652173913043,23,1,2.0,0.6216320056725524,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5033296671098206,0,0.0,1.0,0,2.0,0.8951875375015566,0,0.0,1.0,0,0.0,0.6094970767341104,0,3.0,0.767175026294429,0,0.0,0.01824165739325057,0,0.0,0.3392432535433878,1,13.0,0.1537724888617683,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8747977783193889,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
