step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.769681626102829,7,0.0,0.0,0.0,0.0,0,0.0,0.0,4.976762921068196,0.0,0.0,3,0,0.0,0.12669195061452698,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0996755740134394,0,0.0,0.778791900346223,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,7.909125376609957,14,0.0,0.0,0.0,0.0,1,0.0,0.0,6.862286084182118,0.0,0.0,7,0,0.0,0.931590014479285,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.49864167344670096,0,0.0,1.0,0,0.0,0.6258180639485126,0,0.0,0.4961836883952379,1,0.0,0.13977298027171603,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.35979715046419347,0,0.0,1.0
24.0,1,0.0,0.0,10.036010727649082,20,1.0,0.05,1.0,0.05,0,0.0,0.0,11.55998074062098,0.0,0.0,8,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8227481378104321,0,0.0,1.0,0,0.0,0.7046815463643403,0,0.0,0.827771413341441,0,0.0,0.7692306607028225,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,0.0,0.0,10.528143525383246,26,1.0,0.038461538461538464,0.0,0.0,0,0.0,0.0,11.355501896861407,0.0,0.0,10,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.907440466875378,0,0.0,1.0,0,0.0,0.97539156564452,0,0.0,0.6424445095278986,0,0.0,0.6442577074012108,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,3,7.0,0.22580645161290322,9.501549598934128,31,8.0,0.25806451612903225,7.0,0.22580645161290322,3,7.0,7.0,7.95522272945953,0.5,0.5,14,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7738493916503624,0,0.0,1.0,0,0.0,0.613987241026813,3,7.0,0.14491186239919676,0,0.0,0.8099420986622512,0,0.0,1.0,0,0.0,0.2540232564545983,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,3,0.0,0.0,9.12716963656168,41,19.0,0.4634146341463415,11.0,0.2682926829268293,1,1.0,0.0,9.11922746248004,0.06666666666666667,0.06666666666666667,15,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.37850274234725245,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8512803976474064,0,0.0,0.4771480762182795,0,0.0,1.0,0,0.0,0.3651972625771429,0,0.0,0.46731910189627923,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9242130647858583,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9495711104584035
56.0,0,0.0,0.0,10.98273405528712,43,21.0,0.4883720930232558,2.0,0.046511627906976744,0,11.0,10.0,12.763163233965106,1.1,1.1,10,0,0.0,1.0,0,0.0,0.949559848345611,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7395686993375495,0,0.0,1.0,0,3.0,0.8025380862105975,0,0.0,1.0,0,7.0,0.9392123013434968,0,0.0,0.6130640779435171,0,0.0,0.9380860364010735,0,1.0,0.9337213205198815,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,3,5.0,0.09433962264150944,10.569136074270087,53,26.0,0.49056603773584906,5.0,0.09433962264150944,3,8.0,0.0,10.888254622581414,0.5,0.5,16,1,0.0,0.5668396588949945,1,4.0,0.0001442198301131677,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9229368345675679,1,1.0,0.4453317799333523,0,0.0,0.8971379267569835,0,0.0,0.5064163837572137,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,4,16.0,0.25396825396825395,10.201862241352192,63,41.0,0.6507936507936508,15.0,0.23809523809523808,3,16.0,8.0,9.718643544394318,0.8888888888888888,0.8888888888888888,18,0,0.0,0.8202123475059757,1,12.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9966134403816591,0,0.0,0.8625485184926378,0,0.0,0.18268201261543876,0,0.0,0.9875988027644247,2,4.0,0.2339103542058908,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9566668031350112,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,7,13.0,0.16883116883116883,9.642610991876014,77,68.0,0.8831168831168831,27.0,0.35064935064935066,5,22.0,6.0,6.905713188709293,1.0476190476190477,1.0476190476190477,21,2,9.0,0.4648473334889879,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.204222772988878,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6540478431683209,1,5.0,0.0,0,0.0,0.4176916743360199,1,8.0,0.13987676045913716,1,0.0,0.0,0,0.0,0.9677594656462901,0,0.0,1.0,0,0.0,0.9613158920715785,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
