step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.3869326770060795,7,0.0,0.0,0.0,0.0,0,0.0,0.0,4.717787023020598,0.0,0.0,3,0,0.0,0.14045370173383975,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09457687165012449,0,0.0,0.7426707556725586,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,8.820715353166637,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.837388889806293,0.0,0.0,6,0,0.0,0.9953043994778618,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5135965533363366,0,0.0,1.0,0,0.0,0.8654535373541532,0,0.0,0.8631400921071329,0,0.0,0.20924113614675252,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6767439016666722,0,0.0,1.0
24.0,1,1.0,0.05263157894736842,10.181014373297616,19,2.0,0.10526315789473684,2.0,0.10526315789473684,1,1.0,1.0,11.11584267050006,0.125,0.125,8,1,1.0,0.005117664971069251,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8454507072909079,0,0.0,1.0,0,0.0,0.9809199724467623,0,0.0,0.7443179178887017,0,0.0,0.7110742731543404,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,2,3.0,0.11538461538461539,9.682127069857062,26,8.0,0.3076923076923077,6.0,0.23076923076923078,1,3.0,2.0,9.077441967701654,0.2727272727272727,0.2727272727272727,11,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.749723517426935,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48106974959670096,0,0.0,0.4339435435320886,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,2,2.0,0.06451612903225806,9.098753684972452,31,16.0,0.5161290322580645,8.0,0.25806451612903225,1,2.0,0.0,7.879630644388328,0.15384615384615385,0.15384615384615385,13,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4478295982578998,0,0.0,1.0,1,2.0,0.2511879497082542,0,0.0,0.7028943803956909,0,0.0,0.7636515627579213,0,0.0,1.0,0,0.0,0.9983514191304921,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,3,5.0,0.125,8.5463229451056,40,33.0,0.825,17.0,0.425,2,12.0,10.0,6.443689223140686,0.8571428571428571,0.8571428571428571,14,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.02795031902002291,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2962703022157717,0,0.0,1.0,1,11.0,0.1516346002148752,0,0.0,0.7342082209119737,0,0.0,0.5577741999081781,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9564330934471704,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9796518542070248
56.0,2,15.0,0.3488372093023256,10.22649521854258,43,46.0,1.069767441860465,13.0,0.3023255813953488,2,25.0,13.0,9.828030238417789,1.3888888888888888,1.3888888888888888,18,0,0.0,1.0,0,0.0,0.9788708168331799,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9758099402192936,0,0.0,1.0,0,6.0,0.8429815312735768,1,5.0,0.20106793808236909,1,13.0,0.41395491093691933,0,0.0,0.4556954705247936,0,0.0,0.9523964940558123,0,0.0,0.9751475960671081,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9799818168401438
64.0,5,25.0,0.46296296296296297,8.580089668791702,54,64.0,1.1851851851851851,18.0,0.3333333333333333,4,32.0,7.0,6.1008753758504,1.7777777777777777,1.7777777777777777,18,1,0.0,0.22080302618325073,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,7.0,0.5753183179325384,0,1.0,0.2322984780837,1,21.0,0.37152301883746197,0,0.0,1.0,1,3.0,0.08940265974364758,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,2,31.0,0.5,9.34192062373248,62,86.0,1.3870967741935485,22.0,0.3548387096774194,2,39.0,7.0,7.433204972299788,1.95,1.95,20,0,5.0,0.9118322540451383,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.27640321091976083,0,0.0,1.0,1,29.0,0.3882068299476355,1,2.0,0.20075109801135096,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9144047825157355,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,6,39.0,0.5064935064935064,9.00569201058111,77,105.0,1.3636363636363635,19.0,0.24675324675324675,4,46.0,7.0,7.214918590542502,1.84,1.84,25,1,2.0,0.5529143573480829,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8901866442216926,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6975961807258187,0,0.0,0.3306799511349843,0,0.0,1.0,1,37.0,0.19439223343525872,0,2.0,0.35983080864160594,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6377772166138512,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
