step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.8414620557916335,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.229666145675584,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7280654883808646,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10730709603575521,0,0.0,0.759687030551544
16.0,2,0.0,0.0,6.469981510573744,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.106253466644124,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.2531978124946372,0,0.0,1.0,0,0.0,0.5325277949142841,0,0.0,0.713179853291349,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.424577222548725,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,7.899935977019974,0.23076923076923078,0.23076923076923078,13,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7043684432079206,0,0.0,1.0,0,0.0,0.8131628670185044,0,0.0,0.6701449815462724,1,3.0,0.22717777917092358
32.0,0,0.0,0.0,8.955272906883632,33,10.0,0.30303030303030304,7.0,0.21212121212121213,0,0.0,0.0,11.399595245634783,0.0,0.0,11,0,0.0,1.0,0,0.0,0.9425125878982891,0,0.0,0.9337495022571257,0,0.0,1.0,0,0.0,0.9562224264028049,0,0.0,0.6403614595889698,0,0.0,0.5397704821841475
40.0,1,0.0,0.0,9.855719914471994,41,8.0,0.1951219512195122,0.0,0.0,0,0.0,0.0,9.819259453764216,0.0,0.0,15,0,0.0,1.0,0,0.0,0.6162770130661257,0,0.0,1.0,0,0.0,0.7925900651062299,0,0.0,1.0,0,0.0,0.7602731822000915,0,0.0,0.8777438993782529
48.0,9,27.0,0.5869565217391305,8.274564693605242,46,37.0,0.8043478260869565,29.0,0.6304347826086957,5,25.0,25.0,7.9409290691781145,1.1363636363636365,1.1363636363636365,22,1,2.0,0.002381328518242941,1,6.0,0.6126371586617946,0,0.0,1.0,0,1.0,0.9850989260244952,0,4.0,0.7745068361941608,2,11.0,0.47559630290513794,1,1.0,0.0038895962876500908
56.0,8,23.0,0.4791666666666667,7.565383651340814,48,77.0,1.6041666666666667,40.0,0.8333333333333334,7,28.0,3.0,5.448408360735602,1.2727272727272727,1.2727272727272727,22,0,0.0,1.0,0,0.0,0.9677134748175407,0,0.0,1.0,0,0.0,0.9489519195217883,0,3.0,0.7048658329475908,5,20.0,0.23062209130407646,2,5.0,0.07891279958546008
64.0,6,26.0,0.4727272727272727,8.15454805678967,55,131.0,2.381818181818182,54.0,0.9818181818181818,4,46.0,18.0,7.682251067572729,2.0,2.0,23,0,0.0,1.0,0,3.0,0.9507675372693765,0,2.0,0.9291473059657708,1,3.0,0.45431692175900573,1,14.0,0.7045303812532436,1,24.0,0.44142501726678834,1,0.0,0.3760764320724548
72.0,6,26.0,0.4126984126984127,8.665509039712177,63,162.0,2.5714285714285716,31.0,0.49206349206349204,3,51.0,5.0,7.634478988147263,1.9615384615384615,1.9615384615384615,26,0,0.0,0.9867152880160587,0,0.0,1.0,1,4.0,0.3320947603519256,0,0.0,0.7054402322728021,0,12.0,0.8178995136333507,2,35.0,0.37886963036709936,0,0.0,0.7312458673037533
80.0,13,79.0,1.2153846153846153,7.249085022105332,65,185.0,2.8461538461538463,23.0,0.35384615384615387,8,71.0,20.0,5.746892699892386,2.5357142857142856,2.5357142857142856,28,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5003046957628836,1,5.0,0.4749438631825322,0,8.0,0.7583921320981363,5,52.0,0.3106445797689285,2,6.0,0.19506794669004196
88.0,12,107.0,1.6984126984126984,7.232298492839424,63,273.0,4.333333333333333,88.0,1.3968253968253967,11,118.0,47.0,5.548629960042514,3.933333333333333,3.933333333333333,30,1,4.0,3.688016577585561e-05,0,0.0,0.9279221944120094,0,0.0,0.6871239947439778,0,0.0,1.0,0,3.0,0.604171201845287,10,111.0,0.07764368311542502,0,0.0,0.3091778400588285
96.0,14,114.0,2.0727272727272728,5.827898276574716,55,305.0,5.545454545454546,32.0,0.5818181818181818,12,178.0,60.0,2.863071400242806,6.137931034482759,6.137931034482759,29,0,0.0,1.0,2,8.0,0.3012684134927914,2,7.0,0.37147417237902075,0,0.0,1.0,3,18.0,0.0278998421896182,5,145.0,0.1904109286586089,0,0.0,0.8212506598728498
104.0,9,133.0,2.509433962264151,7.314194364681096,53,345.0,6.509433962264151,40.0,0.7547169811320755,7,208.0,30.0,5.13010772563909,7.172413793103448,7.172413793103448,29,0,0.0,0.9972266969797289,0,0.0,0.9401463860548374,0,2.0,0.48244137525493475,1,7.0,0.32926342414929477,0,16.0,0.5607809368133256,6,183.0,0.17114786566101825,0,0.0,1.0
112.0,17,226.0,4.264150943396227,6.028363725530132,53,415.0,7.830188679245283,70.0,1.320754716981132,13,275.0,67.0,3.7357991938714994,9.482758620689655,9.482758620689655,29,0,0.0,1.0,1,4.0,0.48422608578598186,0,0.0,1.0,0,0.0,1.0,0,11.0,0.5035224936158322,11,258.0,0.0669433613502998,1,2.0,0.0001512746670505524
120.0,17,228.0,3.9310344827586206,4.707084633525066,58,523.0,9.017241379310345,108.0,1.8620689655172413,14,357.0,82.0,2.9440733039076186,11.15625,11.15625,32,2,8.0,0.1645958383635043,0,7.0,0.9401965855321569,0,0.0,1.0,0,0.0,1.0,3,24.0,0.21167525372730647,9,318.0,0.04847431944538312,0,0.0,1.0
128.0,17,106.0,1.6825396825396826,5.289858647864268,63,552.0,8.761904761904763,29.0,0.4603174603174603,15,318.0,0.0,2.283110746025425,9.352941176470589,9.352941176470589,34,0,0.0,1.0,2,10.0,0.3874123382577277,0,0.0,0.38720826106253137,1,1.0,0.2405846068644315,9,73.0,0.06269773940272551,3,234.0,0.09958742398529268,0,0.0,1.0
136.0,21,208.0,3.0588235294117645,5.248270451898776,68,698.0,10.264705882352942,146.0,2.1470588235294117,19,379.0,61.0,2.4674246739922405,9.24390243902439,9.24390243902439,41,2,6.0,0.007074499943953065,2,5.0,0.048878981810045914,0,3.0,0.6316187114035873,0,1.0,0.16543297635983487,10,150.0,0.07046999807307391,5,211.0,0.21375366184723907,0,3.0,0.47506730404492054
144.0,15,118.0,1.5945945945945945,6.011420937019719,74,713.0,9.635135135135135,15.0,0.20270270270270271,12,377.0,0.0,2.8914218722872844,10.771428571428572,10.771428571428572,35,0,0.0,0.9611640950147816,0,4.0,0.5742926821349527,1,0.0,0.0,1,8.0,0.0,6,170.0,0.2165684862233628,4,195.0,0.12897930166556715,0,0.0,1.0
152.0,10,47.0,0.5875,6.7486606176572455,80,721.0,9.0125,8.0,0.1,9,357.0,0.0,3.4409106341347524,8.925,8.925,40,1,10.0,0.17773585152272797,0,3.0,0.8987639741857721,0,0.0,0.9107940101461465,0,0.0,0.15408180455404802,1,173.0,0.18703721812827506,7,171.0,0.13039181897993504,0,0.0,0.5739447763556329
160.0,14,80.0,0.9302325581395349,7.133437800882602,86,713.0,8.290697674418604,0.0,0.0,12,350.0,0.0,4.338543341143216,8.974358974358974,8.974358974358974,39,0,4.0,0.7202140959173654,2,11.0,0.49947106288419224,0,0.0,1.0,0,0.0,0.9677825691015398,1,111.0,0.34991219267483203,8,223.0,0.1787286339886384,1,1.0,0.0012600585388727787
168.0,17,45.0,0.5769230769230769,6.640773235176536,78,681.0,8.73076923076923,0.0,0.0,16,340.0,0.0,2.8006075681966762,8.5,8.5,40,0,0.0,0.8860903845086282,2,4.0,0.18609003556446246,0,0.0,0.7671973502145937,1,2.0,0.3438071193508132,4,124.0,0.16049131147241705,9,210.0,0.06217514197277235,0,0.0,1.0
176.0,13,65.0,0.8904109589041096,6.951728185872663,73,620.0,8.493150684931507,0.0,0.0,13,294.0,0.0,3.769459391130731,8.4,8.4,35,2,2.0,0.5848239695421358,0,0.0,0.9895541155113828,0,0.0,0.9886865000441762,0,3.0,0.45151691070698047,2,75.0,0.09231641386623117,9,214.0,0.12219357477120582,0,0.0,0.14900835599956674
184.0,6,14.0,0.2153846153846154,7.588020781746646,65,576.0,8.861538461538462,0.0,0.0,6,243.0,0.0,5.132222378631511,6.942857142857143,6.942857142857143,35,1,3.0,0.00044634148016463543,0,3.0,0.9151006438599998,1,11.0,0.7253803348522533,1,1.0,0.005964508886407363,0,19.0,0.4503901002507911,3,206.0,0.16003472432974827,0,0.0,0.011452981904440532
192.0,4,10.0,0.1694915254237288,7.801590406651359,59,507.0,8.59322033898305,0.0,0.0,4,207.0,0.0,3.8432001414665877,9.409090909090908,9.409090909090908,22,0,0.0,1.0,0,0.0,1.0,0,6.0,0.6038629429622174,0,0.0,1.0,0,7.0,0.9337464290835181,4,194.0,0.07762373456999012,0,0.0,0.907055823967844
200.0,10,49.0,0.875,6.40528222384809,56,456.0,8.142857142857142,0.0,0.0,4,226.0,19.0,4.127980873385839,7.793103448275862,7.793103448275862,29,0,0.0,0.6820026475956905,1,7.0,0.20691560629596048,0,0.0,0.4680867414349298,0,0.0,1.0,0,4.0,0.9715456577022628,3,215.0,0.13187732783606504,0,0.0,0.2670777083340419
208.0,9,55.0,0.9016393442622951,7.2436654824896385,61,490.0,8.032786885245901,34.0,0.5573770491803278,7,205.0,0.0,3.407292726564844,8.541666666666666,8.541666666666666,24,1,7.0,0.0,0,5.0,0.7156873117926208,1,6.0,0.36531228532836213,0,0.0,0.9911761469672522,2,10.0,0.32242902135510104,3,177.0,0.09159311133124137,0,0.0,1.0
216.0,6,72.0,1.263157894736842,8.139224309226693,57,378.0,6.631578947368421,0.0,0.0,6,175.0,0.0,3.9009593831935625,8.75,8.75,20,0,0.0,1.0,0,0.0,0.5250896513076071,1,18.0,0.5946964860479724,2,5.0,0.005765793760484142,0,0.0,1.0,3,152.0,0.2243264470668018,0,0.0,1.0
224.0,7,32.0,0.5614035087719298,7.9738284186318324,57,371.0,6.508771929824562,0.0,0.0,4,97.0,0.0,5.538264975663531,4.619047619047619,4.619047619047619,21,0,0.0,1.0,0,3.0,0.9394879979033206,1,17.0,0.6989317827099831,0,0.0,0.011977821957194532,0,3.0,0.6446849074732232,3,74.0,0.25542999156494217,0,0.0,1.0
232.0,7,34.0,0.6071428571428571,7.849884345621981,56,397.0,7.089285714285714,26.0,0.4642857142857143,7,105.0,8.0,6.633588261116146,3.088235294117647,3.088235294117647,34,3,6.0,0.016861115628909032,0,7.0,0.8309355735931792,1,22.0,0.6587470586092343,0,0.0,1.0,0,6.0,0.8235162870152168,3,64.0,0.2558337780130684,0,0.0,0.9119734985494123
240.0,10,27.0,0.5094339622641509,6.5388863090770615,53,380.0,7.169811320754717,0.0,0.0,6,78.0,0.0,4.538808492832437,3.391304347826087,3.391304347826087,23,0,0.0,1.0,3,11.0,0.014131561558501503,0,0.0,0.33513009415776035,0,3.0,0.6013972893102784,0,6.0,0.7749657873041464,3,58.0,0.289536842537751,0,0.0,0.8756374237172898
248.0,10,54.0,1.0,7.288730946908452,54,436.0,8.074074074074074,56.0,1.037037037037037,7,81.0,3.0,3.7930469327522616,3.6818181818181817,3.6818181818181817,22,1,3.0,0.42764793895262215,0,0.0,0.3931406029300101,0,0.0,1.0,1,9.0,0.24118375443967796,0,7.0,0.9185094854124628,5,60.0,0.08964081317605424,0,2.0,0.9624243068394179
256.0,6,17.0,0.3269230769230769,6.9376334365974675,52,444.0,8.538461538461538,8.0,0.15384615384615385,6,114.0,33.0,3.7047101092489023,4.75,4.75,24,0,0.0,0.6613910520490499,1,16.0,0.4291335211594857,0,0.0,0.1960416887701534,0,0.0,1.0,1,13.0,0.2339582711576812,4,85.0,0.17899346850209313,0,0.0,1.0
264.0,7,19.0,0.34545454545454546,6.864547067357846,55,405.0,7.363636363636363,0.0,0.0,7,99.0,0.0,3.7656883033934676,4.125,4.125,24,1,11.0,0.3199911071516522,0,0.0,1.0,0,0.0,0.7020031859558028,1,1.0,0.1378257747891809,0,7.0,0.9962243056381987,5,80.0,0.15109018209867006,0,0.0,1.0
272.0,9,50.0,0.9433962264150944,7.801662263484816,53,325.0,6.132075471698113,0.0,0.0,9,103.0,4.0,4.451971443329589,4.904761904761905,4.904761904761905,21,3,12.0,0.28239318493868487,0,0.0,0.982557706958645,0,0.0,1.0,1,6.0,0.45831205452598867,1,9.0,0.033669446046485675,4,76.0,0.22031547374569857,0,0.0,0.8965666528565073
280.0,7,19.0,0.40425531914893614,7.724401605974793,47,316.0,6.723404255319149,0.0,0.0,6,93.0,0.0,5.267608757372513,4.043478260869565,4.043478260869565,23,1,10.0,0.12844467225305078,1,4.0,0.4397575474576681,0,6.0,0.9577469409623651,0,0.0,1.0,0,3.0,0.6109869595235706,4,70.0,0.21655492133371929,0,0.0,0.8488585939631341
