step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,8.072560559325696,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.09840685252566,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5683437310962332,0,0.0,1.0,0,0.0,1.0,0,0.0,0.16977276867308813,0,0.0,0.8893036321700223
16.0,2,0.0,0.0,6.46041257305834,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.492338947215092,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3186777738714939,0,0.0,1.0,0,0.0,0.49068685953742347,0,0.0,0.6228614125916846,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.46830724093159,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,7.826771422461562,0.3,0.3,10,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6535808491798445,0,0.0,1.0,0,0.0,0.8514947067259581,0,0.0,0.8400634170434047,1,3.0,0.025453515050464393
32.0,0,0.0,0.0,9.25352055926424,33,12.0,0.36363636363636365,9.0,0.2727272727272727,0,0.0,0.0,10.784333026633535,0.0,0.0,11,0,0.0,1.0,0,0.0,0.9183855356133258,0,0.0,0.9641003171102507,0,0.0,1.0,0,0.0,0.9472297400278241,0,0.0,0.6257140989587249,0,0.0,0.33233832523200013
40.0,2,1.0,0.024390243902439025,9.219244507751023,41,12.0,0.2926829268292683,0.0,0.0,1,5.0,5.0,8.956248513994664,0.2777777777777778,0.2777777777777778,18,0,0.0,1.0,1,1.0,0.5269281250512775,0,0.0,1.0,0,0.0,0.3424678793744503,0,0.0,0.7743304969265818,0,4.0,0.7279226163648581,0,0.0,0.906298885146262
48.0,8,24.0,0.5106382978723404,8.631223631948602,47,46.0,0.9787234042553191,34.0,0.723404255319149,4,21.0,16.0,8.644240138321333,1.05,1.05,20,1,1.0,0.0021421342306241985,0,0.0,0.6002503849136901,0,0.0,1.0,0,1.0,0.6864169916146354,0,3.0,0.9380054031530229,2,12.0,0.5091215175235684,1,4.0,0.3760879308553016
56.0,6,9.0,0.1875,8.394851198127148,48,68.0,1.4166666666666667,22.0,0.4583333333333333,5,16.0,0.0,6.00263344858163,0.8421052631578947,0.8421052631578947,19,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9492818511906996,0,7.0,0.8498986703793863,3,5.0,0.2353935063438978,2,4.0,0.10751238270140347
64.0,4,16.0,0.3018867924528302,8.69976142658324,53,99.0,1.8679245283018868,31.0,0.5849056603773585,2,21.0,5.0,8.8887691943956,0.9545454545454546,0.9545454545454546,22,0,0.0,0.9578376889024152,0,0.0,1.0,0,3.0,0.9310181068967469,0,0.0,0.500990426186361,0,10.0,0.859357962089554,1,8.0,0.5456751596405931,1,0.0,0.16688699917629893
72.0,5,13.0,0.21666666666666667,8.336989000851585,60,132.0,2.2,33.0,0.55,4,32.0,11.0,7.217670134038044,1.4545454545454546,1.4545454545454546,22,0,0.0,1.0,0,0.0,1.0,1,3.0,0.48108244687728957,0,0.0,0.525296921464994,0,12.0,0.7251126860008714,3,17.0,0.3763735999495862,0,0.0,0.6493597741804928
80.0,6,20.0,0.3225806451612903,7.53114689285047,62,150.0,2.4193548387096775,18.0,0.2903225806451613,4,41.0,9.0,5.857175823838512,1.64,1.64,25,0,0.0,0.45773066371087884,0,0.0,1.0,1,11.0,0.3992247037332574,0,0.0,0.4612086349215551,0,3.0,0.6724827793714704,1,17.0,0.34626974723092163,2,10.0,0.41365634293186193
88.0,10,48.0,0.8,7.020648988611803,60,165.0,2.75,15.0,0.25,7,52.0,11.0,6.05134086413658,1.7333333333333334,1.7333333333333334,30,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5307455970664725,0,0.0,0.4332922220558155,3,11.0,0.5726184620133077,2,12.0,0.2440735935909578,2,29.0,0.46821469492555334
96.0,17,101.0,1.8035714285714286,6.208594676666842,56,249.0,4.446428571428571,84.0,1.5,12,74.0,22.0,4.955799679067271,2.642857142857143,2.642857142857143,28,0,0.0,1.0,0,0.0,0.9735673102095936,2,6.0,0.40845294263856347,0,0.0,1.0,0,2.0,0.527836941910804,8,62.0,0.22017716841572554,2,4.0,0.2539985457093448
104.0,14,160.0,3.076923076923077,6.009487140078832,52,327.0,6.288461538461538,78.0,1.5,11,151.0,77.0,4.346781927879183,5.033333333333333,5.033333333333333,30,0,0.0,1.0,0,3.0,0.9233148959730859,0,3.0,0.5188792728626241,0,3.0,0.7684373479197757,3,14.0,0.32025214293108023,8,126.0,0.15057903005385126,0,2.0,0.289469560520574
112.0,17,133.0,2.462962962962963,5.681810179719884,54,384.0,7.111111111111111,57.0,1.0555555555555556,13,218.0,67.0,2.101193983281148,8.384615384615385,8.384615384615385,26,0,0.0,1.0,0,0.0,0.9788916376126217,0,0.0,1.0,0,0.0,1.0,8,61.0,0.01573464527514436,5,157.0,0.1745628797762038,0,0.0,1.0
120.0,14,125.0,2.1186440677966103,5.752111227364474,59,483.0,8.186440677966102,99.0,1.6779661016949152,11,292.0,74.0,4.350128455099958,8.588235294117647,8.588235294117647,34,0,0.0,0.944038742089963,0,7.0,0.9413564401327317,0,0.0,0.8119612739527402,0,0.0,1.0,7,107.0,0.27440217491307606,4,178.0,0.03919615678303687,0,0.0,1.0
128.0,13,81.0,1.2461538461538462,4.90382998916458,65,545.0,8.384615384615385,62.0,0.9538461538461539,12,340.0,48.0,2.710234443709956,8.717948717948717,8.717948717948717,39,1,3.0,0.2913667789309882,0,0.0,0.8394199841992236,0,0.0,0.440041399951798,1,2.0,0.21591772664677392,6,149.0,0.06563008288086045,4,186.0,0.16337446517844362,0,0.0,1.0
