step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,8.072560559325696,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.09840685252566,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5683437310962332,0,0.0,1.0,0,0.0,1.0,0,0.0,0.16977276867308813,0,0.0,0.8893036321700223
16.0,2,0.0,0.0,6.46041257305834,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.492338947215092,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3186777738714939,0,0.0,1.0,0,0.0,0.49068685953742347,0,0.0,0.6228614125916846,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.46830724093159,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,7.826771422461562,0.3,0.3,10,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6535808491798445,0,0.0,1.0,0,0.0,0.8514947067259581,0,0.0,0.8400634170434047,1,3.0,0.025453515050464393
32.0,1,2.0,0.06060606060606061,8.845850251705508,33,14.0,0.42424242424242425,11.0,0.3333333333333333,1,2.0,0.0,9.712071594780644,0.16666666666666666,0.16666666666666666,12,0,0.0,1.0,0,0.0,0.9183855356133258,0,0.0,0.9825544072112771,0,0.0,1.0,1,2.0,0.6833279193568815,0,0.0,0.6097382517677519,0,0.0,0.33233832523200013
40.0,2,1.0,0.023809523809523808,7.629600464077877,42,17.0,0.40476190476190477,3.0,0.07142857142857142,1,8.0,6.0,6.480423877567223,0.38095238095238093,0.38095238095238093,21,0,0.0,1.0,1,1.0,0.5265525683969475,0,0.0,1.0,0,0.0,0.3705357024818272,0,0.0,0.33157830726403037,0,7.0,0.48801522511976314,0,0.0,0.8261090157110367
48.0,5,7.0,0.14285714285714285,8.0676752545626,49,42.0,0.8571428571428571,25.0,0.5102040816326531,3,14.0,6.0,6.914742120824808,0.7777777777777778,0.7777777777777778,18,1,1.0,0.0016414993848155779,0,0.0,0.6118276749709877,0,0.0,1.0,0,1.0,0.7478663720243186,0,0.0,0.9282679945695038,1,7.0,0.49650226165984207,1,5.0,0.36912170699715474
56.0,10,43.0,0.8431372549019608,8.467782040759946,51,90.0,1.7647058823529411,48.0,0.9411764705882353,6,39.0,25.0,7.421068617204753,1.56,1.56,25,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9335068146618722,0,11.0,0.8070663128383511,4,18.0,0.19155155292712642,2,10.0,0.19010664621987416
64.0,5,32.0,0.5423728813559322,8.22297914078084,59,139.0,2.3559322033898304,49.0,0.8305084745762712,3,49.0,10.0,7.3922008745345975,2.0416666666666665,2.0416666666666665,24,0,0.0,0.9578376889024152,0,0.0,1.0,0,3.0,0.9714935279518248,0,0.0,1.0,0,0.0,0.5361281693165332,2,46.0,0.3558450290245692,1,0.0,0.3843647513166653
72.0,7,60.0,0.9836065573770492,8.354756379886714,61,146.0,2.3934426229508197,7.0,0.11475409836065574,5,67.0,18.0,6.982232987832042,2.7916666666666665,2.7916666666666665,24,0,0.0,1.0,0,0.0,1.0,1,2.0,0.48067204786379725,1,2.0,0.4657688520795545,0,0.0,0.4136315793241261,3,63.0,0.5106430453675802,0,0.0,0.7172214960041994
80.0,15,126.0,1.96875,7.249800135324113,64,211.0,3.296875,65.0,1.015625,10,106.0,39.0,5.753641971113945,3.533333333333333,3.533333333333333,30,0,0.0,0.4555278715102787,0,0.0,1.0,1,2.0,0.3739683274509809,1,7.0,0.277692331332472,0,5.0,0.7635557021907953,6,87.0,0.28541267614637206,2,5.0,0.459193617296146
88.0,11,167.0,2.609375,6.4295778206075145,64,297.0,4.640625,86.0,1.34375,10,169.0,63.0,4.502194255673829,5.451612903225806,5.451612903225806,31,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5114373648805838,1,15.0,0.15975296936914304,0,4.0,0.6820268948204672,9,149.0,0.10266496145552019,0,1.0,0.2948337329508687
96.0,11,65.0,1.1818181818181819,5.821404511457743,55,327.0,5.945454545454545,30.0,0.5454545454545454,8,137.0,0.0,3.4936167089674095,4.724137931034483,4.724137931034483,29,0,0.0,1.0,0,3.0,0.9844209917254831,1,4.0,0.43775028183094394,1,23.0,0.0,4,23.0,0.10212300876877442,2,84.0,0.24663060285913585,0,0.0,0.7829837798007165
104.0,14,116.0,2.230769230769231,5.680052235680007,52,417.0,8.01923076923077,90.0,1.7307692307692308,12,184.0,47.0,3.015172232480299,6.344827586206897,6.344827586206897,29,0,0.0,1.0,0,3.0,0.9779152140194041,2,10.0,0.21891152686495682,0,0.0,1.0,7,80.0,0.24987476226668104,3,88.0,0.09107745708691396,0,3.0,0.8962439894684817
112.0,16,206.0,3.6785714285714284,6.293135489579699,56,531.0,9.482142857142858,114.0,2.0357142857142856,11,224.0,40.0,4.542388808679457,7.466666666666667,7.466666666666667,30,0,0.0,0.9538730828169719,0,3.0,0.9844960227957847,0,0.0,0.3953892519826637,0,0.0,1.0,8,139.0,0.3347629971848745,3,82.0,0.2012804182586784,0,0.0,1.0
120.0,18,181.0,2.9672131147540983,4.97402341348359,61,633.0,10.37704918032787,102.0,1.6721311475409837,16,314.0,90.0,3.157876580535299,8.486486486486486,8.486486486486486,37,0,0.0,0.9503297048152098,1,9.0,0.591044696901848,0,0.0,0.922698785815434,0,0.0,0.009949306925692515,8,182.0,0.1979636047003217,7,123.0,0.024369501050524756,0,0.0,1.0
128.0,22,123.0,1.8088235294117647,5.042747596726572,68,724.0,10.647058823529411,91.0,1.338235294117647,22,432.0,118.0,2.640042942401692,10.285714285714286,10.285714285714286,42,1,5.0,0.48599620224817996,0,7.0,0.8698945983441493,0,0.0,0.4177860883548852,2,6.0,0.24758126618404355,12,254.0,0.03188553774057298,7,160.0,0.10709565769208029,0,0.0,1.0
