step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.696823426932617,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.47888904829298,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9414201854774159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.988337542915469,19,0.0,0.0,0.0,0.0,0,0.0,0.0,14.43306614024959,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9396848514153127,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9512696924763466,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,10.711650603945932,33,0.0,0.0,0.0,0.0,1,0.0,0.0,7.609502228433622,0.0,0.0,9,1,0.0,0.0,0,0.0,1.0,0,0.0,0.2443016894767972,0,0.0,0.4825178975384113,0,0.0,1.0,0,0.0,0.9576402677538706,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,1,2.0,0.05555555555555555,12.830486149565772,36,2.0,0.05555555555555555,2.0,0.05555555555555555,1,2.0,2.0,8.162288430251786,0.2222222222222222,0.2222222222222222,9,0,0.0,0.012472992572931859,0,0.0,1.0,1,2.0,0.18035792504759157,0,0.0,1.0,0,0.0,0.7193267769505143,0,0.0,0.9975695083352466,0,0.0,0.24607453920193167,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9625111381039025,0,0.0,1.0,0,0.0,0.6453146544351939
56.0,3,3.0,0.06976744186046512,9.889821002109128,43,11.0,0.2558139534883721,9.0,0.20930232558139536,3,3.0,1.0,6.233013861649097,0.21428571428571427,0.21428571428571427,14,0,0.0,1.0,0,0.0,0.9306584071588214,0,0.0,0.39414724062244666,0,0.0,1.0,0,0.0,1.0,2,2.0,0.23490539316801473,0,0.0,0.4836829694525911,1,1.0,0.37049366653106713,0,0.0,0.14101929787476333,0,0.0,0.01393129881108266,0,0.0,0.7332316151169976,0,0.0,1.0
64.0,2,2.0,0.043478260869565216,11.329640925020879,46,25.0,0.5434782608695652,14.0,0.30434782608695654,2,8.0,5.0,9.500202666952942,0.5333333333333333,0.5333333333333333,15,0,0.0,1.0,0,0.0,0.91964611224449,0,0.0,0.9147347164772756,0,0.0,1.0,0,0.0,0.26273542930449095,1,4.0,0.5091657332954103,0,0.0,0.9136434944102052,0,0.0,1.0,0,3.0,0.3347944352417312,0,0.0,0.9648595144726577,0,0.0,1.0,1,1.0,0.017724036065819647
72.0,5,8.0,0.16666666666666666,9.49182325797499,48,43.0,0.8958333333333334,18.0,0.375,4,14.0,6.0,5.726362133735804,0.8235294117647058,0.8235294117647058,17,0,0.0,0.01808758955675312,0,0.0,0.6526454039288433,1,4.0,0.02116235576601179,1,1.0,0.002285738485447852,0,0.0,1.0,0,0.0,0.9448099535744791,0,3.0,0.5830043609331628,0,1.0,0.3145944697363401,0,3.0,0.01052760485641151,1,0.0,0.45183844472795864,0,0.0,1.0,1,2.0,0.0032426380673436957
80.0,2,1.0,0.017857142857142856,11.410708744107776,56,58.0,1.0357142857142858,15.0,0.26785714285714285,2,3.0,0.0,9.538866738026798,0.15789473684210525,0.15789473684210525,19,0,0.0,1.0,0,0.0,0.5760469855838638,1,0.0,0.04481755948941981,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9511228582916054,1,3.0,0.4408482360987675,0,0.0,1.0,0,0.0,0.6694035216549982,0,0.0,0.7315952082596905,0,0.0,1.0,0,0.0,0.6970684539149256
88.0,6,23.0,0.359375,10.49409980413977,64,89.0,1.390625,31.0,0.484375,5,29.0,26.0,7.137444862444115,1.45,1.45,20,0,0.0,0.5616410988837548,0,0.0,1.0,0,0.0,0.8644709687843682,0,0.0,0.9326057834928989,0,0.0,1.0,0,3.0,0.5423252556976941,1,9.0,0.0,0,3.0,0.45643789020171105,2,7.0,0.17669553715980793,2,7.0,0.4000128393575234,0,0.0,1.0,0,0.0,0.1832256040537928
96.0,4,13.0,0.18571428571428572,10.591864132539415,70,122.0,1.7428571428571429,33.0,0.4714285714285714,4,24.0,0.0,7.514949605266164,1.5,1.5,16,1,6.0,0.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8793286432879914,0,0.0,1.0,1,2.0,0.45184007326432063,1,2.0,0.0017158998469898005,0,0.0,1.0,1,9.0,0.31211447093756006,0,0.0,0.20950130947319273,0,0.0,0.7978605318159024,0,3.0,0.7728486685041309
104.0,3,10.0,0.12987012987012986,12.302682395959726,77,147.0,1.9090909090909092,25.0,0.3246753246753247,3,22.0,0.0,9.334985071564926,1.0,1.0,22,1,2.0,0.00035831725348215327,0,3.0,0.9769504923926077,0,1.0,0.4920289830406846,1,4.0,0.4056626580261932,0,0.0,1.0,0,0.0,0.5109859299678317,0,3.0,0.7622186823135133,0,0.0,1.0,0,5.0,0.4524240188721701,0,0.0,0.9683976757871732,1,4.0,3.1713613632836004e-05,0,0.0,0.9633556479349982
112.0,0,0.0,0.0,12.462077372654647,78,158.0,2.0256410256410255,11.0,0.14102564102564102,0,16.0,0.0,9.626427033252678,1.0,1.0,16,0,0.0,1.0,0,0.0,0.3977934839594491,0,0.0,0.18814703082652054,0,0.0,0.6101595420079636,0,0.0,1.0,0,0.0,0.859050362012844,0,0.0,0.9916112072154284,0,1.0,0.6006532421371318,0,8.0,0.44507728831119175,0,5.0,0.5903051995717783,0,0.0,1.0,0,2.0,0.9407823382720332
120.0,6,15.0,0.1744186046511628,11.826815336326026,86,177.0,2.058139534883721,19.0,0.22093023255813954,5,39.0,23.0,8.360489235052937,1.95,1.95,20,0,0.0,0.5298876299365816,0,0.0,0.9657158904065386,1,1.0,0.0005908975714636792,0,0.0,1.0,0,0.0,1.0,0,6.0,0.48212251996272376,0,6.0,0.27875874034588416,1,7.0,0.4359955015996779,2,12.0,0.47390309525690444,0,0.0,0.9162848019382075,0,0.0,1.0,1,7.0,0.46857390138457733
