step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.696823426932617,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.47888904829298,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9414201854774159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.988337542915469,19,0.0,0.0,0.0,0.0,0,0.0,0.0,14.43306614024959,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9396848514153127,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9512696924763466,0,0.0,1.0,0,0.0,1.0
40.0,5,7.0,0.21212121212121213,10.22106874975924,33,7.0,0.21212121212121213,7.0,0.21212121212121213,3,7.0,7.0,6.167237213608312,0.7,0.7,10,1,0.0,0.0,0,0.0,1.0,0,0.0,0.26442665754597466,0,0.0,1.0,0,0.0,1.0,1,4.0,0.7182363929317356,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,1,3.0,0.000881703362079838,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,1,12.0,0.32432432432432434,13.014723752170234,37,18.0,0.4864864864864865,11.0,0.2972972972972973,1,12.0,5.0,9.041850214691399,1.5,1.5,8,0,0.0,1.0,0,0.0,1.0,0,0.0,0.36993271373986186,0,0.0,1.0,0,0.0,0.7193267769505143,1,12.0,0.4593993526043027,0,0.0,0.24607453920193167,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9625111381039025,0,0.0,1.0,0,0.0,0.6453146544351939
56.0,3,23.0,0.5227272727272727,9.852639602884114,44,29.0,0.6590909090909091,11.0,0.25,3,23.0,11.0,7.151469730324299,1.15,1.15,20,0,0.0,0.1476338869615982,0,0.0,0.9306584071588214,0,0.0,0.5694672043679141,0,0.0,1.0,0,0.0,1.0,2,20.0,0.3420711921147671,0,0.0,0.4915080319797682,0,0.0,0.3636235281999033,0,0.0,0.5402805237362964,0,0.0,1.0,0,0.0,0.6987325434081074,1,3.0,0.00011059486547520564
64.0,3,21.0,0.44680851063829785,10.354833353671195,47,64.0,1.3617021276595744,35.0,0.7446808510638298,3,21.0,0.0,7.484476990639032,1.6153846153846154,1.6153846153846154,13,3,21.0,0.0,0,0.0,0.98881965953154,0,0.0,0.9065786201464361,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9750820718392872,0,0.0,0.8058649552903125,0,0.0,1.0,0,0.0,0.025321916493968963,0,0.0,0.9341054436924225,0,0.0,1.0,0,0.0,0.02471961224493333
72.0,5,46.0,0.9387755102040817,10.13805091175612,49,93.0,1.8979591836734695,29.0,0.5918367346938775,5,48.0,27.0,5.202415142846187,3.2,3.2,15,3,45.0,0.004957768472808727,0,0.0,0.6745721979695418,0,0.0,1.0,0,0.0,0.013906206605156386,0,0.0,1.0,0,0.0,0.9547342767152366,0,0.0,0.523720145592535,0,2.0,0.3985030674662073,0,0.0,1.0,1,0.0,0.4500778642961538,0,0.0,1.0,1,1.0,0.003826054470077997
80.0,3,5.0,0.08771929824561403,10.679828848883382,57,95.0,1.6666666666666667,2.0,0.03508771929824561,3,5.0,0.0,8.969374043939991,0.2631578947368421,0.2631578947368421,19,0,0.0,1.0,0,0.0,0.6222851075616626,2,2.0,0.04215780438703018,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9421229117945522,1,3.0,0.0007917360367372501,0,0.0,1.0,0,0.0,0.6459873385844107,0,0.0,0.7241089101555443,0,0.0,1.0,0,0.0,0.5854759826002617
88.0,5,16.0,0.25,11.262053134714453,64,117.0,1.828125,22.0,0.34375,4,36.0,31.0,9.52025029635478,1.5,1.5,24,0,0.0,0.6214166173207339,0,0.0,1.0,0,0.0,0.935585498241844,0,0.0,0.9711631585309863,0,4.0,0.30687532969653036,0,10.0,0.6266647593649873,0,0.0,1.0,0,0.0,0.04444033307949647,2,10.0,0.4932343605703661,1,7.0,0.623890204795436,0,0.0,1.0,1,5.0,0.33183909397703687
96.0,8,49.0,0.7101449275362319,10.861004390877524,69,160.0,2.318840579710145,43.0,0.6231884057971014,8,55.0,19.0,7.842223855026795,2.8947368421052633,2.8947368421052633,19,1,2.0,4.8569978859817186e-05,0,0.0,1.0,1,1.0,0.004578045476917088,0,0.0,0.8485248150876733,0,0.0,1.0,1,1.0,0.4627589910596703,0,0.0,1.0,0,3.0,0.9731061800752914,4,33.0,0.3699078753299637,1,15.0,0.0,0,0.0,0.8583999869621026,0,0.0,0.7460073970069433
104.0,4,18.0,0.24324324324324326,11.608306514480216,74,206.0,2.7837837837837838,46.0,0.6216216216216216,4,45.0,0.0,8.359675200635875,1.6666666666666667,1.6666666666666667,27,2,11.0,2.5302720020727983e-05,0,3.0,0.9378944651821912,0,1.0,0.3845055330223395,0,0.0,0.929477307448228,0,0.0,1.0,0,0.0,0.9708788128459543,0,4.0,0.5855696050025381,0,0.0,1.0,2,25.0,0.14489877172702134,0,0.0,0.9299731590661245,0,0.0,1.0,0,1.0,0.9822783429073602
112.0,11,69.0,0.8734177215189873,10.899076746936224,79,260.0,3.2911392405063293,54.0,0.6835443037974683,11,98.0,53.0,5.565731084013272,4.260869565217392,4.260869565217392,23,2,27.0,0.0,1,1.0,0.192770411781624,0,0.0,0.17483376751306398,0,0.0,0.8726914415181037,0,0.0,1.0,0,0.0,0.9574308899375448,0,3.0,0.5042778247628732,0,3.0,0.1680393264135566,8,61.0,0.10712335061839268,0,3.0,0.7597413203466289,0,0.0,1.0,0,0.0,0.9860142541547625
120.0,5,41.0,0.47126436781609193,12.146505281092907,87,318.0,3.6551724137931036,58.0,0.6666666666666666,5,58.0,0.0,8.268806185618203,3.411764705882353,3.411764705882353,17,0,0.0,0.557148056014031,0,0.0,0.9626862176149508,0,0.0,1.0,0,0.0,0.26442067038540046,0,0.0,1.0,0,0.0,0.03037701577346602,1,8.0,0.4828608116298052,0,0.0,0.9710535320476485,3,48.0,0.1933661101204105,0,0.0,0.9970552263243868,0,0.0,1.0,1,2.0,0.4837547814904339
