step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.682739018714589,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.431002060351684,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9248945056538735,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.679805141538106,19,0.0,0.0,0.0,0.0,0,0.0,0.0,14.424108029087527,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9389218809203208,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9512696924763466,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,10.928650922606074,33,0.0,0.0,0.0,0.0,1,0.0,0.0,7.708481771871573,0.0,0.0,8,1,0.0,0.0,0,0.0,1.0,0,0.0,0.2650721855979839,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9576402677538706,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,0,0.0,0.0,12.499719886327295,36,0.0,0.0,0.0,0.0,0,0.0,0.0,8.075206547706566,0.0,0.0,10,0,0.0,0.012472992572931859,0,0.0,1.0,0,0.0,0.32581042406051336,0,0.0,0.5171832927560511,0,0.0,0.7193267769505143,0,0.0,0.9187987052086054,0,0.0,0.24607453920193167,0,0.0,0.013189542481283704,0,0.0,1.0,0,0.0,0.9625111381039025,0,0.0,1.0,0,0.0,0.6453146544351939
56.0,2,3.0,0.06976744186046512,10.728956204065915,43,10.0,0.23255813953488372,10.0,0.23255813953488372,2,3.0,3.0,9.138838177845388,0.21428571428571427,0.21428571428571427,14,0,0.0,1.0,0,0.0,0.9306584071588214,0,0.0,0.5670177040151286,0,0.0,1.0,0,0.0,1.0,2,3.0,0.2420752191267508,0,0.0,0.6532630743591321,0,0.0,0.9550458470236548,0,0.0,0.5540163867352914,0,0.0,0.01393129881108266,0,0.0,0.7497998406386968,0,0.0,1.0
64.0,2,2.0,0.0425531914893617,11.512514032744736,47,18.0,0.3829787234042553,8.0,0.1702127659574468,2,8.0,5.0,9.491898406628303,0.5714285714285714,0.5714285714285714,14,0,0.0,1.0,0,0.0,0.9797148253022979,0,0.0,0.9115114956900933,0,0.0,1.0,0,0.0,0.27604010016200053,1,4.0,0.5094270499397179,0,0.0,0.9085078573658809,0,0.0,1.0,0,3.0,0.7626117398239665,0,0.0,0.9648595144726577,0,0.0,1.0,1,1.0,0.017803758109778918
72.0,1,0.0,0.0,11.012326096726353,48,22.0,0.4583333333333333,4.0,0.08333333333333333,1,6.0,0.0,7.438809044718183,0.42857142857142855,0.42857142857142855,14,0,0.0,0.01808758955675312,0,0.0,0.6445367755280498,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9490932674681871,0,3.0,0.6229828572431162,0,0.0,0.34742631234006227,0,3.0,0.025543190422632745,1,0.0,0.4677641994426913,0,0.0,1.0,0,0.0,0.19828702494797737
80.0,2,2.0,0.03636363636363636,11.127414060480227,55,29.0,0.5272727272727272,7.0,0.12727272727272726,2,4.0,0.0,10.420673587371526,0.2,0.2,20,0,0.0,1.0,0,0.0,0.624494253093034,1,0.0,0.06685258803919861,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9937630442772813,1,4.0,0.3816735846840384,0,0.0,1.0,0,0.0,0.6557090585672846,0,0.0,0.7450818471875686,0,0.0,1.0,0,0.0,0.72942413402364
88.0,6,27.0,0.42857142857142855,10.90816088850779,63,60.0,0.9523809523809523,31.0,0.49206349206349204,5,36.0,32.0,8.842397690562938,1.44,1.44,25,0,0.0,0.9112438418272792,0,0.0,0.965811529299456,0,0.0,0.4602969312195188,0,0.0,0.9628633089657292,0,0.0,1.0,0,3.0,0.6003057599333672,1,10.0,0.0,0,3.0,0.383247701274712,2,9.0,0.4957036423126966,1,7.0,0.6556095625458181,0,0.0,1.0,1,4.0,0.24538095447636318
96.0,5,11.0,0.15714285714285714,10.6169376306847,70,96.0,1.3714285714285714,36.0,0.5142857142857142,5,13.0,0.0,7.212491383711996,0.8666666666666667,0.8666666666666667,15,0,0.0,1.0,0,0.0,1.0,1,2.0,8.74847806059897e-05,0,0.0,0.7982250875752306,0,0.0,1.0,1,3.0,0.48112974545625703,1,1.0,0.28793373634486713,0,0.0,1.0,1,6.0,0.47909295831778365,1,1.0,0.05806276819252883,0,0.0,0.8654253766579074,0,0.0,0.728774771321052
104.0,4,13.0,0.17333333333333334,12.311052917655315,75,127.0,1.6933333333333334,31.0,0.41333333333333333,3,27.0,14.0,8.91742925717145,1.2857142857142858,1.2857142857142858,21,1,2.0,0.0003288948946184119,0,3.0,0.6629797313449,0,1.0,0.32865242899131325,0,0.0,0.9599349279472555,0,0.0,1.0,0,0.0,0.6267583472505608,0,2.0,0.7582329920819055,0,6.0,0.2929896224508732,1,9.0,0.3878571425118989,0,0.0,0.9751072744396558,1,4.0,0.0,0,0.0,0.9645501076796672
112.0,3,16.0,0.20512820512820512,12.447716154478302,78,146.0,1.8717948717948718,19.0,0.24358974358974358,3,26.0,0.0,7.8605228156666085,2.0,2.0,13,0,0.0,1.0,0,0.0,0.4345301760963244,0,0.0,0.1754274085073159,0,0.0,0.8502981035213566,0,0.0,1.0,0,0.0,0.872339750443418,0,0.0,0.9241432782191126,0,0.0,1.0,2,21.0,0.023430547091864522,0,4.0,0.6747891692155235,0,0.0,1.0,1,1.0,0.4680128895079364
120.0,7,19.0,0.2261904761904762,11.444195395223336,84,172.0,2.0476190476190474,26.0,0.30952380952380953,6,39.0,13.0,8.10526140035049,1.625,1.625,24,0,0.0,0.30802215335385,0,0.0,0.9706013983504506,0,0.0,0.05008005676926982,0,0.0,0.9530173585943432,0,0.0,1.0,0,3.0,0.9533043252065584,0,2.0,0.5006307851739988,2,7.0,0.09799014035134261,3,18.0,0.39478490541308603,0,0.0,0.9681423318097528,0,0.0,1.0,1,9.0,0.6662097997881539
128.0,3,24.0,0.26666666666666666,12.235055112949635,90,217.0,2.411111111111111,45.0,0.5,3,32.0,0.0,10.911313128580144,2.4615384615384617,2.4615384615384617,13,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8770367336110816,0,0.0,1.0,0,0.0,0.9198352555870739,0,0.0,1.0,0,0.0,0.934314166579245,0,0.0,1.0,2,15.0,0.5480577700589121,0,0.0,0.5723282743349073,0,0.0,1.0,1,17.0,0.5772129123249813
