step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,11.392585175787099,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,6.5241891981938345,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.035310305602331,0.0,0.0,3,0,0.0,0.514096896952094
24.0,1,0.0,0.0,8.924388102637959,10,0.0,0.0,0.0,0.0,0,0.0,0.0,10.309642855343805,0.0,0.0,3,0,0.0,0.7378882135824177
32.0,1,0.0,0.0,9.595102538469298,15,0.0,0.0,0.0,0.0,1,0.0,0.0,7.6764295545214,0.0,0.0,5,1,0.0,0.5237791076780229
40.0,2,2.0,0.125,7.566312388169782,16,2.0,0.125,2.0,0.125,2,2.0,2.0,6.180935303951574,0.2,0.2,10,2,2.0,0.44333511732875247
48.0,0,0.0,0.0,9.254410128459709,18,8.0,0.4444444444444444,6.0,0.3333333333333333,0,0.0,0.0,9.50858952452889,0.0,0.0,8,0,0.0,0.6866533809839458
56.0,3,13.0,0.5909090909090909,9.814686379871754,22,21.0,0.9545454545454546,13.0,0.5909090909090909,1,0.0,0.0,7.8557510266280905,0.0,0.0,9,1,0.0,0.5624935277032033
64.0,2,5.0,0.2777777777777778,7.738874460297757,18,36.0,2.0,15.0,0.8333333333333334,2,12.0,12.0,5.553920974545463,1.3333333333333333,1.3333333333333333,9,2,12.0,0.39966913368521595
72.0,0,0.0,0.0,9.075970880306063,20,25.0,1.25,0.0,0.0,0,1.0,0.0,7.808229916624405,0.08333333333333333,0.08333333333333333,12,0,1.0,0.5657827062381515
80.0,5,15.0,0.7142857142857143,7.022027272923129,21,19.0,0.9047619047619048,0.0,0.0,3,5.0,4.0,5.3176230924885,0.4166666666666667,0.4166666666666667,12,3,5.0,0.4115324646473186
88.0,8,59.0,2.4583333333333335,6.092299134780245,24,63.0,2.625,44.0,1.8333333333333333,6,32.0,27.0,3.755474453995072,2.1333333333333333,2.1333333333333333,15,6,32.0,0.26876536814203983
96.0,11,131.0,5.954545454545454,3.4349544984611042,22,137.0,6.2272727272727275,74.0,3.3636363636363638,9,90.0,58.0,1.4486624316672227,5.625,5.625,16,9,90.0,0.10281831484599127
104.0,9,65.0,2.6,3.858986600630571,25,211.0,8.44,74.0,2.96,9,121.0,31.0,1.5316088362856355,6.368421052631579,6.368421052631579,19,9,121.0,0.10714577276624423
112.0,9,42.0,1.826086956521739,2.973885365793513,23,212.0,9.217391304347826,1.0,0.043478260869565216,9,190.0,69.0,1.9874577695457074,9.047619047619047,9.047619047619047,21,9,190.0,0.14162750692517775
120.0,3,9.0,0.32142857142857145,4.888512992170013,28,241.0,8.607142857142858,29.0,1.0357142857142858,3,183.0,0.0,3.900382678633975,8.318181818181818,8.318181818181818,22,3,183.0,0.28211435236627186
128.0,9,33.0,1.064516129032258,3.934458180853262,31,303.0,9.774193548387096,62.0,2.0,8,232.0,49.0,1.4467755711213857,11.047619047619047,11.047619047619047,21,8,232.0,0.1004509276524215
136.0,10,31.0,1.0689655172413792,3.457821326416092,29,385.0,13.275862068965518,82.0,2.8275862068965516,8,279.0,47.0,1.2749421480722665,13.95,13.95,20,8,279.0,0.09042426661378491
144.0,15,60.0,1.7647058823529411,2.9653560514235604,34,448.0,13.176470588235293,63.0,1.8529411764705883,12,342.0,63.0,0.658769580322298,15.545454545454545,15.545454545454545,22,12,342.0,0.04597292159183866
152.0,17,84.0,2.4,3.8880732184896676,35,538.0,15.371428571428572,90.0,2.5714285714285716,16,394.0,52.0,0.8607252181985466,17.90909090909091,17.90909090909091,22,16,394.0,0.059497810913802636
160.0,16,152.0,4.470588235294118,4.451046551073427,34,596.0,17.529411764705884,58.0,1.7058823529411764,14,408.0,14.0,2.2167398585012195,17.73913043478261,17.73913043478261,23,14,408.0,0.1548858708331685
168.0,13,127.0,4.096774193548387,4.306949705510539,31,633.0,20.419354838709676,37.0,1.1935483870967742,11,454.0,46.0,3.3278145875444483,18.916666666666668,18.916666666666668,24,11,454.0,0.22974192112872116
