step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.641248743161216,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.028504853361908,0.0,0.0,3,0,0.0,0.1757290212889994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10001175667687548,0,0.0,0.8368242681550757,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.621794970092806,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.103594083587362,0.0,0.0,6,0,0.0,0.9575656623415475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4941451681154079,0,0.0,1.0,0,0.0,0.9591769441699695,0,0.0,0.5297116034424184,0,0.0,0.22700411842176027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6240338066772932,0,0.0,1.0
24.0,0,0.0,0.0,10.840600402460842,19,0.0,0.0,0.0,0.0,0,0.0,0.0,11.786779701640427,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8413902821767403,0,0.0,1.0,0,0.0,0.5209089598533768,0,0.0,0.7102191171336407,0,0.0,0.7758499539837294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,3,6.0,0.23076923076923078,9.763698598093212,26,6.0,0.23076923076923078,6.0,0.23076923076923078,2,6.0,6.0,9.564388900313238,0.4,0.4,15,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.00010691877090100505,0,0.0,1.0,1,3.0,0.7334546270360951,0,0.0,1.0,0,0.0,0.9514765339066324,0,0.0,0.5260902278243645,0,0.0,0.4997813797306467,0,0.0,1.0,0,0.0,0.9685615687124135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,2,2.0,0.06451612903225806,9.014028733975476,31,16.0,0.5161290322580645,10.0,0.3225806451612903,1,2.0,0.0,8.613060404199642,0.15384615384615385,0.15384615384615385,13,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48185567016864717,0,0.0,1.0,0,0.0,0.8384744442718053,0,0.0,0.7051274791241089,0,0.0,0.7197983238587025,0,0.0,1.0,1,2.0,0.0011407632374492694,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,4,6.0,0.15,9.455978141409414,40,26.0,0.65,10.0,0.25,3,7.0,5.0,8.389382220946647,0.4117647058823529,0.4117647058823529,17,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.3000649805147033,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6287368574900872,0,0.0,1.0,1,3.0,0.4234132403645371,0,0.0,0.7750241066313215,0,0.0,0.556329236301922,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9033334210982742,0,0.0,1.0,0,0.0,1.0,0,0.0,0.969882957592445
56.0,3,14.0,0.3181818181818182,10.311813522956713,44,41.0,0.9318181818181818,15.0,0.3409090909090909,3,19.0,12.0,9.521974766623083,1.1875,1.1875,16,0,0.0,1.0,0,0.0,0.9652852617686476,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7039891263279052,1,3.0,0.15105005891370932,1,11.0,0.48982046978083166,0,0.0,0.6552283965701317,0,0.0,0.9526770046190907,0,3.0,0.7883797780638038,0,0.0,1.0,1,2.0,0.0030930413557685972,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9789563536019019
64.0,4,20.0,0.37037037037037035,9.091492873569795,54,58.0,1.0740740740740742,17.0,0.3148148148148148,3,23.0,4.0,7.192952044748426,1.5333333333333334,1.5333333333333334,15,1,0.0,0.20290965083873203,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.8330111067307672,0,0.0,1.0,0,0.0,0.8194322503937308,0,0.0,0.26734167411865045,1,19.0,0.0,0,0.0,0.8341906879633524,1,1.0,0.1150955799716744,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,2,4.0,0.06451612903225806,10.818934267902325,62,69.0,1.1129032258064515,11.0,0.1774193548387097,2,12.0,0.0,9.84074285653441,0.8,0.8,15,0,5.0,0.9579052589780854,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.7158495685807893,0,0.0,1.0,1,2.0,0.2683593566523405,1,2.0,0.21530989218793353,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7933719668545608,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,4,0.0,0.0,9.44003110929136,77,86.0,1.1168831168831168,17.0,0.22077922077922077,2,14.0,2.0,8.713872115839347,0.7777777777777778,0.7777777777777778,18,1,2.0,0.6228227860504785,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.008784812583638498,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9806044962234657,0,3.0,0.925077676133717,0,0.0,0.6066842485527489,0,1.0,0.3258047016714035,0,5.0,0.24194200007344818,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9190840426806576,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
