step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.641248743161216,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.028504853361908,0.0,0.0,3,0,0.0,0.1757290212889994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10001175667687548,0,0.0,0.8368242681550757,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.621794970092806,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.103594083587362,0.0,0.0,6,0,0.0,0.9575656623415475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4941451681154079,0,0.0,1.0,0,0.0,0.9591769441699695,0,0.0,0.5297116034424184,0,0.0,0.22700411842176027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6240338066772932,0,0.0,1.0
24.0,1,1.0,0.05263157894736842,10.42573193123385,19,1.0,0.05263157894736842,1.0,0.05263157894736842,1,1.0,1.0,10.315579277082701,0.125,0.125,8,1,1.0,0.001174577360615801,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8413902821767403,0,0.0,1.0,0,0.0,0.5209089598533768,0,0.0,0.7102191171336407,0,0.0,0.7758499539837294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,3,6.0,0.23076923076923078,9.77018418843192,26,10.0,0.38461538461538464,9.0,0.34615384615384615,2,6.0,5.0,9.564388900313238,0.4,0.4,15,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.00010691877090100505,0,0.0,1.0,1,3.0,0.7334546270360951,0,0.0,1.0,0,0.0,0.9514765339066324,0,0.0,0.5260902278243645,0,0.0,0.4997813797306467,0,0.0,1.0,0,0.0,0.9685615687124135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,1,0.0,0.0,9.432130295880606,31,18.0,0.5806451612903226,8.0,0.25806451612903225,0,0.0,0.0,9.32916621650721,0.0,0.0,12,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48185567016864717,0,0.0,1.0,0,0.0,0.8384744442718053,0,0.0,0.7051274791241089,0,0.0,0.7197983238587025,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,4,6.0,0.15,9.387558927103818,40,25.0,0.625,7.0,0.175,3,7.0,7.0,8.364938171027465,0.3888888888888889,0.3888888888888889,18,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.3000649805147033,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6287368574900872,0,0.0,1.0,1,3.0,0.4234132403645371,0,0.0,0.7115887315147794,0,0.0,0.556329236301922,0,0.0,0.4253672713768369,0,0.0,1.0,0,0.0,0.9033334210982742,0,0.0,1.0,0,0.0,1.0,0,0.0,0.969882957592445
56.0,3,15.0,0.3409090909090909,10.420382258537167,44,41.0,0.9318181818181818,16.0,0.36363636363636365,3,17.0,10.0,8.945914414424287,1.1333333333333333,1.1333333333333333,15,0,0.0,1.0,0,0.0,0.9652852617686476,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7039891263279052,1,4.0,0.1462480701544988,1,11.0,0.4558883037671846,0,0.0,0.6552283965701317,0,0.0,0.9526770046190907,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0030930413557685972,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9366737595852047
64.0,4,20.0,0.36363636363636365,9.27287895439581,55,58.0,1.0545454545454545,17.0,0.3090909090909091,3,23.0,6.0,7.075728870526333,1.5333333333333334,1.5333333333333334,15,1,0.0,0.16617272630127342,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9939409317880227,0,0.0,1.0,0,0.0,0.8296022587324268,0,0.0,0.21381291635146701,1,19.0,0.0,0,0.0,0.8301745118067635,1,1.0,0.1150955799716744,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,2,4.0,0.06451612903225806,10.130324330097173,62,65.0,1.0483870967741935,7.0,0.11290322580645161,2,12.0,0.0,9.601313624401858,0.75,0.75,16,0,5.0,0.9715241608260298,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6753173416954745,0,0.0,0.44774778215987143,1,1.0,0.2515286462034718,1,3.0,0.12804298149716317,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7933719668545608,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,4,0.0,0.0,9.633808471679007,77,82.0,1.0649350649350648,17.0,0.22077922077922077,2,13.0,1.0,9.209006914731447,0.8125,0.8125,16,1,2.0,0.6633695586530634,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.008237478493320632,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9462198393178685,0,3.0,0.9857049153674146,0,0.0,1.0,0,2.0,0.3589417756100942,0,3.0,0.34162162339744584,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9226964056860059,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
