step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,2,0.0,0.0,7.192257573234551,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.9311642679757455,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29567369938500637,0,0.0,1.0,0,0.0,0.4806666406487711,0,0.0,0.8112658184917265,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.873482301302321,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,8.524715243162175,0.23076923076923078,0.23076923076923078,13,0,0.0,1.0,0,0.0,0.9391003736591941,0,0.0,0.5681968499267809,0,0.0,1.0,0,0.0,0.9373558487747223,0,0.0,0.7685302413424365,1,3.0,0.20261343953631603
32.0,0,0.0,0.0,8.874621411875347,33,12.0,0.36363636363636365,9.0,0.2727272727272727,0,0.0,0.0,10.38289619857996,0.0,0.0,11,0,0.0,1.0,0,0.0,0.5340822059226928,0,0.0,0.9672399671630878,0,0.0,1.0,0,0.0,0.9278331665782527,0,0.0,0.677696325066054,0,0.0,0.4703776348343769
40.0,2,4.0,0.1,8.816450882725395,40,15.0,0.375,3.0,0.075,2,10.0,10.0,7.5966727058673005,0.5263157894736842,0.5263157894736842,19,0,0.0,1.0,1,1.0,0.5055852588991543,0,0.0,1.0,0,0.0,0.8758230580649461,0,0.0,0.4811004888192658,1,9.0,0.5129259541326939,0,0.0,0.6799345587781301
48.0,5,9.0,0.19148936170212766,8.540983347894683,47,38.0,0.8085106382978723,23.0,0.48936170212765956,3,11.0,1.0,8.335299634459908,0.55,0.55,20,1,2.0,0.0019055306422503162,0,0.0,0.8157374656830326,0,0.0,1.0,0,0.0,0.9167090698737962,0,2.0,0.8459700616289871,1,4.0,0.5009039781579112,1,3.0,0.0004000965506454379
56.0,9,39.0,0.7959183673469388,8.96635930385594,49,80.0,1.6326530612244898,42.0,0.8571428571428571,5,29.0,18.0,8.21826675161983,1.1153846153846154,1.1153846153846154,26,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.77136674390222,0,4.0,0.9020202899447496,4,18.0,0.39152371633916777,1,7.0,0.3335227896208891
64.0,8,46.0,0.7931034482758621,8.134312009382382,58,141.0,2.4310344827586206,61.0,1.0517241379310345,7,65.0,36.0,7.148590256602505,2.5,2.5,26,0,0.0,0.9194807062612043,0,3.0,0.9998841663354064,0,3.0,0.9552641014816396,1,6.0,0.49188565601332573,0,0.0,0.647778736499242,5,53.0,0.2922181158447125,1,0.0,0.2367689364371418
72.0,7,59.0,0.9516129032258065,8.088837437155709,62,136.0,2.193548387096774,0.0,0.0,4,69.0,4.0,6.689302294970636,3.0,3.0,23,0,0.0,1.0,0,0.0,1.0,1,5.0,0.00494566208613362,0,0.0,0.630054395093094,0,0.0,0.5877320091030988,3,64.0,0.33825270953360614,0,0.0,0.7712367013216459
80.0,10,33.0,0.532258064516129,7.719176736980734,62,164.0,2.6451612903225805,28.0,0.45161290322580644,9,52.0,0.0,4.72439654328334,2.260869565217391,2.260869565217391,23,0,0.0,0.4032097339557898,0,0.0,1.0,0,0.0,0.6390273460158334,1,5.0,0.0,0,6.0,0.8111996789538982,6,32.0,0.24653658096542777,2,9.0,0.24552405938078262
88.0,9,40.0,0.7017543859649122,6.658754399001144,57,212.0,3.719298245614035,48.0,0.8421052631578947,6,93.0,41.0,4.837149563015514,3.4444444444444446,3.4444444444444446,27,0,0.0,1.0,0,0.0,0.951727454760245,0,0.0,0.4921390813976763,0,0.0,1.0,1,12.0,0.4785849970916351,3,53.0,0.1358331646100498,2,28.0,0.35316522214458757
96.0,8,67.0,1.2884615384615385,6.626362351522321,52,272.0,5.230769230769231,60.0,1.1538461538461537,6,103.0,10.0,5.815185077120963,4.12,4.12,25,0,0.0,1.0,1,4.0,0.6538981355084063,1,1.0,0.3045351925872992,0,0.0,1.0,0,11.0,0.783671240890668,2,46.0,0.21377217377212926,2,41.0,0.2997412868443519
104.0,13,148.0,2.740740740740741,6.567797259117891,54,352.0,6.518518518518518,80.0,1.4814814814814814,11,179.0,76.0,4.469633587114454,5.59375,5.59375,32,0,0.0,1.0,0,2.0,0.47432045448608634,1,9.0,0.38295547159067744,0,5.0,0.1432969844201822,0,15.0,0.6228989639194968,8,91.0,0.16024326850859036,2,57.0,0.0
112.0,16,191.0,3.4107142857142856,6.386669617516099,56,430.0,7.678571428571429,78.0,1.3928571428571428,13,201.0,22.0,5.641812137350947,6.28125,6.28125,32,0,0.0,1.0,0,5.0,0.9466719739198746,0,0.0,0.007931635741614646,1,8.0,0.0,0,12.0,0.585205741284875,11,174.0,0.18542067233116424,1,2.0,0.0007936258743314147
120.0,15,207.0,3.45,5.40228607211731,60,471.0,7.85,41.0,0.6833333333333333,13,287.0,86.0,2.737465583449901,9.89655172413793,9.89655172413793,29,0,0.0,0.2206469541500055,0,0.0,0.9708627166185911,0,0.0,1.0,0,0.0,1.0,3,24.0,0.30720021914637996,10,263.0,0.025503575548112948,0,0.0,1.0
128.0,21,182.0,2.757575757575758,5.418183535219831,66,557.0,8.43939393939394,86.0,1.303030303030303,19,317.0,30.0,3.2364618627002777,7.925,7.925,40,3,5.0,0.25340523060190073,0,0.0,0.8103662534669454,0,1.0,0.6103673042692731,2,2.0,0.3524745061052578,10,77.0,0.10920004209264486,4,232.0,0.18121941647591938,0,0.0,1.0
136.0,20,210.0,3.1818181818181817,5.769508159980561,66,564.0,8.545454545454545,7.0,0.10606060606060606,18,383.0,66.0,3.6989132634778983,9.575,9.575,40,1,4.0,0.22661004152585562,0,3.0,0.9360263823561938,0,1.0,0.7817268894138146,1,5.0,0.24717544123271418,12,167.0,0.15462545034347283,4,203.0,0.23422523781008842,0,0.0,1.0
144.0,22,190.0,2.5675675675675675,5.956449430297476,74,685.0,9.256756756756756,121.0,1.635135135135135,18,431.0,48.0,2.6164775231164725,11.342105263157896,11.342105263157896,38,1,9.0,0.48331584812135303,1,7.0,0.49245653954998625,1,0.0,0.0,1,11.0,0.0,10,236.0,0.15387374925973352,4,168.0,0.16186960545975676,0,0.0,1.0
152.0,6,63.0,0.7875,6.812745578777424,80,686.0,8.575,1.0,0.0125,5,448.0,17.0,3.5042815010525614,11.2,11.2,40,0,0.0,0.7918072344796447,0,0.0,0.8855994211097812,0,0.0,0.9398155716381195,0,0.0,0.5849190073365288,3,258.0,0.0992552220383072,2,190.0,0.13125413177056394,0,0.0,0.6506103404404253
160.0,12,32.0,0.3855421686746988,6.076153116816776,83,658.0,7.927710843373494,0.0,0.0,11,431.0,0.0,2.440295294634403,10.512195121951219,10.512195121951219,41,0,0.0,1.0,2,4.0,0.3911901349352661,0,0.0,1.0,0,0.0,0.012428618717290502,3,271.0,0.13734362220966043,6,156.0,0.180827124552174,0,0.0,1.0
168.0,15,58.0,0.7532467532467533,6.201864452436067,77,650.0,8.441558441558442,0.0,0.0,14,448.0,17.0,3.97142295499464,9.53191489361702,9.53191489361702,47,0,0.0,0.6773348987862994,3,27.0,0.22835694684127314,0,0.0,0.9303940879696563,1,2.0,0.373046032514426,4,228.0,0.11870322778493601,6,191.0,0.19127711468481975,0,0.0,1.0
176.0,12,42.0,0.5384615384615384,6.848740071953378,78,749.0,9.602564102564102,99.0,1.2692307692307692,12,345.0,0.0,2.4935032171432194,9.324324324324325,9.324324324324325,37,1,3.0,0.518002701413501,1,4.0,4.418197927869683e-05,0,0.0,1.0,0,0.0,1.0,2,169.0,0.1722856648647613,8,169.0,0.08717197124912857,0,0.0,0.12410980525579238
184.0,8,44.0,0.6285714285714286,8.050099659657349,70,596.0,8.514285714285714,0.0,0.0,8,276.0,0.0,5.11991508437114,7.885714285714286,7.885714285714286,35,2,15.0,1.0378939239578432e-05,0,7.0,0.9338882009589355,1,3.0,0.654138017241145,0,0.0,1.0,0,96.0,0.37208687395760454,5,155.0,0.11176290690947195,0,0.0,0.6315936915125354
192.0,4,42.0,0.6774193548387096,7.862206469799671,62,492.0,7.935483870967742,0.0,0.0,3,153.0,0.0,5.832104639166814,5.884615384615385,5.884615384615385,26,1,6.0,0.0,0,0.0,0.9299061600740157,0,3.0,0.6691684353042602,0,0.0,1.0,0,27.0,0.5191185084718984,2,117.0,0.25495358563179543,0,0.0,0.8532499763700898
200.0,7,65.0,1.0833333333333333,7.868667153039334,60,441.0,7.35,0.0,0.0,5,150.0,0.0,4.445676071521074,6.0,6.0,25,0,0.0,0.1425121722249941,0,0.0,1.0,0,8.0,0.50675827671109,0,0.0,1.0,0,20.0,0.41163281394136525,5,122.0,0.2230181077566118,0,0.0,1.0
208.0,9,82.0,1.4137931034482758,7.572198670904369,58,342.0,5.896551724137931,0.0,0.0,7,144.0,0.0,5.1825236969114155,5.538461538461538,5.538461538461538,26,3,7.0,0.016478590007155215,0,5.0,0.4969381202106369,0,2.0,0.8747613790910839,0,0.0,1.0,0,0.0,0.8352890162371183,4,130.0,0.10653874949984785,0,0.0,0.9505542649007549
216.0,7,22.0,0.39285714285714285,7.56600023693335,56,314.0,5.607142857142857,0.0,0.0,6,83.0,0.0,4.8401590883328085,3.32,3.32,25,0,4.0,0.258704416355653,0,0.0,0.8082540574532546,1,3.0,0.6300933486689515,1,4.0,0.20683025132276733,1,5.0,0.3495769671507129,3,67.0,0.0996853241599521,0,0.0,1.0
224.0,8,25.0,0.45454545454545453,7.776761691690335,55,331.0,6.0181818181818185,17.0,0.3090909090909091,6,79.0,0.0,5.802100996515672,3.761904761904762,3.761904761904762,21,0,0.0,1.0,2,3.0,0.5982287738636614,1,11.0,0.0,0,0.0,1.0,0,4.0,0.8967292075620854,3,61.0,0.24222428713720914,0,0.0,1.0
232.0,10,47.0,0.8703703703703703,8.304007066094416,54,341.0,6.314814814814815,10.0,0.18518518518518517,8,51.0,0.0,6.299572045396665,1.9615384615384615,1.9615384615384615,26,3,9.0,0.1084041392252334,0,0.0,0.5011626762679874,0,2.0,0.7582861514645032,0,1.0,0.7903738708982835,0,5.0,0.511347198470402,5,34.0,0.420893514514051,0,0.0,1.0
240.0,10,60.0,1.2765957446808511,6.7732139628071675,47,328.0,6.9787234042553195,0.0,0.0,7,39.0,0.0,3.6555925724341725,2.0526315789473686,2.0526315789473686,19,0,0.0,0.45627881865435604,1,5.0,1.1008119366863389e-05,1,1.0,0.011890089629814133,1,5.0,0.19587667794715763,1,14.0,0.4576572009192435,3,14.0,0.3167944829511887,0,0.0,1.0
248.0,6,70.0,1.3461538461538463,8.559707150587961,52,382.0,7.346153846153846,54.0,1.0384615384615385,3,54.0,15.0,6.912224400829306,3.0,3.0,18,0,0.0,0.7120522267845901,0,3.0,0.946118157325904,0,0.0,1.0,0,0.0,1.0,1,26.0,0.6110223701402919,2,15.0,0.3098538015751644,0,10.0,0.8684519716668456
256.0,3,10.0,0.19607843137254902,9.205682090827313,51,347.0,6.803921568627451,0.0,0.0,3,39.0,0.0,5.779943234407319,2.2941176470588234,2.2941176470588234,17,0,0.0,0.7283795968472552,0,2.0,0.9851704785017488,0,0.0,0.2464901775614251,0,0.0,0.9905417613175819,0,7.0,0.4701171860653962,3,27.0,0.20211754567034568,0,3.0,0.9773573078789871
264.0,6,17.0,0.34,7.747839821992285,50,288.0,5.76,0.0,0.0,5,52.0,13.0,6.219188011739128,2.4761904761904763,2.4761904761904763,21,1,1.0,0.5158056975402797,0,3.0,0.9764001298514515,0,0.0,0.9880705575401004,1,1.0,0.0014264464812905923,0,9.0,0.8061485740711215,3,38.0,0.12047979404284634,0,0.0,0.9386344753352023
272.0,8,27.0,0.5869565217391305,7.428323592535791,46,180.0,3.9130434782608696,0.0,0.0,8,65.0,13.0,4.266763085272279,3.25,3.25,20,3,12.0,0.09762375278164977,0,0.0,0.6617382117320366,0,6.0,0.9829683388231314,1,3.0,0.002990076276805285,0,3.0,0.652400743466936,3,39.0,0.11552990353197172,1,2.0,0.3115352507763764
280.0,5,10.0,0.24390243902439024,7.990911837611872,41,180.0,4.390243902439025,0.0,0.0,4,54.0,0.0,6.189787757476698,3.0,3.0,18,0,9.0,0.12399007241464896,1,6.0,0.6725289447174033,0,0.0,0.9395002358363873,1,2.0,0.0006299831155362607,0,4.0,0.9292495729672456,2,33.0,0.2627165490079544,0,0.0,1.0
288.0,7,40.0,0.9523809523809523,8.477183527871956,42,198.0,4.714285714285714,18.0,0.42857142857142855,3,40.0,0.0,7.866227637826938,3.076923076923077,3.076923076923077,13,1,8.0,0.0,0,3.0,0.24514574193967897,0,0.0,0.7847000224667748,0,0.0,0.9261680046603532,0,3.0,0.9576951013790349,2,26.0,0.44822428959312655,0,0.0,0.2835204250574878
296.0,2,4.0,0.08333333333333333,8.82169875493753,48,208.0,4.333333333333333,10.0,0.20833333333333334,2,20.0,0.0,6.550351012791337,1.4285714285714286,1.4285714285714286,14,0,0.0,0.6372201359466719,0,5.0,0.976662852273543,0,0.0,0.949822880203278,1,2.0,0.0464134341765344,1,10.0,0.44398238142642,0,3.0,0.15433110898463906,0,0.0,1.0
304.0,5,12.0,0.27906976744186046,8.351749948360856,43,166.0,3.86046511627907,0.0,0.0,4,30.0,10.0,6.854514722147716,1.6666666666666667,1.6666666666666667,18,1,3.0,0.3272926764046925,0,0.0,0.8729146238630481,1,4.0,0.5696559949213353,1,3.0,0.13022930867151963,0,7.0,0.9710742261691755,1,13.0,0.3085811295770759,0,0.0,1.0
312.0,3,9.0,0.2,8.54033535250039,45,200.0,4.444444444444445,34.0,0.7555555555555555,1,15.0,0.0,7.482452960177586,1.25,1.25,12,0,1.0,0.35418888191042863,0,0.0,1.0,0,0.0,0.7035598163144788,0,2.0,0.009228298622357554,0,3.0,0.674418458233295,1,9.0,0.48929762857283604,0,0.0,1.0
320.0,4,19.0,0.4418604651162791,9.107848718641531,43,188.0,4.372093023255814,0.0,0.0,3,13.0,0.0,7.656325725784293,0.9285714285714286,0.9285714285714286,14,1,2.0,0.545838926270645,1,4.0,0.008947425634534111,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6971786767453727,1,4.0,0.6613825332494512,0,0.0,0.8118010315086499
328.0,6,11.0,0.28205128205128205,8.455599905790665,39,180.0,4.615384615384615,0.0,0.0,5,19.0,6.0,6.37205954400555,1.1875,1.1875,16,2,8.0,0.3541075720603727,0,5.0,0.8355509207773479,1,0.0,0.6578212711161155,0,0.0,1.0,0,3.0,0.6213624799221894,1,1.0,0.41770473127676205,1,2.0,0.0028351788553396336
336.0,1,3.0,0.07692307692307693,8.954304364697336,39,140.0,3.58974358974359,0.0,0.0,1,19.0,0.0,6.802133855530648,1.7272727272727273,1.7272727272727273,11,0,6.0,0.17166375964889133,0,0.0,1.0,0,3.0,0.8435172366589884,1,7.0,0.13149466373544907,0,3.0,0.986752401189829,0,0.0,0.47293341997338356,0,0.0,0.49648910583818023
344.0,2,5.0,0.125,9.225109617431992,40,110.0,2.75,0.0,0.0,2,21.0,2.0,9.239667840584273,1.5,1.5,14,0,3.0,0.838736510201684,1,4.0,0.002200576396067986,1,7.0,0.3777457953900385,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6121316546591351,0,7.0,0.9102535445957908
352.0,3,6.0,0.14634146341463414,9.442858954830674,41,92.0,2.2439024390243905,0.0,0.0,2,15.0,0.0,8.206579586536193,0.9375,0.9375,16,1,3.0,0.4930327769115008,0,3.0,0.9535340713094949,1,6.0,0.5753471037915967,0,0.0,0.6193725254836201,0,3.0,0.8268066990182871,0,0.0,0.3780366792380514,0,0.0,0.739467547850693
360.0,4,8.0,0.1951219512195122,8.868957606846696,41,89.0,2.1707317073170733,0.0,0.0,4,20.0,5.0,7.457267902669581,1.1764705882352942,1.1764705882352942,17,1,5.0,0.40210792013621105,2,14.0,0.5364211187574968,1,1.0,0.004425060708167927,0,0.0,1.0,0,0.0,0.8085966835439429,0,0.0,0.9013948320617681,0,0.0,0.9801287819920834
368.0,4,10.0,0.23255813953488372,7.131755854504618,43,115.0,2.6744186046511627,26.0,0.6046511627906976,2,19.0,0.0,6.379670217602379,1.0,1.0,19,1,12.0,0.0879512044347346,0,0.0,0.5363706214160571,0,3.0,0.9498185936338217,0,0.0,1.0,1,4.0,0.4851933793490365,0,0.0,0.8494144634223053,0,0.0,1.0
376.0,6,30.0,0.6976744186046512,6.766468303616167,43,138.0,3.2093023255813953,23.0,0.5348837209302325,5,43.0,24.0,4.71603360250384,2.263157894736842,2.263157894736842,19,2,17.0,2.1360696344060676e-05,1,10.0,0.5583304266195387,0,0.0,1.0,1,6.0,0.21871087962080604,0,6.0,0.37729681790938174,1,4.0,0.38386197183921944,0,0.0,1.0
384.0,9,55.0,1.1,7.079099715119608,50,204.0,4.08,66.0,1.32,6,49.0,6.0,7.026174176863509,2.45,2.45,20,0,0.0,1.0,2,23.0,0.20481441404960662,0,3.0,0.9626008714257577,0,0.0,1.0,4,18.0,0.18040788647573947,0,2.0,0.7945061591303137,0,3.0,0.7152937064212618
392.0,8,48.0,0.8571428571428571,7.24849382034136,56,250.0,4.464285714285714,46.0,0.8214285714285714,5,64.0,15.0,5.7796942606715405,2.206896551724138,2.206896551724138,29,0,0.0,0.11317314119847548,1,17.0,0.26023748867432683,0,6.0,0.8581132985398676,1,4.0,0.41291777265171076,1,27.0,0.34370543337929355,2,7.0,0.2772969509738526,0,3.0,0.6655772634442004
400.0,10,73.0,1.280701754385965,7.0318699836463985,57,261.0,4.578947368421052,11.0,0.19298245614035087,4,59.0,0.0,5.6214651883873525,3.2777777777777777,3.2777777777777777,18,0,0.0,1.0,0,5.0,0.8030197625630953,0,6.0,0.7157074634556446,1,12.0,0.0,1,26.0,0.33791232905458163,2,10.0,0.2521790608503897,0,0.0,1.0
408.0,9,99.0,1.9038461538461537,7.826619697804471,52,317.0,6.096153846153846,56.0,1.0769230769230769,5,81.0,22.0,6.30789706046829,3.375,3.375,24,0,0.0,0.9168207869272607,0,14.0,0.33490215979631344,0,0.0,0.9324806014413203,0,0.0,1.0,2,42.0,0.2631055762886875,2,16.0,0.3939424054479013,1,9.0,0.5371922261696154
416.0,10,150.0,3.125,7.087753634005055,48,309.0,6.4375,0.0,0.0,6,99.0,18.0,5.866121529397844,5.5,5.5,18,1,4.0,3.4132307294007885e-05,1,24.0,0.1758621413856183,2,8.0,0.3167548925316143,0,0.0,0.973723190529418,1,52.0,0.4944697708058154,1,10.0,0.4663938003271094,0,1.0,0.7332163842784134
424.0,10,190.0,4.042553191489362,6.27918450924882,47,339.0,7.212765957446808,30.0,0.6382978723404256,4,92.0,0.0,6.401544653903269,4.0,4.0,23,0,1.0,0.8818052912338061,0,0.0,0.9512145334638725,2,22.0,0.4616364021641692,1,1.0,0.04328507718699077,1,61.0,0.2652254115412186,0,3.0,0.41539728881321253,0,4.0,0.765237707721046
432.0,6,180.0,3.6,8.49207881606572,50,394.0,7.88,55.0,1.1,1,94.0,2.0,7.4493402172828915,8.545454545454545,8.545454545454545,11,0,0.0,0.9621140515837964,0,0.0,0.9481536383861466,0,34.0,0.06725364179708757,0,0.0,0.9987552080520399,1,59.0,0.3843436285093267,0,0.0,0.6802319857356189,0,1.0,0.6890450713854609
