step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,2,0.0,0.0,7.192257573234551,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.9311642679757455,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29567369938500637,0,0.0,1.0,0,0.0,0.4806666406487711,0,0.0,0.8112658184917265,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.873482301302321,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,8.524715243162175,0.23076923076923078,0.23076923076923078,13,0,0.0,1.0,0,0.0,0.9391003736591941,0,0.0,0.5681968499267809,0,0.0,1.0,0,0.0,0.9373558487747223,0,0.0,0.7685302413424365,1,3.0,0.20261343953631603
32.0,0,0.0,0.0,9.309629850517512,33,12.0,0.36363636363636365,9.0,0.2727272727272727,0,0.0,0.0,11.173624533458176,0.0,0.0,10,0,0.0,1.0,0,0.0,0.9254663599670049,0,0.0,0.9672399671630878,0,0.0,1.0,0,0.0,0.9278331665782527,0,0.0,0.677696325066054,0,0.0,0.4703776348343769
40.0,2,8.0,0.1951219512195122,8.752514875806064,41,17.0,0.4146341463414634,5.0,0.12195121951219512,2,9.0,9.0,8.556970697447493,0.45,0.45,20,0,0.0,0.9377057993513366,0,0.0,0.5336301277813474,0,0.0,1.0,0,0.0,0.8970028661124915,0,0.0,0.49145268979759404,0,1.0,0.7204462984601329,2,8.0,0.39169174403607804
48.0,4,15.0,0.3191489361702128,9.351627066931524,47,50.0,1.0638297872340425,33.0,0.7021276595744681,3,20.0,11.0,9.429730157845611,0.9523809523809523,0.9523809523809523,21,0,0.0,1.0,0,0.0,0.8018923233398919,0,0.0,1.0,0,0.0,0.8190773144814002,0,5.0,0.9232736438263326,2,12.0,0.5652619359519607,1,3.0,0.3118622084977705
56.0,9,48.0,1.0666666666666667,9.403133415938823,45,81.0,1.8,31.0,0.6888888888888889,6,45.0,25.0,6.918849550663627,3.0,3.0,15,1,2.0,0.0013624617855983554,0,0.0,0.9198034541303155,0,0.0,1.0,0,0.0,0.9628656806173311,0,0.0,0.9861959207266592,4,32.0,0.41653922176653485,1,11.0,0.48638123568872327
64.0,10,56.0,1.037037037037037,8.035052109047873,54,153.0,2.8333333333333335,72.0,1.3333333333333333,9,74.0,29.0,6.835339648901363,2.8461538461538463,2.8461538461538463,26,0,0.0,0.9167612235942331,0,0.0,1.0,0,3.0,0.9500025428867094,1,2.0,0.1583926148280028,0,14.0,0.8893838919269907,6,36.0,0.31243988724767485,2,19.0,0.0
72.0,5,7.0,0.11666666666666667,8.086888781651385,60,193.0,3.216666666666667,40.0,0.6666666666666666,3,48.0,0.0,6.82767878864608,2.0,2.0,24,0,0.0,1.0,0,0.0,1.0,1,5.0,0.005906583911807237,0,0.0,0.7281111502424579,0,10.0,0.8355742629668574,1,30.0,0.15768542924619652,1,3.0,0.6170582900044813
80.0,13,63.0,1.0327868852459017,7.989228323841017,61,203.0,3.3278688524590163,10.0,0.16393442622950818,10,80.0,32.0,6.494340347533378,2.7586206896551726,2.7586206896551726,29,0,0.0,0.41942541743398454,0,0.0,1.0,0,0.0,0.7491690449091849,1,3.0,0.21280381885922017,0,10.0,0.9417606361278988,4,37.0,0.34472112440849184,5,30.0,0.16709232592530304
88.0,7,30.0,0.5263157894736842,6.821695700954511,57,240.0,4.2105263157894735,37.0,0.6491228070175439,6,81.0,1.0,4.260229341954522,3.0,3.0,27,0,0.0,1.0,0,0.0,0.8593308922862724,0,0.0,0.4798649962947998,0,0.0,1.0,2,15.0,0.3318721213425932,4,58.0,0.11158656642005023,0,8.0,0.3087725084488309
96.0,7,60.0,1.1764705882352942,6.8397388158836225,51,260.0,5.098039215686274,20.0,0.39215686274509803,6,95.0,14.0,4.476383636903452,4.318181818181818,4.318181818181818,22,0,0.0,1.0,1,4.0,0.7172946490853751,3,16.0,0.09026815145418232,0,0.0,1.0,0,9.0,0.14704121475870763,2,66.0,0.3534542862112813,0,0.0,1.0
104.0,16,115.0,2.3,5.334518930447064,50,308.0,6.16,48.0,0.96,11,120.0,25.0,4.341963565030515,3.75,3.75,32,0,0.0,1.0,1,1.0,0.2578024421417793,0,9.0,0.3698583431121869,1,7.0,0.4857093560357717,2,16.0,0.45786497368865703,5,82.0,0.22192864697097608,2,5.0,0.10871098814538367
112.0,21,241.0,4.462962962962963,5.461328215260377,54,464.0,8.592592592592593,156.0,2.888888888888889,15,200.0,80.0,2.6686859655744386,8.0,8.0,25,1,2.0,1.0459578280008605e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,5,58.0,0.280236302265976,9,140.0,0.07519141903768098,0,0.0,1.0
120.0,19,261.0,4.35,5.330819080655464,60,581.0,9.683333333333334,117.0,1.95,15,330.0,130.0,3.2881086034262808,10.0,10.0,33,0,3.0,0.5750268943569942,0,7.0,0.9571457491699977,0,0.0,1.0,0,0.0,1.0,10,121.0,0.06845059038725718,5,199.0,0.1429657255305488,0,0.0,1.0
128.0,21,376.0,5.529411764705882,6.399515944512771,68,714.0,10.5,133.0,1.9558823529411764,19,443.0,113.0,3.3187817163994247,11.657894736842104,11.657894736842104,38,1,6.0,0.46780461381906435,0,0.0,0.915367728815077,0,2.0,0.5602965867254498,0,0.0,0.9874615704506544,15,227.0,0.05574187452556995,3,208.0,0.1599100821781686,0,0.0,1.0
136.0,21,204.0,3.0,5.236427082672238,68,795.0,11.691176470588236,81.0,1.1911764705882353,20,487.0,44.0,2.3260521304781707,11.595238095238095,11.595238095238095,42,1,2.0,0.5332387069575995,1,2.0,0.3196048287995321,0,2.0,0.7988526431066703,3,11.0,0.010608150474775924,11,303.0,0.09811783096913562,4,167.0,0.07593877839959838,0,0.0,1.0
144.0,18,110.0,1.4285714285714286,6.017005325394221,77,881.0,11.441558441558442,86.0,1.1168831168831168,16,539.0,52.0,1.8136087297612966,14.18421052631579,14.18421052631579,38,0,0.0,1.0,1,10.0,0.0,1,0.0,0.0,0,0.0,0.1967632258241288,6,370.0,0.1315927993977878,8,159.0,0.1441761425812226,0,0.0,1.0
152.0,13,62.0,0.7848101265822784,6.138222645207799,79,836.0,10.582278481012658,0.0,0.0,13,572.0,33.0,3.7995794937635936,11.916666666666666,11.916666666666666,48,0,0.0,0.6381293101994625,0,3.0,0.9058716346597672,0,0.0,0.9164936563558621,0,1.0,0.632263789354592,9,426.0,0.06653428372247311,4,142.0,0.13442141813085293,0,0.0,0.5578218372161253
160.0,23,126.0,1.4482758620689655,5.967276061122785,87,966.0,11.10344827586207,130.0,1.4942528735632183,21,597.0,25.0,2.6568977077583793,13.568181818181818,13.568181818181818,44,0,0.0,1.0,3,7.0,0.3856919417680552,1,3.0,0.00012676825446342882,1,7.0,0.0,8,398.0,0.22133380089638385,8,182.0,0.14309465776080704,0,0.0,1.0
168.0,18,103.0,1.2409638554216869,5.728450032844674,83,1089.0,13.120481927710843,123.0,1.4819277108433735,16,610.0,13.0,3.5722128918360805,12.708333333333334,12.708333333333334,48,0,0.0,0.7535800493764916,0,12.0,0.4378663250840365,0,3.0,0.9412522199842425,0,3.0,0.7243295295152326,5,405.0,0.1086975466653093,11,187.0,0.09600236736346901,0,0.0,1.0
176.0,13,79.0,0.9753086419753086,7.003024662102567,81,1074.0,13.25925925925926,0.0,0.0,13,582.0,0.0,3.5850316483382882,13.227272727272727,13.227272727272727,44,1,4.0,0.5399115457456776,0,0.0,0.8634230612956273,0,0.0,0.9580631198668024,1,7.0,0.23934900301486106,3,400.0,0.0954636801935236,8,171.0,0.1846839088742746,0,0.0,0.1314302742491866
184.0,7,63.0,0.875,8.349387151650848,72,903.0,12.541666666666666,0.0,0.0,7,486.0,0.0,4.716485648454369,14.294117647058824,14.294117647058824,34,2,17.0,0.2685307127018544,1,4.0,0.4676262041982127,0,0.0,0.9305638578286262,0,0.0,1.0,2,328.0,0.1358310841640935,2,137.0,0.3331820917426553,0,0.0,0.5556173860249252
192.0,7,29.0,0.43283582089552236,8.76037665461601,67,750.0,11.194029850746269,0.0,0.0,6,392.0,0.0,6.1637538902054185,12.64516129032258,12.64516129032258,31,0,0.0,0.5623341914260264,1,18.0,0.7490658040475344,0,3.0,0.7159060298507235,0,0.0,1.0,0,258.0,0.38026988220499164,4,107.0,0.2926010197887763,1,6.0,0.0
200.0,5,32.0,0.5245901639344263,8.053288562739542,61,586.0,9.60655737704918,0.0,0.0,4,230.0,0.0,4.824983298054373,9.2,9.2,25,0,0.0,0.07424397812667945,1,20.0,0.6405968548868923,0,0.0,0.21332115446462174,1,1.0,0.1830229814640108,0,114.0,0.6694279884198501,2,95.0,0.12825334467148766,0,0.0,1.0
208.0,5,33.0,0.532258064516129,7.901149089428962,62,487.0,7.854838709677419,0.0,0.0,3,178.0,0.0,6.49306011481352,5.741935483870968,5.741935483870968,31,1,2.0,0.3112061022098019,1,33.0,0.7307596436371933,0,6.0,0.7339815990077552,0,0.0,0.5579168722969619,0,76.0,0.3162441461135596,1,61.0,0.2233074484700633,0,0.0,1.0
216.0,7,55.0,0.9322033898305084,8.394932739122023,59,371.0,6.288135593220339,0.0,0.0,6,94.0,0.0,6.094590622057354,4.086956521739131,4.086956521739131,23,0,0.0,1.0,1,36.0,0.018279357216797444,1,7.0,0.6623257761723691,2,4.0,0.3573922961062658,0,4.0,0.5914599145557627,2,43.0,0.2556666355633139,0,0.0,0.9370587636848405
224.0,10,40.0,0.7692307692307693,7.674499954457975,52,300.0,5.769230769230769,0.0,0.0,8,81.0,0.0,5.453585105109066,3.375,3.375,24,0,0.0,0.778290982037056,0,3.0,0.7427993624823049,2,20.0,0.18239886872682512,2,10.0,1.33898609148477e-05,1,9.0,0.3458582812075888,3,39.0,0.30387293694471634,0,0.0,1.0
232.0,5,54.0,1.0384615384615385,8.82641937392461,52,276.0,5.3076923076923075,0.0,0.0,5,96.0,15.0,6.57054042183052,4.363636363636363,4.363636363636363,22,0,0.0,0.9450907510621487,1,9.0,0.4254221620598446,1,19.0,0.4196322035430804,0,0.0,1.0,0,6.0,0.5185942818193549,3,62.0,0.4388608308793485,0,0.0,0.9878095667875318
240.0,13,103.0,2.06,7.402324059026369,50,311.0,6.22,35.0,0.7,10,132.0,36.0,6.21283560010465,5.5,5.5,24,0,3.0,0.7872161645481497,2,20.0,0.3265073752509055,0,0.0,1.0,0,0.0,0.9097059594174649,2,11.0,0.5105150054482466,6,98.0,0.30222587403349827,0,0.0,0.9431262925116017
248.0,11,70.0,1.2727272727272727,6.999300828524882,55,388.0,7.054545454545455,77.0,1.4,7,96.0,0.0,3.8051104002714182,4.571428571428571,4.571428571428571,21,0,0.0,1.0,1,1.0,0.337407068844083,0,0.0,1.0,0,0.0,1.0,3,32.0,0.23482924337313663,3,60.0,0.27170883974744003,0,3.0,0.760729053479796
256.0,8,56.0,1.1428571428571428,7.50959593628354,49,337.0,6.877551020408164,0.0,0.0,7,129.0,33.0,4.223070038977665,6.142857142857143,6.142857142857143,21,0,0.0,0.9581886807859914,3,23.0,0.37559263424907996,0,0.0,0.29152204802073883,0,0.0,1.0,2,39.0,0.17407446270401322,2,64.0,0.10590236795708438,0,3.0,0.9822378879112815
264.0,5,14.0,0.2916666666666667,7.046895336653381,48,296.0,6.166666666666667,0.0,0.0,3,71.0,0.0,5.337284978531814,3.55,3.55,20,0,0.0,0.5583320076796878,0,0.0,1.0,0,0.0,0.9762218892003859,0,0.0,0.13439320902915966,1,34.0,0.5783930305293384,2,37.0,0.17654870984009777,0,0.0,1.0
272.0,6,29.0,0.6041666666666666,8.008468071074754,48,249.0,5.1875,0.0,0.0,6,46.0,0.0,5.7155484567364745,2.4210526315789473,2.4210526315789473,19,3,18.0,0.36126417132268673,0,0.0,0.6134206185812165,0,0.0,1.0,1,5.0,0.47298446678552986,0,12.0,0.3011533706843181,1,9.0,0.48278423014544103,1,2.0,0.3287376532458613
280.0,5,26.0,0.6341463414634146,8.906900833390536,41,183.0,4.463414634146342,0.0,0.0,4,48.0,2.0,7.517032534244317,3.2,3.2,15,0,0.0,0.5167401813924443,0,0.0,0.766281928792529,0,10.0,0.9611968756100602,1,1.0,0.037667165593356665,1,18.0,1.160250302474043e-05,2,19.0,0.18361878212995494,0,0.0,0.9957961986349237
288.0,4,14.0,0.35,9.346360400850651,40,184.0,4.6,1.0,0.025,2,25.0,0.0,9.596230463356607,1.5625,1.5625,16,0,0.0,0.9397956279251084,1,10.0,0.6490000755765355,0,4.0,0.7937489820226209,0,0.0,1.0,0,6.0,0.7859623938611375,1,5.0,0.5268202061302807,0,0.0,0.9821622883249851
296.0,5,24.0,0.5454545454545454,9.093315962950854,44,174.0,3.9545454545454546,0.0,0.0,3,22.0,0.0,8.462295947049148,1.6923076923076923,1.6923076923076923,13,0,0.0,0.9224833482543825,0,3.0,0.3208816124506257,2,11.0,0.5658849113818104,0,0.0,1.0,0,7.0,0.7547464700979076,1,1.0,0.48612425814877375,0,0.0,1.0
304.0,8,56.0,1.3658536585365855,8.424790826514359,41,180.0,4.390243902439025,6.0,0.14634146341463414,6,51.0,29.0,6.079661730432998,3.642857142857143,3.642857142857143,14,0,0.0,0.9143284543335067,1,7.0,0.389827774981851,3,28.0,0.3034575237637193,0,0.0,1.0,2,16.0,0.4910745738297809,0,0.0,0.30092027104672475,0,0.0,1.0
312.0,5,93.0,2.1627906976744184,9.031508320929326,43,227.0,5.27906976744186,47.0,1.0930232558139534,4,79.0,28.0,7.495251036326833,5.266666666666667,5.266666666666667,15,0,0.0,0.9440579665692498,1,15.0,0.4982733014005086,3,59.0,0.37570184748149094,0,0.0,0.6035890003784339,0,5.0,0.4830715569798456,0,0.0,0.7384556165082546,0,0.0,1.0
320.0,6,37.0,0.8222222222222222,7.469430724352792,45,286.0,6.355555555555555,59.0,1.3111111111111111,6,72.0,0.0,6.0390048409199775,2.88,2.88,25,1,2.0,0.5304470025534758,1,4.0,0.3455436580274297,1,45.0,0.33985047796367107,2,9.0,0.1406156356700364,1,12.0,0.40514924422300824,0,0.0,0.8434739303609752,0,0.0,0.6703585233299463
328.0,7,30.0,0.6666666666666666,8.336179210987686,45,296.0,6.5777777777777775,10.0,0.2222222222222222,5,69.0,0.0,6.965107814516975,4.928571428571429,4.928571428571429,14,1,10.0,0.6318179040307076,0,0.0,0.9027226420998192,3,53.0,0.19112194706003166,0,0.0,1.0,0,0.0,0.6694517306203395,0,0.0,0.9502655428095178,1,6.0,0.6306576639737315
336.0,6,59.0,1.3409090909090908,9.907477723530066,44,283.0,6.431818181818182,0.0,0.0,5,93.0,24.0,7.5435780333900135,7.75,7.75,12,1,18.0,0.0,0,0.0,0.9963955465225467,2,72.0,0.5975916937145332,2,3.0,0.0007913995421387586,0,0.0,1.0,0,0.0,1.0,0,0.0,0.901108386578716
344.0,2,40.0,1.1111111111111112,8.380049644791931,36,231.0,6.416666666666667,0.0,0.0,2,85.0,0.0,7.444590361774735,6.538461538461538,6.538461538461538,13,0,0.0,0.9315152625375847,0,0.0,0.6275352764662507,2,85.0,0.007945067651048797,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6362124485524292,0,0.0,0.9308888418220179
352.0,3,6.0,0.14285714285714285,9.210231935494358,42,209.0,4.976190476190476,0.0,0.0,2,13.0,0.0,8.571328007374504,0.8125,0.8125,16,2,6.0,0.5046706029492593,0,4.0,0.9609349667869259,0,0.0,0.9343366999173626,0,0.0,0.3690071226685156,0,3.0,0.8348989956672145,0,0.0,0.41368224200315545,0,0.0,0.8398852085384435
360.0,4,9.0,0.225,9.003940422227668,40,114.0,2.85,0.0,0.0,3,12.0,0.0,7.579048139126388,0.8,0.8,15,3,12.0,0.26823097315868755,0,0.0,1.0,0,0.0,0.9552273406256924,0,0.0,1.0,0,0.0,0.8050612564805902,0,0.0,0.8777568268472373,0,0.0,0.9085414777241898
368.0,7,32.0,0.7804878048780488,8.239330047625044,41,104.0,2.5365853658536586,0.0,0.0,6,37.0,25.0,7.555734834011576,2.3125,2.3125,16,5,34.0,1.3884418158133883e-05,0,1.0,0.9256117258153912,0,0.0,1.0,1,1.0,0.4621516296631336,0,1.0,0.8728235260596335,0,0.0,0.9080228442682126,0,0.0,1.0
376.0,7,32.0,0.8,7.345729973551838,40,150.0,3.75,46.0,1.15,5,53.0,16.0,6.644834774721024,2.65,2.65,20,0,28.0,0.10433046778345113,2,9.0,0.006754899347484074,0,3.0,0.8824871607380085,0,0.0,1.0,2,8.0,0.5386591259060753,1,5.0,0.643975739355319,0,0.0,0.9638146370392371
384.0,7,25.0,0.5208333333333334,7.4692403392831315,48,203.0,4.229166666666667,53.0,1.1041666666666667,4,36.0,0.0,6.900833920277656,2.25,2.25,16,0,0.0,0.912080976041816,0,0.0,0.9139784212495575,0,0.0,1.0,1,1.0,0.004196769579253944,1,17.0,0.3019982407311471,2,18.0,0.5257886983690438,0,0.0,0.9121354376914939
392.0,12,51.0,0.9807692307692307,6.842992935986293,52,240.0,4.615384615384615,37.0,0.7115384615384616,6,35.0,0.0,5.0733288709305215,1.6666666666666667,1.6666666666666667,21,1,1.0,0.004677927261522523,0,5.0,0.9519683755817481,0,0.0,0.9411898018907969,0,0.0,0.5228192617377174,1,15.0,0.2190384673943108,3,12.0,0.23586463081286307,1,2.0,0.2316712752353404
400.0,6,52.0,0.9811320754716981,8.41468664055909,53,276.0,5.2075471698113205,36.0,0.6792452830188679,5,65.0,30.0,7.749735127790475,3.25,3.25,20,0,0.0,1.0,0,1.0,0.9052489274485344,0,11.0,0.9138371724883771,0,0.0,1.0,1,15.0,0.6941658184480498,4,38.0,0.28957397712814475,0,0.0,1.0
408.0,10,85.0,1.8085106382978724,7.188510065134027,47,301.0,6.404255319148936,25.0,0.5319148936170213,9,138.0,73.0,6.226679872230951,4.451612903225806,4.451612903225806,31,0,0.0,0.9269012157822981,0,14.0,0.3732153917179405,0,9.0,0.7304522343994623,0,3.0,0.9293350177112516,2,30.0,0.4665023523138269,6,79.0,0.19656013749756457,1,3.0,6.771836447532147e-05
416.0,8,29.0,0.6041666666666666,6.680290861220793,48,342.0,7.125,41.0,0.8541666666666666,7,60.0,0.0,2.9699858723867107,3.1578947368421053,3.1578947368421053,19,2,8.0,1.1975930413400114e-05,1,25.0,0.2022380552489452,0,3.0,0.5732614207285573,0,0.0,1.0,4,15.0,0.04654417492311429,0,9.0,0.320185913812383,0,0.0,1.0
424.0,7,29.0,0.6041666666666666,8.168965236088392,48,315.0,6.5625,0.0,0.0,4,69.0,9.0,8.17975566270113,3.45,3.45,20,0,0.0,1.0,0,0.0,0.9480514416721431,1,8.0,0.4996290307456003,1,2.0,0.07155201024119166,2,42.0,0.27931201165832537,0,3.0,0.712369019294792,0,14.0,0.866481387201829
432.0,8,47.0,0.9215686274509803,8.5993440347581,51,351.0,6.882352941176471,36.0,0.7058823529411765,6,57.0,0.0,5.1341963523421,3.8,3.8,15,0,0.0,0.9066165649586144,0,0.0,1.0,1,16.0,0.0,0,0.0,0.9454664933985067,5,38.0,0.1774318379955284,0,3.0,0.6806772989696592,0,0.0,0.32450574357135537
