step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,2,0.0,0.0,7.192257573234551,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.9311642679757455,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29567369938500637,0,0.0,1.0,0,0.0,0.4806666406487711,0,0.0,0.8112658184917265,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.873482301302321,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,8.524715243162175,0.23076923076923078,0.23076923076923078,13,0,0.0,1.0,0,0.0,0.9391003736591941,0,0.0,0.5681968499267809,0,0.0,1.0,0,0.0,0.9373558487747223,0,0.0,0.7685302413424365,1,3.0,0.20261343953631603
32.0,0,0.0,0.0,8.874621411875347,33,12.0,0.36363636363636365,9.0,0.2727272727272727,0,0.0,0.0,10.38289619857996,0.0,0.0,11,0,0.0,1.0,0,0.0,0.5340822059226928,0,0.0,0.9672399671630878,0,0.0,1.0,0,0.0,0.9278331665782527,0,0.0,0.677696325066054,0,0.0,0.4703776348343769
40.0,2,4.0,0.1,8.816450882725395,40,15.0,0.375,3.0,0.075,2,10.0,10.0,7.5966727058673005,0.5263157894736842,0.5263157894736842,19,0,0.0,1.0,1,1.0,0.5055852588991543,0,0.0,1.0,0,0.0,0.8758230580649461,0,0.0,0.4811004888192658,1,9.0,0.5129259541326939,0,0.0,0.6799345587781301
48.0,5,9.0,0.19148936170212766,8.540983347894683,47,38.0,0.8085106382978723,23.0,0.48936170212765956,3,11.0,1.0,8.335299634459908,0.55,0.55,20,1,2.0,0.0019055306422503162,0,0.0,0.8157374656830326,0,0.0,1.0,0,0.0,0.9167090698737962,0,2.0,0.8459700616289871,1,4.0,0.5009039781579112,1,3.0,0.0004000965506454379
56.0,9,39.0,0.7959183673469388,8.96635930385594,49,80.0,1.6326530612244898,42.0,0.8571428571428571,5,29.0,18.0,8.21826675161983,1.1153846153846154,1.1153846153846154,26,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.77136674390222,0,4.0,0.9020202899447496,4,18.0,0.39152371633916777,1,7.0,0.3335227896208891
64.0,8,46.0,0.7931034482758621,8.134312009382382,58,141.0,2.4310344827586206,61.0,1.0517241379310345,7,65.0,36.0,7.148590256602505,2.5,2.5,26,0,0.0,0.9194807062612043,0,3.0,0.9998841663354064,0,3.0,0.9552641014816396,1,6.0,0.49188565601332573,0,0.0,0.647778736499242,5,53.0,0.2922181158447125,1,0.0,0.2367689364371418
72.0,7,59.0,0.9516129032258065,8.088837437155709,62,136.0,2.193548387096774,0.0,0.0,4,69.0,4.0,6.689302294970636,3.0,3.0,23,0,0.0,1.0,0,0.0,1.0,1,5.0,0.00494566208613362,0,0.0,0.630054395093094,0,0.0,0.5877320091030988,3,64.0,0.33825270953360614,0,0.0,0.7712367013216459
80.0,12,120.0,1.935483870967742,7.985665767625198,62,183.0,2.9516129032258065,47.0,0.7580645161290323,8,107.0,38.0,5.846210525045668,4.6521739130434785,4.6521739130434785,23,0,0.0,0.4032097339557898,0,0.0,1.0,0,0.0,0.6380071175430424,1,5.0,0.0,0,7.0,0.8845226645076038,5,87.0,0.3337175502740874,2,8.0,0.0005565991662571518
88.0,10,29.0,0.48333333333333334,6.846966956989628,60,246.0,4.1,63.0,1.05,9,92.0,0.0,4.5479338563653835,2.787878787878788,2.787878787878788,33,0,0.0,1.0,0,0.0,0.951727454760245,0,0.0,0.5129571228602501,0,0.0,1.0,1,12.0,0.537846587123288,6,75.0,0.08273070917789344,2,5.0,0.1620379254623385
96.0,7,26.0,0.5098039215686274,5.589499967976035,51,290.0,5.686274509803922,44.0,0.8627450980392157,4,115.0,23.0,3.80008800350677,4.423076923076923,4.423076923076923,26,0,0.0,1.0,1,4.0,0.6479824400179313,1,3.0,0.2406243752231539,0,0.0,1.0,0,10.0,0.20222690688170672,2,95.0,0.1711129445119167,0,3.0,0.5793922924411339
104.0,10,78.0,1.4444444444444444,6.82401991785006,54,346.0,6.407407407407407,56.0,1.037037037037037,8,156.0,41.0,4.201763786042759,5.2,5.2,30,0,0.0,1.0,0,2.0,0.4832309353466172,1,11.0,0.37911138016229023,0,5.0,0.21267311656975577,0,15.0,0.48218158869952693,7,123.0,0.13897040452503942,0,0.0,1.0
112.0,16,164.0,2.981818181818182,6.248686314113212,55,412.0,7.490909090909091,66.0,1.2,13,229.0,73.0,4.802817626355758,7.633333333333334,7.633333333333334,30,0,0.0,1.0,0,6.0,0.93980992501101,0,0.0,0.014723330861656107,0,0.0,1.0,0,19.0,0.5254434373059031,12,201.0,0.12020265574162355,1,3.0,0.00032666676150320574
120.0,16,207.0,3.45,5.262842341541634,60,517.0,8.616666666666667,105.0,1.75,14,327.0,98.0,2.543411769306504,10.9,10.9,30,0,0.0,0.2206469541500055,0,0.0,0.9936679293128314,0,0.0,1.0,0,0.0,1.0,3,30.0,0.29110715532862935,11,297.0,0.021165529095746115,0,0.0,1.0
128.0,17,201.0,3.0454545454545454,5.369636472311121,66,596.0,9.030303030303031,79.0,1.196969696969697,15,359.0,32.0,3.2524001602205908,8.75609756097561,8.75609756097561,41,1,4.0,0.2547063954413066,0,0.0,0.868102569834674,0,1.0,0.6064741022771384,1,2.0,0.4746783608564454,8,76.0,0.11524131958191648,5,276.0,0.12468457965713653,0,0.0,1.0
136.0,19,197.0,3.0307692307692307,5.3473052915191674,65,611.0,9.4,15.0,0.23076923076923078,17,400.0,41.0,3.15238503883464,10.0,10.0,40,1,4.0,0.2704179007246543,0,3.0,0.9776622493507344,0,1.0,0.9606166333234873,1,5.0,0.15467444459587815,12,161.0,0.09860645107098681,3,226.0,0.2141733147905082,0,0.0,1.0
144.0,21,175.0,2.3333333333333335,6.306032966685532,75,760.0,10.133333333333333,149.0,1.9866666666666666,18,444.0,44.0,2.4428578326319506,12.0,12.0,37,1,9.0,0.46785196140238916,0,0.0,0.9848246154965586,1,0.0,0.0,1,12.0,0.0,9,223.0,0.14581186686387554,6,200.0,0.13195193195110363,0,0.0,1.0
152.0,8,57.0,0.7215189873417721,6.96424964877753,79,742.0,9.39240506329114,0.0,0.0,7,391.0,0.0,3.829524387622385,9.775,9.775,40,0,0.0,0.7711139988681364,0,0.0,0.8786228832797393,0,0.0,0.9593487254378863,0,0.0,0.012640356817132872,2,210.0,0.20430129223368002,5,181.0,0.13583961989450527,0,0.0,0.581703686904071
160.0,13,27.0,0.32142857142857145,6.136479259582243,84,721.0,8.583333333333334,0.0,0.0,11,366.0,0.0,2.658428326894665,9.15,9.15,40,0,0.0,1.0,1,3.0,0.41788466536184365,0,0.0,0.9503244481747326,1,1.0,0.0012180577251691273,2,205.0,0.20724949655019453,7,157.0,0.11564059735203375,0,0.0,1.0
168.0,13,35.0,0.4605263157894737,6.076567622101483,76,674.0,8.868421052631579,0.0,0.0,12,385.0,19.0,3.6454285573315683,8.369565217391305,8.369565217391305,46,0,0.0,0.735296515128378,3,9.0,0.01273806253880777,0,0.0,0.8990469683127665,1,13.0,0.5343177948187103,2,173.0,0.1439594266600158,6,190.0,0.14758177725647142,0,0.0,1.0
176.0,10,25.0,0.32051282051282054,6.74251411920575,78,759.0,9.73076923076923,85.0,1.0897435897435896,10,299.0,0.0,2.638763819368716,8.305555555555555,8.305555555555555,36,1,3.0,0.47896439957867754,0,2.0,0.2785713765315137,0,0.0,1.0,1,1.0,0.0027524443467365164,0,101.0,0.3074128765827302,8,192.0,0.08515325437833152,0,0.0,0.2236108324846509
184.0,9,61.0,0.8591549295774648,8.36029197982103,71,650.0,9.154929577464788,0.0,0.0,9,203.0,0.0,4.601485749293013,6.151515151515151,6.151515151515151,33,2,14.0,5.14511595455561e-06,0,3.0,0.9601561328296452,1,7.0,0.5802348547885366,1,4.0,0.00020864052404423973,0,11.0,0.49320848553967583,5,164.0,0.11162121896074,0,0.0,0.5678031990226153
192.0,4,7.0,0.11290322580645161,7.9643539307243545,62,447.0,7.209677419354839,0.0,0.0,3,144.0,0.0,5.008711749555107,5.76,5.76,25,0,0.0,0.8980874291981806,0,0.0,0.951395620430279,0,6.0,0.6702709525117097,0,0.0,1.0,0,3.0,0.5547595161610577,3,135.0,0.16148059687902294,0,0.0,0.5941429336305525
200.0,10,17.0,0.29310344827586204,7.443564667176959,58,372.0,6.413793103448276,0.0,0.0,8,147.0,3.0,4.650832800259814,5.068965517241379,5.068965517241379,29,0,0.0,0.5669603763423773,2,3.0,0.0006546614691970149,1,14.0,0.45775759250874387,0,0.0,1.0,0,12.0,0.8838037770827596,5,118.0,0.117459655616144,0,0.0,1.0
208.0,6,33.0,0.5689655172413793,7.656712030248195,58,377.0,6.5,5.0,0.08620689655172414,4,139.0,0.0,5.832673290003726,6.043478260869565,6.043478260869565,23,1,6.0,0.0,0,0.0,0.9504749356313611,0,3.0,0.9083317729655108,0,0.0,1.0,0,3.0,0.9221546989689453,3,127.0,0.131303547782465,0,0.0,1.0
216.0,6,61.0,1.0517241379310345,8.500204862120174,58,315.0,5.431034482758621,0.0,0.0,5,125.0,0.0,4.945165672635069,6.25,6.25,20,0,0.0,1.0,0,0.0,0.819878750159676,1,4.0,0.2729573062336256,0,0.0,1.0,1,4.0,0.5608258575882458,3,117.0,0.16417490724092437,0,0.0,1.0
224.0,9,41.0,0.7454545454545455,7.926939469757143,55,277.0,5.036363636363636,0.0,0.0,7,86.0,0.0,6.00275625371883,3.44,3.44,25,0,0.0,0.9303853061818046,1,2.0,0.5700670539618551,2,29.0,0.5132497999187976,0,0.0,1.0,0,3.0,0.7813388459259312,4,52.0,0.23885484570038626,0,0.0,0.6671848198148189
232.0,9,79.0,1.462962962962963,7.37558721814876,54,346.0,6.407407407407407,69.0,1.2777777777777777,5,100.0,14.0,6.470536082828151,3.7037037037037037,3.7037037037037037,27,0,0.0,0.917659329748496,0,2.0,0.5644639857042529,2,34.0,0.3560526183643704,1,7.0,0.4176498638423428,0,4.0,0.9426308627947987,2,53.0,0.3594864960980686,0,0.0,0.9094261507238327
240.0,12,100.0,1.8867924528301887,6.586355760333066,53,368.0,6.943396226415095,22.0,0.41509433962264153,9,103.0,3.0,4.323082362125018,4.291666666666667,4.291666666666667,24,0,0.0,0.38402385225589397,1,7.0,0.580296249631312,2,29.0,0.003606635281416625,0,0.0,0.7832219113795877,0,4.0,0.4125744059144073,6,63.0,0.17787080681835396,0,0.0,0.9132996082797445
248.0,10,69.0,1.3269230769230769,7.439908546115769,52,378.0,7.269230769230769,10.0,0.19230769230769232,6,64.0,0.0,4.500011655668206,3.5555555555555554,3.5555555555555554,18,0,0.0,1.0,0,0.0,0.6401144686298145,0,0.0,1.0,1,4.0,1.5499470283041647e-05,1,18.0,0.5096548915581797,4,42.0,0.28478217344027745,0,0.0,1.0
256.0,7,20.0,0.39215686274509803,8.14100746882577,51,433.0,8.490196078431373,55.0,1.0784313725490196,7,91.0,27.0,4.997898453873358,4.136363636363637,4.136363636363637,22,0,0.0,0.9697268138733475,1,3.0,0.0002353594669335646,0,0.0,0.3899295654488942,1,3.0,0.21984848380791414,0,26.0,0.7290013217458744,5,56.0,0.1505422519049831,0,3.0,0.9615248842449784
264.0,5,12.0,0.23076923076923078,7.3848184040769285,52,425.0,8.173076923076923,0.0,0.0,5,68.0,0.0,4.572533598546354,3.090909090909091,3.090909090909091,22,2,6.0,0.33917731732713896,0,7.0,0.9658220277066702,0,0.0,0.9173753544192277,0,0.0,0.010698902685844995,0,7.0,0.41555054528704705,3,48.0,0.08168434150716729,0,0.0,1.0
272.0,10,32.0,0.64,6.492164519662557,50,361.0,7.22,0.0,0.0,10,92.0,24.0,2.904275553751853,4.0,4.0,23,1,3.0,0.02515341361055297,2,14.0,0.32755591012521995,2,3.0,0.0025304597359610713,0,3.0,0.007140811396573448,0,7.0,0.9944269146410282,4,58.0,0.06433584540471593,1,4.0,0.3190782442249786
280.0,4,9.0,0.20930232558139536,8.563655591983393,43,243.0,5.651162790697675,0.0,0.0,3,68.0,0.0,6.14972679776726,4.25,4.25,16,0,3.0,0.20376166265931664,0,0.0,0.6843538723016108,0,3.0,0.9560822356378285,0,0.0,1.0,0,3.0,0.7453328691249966,3,56.0,0.15326005093329553,0,3.0,0.9412186504501168
288.0,6,15.0,0.3488372093023256,8.379669833334397,43,231.0,5.372093023255814,0.0,0.0,5,64.0,0.0,6.571047885221962,3.5555555555555554,3.5555555555555554,18,0,0.0,0.9587485571300628,3,10.0,0.010094120376534708,0,0.0,0.8170223993931874,0,0.0,1.0,0,10.0,0.9376137110129816,2,44.0,0.319636849099609,0,0.0,1.0
296.0,4,29.0,0.6041666666666666,8.845588996994053,48,265.0,5.520833333333333,34.0,0.7083333333333334,4,50.0,0.0,7.839979575988587,2.6315789473684212,2.6315789473684212,19,0,0.0,0.9761584944618218,0,3.0,0.9624090539696697,0,2.0,0.9581267770514647,0,0.0,0.4861716243742238,0,3.0,0.6579553424703268,3,41.0,0.19299820476407245,1,1.0,0.0023691654121004053
304.0,9,17.0,0.3695652173913043,7.86920692286374,46,222.0,4.826086956521739,0.0,0.0,6,32.0,0.0,3.94448035871343,2.0,2.0,16,1,2.0,0.2896466698631425,0,0.0,0.7509619603933075,0,0.0,0.399386037451464,2,7.0,0.25160800378808,1,7.0,0.3247282485228082,2,16.0,0.18892116454844418,0,0.0,1.0
312.0,5,34.0,0.7555555555555555,8.738879676443625,45,255.0,5.666666666666667,33.0,0.7333333333333333,4,60.0,28.0,7.642728934639409,4.0,4.0,15,1,2.0,0.3819620843961322,0,0.0,1.0,0,12.0,0.9485715219296645,2,18.0,0.006802836661060376,0,7.0,0.8214427410499726,1,21.0,0.29321477503111726,0,0.0,1.0
320.0,7,43.0,0.9555555555555556,8.626768931525277,45,260.0,5.777777777777778,5.0,0.1111111111111111,4,31.0,0.0,7.09988714689968,1.8235294117647058,1.8235294117647058,17,1,3.0,0.3930489216269228,1,2.0,0.010889353742653419,0,0.0,0.9181538227527226,1,2.0,0.3125233149485925,0,7.0,0.43069905138897374,1,15.0,0.7037797088089625,0,2.0,0.8156838459499851
328.0,5,9.0,0.20930232558139536,8.967102295761759,43,270.0,6.27906976744186,10.0,0.23255813953488372,4,20.0,0.0,7.773719009442939,1.25,1.25,16,1,3.0,0.3804140557254445,0,5.0,0.9034262298102466,1,0.0,0.5870893957092269,0,0.0,1.0,0,4.0,0.7275003994572348,1,6.0,0.6237309455873578,1,2.0,0.45519646641765665
336.0,2,4.0,0.1,9.68232814882054,40,170.0,4.25,0.0,0.0,1,6.0,0.0,7.677262699750386,0.75,0.75,8,0,0.0,1.0,0,0.0,1.0,0,3.0,0.8903114729064762,0,0.0,0.5013697906478679,0,0.0,1.0,1,3.0,0.27843525223376425,0,0.0,0.2480780679768791
344.0,1,4.0,0.10526315789473684,9.078553772253159,38,76.0,2.0,0.0,0.0,1,12.0,6.0,8.084253000233169,1.0,1.0,12,0,0.0,0.8506952115972282,0,3.0,0.4883385049933496,1,4.0,0.0163719392643855,0,0.0,0.9784525727515152,0,0.0,1.0,0,0.0,0.5419841873523908,0,5.0,0.7145907345171292
352.0,4,7.0,0.17073170731707318,8.939994860647683,41,74.0,1.8048780487804879,0.0,0.0,2,16.0,4.0,8.767347968111393,0.9411764705882353,0.9411764705882353,17,2,6.0,0.39823523870531286,0,1.0,0.8643506044383618,0,2.0,0.8781030458472558,0,0.0,1.0,0,2.0,0.7925724316943241,0,0.0,0.3607800639352415,0,5.0,0.9256292829036378
360.0,4,13.0,0.3023255813953488,7.943669376886573,43,84.0,1.9534883720930232,10.0,0.23255813953488372,3,12.0,0.0,5.404638626007885,0.7058823529411765,0.7058823529411765,17,1,8.0,0.2395328793491825,1,2.0,0.00016269131314585724,0,0.0,0.015130863560947451,1,1.0,0.0031245346556040264,0,1.0,0.7065420043202375,0,0.0,0.8651637493732911,0,0.0,0.9353376672629705
368.0,5,45.0,1.125,7.820098855377582,40,105.0,2.625,21.0,0.525,4,37.0,25.0,7.204726045120771,2.176470588235294,2.176470588235294,17,3,21.0,0.056741304211153,1,13.0,0.7156970409951358,0,3.0,0.9428369341438949,0,0.0,1.0,0,0.0,0.7478733954691645,0,0.0,0.702280913911588,0,0.0,1.0
376.0,11,78.0,1.813953488372093,7.431986354458496,43,169.0,3.9302325581395348,64.0,1.4883720930232558,8,63.0,26.0,7.092538750253052,2.625,2.625,24,2,14.0,0.0,2,27.0,0.45718767735789717,0,6.0,0.9495296349368657,1,7.0,0.19214849166600395,2,8.0,0.45271521245468743,1,1.0,0.7079828560249748,0,0.0,1.0
384.0,11,104.0,2.08,6.82261688586846,50,257.0,5.14,88.0,1.76,7,80.0,17.0,5.9186985757034885,4.444444444444445,4.444444444444445,18,0,0.0,1.0,2,38.0,0.0,0,0.0,0.997966846872292,0,0.0,1.0,4,39.0,0.06766117566178713,1,3.0,0.6311249866089403,0,0.0,0.8705155155200954
392.0,9,76.0,1.3818181818181818,7.038324473505284,55,290.0,5.2727272727272725,33.0,0.6,6,86.0,6.0,5.800536984119562,2.9655172413793105,2.9655172413793105,29,0,0.0,0.03628671870628922,2,46.0,0.2374992577592284,0,0.0,0.9015676130668994,0,2.0,0.36988101932699907,1,32.0,0.6068662094984222,3,6.0,0.2199532016751892,0,0.0,0.3976653407709279
400.0,9,25.0,0.46296296296296297,7.494634110081963,54,281.0,5.203703703703703,0.0,0.0,7,44.0,0.0,5.024734272442099,2.75,2.75,16,0,0.0,1.0,0,5.0,0.9653029184219803,0,2.0,0.7438523291164625,1,10.0,0.0,3,20.0,0.3378092603862232,3,7.0,0.00804263516882038,0,0.0,1.0
408.0,4,20.0,0.425531914893617,7.948013049481982,47,320.0,6.808510638297872,39.0,0.8297872340425532,3,75.0,31.0,6.5059468012983865,3.260869565217391,3.260869565217391,23,0,0.0,0.9231439938901383,0,14.0,0.30175932113646114,0,0.0,0.8439229209434912,0,13.0,0.9305516431054517,2,27.0,0.26758003590850826,0,13.0,0.3134789479568909,1,8.0,0.5275791178383468
416.0,10,54.0,1.173913043478261,7.609029719967827,46,294.0,6.391304347826087,0.0,0.0,9,95.0,20.0,5.435938077465389,4.318181818181818,4.318181818181818,22,2,5.0,0.0023908798485468,1,25.0,0.17999687546642587,2,14.0,0.46803182301582924,0,0.0,1.0,3,37.0,0.4513096323551228,1,14.0,0.6402692512617555,0,0.0,1.0
424.0,13,100.0,2.2222222222222223,6.564978010547152,45,326.0,7.2444444444444445,32.0,0.7111111111111111,10,97.0,2.0,5.545546867658685,4.409090909090909,4.409090909090909,22,0,2.0,0.8787082720442112,0,0.0,0.975016504333815,2,24.0,0.47549973871897905,1,5.0,0.5316833764685555,7,66.0,0.044982020795440024,0,0.0,1.0,0,0.0,0.8190859762096805
432.0,5,30.0,0.6122448979591837,8.077117423063717,49,382.0,7.795918367346939,56.0,1.1428571428571428,4,104.0,7.0,4.716388379319378,6.5,6.5,16,0,0.0,0.9074767164704066,0,0.0,1.0,1,39.0,0.0467628987004788,2,9.0,4.6179678469213055e-05,1,53.0,0.31981730264199043,0,3.0,0.5176117502825461,0,0.0,0.9255572202838013
