step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.682739018714589,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.431002060351684,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9248945056538735,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,1,2.0,0.10526315789473684,12.059861261032925,19,2.0,0.10526315789473684,2.0,0.10526315789473684,1,2.0,2.0,11.47935662245739,0.4,0.4,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9615726681408652,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.4351656974415453,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,10.55616715403536,33,6.0,0.18181818181818182,4.0,0.12121212121212122,1,0.0,0.0,7.741185345317479,0.0,0.0,8,1,0.0,0.0,0,0.0,1.0,0,0.0,0.28081714580942757,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9576402677538706,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,1,1.0,0.02702702702702703,13.152088531720493,37,7.0,0.1891891891891892,1.0,0.02702702702702703,1,1.0,1.0,8.747625910906581,0.1111111111111111,0.1111111111111111,9,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3579912831893416,0,0.0,1.0,0,0.0,0.7193267769505143,1,1.0,0.4570203547306588,0,0.0,0.24607453920193167,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9625111381039025,0,0.0,1.0,0,0.0,0.6453146544351939
56.0,3,5.0,0.11363636363636363,11.491593366646008,44,17.0,0.38636363636363635,10.0,0.22727272727272727,2,4.0,3.0,10.276812766352577,0.3076923076923077,0.3076923076923077,13,0,0.0,1.0,0,0.0,0.9306584071588214,0,0.0,0.6419135599143889,0,0.0,1.0,0,0.0,1.0,1,0.0,0.44465050949724655,0,0.0,0.9729267451401896,0,0.0,0.9471629836447929,0,0.0,0.6825248410228042,0,0.0,1.0,0,0.0,0.6987325434081074,1,4.0,6.092839535754538e-05
64.0,2,5.0,0.11363636363636363,11.909114003863245,44,27.0,0.6136363636363636,10.0,0.22727272727272727,2,5.0,1.0,10.092329341358843,0.4166666666666667,0.4166666666666667,12,0,0.0,1.0,0,0.0,0.9797148253022979,0,0.0,0.9505148857994513,0,0.0,1.0,0,0.0,1.0,2,5.0,0.32325054200642384,0,0.0,0.927763451890478,0,0.0,1.0,0,0.0,0.4636085952090055,0,0.0,0.9213595966928959,0,0.0,1.0,0,0.0,1.0
72.0,3,7.0,0.14285714285714285,11.913615053278628,49,45.0,0.9183673469387755,18.0,0.3673469387755102,2,5.0,0.0,7.126460052621235,0.5,0.5,10,0,0.0,1.0,0,0.0,0.6445367755280498,1,5.0,0.02137789417462133,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9448099535744791,0,0.0,0.5405367392902586,0,0.0,1.0,0,0.0,1.0,1,0.0,0.46899722125131044,0,0.0,1.0,0,0.0,1.0
