step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.696823426932617,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.47888904829298,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9414201854774159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,1,3.0,0.15789473684210525,12.204647587762956,19,3.0,0.15789473684210525,3.0,0.15789473684210525,1,3.0,3.0,11.605566750004716,0.6,0.6,5,0,0.0,1.0,0,0.0,1.0,1,3.0,5.695665088929252e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9459607544400678,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9512696924763466,0,0.0,1.0,0,0.0,1.0
40.0,4,3.0,0.09090909090909091,10.364464414587736,33,9.0,0.2727272727272727,6.0,0.18181818181818182,2,3.0,0.0,6.951867427028868,0.3333333333333333,0.3333333333333333,9,1,0.0,0.0,0,0.0,1.0,0,0.0,0.28081714580942757,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9720824287544964,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,1,3.0,0.000881703362079838,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,1,3.0,0.08333333333333333,12.967091158348811,36,15.0,0.4166666666666667,6.0,0.16666666666666666,1,3.0,0.0,9.014306967598031,0.375,0.375,8,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3579912831893416,0,0.0,1.0,0,0.0,0.7193267769505143,0,0.0,0.9187987052086054,0,0.0,0.24607453920193167,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9625111381039025,0,0.0,1.0,1,3.0,0.4302223867300592
56.0,5,10.0,0.23255813953488372,10.777787380321515,43,28.0,0.6511627906976745,13.0,0.3023255813953488,4,8.0,5.0,7.57089853779076,0.5333333333333333,0.5333333333333333,15,0,0.0,1.0,0,0.0,0.9306584071588214,0,0.0,0.6508490376860536,0,0.0,1.0,0,0.0,1.0,2,3.0,0.24213352744031136,0,0.0,0.4850009678917526,1,1.0,0.32525266644678014,0,0.0,0.5634235024464944,0,0.0,1.0,0,0.0,0.6987325434081074,1,4.0,6.092839535754538e-05
64.0,3,15.0,0.32608695652173914,10.486407407950946,46,53.0,1.1521739130434783,25.0,0.5434782608695652,3,15.0,7.0,8.363586073789666,1.1538461538461537,1.1538461538461537,13,0,0.0,1.0,0,0.0,0.9867893356333333,0,0.0,0.9180666223219371,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48327016871128864,0,0.0,0.959208185633718,0,0.0,1.0,1,1.0,0.0027525219779844816,0,0.0,0.9213595966928959,0,0.0,1.0,2,14.0,0.001865885259347666
72.0,2,4.0,0.08333333333333333,11.419097858469021,48,69.0,1.4375,16.0,0.3333333333333333,2,10.0,0.0,6.886587220653171,0.7142857142857143,0.7142857142857143,14,0,0.0,1.0,0,0.0,0.6745721979695418,1,4.0,0.017897236094496335,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9547342767152366,0,3.0,0.6297384430553463,0,0.0,1.0,0,3.0,0.08898779175500537,1,0.0,0.43188347985259234,0,0.0,1.0,0,0.0,1.0
