step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0
8.0,0,0.0,0.0,11.392585175787099,1,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0
16.0,0,0.0,0.0,7.012020135788578,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.01097218079182,0.0,0.0,3,0,0.0,0.5878727982763153
24.0,1,0.0,0.0,9.168706318520437,10,0.0,0.0,0.0,0.0,0,0.0,0.0,10.309642855343805,0.0,0.0,3,0,0.0,0.7378882135824177
32.0,1,0.0,0.0,9.41819386636004,14,0.0,0.0,0.0,0.0,1,0.0,0.0,7.6764295545214,0.0,0.0,5,1,0.0,0.5237791076780229
40.0,1,0.0,0.0,9.526602194275014,16,0.0,0.0,0.0,0.0,1,0.0,0.0,8.174069957317128,0.0,0.0,8,1,0.0,0.5796549832697288
48.0,0,0.0,0.0,9.719279786599337,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.56986258630049,0.0,0.0,8,0,0.0,0.6206691495008446
56.0,2,12.0,0.6666666666666666,9.573212080620914,18,12.0,0.6666666666666666,12.0,0.6666666666666666,0,0.0,0.0,8.72432234819592,0.0,0.0,8,0,0.0,0.6238927577781443
64.0,1,4.0,0.2222222222222222,7.946118577427439,18,33.0,1.8333333333333333,21.0,1.1666666666666667,1,10.0,10.0,5.988761208952803,1.1111111111111112,1.1111111111111112,9,1,10.0,0.43115504295867324
72.0,0,0.0,0.0,9.295439531346805,20,21.0,1.05,0.0,0.0,0,0.0,0.0,7.371831012862867,0.0,0.0,11,0,0.0,0.5312833029824501
80.0,2,1.0,0.047619047619047616,7.951864092052533,21,1.0,0.047619047619047616,0.0,0.0,1,0.0,0.0,6.59046317094288,0.0,0.0,11,1,0.0,0.5056717103439636
88.0,1,0.0,0.0,8.50088424858668,22,5.0,0.22727272727272727,4.0,0.18181818181818182,1,3.0,3.0,6.158009896631621,0.23076923076923078,0.23076923076923078,13,1,3.0,0.45731745624893594
96.0,1,1.0,0.05263157894736842,6.296943113295541,19,7.0,0.3684210526315789,2.0,0.10526315789473684,0,3.0,0.0,5.896256510305906,0.2727272727272727,0.2727272727272727,11,0,3.0,0.43580288396239697
104.0,0,0.0,0.0,6.926283488849619,21,17.0,0.8095238095238095,10.0,0.47619047619047616,0,6.0,3.0,4.326683981153348,0.46153846153846156,0.46153846153846156,13,0,6.0,0.29783728935379783
112.0,0,0.0,0.0,7.2516165487315485,19,8.0,0.42105263157894735,0.0,0.0,0,1.0,0.0,4.466320044147579,0.08333333333333333,0.08333333333333333,12,0,1.0,0.3136927534741649
120.0,1,7.0,0.3684210526315789,9.240632041673363,19,9.0,0.47368421052631576,1.0,0.05263157894736842,1,8.0,7.0,7.679886320585342,0.7272727272727273,0.7272727272727273,11,1,8.0,0.5518704658757275
128.0,3,9.0,0.5,6.788915313315219,18,20.0,1.1111111111111112,11.0,0.6111111111111112,1,2.0,0.0,4.1073995034107185,0.2857142857142857,0.2857142857142857,7,1,2.0,0.2894398341697329
136.0,0,0.0,0.0,8.023789965974363,17,27.0,1.588235294117647,7.0,0.4117647058823529,0,1.0,0.0,3.917873041525573,0.16666666666666666,0.16666666666666666,6,0,1.0,0.2833051920985588
144.0,3,6.0,0.35294117647058826,6.252959465295439,17,12.0,0.7058823529411765,0.0,0.0,1,5.0,4.0,3.1114221007205445,1.25,1.25,4,1,5.0,0.21589555905841762
