step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,5.641248743161216,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.028504853361908,0.0,0.0,3,0,0.0,0.1757290212889994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10001175667687548,0,0.0,0.8368242681550757,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.42558125108192,13,0.0,0.0,0.0,0.0,0,0.0,0.0,8.678464359063781,0.0,0.0,6,0,0.0,0.9575656623415475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4961491118995283,0,0.0,0.5297116034424184,0,0.0,0.22700411842176027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9149161517148396,0,0.0,1.0
24.0,1,2.0,0.10526315789473684,9.39781436527147,19,4.0,0.21052631578947367,4.0,0.21052631578947367,1,4.0,4.0,7.855076333065421,0.5,0.5,8,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.6600206850922765,0,0.0,1.0,1,2.0,0.05142580826534452,0,0.0,0.7102191171336407,0,0.0,0.7758499539837294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,0.0,0.0,8.941485730089372,26,15.0,0.5769230769230769,11.0,0.4230769230769231,0,6.0,2.0,8.591397752914677,0.6,0.6,10,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9142871073801195,0,0.0,1.0,0,4.0,0.16384757333278246,0,0.0,0.5260902278243645,0,0.0,0.6112011723381778,0,0.0,1.0,0,0.0,0.9685615687124135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,2,2.0,0.06451612903225806,10.58322120022929,31,17.0,0.5483870967741935,2.0,0.06451612903225806,1,9.0,3.0,11.306279220378615,0.6923076923076923,0.6923076923076923,13,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,7.0,0.8922600604526008,0,0.0,1.0,0,0.0,0.631311510510956,0,0.0,0.7280765659145335,0,0.0,0.9616634708605707,0,0.0,1.0,1,2.0,0.0011407632374492694,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9494474734325048
48.0,3,3.0,0.075,10.295838122033896,40,25.0,0.625,8.0,0.2,2,5.0,0.0,10.116266894977029,0.2777777777777778,0.2777777777777778,18,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8417629580279744,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7622873684221523,0,0.0,0.8490650031909374,1,3.0,0.39115462446173344,0,0.0,0.7530348105481727,0,0.0,0.5477430987598386,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9033334210982742,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9516120682818112
56.0,2,6.0,0.13636363636363635,10.791007883897253,44,34.0,0.7727272727272727,9.0,0.20454545454545456,2,12.0,7.0,10.457827649394515,0.5714285714285714,0.5714285714285714,21,0,0.0,0.9749890972712143,0,0.0,0.9652852617686476,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7790504320590272,0,0.0,1.0,0,0.0,0.033560541258804706,0,0.0,1.0,0,3.0,0.6197405590810502,0,0.0,0.9880771072653624,2,6.0,0.1286741158689734,0,0.0,0.7320752500853844,0,0.0,0.9850665515556754,0,3.0,0.7904046894580621,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9098182981201683
64.0,4,4.0,0.07547169811320754,9.493555489458002,53,54.0,1.0188679245283019,20.0,0.37735849056603776,2,14.0,2.0,8.099798615720575,1.1666666666666667,1.1666666666666667,12,1,0.0,0.48398318728827905,1,3.0,7.443009076505628e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.7640544914378431,0,0.0,0.9491857333482082,0,8.0,0.15520419061621812,0,0.0,0.8431783518524697,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,1,5.0,0.08064516129032258,11.122149420401572,62,62.0,1.0,8.0,0.12903225806451613,1,12.0,0.0,12.861740380926936,0.8571428571428571,0.8571428571428571,14,1,5.0,0.7604395840318051,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,7.0,0.9335657555810393,0,0.0,1.0,0,0.0,0.6764982169052559,0,0.0,0.5327510092982107,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9814653320159762,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
