step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,5.641248743161216,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.028504853361908,0.0,0.0,3,0,0.0,0.1757290212889994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10001175667687548,0,0.0,0.8368242681550757,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.939398013476717,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.79173401091917,0.0,0.0,6,0,0.0,0.9575656623415475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4941451681154079,0,0.0,1.0,0,0.0,0.9591769441699695,0,0.0,0.5297116034424184,0,0.0,0.22700411842176027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9149161517148396,0,0.0,1.0
24.0,0,0.0,0.0,10.941617555129461,19,0.0,0.0,0.0,0.0,0,0.0,0.0,11.805036747233274,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8458006047314337,0,0.0,1.0,0,0.0,0.5209089598533768,0,0.0,0.7102191171336407,0,0.0,0.7758499539837294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,0.0,0.0,10.814697157180648,26,0.0,0.0,0.0,0.0,0,0.0,0.0,12.056619714436971,0.0,0.0,12,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9092924334782493,0,0.0,1.0,0,0.0,0.9643254769377234,0,0.0,0.5260902278243645,0,0.0,0.6112011723381778,0,0.0,1.0,0,0.0,0.9685615687124135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,1,0.0,0.0,10.560743257924502,31,0.0,0.0,0.0,0.0,0,0.0,0.0,11.729565774389863,0.0,0.0,11,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6595589444425936,0,0.0,1.0,0,0.0,0.8591429481080408,0,0.0,0.7051274791241089,0,0.0,0.9616634708605707,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9494474734325048
48.0,3,4.0,0.1,9.977791274090949,40,6.0,0.15,6.0,0.15,2,6.0,6.0,10.066388811897575,0.375,0.375,16,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8249366044298105,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9004858137679314,0,0.0,0.8561537931131075,1,4.0,0.41039412521942953,0,0.0,0.7115887315147794,0,0.0,0.5550102208793094,0,0.0,0.4253672713768369,0,0.0,1.0,0,0.0,0.9033334210982742,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7897946402116134
56.0,2,14.0,0.3181818181818182,11.483932392905968,44,17.0,0.38636363636363635,11.0,0.25,2,14.0,8.0,12.112796426381582,0.875,0.875,16,0,0.0,0.9752047494555682,0,0.0,0.9493475959389933,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7425020817735274,0,0.0,1.0,0,0.0,0.034994202602612504,0,0.0,1.0,0,0.0,0.902142278698487,0,0.0,0.9880771072653624,1,12.0,0.4944360677058067,0,0.0,0.5094893111274945,0,0.0,0.9910137826251234,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0005083526963866048,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9131463063520596
64.0,5,9.0,0.16981132075471697,9.39777329601885,53,33.0,0.6226415094339622,16.0,0.3018867924528302,4,12.0,0.0,7.074761879178259,0.8571428571428571,0.8571428571428571,14,1,0.0,0.47759305308523226,1,3.0,0.000859945687330157,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.7697446890518063,0,0.0,0.3881111811930492,2,6.0,0.032193662079865466,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,3,20.0,0.3225806451612903,9.27030759527518,62,61.0,0.9838709677419355,28.0,0.45161290322580644,3,27.0,15.0,7.08354964821938,1.8,1.8,15,1,5.0,0.6491996448247103,1,11.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.618912918610439,0,3.0,0.9060934853556366,0,0.0,0.48330776851556506,0,4.0,0.14543214534364235,1,4.0,0.2313866603638467,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9337988117225418,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
