step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,3,2.0,0.13333333333333333,5.54060794687232,15,2.0,0.13333333333333333,2.0,0.13333333333333333,2,2.0,2.0,4.078344223457032,0.2857142857142857,0.2857142857142857,7,0,0.0,1.0,0,0.0,1.0,2,2.0,0.12146887907393202,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5446235483531164,0,0.0,1.0
24.0,4,5.0,0.21739130434782608,6.9713540822050275,23,14.0,0.6086956521739131,12.0,0.5217391304347826,2,8.0,6.0,6.79883493628938,0.8,0.8,10,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5616397062022951,0,0.0,1.0,0,3.0,0.6216838590195418,2,5.0,0.34179746022551816,0,0.0,0.7695767055624715
32.0,1,3.0,0.09375,8.5995416756821,32,28.0,0.875,14.0,0.4375,0,10.0,2.0,9.311879393677064,1.1111111111111112,1.1111111111111112,9,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9681950062066412,0,0.0,1.0,0,6.0,0.9046455593040683,0,4.0,0.5012840707994162,0,0.0,1.0
40.0,6,19.0,0.4418604651162791,9.145661270396742,43,45.0,1.0465116279069768,17.0,0.3953488372093023,4,16.0,6.0,8.939659199562682,0.64,0.64,25,1,1.0,0.004670509308143167,0,1.0,0.6326204969486628,1,5.0,8.602125133141791e-05,1,1.0,0.4655839941073812,0,7.0,0.8537577832060312,1,1.0,0.5978549262444269,0,0.0,0.8445726104045826
48.0,6,7.0,0.14,8.290411097437305,50,69.0,1.38,24.0,0.48,4,12.0,0.0,8.281112838733957,0.6,0.6,20,0,0.0,1.0,1,2.0,0.5223091326984174,0,0.0,1.0,0,1.0,0.6538548864040502,0,3.0,0.6932240898085907,2,5.0,0.5616484433547196,1,1.0,0.37697072231833073
56.0,6,24.0,0.4897959183673469,9.376739987609596,49,77.0,1.5714285714285714,8.0,0.16326530612244897,6,34.0,22.0,6.456224127805758,2.125,2.125,16,1,6.0,8.351766554196013e-05,0,0.0,0.92500237986526,0,0.0,1.0,1,1.0,0.49663642647862616,0,5.0,0.8225693202005846,4,22.0,0.18387787398848698,0,0.0,1.0
64.0,4,4.0,0.08,9.037695855783793,50,86.0,1.72,9.0,0.18,2,18.0,0.0,9.109925919052566,1.0588235294117647,1.0588235294117647,17,0,0.0,1.0,0,3.0,0.9510522486879259,0,3.0,0.9209121747075457,1,3.0,0.0003745731452484707,0,6.0,0.8360688500282979,0,3.0,0.508142878164227,1,0.0,0.37359612640452944
72.0,6,13.0,0.24074074074074073,8.830858751436024,54,109.0,2.0185185185185186,23.0,0.42592592592592593,5,35.0,17.0,8.009263562469732,1.4,1.4,25,2,6.0,0.016025167801431987,0,0.0,1.0,0,0.0,0.007773908620003568,0,0.0,0.9384413135415555,0,16.0,0.8253289525246336,3,13.0,0.5151447366736479,0,0.0,0.6928837885455448
80.0,7,18.0,0.3103448275862069,7.754189573469694,58,146.0,2.5172413793103448,37.0,0.6379310344827587,3,25.0,0.0,6.5835878288647685,1.1904761904761905,1.1904761904761905,21,0,0.0,1.0,0,0.0,1.0,0,0.0,0.507728584372408,1,5.0,0.39448309394981534,0,0.0,1.0,0,12.0,0.4607032525971299,2,8.0,0.5177882443360415
88.0,5,19.0,0.3333333333333333,8.44986662703721,57,163.0,2.8596491228070176,17.0,0.2982456140350877,3,19.0,0.0,6.6005742916579875,0.8260869565217391,0.8260869565217391,23,1,2.0,0.000501379441395444,0,0.0,1.0,0,0.0,0.42531521769403835,0,0.0,0.4079531055184521,0,7.0,0.8633717562298829,2,10.0,0.3413387280915827,0,0.0,0.2559118591999351
96.0,7,18.0,0.32727272727272727,7.2620252140673625,55,208.0,3.7818181818181817,45.0,0.8181818181818182,7,63.0,44.0,4.707501531180197,2.52,2.52,25,0,0.0,1.0,1,7.0,0.45806707002031144,1,4.0,0.37652301373396435,1,1.0,0.0067559396729923085,0,14.0,0.7856205694575046,4,37.0,0.15308946074740987,0,0.0,1.0
104.0,9,29.0,0.5918367346938775,7.273392191591511,49,204.0,4.163265306122449,0.0,0.0,3,71.0,8.0,4.902973766894171,3.9444444444444446,3.9444444444444446,18,0,0.0,1.0,1,7.0,0.5653080759715771,2,16.0,0.24708631637550046,0,0.0,1.0,0,8.0,0.6435293157214306,0,40.0,0.21445505444453306,0,0.0,0.827234627118057
112.0,7,31.0,0.6739130434782609,7.489344074218701,46,204.0,4.434782608695652,0.0,0.0,3,53.0,0.0,8.243356829191221,2.65,2.65,20,0,0.0,1.0,0,5.0,0.9734768939445229,1,1.0,0.003737163046349211,0,0.0,1.0,0,9.0,0.9284286624923768,2,38.0,0.24544949056632306,0,0.0,1.0
120.0,11,101.0,2.02,7.157981207356703,50,255.0,5.1,51.0,1.02,6,70.0,17.0,6.851406476643774,4.117647058823529,4.117647058823529,17,0,3.0,0.6780132474845066,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,6.0,0.8665367324196837,6,61.0,0.156513255325927,0,0.0,1.0
128.0,16,179.0,3.086206896551724,6.784963418595232,58,346.0,5.9655172413793105,91.0,1.5689655172413792,12,142.0,72.0,5.21117975104336,4.303030303030303,4.303030303030303,33,2,7.0,0.23446314566524026,0,3.0,0.8894564961590088,0,3.0,0.6268122679891467,1,1.0,0.39692311443930717,2,19.0,0.41209866739979306,7,109.0,0.1925336576104698,0,0.0,1.0
136.0,6,27.0,0.43548387096774194,6.627820664515747,62,405.0,6.532258064516129,59.0,0.9516129032258065,6,135.0,0.0,3.1933079963146414,4.354838709677419,4.354838709677419,31,0,2.0,0.22342720229472915,0,3.0,0.7603398593486752,0,0.0,0.2005162990239072,1,6.0,0.17850774261664126,3,28.0,0.18591750804430704,2,96.0,0.20099542551985244,0,0.0,1.0
144.0,10,38.0,0.59375,9.005428067996437,64,312.0,4.875,0.0,0.0,6,78.0,0.0,6.614319555775758,3.25,3.25,24,1,8.0,0.4615392573340395,1,6.0,0.46579334267105765,1,0.0,0.0,1,13.0,0.0,2,32.0,0.5194158067834888,0,19.0,0.5806265779344293,0,0.0,1.0
152.0,4,42.0,0.65625,9.969548616857175,64,197.0,3.078125,0.0,0.0,3,34.0,0.0,7.934074840005901,1.8888888888888888,1.8888888888888888,18,0,0.0,0.5082057523536774,0,0.0,0.7265802698821375,0,0.0,0.9616907263663637,0,0.0,0.5276861730420404,3,34.0,0.4302776707533883,0,0.0,0.7322545186941538,0,0.0,0.6887525415111131
160.0,8,78.0,1.2,8.83331901243651,65,158.0,2.4307692307692306,0.0,0.0,5,67.0,33.0,7.07036192103412,3.9411764705882355,3.9411764705882355,17,0,0.0,1.0,0,5.0,0.7704236170933457,0,1.0,0.971709150516879,0,0.0,1.0,3,57.0,0.16119100594006816,1,2.0,0.5801320732264864,1,2.0,9.36652144405936e-06
