step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,2,0.0,0.0,6.698424561520042,15,0.0,0.0,0.0,0.0,1,0.0,0.0,5.696581738689474,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29567369938500637,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5446235483531164,0,0.0,1.0
24.0,3,8.0,0.34782608695652173,8.80672440317179,23,8.0,0.34782608695652173,8.0,0.34782608695652173,1,8.0,8.0,9.947684465179385,0.8,0.8,10,0,0.0,1.0,0,0.0,0.9790447483474307,0,0.0,0.6434340337230043,0,0.0,1.0,0,0.0,0.9395686815641922,1,8.0,0.4780052342515075,0,0.0,0.6753999214186904
32.0,2,17.0,0.53125,8.936177731903873,32,17.0,0.53125,9.0,0.28125,1,16.0,8.0,10.411545492572758,1.3333333333333333,1.3333333333333333,12,0,0.0,1.0,0,0.0,0.5323605244130853,0,0.0,0.9122976712070817,0,0.0,1.0,0,0.0,0.9786947350242278,1,16.0,0.6226192448283739,0,0.0,1.0
40.0,2,7.0,0.16666666666666666,8.91500381452158,42,32.0,0.7619047619047619,15.0,0.35714285714285715,2,10.0,0.0,7.593807793047427,0.5,0.5,20,0,0.0,1.0,0,0.0,0.528999321636276,0,0.0,1.0,0,0.0,0.8896554774400394,0,3.0,0.6141287991432659,2,7.0,0.4499513151068949,0,0.0,0.7019580423073601
48.0,4,6.0,0.125,9.032591732583358,48,51.0,1.0625,19.0,0.3958333333333333,2,10.0,0.0,8.88679556767647,0.5555555555555556,0.5555555555555556,18,0,0.0,1.0,0,0.0,0.8090963683027876,0,0.0,1.0,1,3.0,0.22240877716235266,0,3.0,0.8985634814738785,1,4.0,0.5656211384979266,0,0.0,1.0
56.0,5,14.0,0.2916666666666667,9.110113993812979,48,76.0,1.5833333333333333,25.0,0.5208333333333334,3,25.0,15.0,7.883746478101389,1.0416666666666667,1.0416666666666667,24,0,0.0,1.0,0,0.0,0.9687192991816128,0,0.0,1.0,0,2.0,0.516376954372299,0,9.0,0.8552643934023278,3,11.0,0.36583383525072777,0,3.0,0.9178317614794425
64.0,7,15.0,0.2727272727272727,8.595848281729692,55,92.0,1.6727272727272726,16.0,0.2909090909090909,4,19.0,0.0,8.018415563402286,1.0,1.0,19,0,0.0,0.9167612235942331,0,0.0,1.0,0,3.0,0.949489268650718,2,11.0,0.3145716617718734,0,3.0,0.9123343304142333,1,2.0,0.5168388842246086,1,0.0,0.0
72.0,9,40.0,0.6779661016949152,9.02666417504654,59,113.0,1.9152542372881356,21.0,0.3559322033898305,4,30.0,11.0,8.71710947316639,1.4285714285714286,1.4285714285714286,21,0,0.0,1.0,0,0.0,1.0,1,5.0,0.005663437183730693,0,0.0,0.4407682467184378,0,10.0,0.9054718742281723,3,15.0,0.37621244018164357,0,0.0,0.8096090072591167
80.0,9,18.0,0.3,7.802771833361027,60,153.0,2.55,40.0,0.6666666666666666,7,41.0,11.0,5.424500806505341,1.5769230769230769,1.5769230769230769,26,0,0.0,1.0,0,0.0,0.9554072468848044,0,0.0,0.4937362808061473,1,2.0,0.3505400884137397,0,0.0,0.6438732265023241,3,30.0,0.2990430487564409,3,9.0,0.2582649650771496
88.0,7,11.0,0.1896551724137931,7.556344878570058,58,157.0,2.706896551724138,4.0,0.06896551724137931,3,34.0,0.0,5.824386052910578,1.3076923076923077,1.3076923076923077,26,0,0.0,1.0,0,0.0,0.9230706716976071,1,4.0,0.5762734500854495,0,0.0,1.0,0,0.0,0.32246778556279926,1,24.0,0.26386001862780184,1,6.0,0.519587776308571
96.0,5,14.0,0.2692307692307692,7.243833867167951,52,158.0,3.0384615384615383,1.0,0.019230769230769232,5,43.0,9.0,4.523614220145098,2.0476190476190474,2.0476190476190474,21,0,0.0,1.0,1,4.0,0.47932375912318453,1,1.0,0.36331065150858527,0,0.0,1.0,0,14.0,0.6305235737970601,3,24.0,0.1387061984535091,0,0.0,0.8377955744742692
104.0,4,8.0,0.16666666666666666,7.591106940477009,48,140.0,2.9166666666666665,0.0,0.0,1,37.0,0.0,5.891318179009302,1.85,1.85,20,0,0.0,1.0,1,1.0,0.7205127869980023,0,0.0,0.660185098175765,0,5.0,0.27557721183968825,0,7.0,0.6350858477287694,0,24.0,0.22126723559071698,0,0.0,1.0
112.0,9,40.0,0.8695652173913043,8.17523656305727,46,160.0,3.4782608695652173,20.0,0.43478260869565216,4,29.0,0.0,7.871319752108771,1.7058823529411764,1.7058823529411764,17,0,0.0,1.0,0,5.0,0.9252560983946178,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9223617128330804,4,21.0,0.1752957246689665,0,0.0,1.0
120.0,11,47.0,0.9215686274509803,6.7054718938362035,51,218.0,4.2745098039215685,58.0,1.1372549019607843,9,80.0,51.0,5.420846496792863,3.076923076923077,3.076923076923077,26,0,3.0,0.7480618280144928,0,3.0,0.9463702121109121,0,0.0,1.0,0,0.0,1.0,2,12.0,0.4966405556937855,7,62.0,0.07860779211272217,0,0.0,1.0
128.0,8,20.0,0.3508771929824561,6.975127551038917,57,243.0,4.2631578947368425,25.0,0.43859649122807015,7,92.0,12.0,4.913488113366786,2.875,2.875,32,1,6.0,0.48634029006344576,2,7.0,0.45050269825309436,0,3.0,0.589893389912531,2,4.0,0.3830253688732155,2,29.0,0.26521310427701617,0,43.0,0.27409331038566037,0,0.0,1.0
136.0,10,34.0,0.576271186440678,7.333121440853739,59,271.0,4.593220338983051,28.0,0.4745762711864407,9,68.0,0.0,4.714710619164245,2.72,2.72,25,2,16.0,0.0002467894468257106,2,6.0,0.04572178210300686,0,0.0,0.7581382711043435,1,4.0,0.23165225165463124,0,12.0,0.617720310364291,4,30.0,0.23537963080329571,0,0.0,1.0
144.0,11,24.0,0.3870967741935484,7.664734845800663,62,257.0,4.145161290322581,0.0,0.0,8,49.0,0.0,4.542401212754385,1.8846153846153846,1.8846153846153846,26,0,0.0,0.21808615690738262,0,4.0,0.6409142582561319,1,0.0,0.0,3,14.0,0.0012242837557042985,4,28.0,0.2855958721492265,0,3.0,0.5036012519594085,0,0.0,1.0
152.0,4,17.0,0.27419354838709675,8.79819086774919,62,229.0,3.693548387096774,0.0,0.0,4,51.0,2.0,7.426645386253553,2.217391304347826,2.217391304347826,23,1,1.0,0.0036362444796519716,1,3.0,0.533064887332235,0,0.0,0.9137055814070251,0,1.0,0.5588527692412846,2,43.0,0.4590174419474805,0,3.0,0.7025713491818849,0,0.0,0.47106950572906914
160.0,8,34.0,0.5,8.069247351975383,68,245.0,3.6029411764705883,16.0,0.23529411764705882,6,53.0,2.0,5.448521447783057,2.12,2.12,25,1,9.0,0.38229332910948816,2,6.0,0.19490175690826556,1,6.0,0.4587623112476463,0,0.0,0.9503803261263307,1,28.0,0.250775862352208,1,4.0,0.5926992634811037,0,0.0,1.0
