step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,1,0.0,0.0,5.373261649929917,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.990227706425622,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.09599309502759,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.293759475462725,0.0,0.0,5,0,0.0,1.0,0,0.0,0.959067796369068,0,0.0,0.8808562342931802,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4132094154850635,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8367236458092828,0,0.0,1.0,0,0.0,1.0
32.0,1,3.0,0.15789473684210525,12.147665845679217,19,3.0,0.15789473684210525,3.0,0.15789473684210525,1,3.0,3.0,11.404644796801449,0.6,0.6,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9755142756447966,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.4960075621260804,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,10.439284031962314,33,6.0,0.18181818181818182,3.0,0.09090909090909091,1,0.0,0.0,7.8360697739150655,0.0,0.0,8,1,0.0,0.0,0,0.0,1.0,0,0.0,0.38574504584600355,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9438451082303855,0,0.0,0.41741946423067866,0,0.0,0.12402108932495254,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.40179410842131724
48.0,2,3.0,0.08108108108108109,13.361643355356396,37,9.0,0.24324324324324326,3.0,0.08108108108108109,2,3.0,3.0,11.433392629752737,0.23076923076923078,0.23076923076923078,13,0,0.0,0.951027938394199,0,0.0,1.0,1,2.0,0.3502298305165681,0,0.0,1.0,0,0.0,0.7801644936733481,1,1.0,0.6685198230837577,0,0.0,0.3037238804164019,0,0.0,0.9934193353426867,0,0.0,1.0,0,0.0,0.9272344963312216,0,0.0,1.0,0,0.0,0.6866026985218683
56.0,2,4.0,0.09302325581395349,12.07129413476161,43,16.0,0.37209302325581395,7.0,0.16279069767441862,2,4.0,1.0,11.669619266092464,0.4444444444444444,0.4444444444444444,9,0,0.0,1.0,0,0.0,1.0,0,0.0,0.840898755418267,0,0.0,1.0,0,0.0,1.0,1,0.0,0.28364685995584205,0,0.0,0.9414005427289309,0,0.0,1.0,0,0.0,0.9201881354782732,0,0.0,1.0,0,0.0,1.0,1,4.0,3.0444992741364342e-05
64.0,1,4.0,0.08695652173913043,12.753984379918606,46,19.0,0.41304347826086957,3.0,0.06521739130434782,1,4.0,0.0,12.30099706366928,0.3333333333333333,0.3333333333333333,12,0,0.0,1.0,0,0.0,0.9425470917025225,0,0.0,0.6339036249038569,0,0.0,1.0,0,0.0,0.391352224210191,0,0.0,0.9689416011080659,0,0.0,0.9069290594303389,0,0.0,1.0,1,4.0,0.44084899825218854,0,0.0,0.9681912418084173,0,0.0,1.0,0,0.0,1.0
72.0,1,0.0,0.0,12.7822474007298,49,24.0,0.4897959183673469,5.0,0.10204081632653061,1,1.0,0.0,9.249819373473612,0.1111111111111111,0.1111111111111111,9,0,0.0,1.0,0,0.0,0.6544267714504454,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9578376442984852,0,1.0,0.6724867432146938,0,0.0,1.0,0,0.0,1.0,1,0.0,0.46980153741349556,0,0.0,1.0,0,0.0,1.0
80.0,4,7.0,0.12727272727272726,12.203443983958508,55,30.0,0.5454545454545454,6.0,0.10909090909090909,4,7.0,6.0,9.762217661103907,0.35,0.35,20,0,0.0,1.0,1,3.0,0.6343929321587974,1,0.0,0.08176815794322567,0,0.0,1.0,0,0.0,0.23987012497758586,0,0.0,0.9480562935765837,1,3.0,0.00017010413180552374,0,0.0,1.0,0,0.0,0.9677515975460215,0,0.0,0.7813333956264049,0,0.0,1.0,1,1.0,0.498912291488525
88.0,5,12.0,0.19047619047619047,11.065691859486702,63,58.0,0.9206349206349206,28.0,0.4444444444444444,4,15.0,8.0,8.190380638861837,0.8823529411764706,0.8823529411764706,17,0,0.0,1.0,1,4.0,0.45909918595309357,0,0.0,0.8319793893550279,0,0.0,1.0,0,0.0,1.0,0,0.0,0.73756188252968,0,0.0,0.550421095613721,0,0.0,1.0,1,2.0,0.2669081321146356,2,6.0,0.36118619033086835,0,0.0,1.0,0,3.0,0.9712909194998498
