step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,1,0.0,0.0,5.373261649929917,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.990227706425622,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.203853463404002,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.660484727942528,0.0,0.0,5,0,0.0,1.0,0,0.0,0.959067796369068,0,0.0,0.9973703826165038,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4132094154850635,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8367236458092828,0,0.0,1.0,0,0.0,1.0
32.0,1,3.0,0.15789473684210525,12.73154357951962,19,3.0,0.15789473684210525,3.0,0.15789473684210525,1,3.0,3.0,11.30471707265796,0.6,0.6,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9651557745981435,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.4960075621260804,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,10.445637092727697,33,6.0,0.18181818181818182,3.0,0.09090909090909091,1,0.0,0.0,7.769085013260179,0.0,0.0,8,1,0.0,0.0,0,0.0,1.0,0,0.0,0.41673032330856824,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9155146070415155,0,0.0,0.41741946423067866,0,0.0,0.12402108932495254,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.40179410842131724
48.0,2,5.0,0.13513513513513514,13.336199023851385,37,11.0,0.2972972972972973,5.0,0.13513513513513514,2,5.0,5.0,11.523264948080042,0.38461538461538464,0.38461538461538464,13,0,0.0,0.951027938394199,0,0.0,1.0,1,2.0,0.3502298305165681,0,0.0,1.0,0,0.0,0.7801644936733481,0,0.0,0.9195565049849416,0,0.0,0.3037238804164019,0,0.0,0.9934193353426867,0,0.0,1.0,0,0.0,0.9272344963312216,0,0.0,1.0,1,3.0,0.4577660953956692
56.0,6,12.0,0.2727272727272727,10.322153400728302,44,26.0,0.5909090909090909,15.0,0.3409090909090909,6,12.0,7.0,5.9819752135027375,0.8571428571428571,0.8571428571428571,14,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7950676017561629,0,0.0,1.0,0,0.0,1.0,3,5.0,0.0029750316530252376,0,0.0,0.6158065042030353,2,3.0,0.0006946514582777165,0,0.0,0.5742335747155879,0,0.0,1.0,0,0.0,1.0,1,4.0,3.0444992741364342e-05
64.0,1,2.0,0.043478260869565216,11.631370996718829,46,42.0,0.9130434782608695,16.0,0.34782608695652173,1,2.0,0.0,11.79046163387616,0.2,0.2,10,0,0.0,1.0,0,0.0,0.9428559871436989,0,0.0,0.8198309508392128,0,0.0,1.0,0,0.0,0.40257046051013606,1,2.0,0.4819328641335296,0,0.0,0.9329574550088988,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9681912418084173,0,0.0,1.0,0,0.0,0.3374263371378533
72.0,2,2.0,0.04081632653061224,12.428452300775467,49,47.0,0.9591836734693877,5.0,0.10204081632653061,2,2.0,0.0,8.494090239584397,0.2,0.2,10,0,0.0,1.0,0,0.0,0.7232895312754037,1,2.0,0.0004016786913261793,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9544982483366744,0,0.0,0.5466632796047691,0,0.0,1.0,0,0.0,1.0,1,0.0,0.4851430595001922,0,0.0,1.0,0,0.0,1.0
80.0,3,4.0,0.07142857142857142,12.195447859340801,56,54.0,0.9642857142857143,7.0,0.125,3,4.0,2.0,9.209278380312698,0.21052631578947367,0.21052631578947367,19,0,0.0,1.0,1,2.0,0.5848722152722163,1,0.0,0.07623946983777152,0,0.0,1.0,0,0.0,0.2679466203625609,0,0.0,0.9227973163326355,1,2.0,0.000415544313493488,0,0.0,1.0,0,0.0,0.9564597963255947,0,0.0,0.9219439323146352,0,0.0,1.0,0,0.0,0.5341992391794105
88.0,6,9.0,0.14285714285714285,10.799765794181331,63,80.0,1.2698412698412698,26.0,0.4126984126984127,5,12.0,8.0,7.932736212614948,0.7058823529411765,0.7058823529411765,17,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8931946425576319,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5276554551409387,0,0.0,0.5555112179634585,0,0.0,1.0,2,2.0,0.440354166558226,2,6.0,0.3468455523448144,0,0.0,1.0,0,3.0,0.6468775547232091
