step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,1,0.0,0.0,6.059450829855631,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.707124268543368,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.668379203168305,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.17753053721629,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9638615801616975,0,0.0,0.9679691154604665,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3715855080535766,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7692710609249883,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.885702441657148,19,0.0,0.0,0.0,0.0,0,0.0,0.0,12.677998122941265,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8534195478374539,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9152273951544312,0,0.0,1.0,0,0.0,1.0
40.0,4,1.0,0.030303030303030304,10.641094469013142,33,1.0,0.030303030303030304,1.0,0.030303030303030304,2,1.0,1.0,5.78237878701316,0.125,0.125,8,1,0.0,0.0,0,0.0,1.0,0,0.0,0.4773660565682292,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8505338560091739,0,0.0,0.4112458126667483,0,0.0,0.1002376622794065,0,0.0,1.0,1,1.0,0.002982554407048795,0,0.0,1.0,0,0.0,0.4710247657929915
48.0,0,0.0,0.0,12.972697986039506,36,4.0,0.1111111111111111,3.0,0.08333333333333333,0,0.0,0.0,11.4132427020538,0.0,0.0,11,0,0.0,0.9691891381516942,0,0.0,1.0,0,0.0,0.3276964940156408,0,0.0,1.0,0,0.0,0.7477817275912126,0,0.0,0.7368057165923353,0,0.0,0.2656100988652312,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9572001884009275,0,0.0,1.0,0,0.0,0.6309932249902181
56.0,4,14.0,0.32558139534883723,11.161116683459554,43,18.0,0.4186046511627907,14.0,0.32558139534883723,2,4.0,4.0,10.596367687592616,0.36363636363636365,0.36363636363636365,11,0,0.0,0.9880150269822536,0,0.0,0.9694125020348692,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.4440459049900031,0,0.0,0.9757367714944054,0,0.0,1.0,0,0.0,0.6863180034759231,0,0.0,1.0,0,0.0,0.8839503831580918,1,4.0,0.0
64.0,1,4.0,0.08888888888888889,12.994842861834842,45,27.0,0.6,9.0,0.2,1,4.0,0.0,13.605783089027634,0.3333333333333333,0.3333333333333333,12,0,0.0,1.0,0,0.0,0.9619172854481574,0,0.0,0.9582335905931147,0,0.0,1.0,0,0.0,0.38386700634289905,0,0.0,0.958331834019654,0,0.0,0.9348364204020733,0,0.0,1.0,1,4.0,0.0,0,0.0,0.9463737947987447,0,0.0,1.0,0,0.0,0.9542527548659281
72.0,3,3.0,0.0625,12.75525936449182,48,33.0,0.6875,6.0,0.125,3,3.0,0.0,10.767528724836994,0.21428571428571427,0.21428571428571427,14,0,0.0,0.7125386372294931,0,0.0,0.7456495107873264,2,3.0,0.19966991189891725,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9565028763483971,0,0.0,0.9897871422037328,0,0.0,0.9929629181414106,0,0.0,1.0,1,0.0,0.4816874627867916,0,0.0,1.0,0,0.0,0.936177067638577
80.0,3,3.0,0.05357142857142857,11.661377792626269,56,42.0,0.75,9.0,0.16071428571428573,3,3.0,0.0,9.633869700296863,0.13636363636363635,0.13636363636363635,22,0,0.0,1.0,0,0.0,0.613737031535346,2,2.0,0.0432400426759085,0,0.0,0.8039288902077271,0,0.0,0.412034822770318,0,0.0,0.5705018125535151,1,1.0,0.0010904506281536929,0,0.0,1.0,0,0.0,0.7693463296493203,0,0.0,0.7811951817797917,0,0.0,1.0,0,0.0,0.6830425055514084
88.0,9,21.0,0.3333333333333333,10.069745312405738,63,71.0,1.126984126984127,29.0,0.4603174603174603,8,27.0,24.0,7.2370807983026735,1.35,1.35,20,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8286779955418506,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6396917785351924,0,0.0,1.0,0,0.0,1.0,4,14.0,0.23710093198251805,2,5.0,0.38436763652238726,0,0.0,1.0,2,8.0,0.4327199339449073
96.0,3,7.0,0.10144927536231885,10.806052755640671,69,106.0,1.536231884057971,35.0,0.5072463768115942,2,13.0,0.0,7.738879116133402,0.7647058823529411,0.7647058823529411,17,0,1.0,0.19740639725398404,0,0.0,1.0,1,3.0,0.0002723354656493994,0,0.0,0.951939024432505,0,0.0,1.0,1,2.0,0.47658921894319367,0,0.0,0.7974538797157815,0,3.0,0.9857765362758895,0,3.0,0.4733430430350701,0,1.0,0.15309041220591532,0,0.0,0.7109260381805292,0,0.0,0.726022203831069
104.0,7,37.0,0.5068493150684932,12.429527150245507,73,150.0,2.0547945205479454,44.0,0.6027397260273972,5,32.0,19.0,8.817523827925768,1.7777777777777777,1.7777777777777777,18,2,13.0,0.0,0,3.0,0.937963217090239,0,2.0,0.46058650543634494,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9296958960787155,0,0.0,0.7741425140129828,0,0.0,0.9419018733107526,1,6.0,0.4287935732104391,2,8.0,0.00018272792314133363,0,0.0,1.0,0,0.0,0.962207620376684
112.0,2,2.0,0.025974025974025976,12.158421558363754,77,174.0,2.25974025974026,24.0,0.3116883116883117,2,30.0,0.0,9.698579710802964,1.5789473684210527,1.5789473684210527,19,0,0.0,1.0,1,1.0,0.22498316740488097,0,0.0,0.19086464975333936,0,0.0,0.7035259413963777,0,0.0,1.0,0,0.0,0.9694265484141136,0,3.0,0.4485877930199915,0,0.0,0.7861141848412242,1,5.0,0.4580380954343801,0,8.0,0.7539524148941568,0,0.0,1.0,0,13.0,0.8480833638017444
