step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,0,0.0,0.0,11.067197671817828,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838168337323859
24.0,1,0.0,0.0,8.099565648700153,7,0.0,0.0,0.0,0.0,1,0.0,0.0,4.997035476103261,0.0,0.0,5,1,0.0,0.3315585181081839
32.0,0,0.0,0.0,15.965125502086684,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.844466713834812,0.0,0.0,4,0,0.0,0.8635415365250677
40.0,0,0.0,0.0,12.346700344664244,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.64423445058687,0.0,0.0,4,0,0.0,0.9348921423526418
48.0,0,0.0,0.0,10.449303274931388,9,0.0,0.0,0.0,0.0,0,0.0,0.0,8.551698822131128,0.0,0.0,7,0,0.0,0.5619615245032955
56.0,1,6.0,0.5454545454545454,9.110849819471872,11,8.0,0.7272727272727273,8.0,0.7272727272727273,1,6.0,6.0,7.138147502041209,0.8571428571428571,0.8571428571428571,7,1,6.0,0.4369968975143642
64.0,2,3.0,0.3,7.122394336603707,10,18.0,1.8,10.0,1.0,2,3.0,0.0,5.751260989893916,0.4285714285714285,0.4285714285714285,7,2,3.0,0.3401405991265444
72.0,1,6.0,0.5454545454545454,8.228060977750348,11,18.0,1.6363636363636365,0.0,0.0,1,6.0,3.0,6.764669950667291,1.0,1.0,6,1,6.0,0.350902710259084
80.0,2,14.0,1.0769230769230769,10.83203848667448,13,17.0,1.3076923076923077,0.0,0.0,2,15.0,9.0,7.075893713992979,1.875,1.875,8,2,15.0,0.4664709930878369
88.0,1,3.0,0.2142857142857142,7.747962150267488,14,21.0,1.5,4.0,0.2857142857142857,1,3.0,0.0,7.71459930478257,0.25,0.25,12,1,3.0,0.5067984145324516
96.0,0,0.0,0.0,9.326054725220375,20,8.0,0.4,0.0,0.0,0,0.0,0.0,9.30330024381213,0.0,0.0,15,0,0.0,0.6106048599122211
104.0,2,5.0,0.25,10.671101706260185,20,6.0,0.3,0.0,0.0,2,5.0,5.0,9.496539178445538,0.3125,0.3125,16,2,5.0,0.6296471317745824
112.0,2,2.0,0.0909090909090909,8.488501989753235,22,15.0,0.6818181818181818,9.0,0.4090909090909091,2,2.0,0.0,9.391874694729148,0.1333333333333333,0.1333333333333333,15,2,2.0,0.5985770530179563
120.0,2,2.0,0.0952380952380952,9.225085150200943,21,15.0,0.7142857142857143,0.0,0.0,2,2.0,0.0,8.567915174649624,0.1428571428571428,0.1428571428571428,14,2,2.0,0.5591603474336005
128.0,5,26.0,1.238095238095238,9.244586426904036,21,28.0,1.3333333333333333,13.0,0.6190476190476191,5,26.0,24.0,6.0807521795911255,2.0,2.0,13,5,26.0,0.4089135979260976
136.0,1,3.0,0.15,7.472330597187555,20,48.0,2.4,20.0,1.0,1,11.0,0.0,7.196023790950542,0.7333333333333333,0.7333333333333333,15,1,11.0,0.4966181747677644
144.0,3,13.0,0.6190476190476191,7.345674811853696,21,34.0,1.619047619047619,0.0,0.0,3,21.0,10.0,6.753734174370208,1.5,1.5,14,3,21.0,0.4689352643194066
152.0,7,55.0,2.391304347826087,8.63928761410619,23,65.0,2.8260869565217392,31.0,1.3478260869565215,6,57.0,36.0,6.465195225338365,3.5625,3.5625,16,6,57.0,0.4371765167389516
160.0,2,1.0,0.0434782608695652,8.498232254074669,23,87.0,3.782608695652174,22.0,0.9565217391304348,2,23.0,0.0,8.21785108593569,1.2777777777777777,1.2777777777777777,18,2,23.0,0.5262840481262594
168.0,5,25.0,0.9615384615384616,8.332744968258611,26,56.0,2.1538461538461537,0.0,0.0,5,25.0,2.0,6.390567465021088,1.3888888888888888,1.3888888888888888,18,5,25.0,0.4075375400373597
176.0,2,1.0,0.0384615384615384,8.223451409850016,26,60.0,2.3076923076923075,4.0,0.1538461538461538,2,8.0,0.0,8.144051306663986,0.4210526315789473,0.4210526315789473,19,2,8.0,0.5201732365245757
184.0,5,24.0,0.8888888888888888,9.427600296946329,27,39.0,1.4444444444444444,0.0,0.0,4,18.0,10.0,8.07844654352765,1.0,1.0,18,4,18.0,0.52690468467812
192.0,4,3.0,0.12,8.32381318697718,25,50.0,2.0,11.0,0.44,4,4.0,0.0,8.21663006049111,0.2,0.2,20,4,4.0,0.5195955813320721
200.0,5,27.0,0.9642857142857144,10.054240886361772,28,47.0,1.6785714285714286,0.0,0.0,5,28.0,24.0,7.832700542180826,1.3333333333333333,1.3333333333333333,21,5,28.0,0.5103512086346038
208.0,2,5.0,0.1851851851851851,7.562080598783775,27,73.0,2.703703703703704,26.0,0.9629629629629628,2,17.0,0.0,7.142417443944219,0.7727272727272727,0.7727272727272727,22,2,17.0,0.4635006812523492
216.0,6,33.0,1.1785714285714286,7.92738112798198,28,45.0,1.6071428571428572,0.0,0.0,6,34.0,17.0,7.385720685467339,1.619047619047619,1.619047619047619,21,6,34.0,0.4954018881939205
224.0,4,9.0,0.3214285714285714,7.196771389000536,28,66.0,2.357142857142857,21.0,0.75,4,30.0,0.0,6.333511110864571,1.3636363636363635,1.3636363636363635,22,4,30.0,0.4463184141619603
232.0,6,42.0,1.5555555555555556,8.74616506632072,27,52.0,1.9259259259259256,0.0,0.0,5,42.0,12.0,7.345476107379104,2.1,2.1,20,5,42.0,0.5121403979614703
240.0,4,9.0,0.3461538461538461,7.1696932025565685,26,82.0,3.1538461538461537,30.0,1.1538461538461535,3,34.0,0.0,7.708643834282066,1.7,1.7,20,3,34.0,0.524208393917357
248.0,7,40.0,1.4814814814814814,6.62154262709379,27,116.0,4.296296296296297,34.0,1.2592592592592593,7,47.0,13.0,5.578766815256521,2.473684210526316,2.473684210526316,19,7,47.0,0.4075911980554091
256.0,2,7.0,0.2916666666666667,8.355705051620644,24,110.0,4.583333333333333,0.0,0.0,2,33.0,0.0,7.65282077305358,1.9411764705882355,1.9411764705882355,17,2,33.0,0.544992173630992
264.0,2,23.0,1.0,11.511300814838958,23,65.0,2.8260869565217392,0.0,0.0,2,30.0,0.0,9.55520583768616,2.5,2.5,12,2,30.0,0.6689392600016179
272.0,1,1.0,0.0454545454545454,8.374422548531182,22,41.0,1.8636363636363635,0.0,0.0,1,2.0,0.0,8.788373755061203,0.125,0.125,16,1,2.0,0.6035452911410817
280.0,2,8.0,0.3333333333333333,8.639122743527585,24,20.0,0.8333333333333334,0.0,0.0,2,9.0,7.0,8.19152260459237,0.5294117647058824,0.5294117647058824,17,2,9.0,0.5783442728698551
288.0,4,14.0,0.5185185185185185,8.991843264688448,27,34.0,1.2592592592592593,14.0,0.5185185185185185,4,14.0,5.0,7.600211220841566,0.7777777777777778,0.7777777777777778,18,4,14.0,0.5432221687164245
296.0,1,4.0,0.1333333333333333,8.342645867715666,30,39.0,1.3,5.0,0.1666666666666666,1,19.0,5.0,8.268563770065963,0.8260869565217391,0.8260869565217391,23,1,19.0,0.5781646394924504
304.0,5,14.0,0.4,7.839845778552638,35,41.0,1.1714285714285717,2.0,0.0571428571428571,4,29.0,10.0,7.313087124470495,1.2608695652173914,1.2608695652173914,23,4,29.0,0.5193378087426801
